Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,Num cands,Num seats
BalSet 1 01 - Corvallis ONE C4S8H16,197,01 - Corvallis ONE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,199,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,202,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,215,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,222,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,237,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,251,01 - Corvallis ONE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,253,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Write-in,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,255,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Write-in,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,260,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,268,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,278,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,281,09 - Corvallis NINE C4S8H16,Andrew Struthers,skipped,skipped,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,293,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,294,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,299,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 04 - Corvallis FOUR C4S8H16,303,04 - Corvallis FOUR C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,305,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,306,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,336,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,342,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,345,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,351,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 03 - Corvallis THREE C4S8H16,357,03 - Corvallis THREE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,360,01 - Corvallis ONE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,361,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,364,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,375,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,376,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,377,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,381,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,386,05 - Corvallis FIVE C4S8H16,Andrew Struthers,skipped,skipped,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,387,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,390,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Write-in,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,391,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,400,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,402,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,407,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,411,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,412,09 - Corvallis NINE C4S8H16,Andrew Struthers,skipped,skipped,4,1
BalSet 1 03 - Corvallis THREE C4S8H16,413,03 - Corvallis THREE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,415,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,420,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,421,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 03 - Corvallis THREE C4S8H16,424,03 - Corvallis THREE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,426,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,433,06 - Corvallis SIX C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,439,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,449,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,456,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,457,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 02 - Corvallis TWO C4S8H16,458,02 - Corvallis TWO C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,459,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,460,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,467,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,472,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,481,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,482,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,484,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 02 - Corvallis TWO C4S8H16,485,02 - Corvallis TWO C4S8H16,Andrew Struthers,Charles Maughan,Write-in,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,486,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,491,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,498,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,499,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,503,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,508,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,509,06 - Corvallis SIX C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,510,05 - Corvallis FIVE C4S8H16,Andrew Struthers,skipped,skipped,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,515,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,517,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,533,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,534,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,536,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,537,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 03 - Corvallis THREE C4S8H16,539,03 - Corvallis THREE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,545,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,546,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,547,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,548,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,549,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,555,06 - Corvallis SIX C4S8H16,Andrew Struthers,Write-in,Charles Maughan,4,1
BalSet 1 02 - Corvallis TWO C4S8H16,559,02 - Corvallis TWO C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,560,06 - Corvallis SIX C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,565,06 - Corvallis SIX C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,574,01 - Corvallis ONE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,582,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 04 - Corvallis FOUR C4S8H16,586,04 - Corvallis FOUR C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,588,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,598,06 - Corvallis SIX C4S8H16,Andrew Struthers,skipped,skipped,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,605,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,616,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,621,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,623,06 - Corvallis SIX C4S8H16,Andrew Struthers,skipped,skipped,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,626,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,628,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 03 - Corvallis THREE C4S8H16,634,03 - Corvallis THREE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,635,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 02 - Corvallis TWO C4S8H16,636,02 - Corvallis TWO C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,638,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,639,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,645,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Charles Maughan,Write-in,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,673,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,674,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 07 - Corvallis SEVEN C4S8H16 001,690,07 - Corvallis SEVEN C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,695,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Write-in,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,696,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,700,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,703,06 - Corvallis SIX C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,705,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,709,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,711,06 - Corvallis SIX C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,728,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,734,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 03 - Corvallis THREE C4S8H16,735,03 - Corvallis THREE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,739,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,742,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,743,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,753,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,755,01 - Corvallis ONE C4S8H16,Andrew Struthers,skipped,skipped,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,757,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,761,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,766,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,768,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,776,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,780,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Write-in,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,782,01 - Corvallis ONE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,794,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 04 - Corvallis FOUR C4S8H16,795,04 - Corvallis FOUR C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,796,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,skipped,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,797,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,798,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 03 - Corvallis THREE C4S8H16,803,03 - Corvallis THREE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 08 - Corvallis EIGHT C4S8H16,805,08 - Corvallis EIGHT C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 02 - Corvallis TWO C4S8H16,806,02 - Corvallis TWO C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,854,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,855,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 02 - Corvallis TWO C4S8H16,860,02 - Corvallis TWO C4S8H16,Andrew Struthers,skipped,skipped,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,866,01 - Corvallis ONE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,870,09 - Corvallis NINE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,878,01 - Corvallis ONE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,894,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 02 - Corvallis TWO C4S8H16,924,02 - Corvallis TWO C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 05 - Corvallis FIVE C4S8H16,925,05 - Corvallis FIVE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 06 - Corvallis SIX C4S8H16 001,928,06 - Corvallis SIX C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
BalSet 1 01 - Corvallis ONE C4S8H16,931,01 - Corvallis ONE C4S8H16,Andrew Struthers,Roen Hogg,Charles Maughan,4,1
BalSet 1 09 - Corvallis NINE C4S8H16,940,09 - Corvallis NINE C4S8H16,Andrew Struthers,Charles Maughan,Roen Hogg,4,1
