rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,rank111,rank112,rank113,rank114,rank115,rank116,rank117,rank118,rank119,rank120,rank121,rank122,rank123,rank124,rank125,rank126,rank127,rank128,rank129,rank130,rank131,rank132,rank133,Num Cands,Num Seats
117,4,75,20,117,75,130,75,117,75,117,14,75,75,75,75,75,6,133,117,117,75,75,133,75,117,20,132,75,117,75,75,133,20,117,75,126,20,2,127,1,126,133,117,117,9,75,75,126,133,75,117,75,12,117,20,133,75,40,21,75,117,126,117,117,117,132,75,75,11,117,117,75,117,10,117,75,8,3,117,75,75,117,117,117,75,126,75,20,75,75,117,75,117,117,117,20,117,75,117,20,75,75,75,7,75,75,75,133,13,76,117,75,75,75,5,117,75,75,20,117,126,75,126,117,117,117,75,117,75,117,117,75,,
133,133,133,133,133,133,8,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,7,133,4,5,133,133,133,133,133,133,133,133,133,9,133,3,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,,
11,11,131,131,131,11,11,131,131,131,131,131,7,131,11,131,131,131,131,131,131,121,11,131,131,131,132,11,11,11,131,131,131,121,131,131,131,11,2,1,121,131,131,131,121,11,131,133,11,131,131,132,131,121,131,131,131,131,132,6,131,11,9,131,8,131,131,131,121,11,131,121,131,131,131,131,131,131,3,131,121,121,131,131,131,131,4,11,131,132,10,132,11,132,131,131,11,131,131,11,131,131,5,11,131,131,131,131,131,11,121,131,11,11,131,131,131,131,131,131,131,131,131,131,131,131,131,11,131,131,131,131,131,,
133,133,133,133,4,133,133,133,2,133,133,133,1,133,133,133,133,133,133,133,133,133,5,133,8,133,133,133,133,133,133,133,133,133,10,133,133,3,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,1,133,3,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,5,8,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,10,133,133,133,133,2,133,133,133,133,133,133,8,133,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,5,133,133,6,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,1,133,133,133,133,133,133,133,133,133,10,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,2,10,133,10,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,8,133,10,8,8,133,133,133,133,10,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
96,96,131,96,107,96,96,131,131,132,13,96,96,96,8,96,13,131,13,96,96,131,96,96,96,96,96,96,131,131,96,96,131,131,107,13,96,96,96,96,7,131,96,96,13,131,131,131,96,131,96,131,96,96,13,13,96,96,96,96,96,2,96,13,96,3,107,96,96,96,96,107,96,5,109,96,4,96,107,96,96,96,107,96,96,96,96,131,107,96,131,96,1,131,96,96,13,96,96,96,96,131,96,133,6,96,96,13,131,96,131,96,96,96,96,96,96,96,131,96,131,96,96,96,96,96,96,96,107,107,96,96,96,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,8,133,133,133,133,133,133,133,133,133,4,133,133,133,133,133,133,133,133,133,7,133,133,133,133,9,133,133,133,133,133,133,133,133,133,133,133,133,133,133,6,133,133,133,133,133,133,133,1,133,133,133,133,10,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
129,129,41,58,41,77,70,70,8,99,58,129,99,129,129,129,41,5,41,40,129,99,42,58,77,58,129,129,129,129,77,50,129,59,129,129,129,41,129,58,41,39,70,129,129,58,129,99,129,129,40,70,99,10,58,41,129,99,129,129,20,2,131,129,99,129,129,129,129,70,129,16,99,7,129,58,77,1,21,129,130,4,99,41,129,58,133,43,129,129,129,129,41,129,77,129,99,129,129,58,99,6,132,70,129,99,58,41,129,129,3,129,70,129,80,58,41,129,99,44,129,70,77,129,60,58,99,77,129,70,58,129,41,,
133,133,133,133,133,133,4,133,133,133,133,133,133,3,9,133,133,133,133,133,133,133,133,133,133,133,133,133,8,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,10,133,133,133,133,133,133,133,133,133,133,133,133,5,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,13,133,133,133,12,133,133,133,133,133,133,133,133,11,6,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,7,133,133,133,133,133,133,133,133,133,133,133,133,,
133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,3,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,1,133,133,133,133,133,133,133,133,133,133,2,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,133,,
