rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,Num Cands,Num Seats
73,73,73,1,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1,73,1,73,73,73,73,1,73,73,1,73,73,73,73,73,73,1,73,73,1,73,73,73,73,73,73,73,73,1,1,73,73,73,1,73,73,73,1,73,73,73,73,73,73,73,1,,
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,,
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,73,73,73,73,73,73,73,1,73,73,73,73,73,73,73,73,73,73,7,6,73,73,73,73,2,73,73,73,73,73,5,73,73,73,73,73,4,73,73,73,73,73,73,73,73,73,73,73,73,,
Skipped,Skipped,2,17,8,5,Skipped,Skipped,9,16,18,14,25,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,20,Skipped,Skipped,23,Skipped,Skipped,72,19,Skipped,21,Skipped,3,10,Skipped,Skipped,12,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,22,6,13,Skipped,4,15,7,Skipped,Skipped,Skipped,24,Skipped,Skipped,Skipped,Skipped,73,Skipped,Skipped,Skipped,,
73,9,73,16,13,73,2,73,11,73,73,10,73,73,73,73,8,73,73,73,12,73,73,73,73,73,73,21,20,73,73,73,73,73,3,1,73,73,73,73,73,73,73,15,73,73,22,73,73,73,73,73,73,73,19,73,7,73,73,73,6,14,73,4,5,73,73,73,73,17,73,73,18,,
68,19,61,4,13,22,12,50,16,9,70,32,30,6,72,16,20,51,46,63,36,54,25,42,47,31,66,7,28,45,8,29,37,57,27,14,48,40,1,71,23,58,65,3,55,41,2,43,39,67,60,24,62,64,15,17,10,38,35,69,52,49,44,11,5,33,53,56,59,18,21,34,26,,
73,73,73,5,13,73,73,73,3,73,73,73,73,73,73,73,10,73,73,1,73,9,9,73,16,73,73,11,73,73,73,73,73,73,73,5,73,6,15,73,73,73,73,73,73,73,73,73,73,73,73,73,73,3,73,73,2,73,73,10,14,73,73,8,15,73,73,73,73,73,16,73,73,,
73,73,73,73,73,73,73,73,73,73,73,73,73,73,4,73,73,1,73,73,73,73,73,3,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,6,73,73,73,73,73,73,73,73,73,73,1,73,73,73,5,73,73,73,6,73,73,5,73,73,73,73,1,73,73,73,73,73,73,,
71,1,71,71,22,17,71,71,71,7,71,10,71,71,71,71,12,71,71,71,71,71,71,71,71,71,71,71,71,71,71,13,71,71,6,8,71,19,15,71,14,71,71,5,71,71,71,20,18,71,71,71,71,71,4,71,73,71,16,23,21,71,71,9,11,71,71,71,3,2,71,71,71,,
73,73,73,1,73,73,73,73,73,6,73,73,3,73,73,73,73,73,73,73,3,73,73,73,73,73,73,73,5,73,73,73,73,73,73,73,73,73,73,73,73,73,73,2,73,73,73,73,4,73,73,2,73,73,2,3,73,73,3,73,5,73,73,73,73,73,73,3,73,73,73,3,3,,
73,73,73,73,73,73,73,73,5,73,73,73,73,73,1,73,73,73,73,73,73,4,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,7,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,6,3,73,73,73,73,2,73,73,73,73,73,73,,
Skipped,Skipped,Skipped,15,Skipped,Skipped,9,14,2,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,3,Skipped,16,12,Skipped,Skipped,17,Skipped,Skipped,11,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,7,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1,73,73,73,73,73,73,73,10,73,73,73,73,73,73,73,73,73,73,1,73,73,1,73,73,73,73,73,73,73,73,10,73,73,73,73,73,73,73,73,73,73,73,73,1,73,73,73,73,73,,
73,73,73,6,73,1,73,73,3,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,8,73,73,73,73,73,5,73,73,73,73,73,1,73,73,73,73,73,73,73,73,73,7,73,73,6,73,73,73,73,73,73,73,73,73,73,2,73,4,73,73,73,,
73,72,72,5,72,73,72,71,71,21,6,72,72,3,73,73,72,73,73,72,13,22,72,73,73,15,72,2,23,73,8,73,73,71,9,72,16,14,72,72,7,72,73,4,18,73,70,73,72,65,72,69,1,72,72,19,72,73,13,72,10,73,17,20,28,50,72,71,72,72,13,73,24,,
73,73,73,73,73,73,73,73,73,4,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1,73,2,73,73,5,73,73,73,73,73,73,73,70,73,73,73,73,73,73,73,73,71,73,73,72,73,73,73,73,73,73,73,73,73,,
73,73,73,73,73,73,3,73,9,73,73,6,73,73,73,73,7,73,73,73,73,73,4,73,73,73,73,73,73,73,73,73,73,73,73,8,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,1,73,73,73,5,73,73,73,73,73,73,2,73,73,73,73,73,73,73,73,73,,
73,73,73,73,10,73,73,73,73,73,73,73,5,73,73,73,73,73,73,73,73,73,73,7,73,73,73,73,73,73,8,73,1,73,73,73,73,73,73,73,73,73,6,3,73,9,73,73,73,73,73,73,73,73,12,4,73,73,73,73,1,73,73,73,73,73,73,11,73,73,73,73,73,,
73,73,73,6,73,73,3,73,5,73,73,4,73,73,73,73,73,73,73,73,73,73,1,73,73,73,73,73,73,73,73,73,73,73,73,10,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,7,73,73,73,73,8,73,2,9,73,73,73,73,73,73,73,73,,
73,73,73,14,73,1,73,73,73,73,73,73,1,73,73,1,73,73,73,73,73,73,73,73,1,73,73,73,73,73,73,13,73,73,73,73,73,1,12,73,73,15,73,10,73,73,73,73,73,73,73,73,73,1,8,7,73,73,73,73,11,73,73,73,16,73,73,9,73,73,73,73,73,,
73,73,73,73,73,73,73,1,2,73,73,4,73,73,73,73,73,73,73,1,73,1,2,73,73,3,73,73,73,73,73,73,73,73,3,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,4,73,73,73,73,73,73,73,73,1,2,73,73,73,73,73,73,,
73,4,73,2,73,73,2,2,2,73,73,2,73,73,73,73,1,73,73,73,73,73,1,73,73,73,73,73,4,73,73,5,73,73,73,2,5,4,73,73,73,73,73,3,73,73,73,73,73,73,73,5,73,73,73,5,4,73,73,73,73,4,73,2,1,73,73,73,73,73,73,73,5,,
