rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,Num Cands,Num Seats
45,34,6,60,37,18,41,4,34,32,12,3,66,45,66,23,66,66,37,23,14,42,5,13,55,17,28,24,37,66,33,20,30,21,30,66,49,15,59,66,28,2,66,27,10,66,16,50,38,8,54,66,42,66,19,1,38,66,9,30,66,45,27,11,7,30,,
66,66,6,66,66,66,66,3,22,66,8,4,66,66,66,66,66,66,66,66,15,66,1,12,66,66,17,66,66,66,66,23,66,66,66,66,66,7,66,66,66,2,66,13,14,66,66,66,21,11,25,66,66,20,66,5,24,66,10,66,18,19,66,16,9,66,,
66,66,3,66,66,66,66,2,66,66,10,6,66,66,66,66,66,66,23,66,19,66,1,12,66,13,17,66,66,66,66,66,66,66,14,66,66,16,66,66,66,7,66,66,9,66,66,66,66,11,20,66,66,66,18,4,66,66,5,66,66,66,25,15,8,66,,
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,
50,65,3,61,51,25,58,1,37,29,8,4,45,24,32,30,34,49,23,18,15,38,2,13,64,17,20,53,59,33,36,57,54,52,31,44,63,10,46,39,22,5,62,19,14,41,26,60,55,11,43,66,40,28,16,7,27,56,6,42,35,47,48,12,9,21,,
24,66,7,60,58,55,64,3,51,23,14,2,63,60,33,17,54,60,50,65,16,60,1,21,66,22,53,56,62,66,66,60,55,58,55,65,65,10,47,66,20,6,66,11,19,35,51,66,18,8,50,66,63,60,13,4,66,52,9,34,60,50,60,12,15,25,,
66,66,11,66,66,9,66,2,35,66,6,7,16,66,40,33,66,32,29,36,17,66,3,30,38,39,18,21,66,66,25,66,1,66,66,27,66,15,66,66,26,4,66,22,10,23,24,66,37,12,28,66,66,20,19,5,66,66,14,31,66,34,66,13,8,66,,
58,66,3,62,59,18,48,1,27,31,11,6,55,41,42,33,43,49,20,23,17,37,2,10,34,22,16,56,46,57,28,40,32,44,21,51,60,12,50,61,26,4,62,19,13,54,24,66,45,14,30,63,47,25,15,7,52,38,8,29,35,53,39,9,5,36,,
66,66,6,66,66,66,66,1,66,66,8,5,66,66,66,66,66,66,66,15,13,66,2,9,66,66,17,66,66,66,66,19,66,66,66,66,66,12,66,66,66,3,66,18,16,66,66,66,66,11,66,66,66,66,20,4,66,66,10,66,66,66,66,14,7,66,,
Skipped,Skipped,5,Skipped,Skipped,20,Skipped,3,Skipped,Skipped,10,2,Skipped,35,31,25,Skipped,Skipped,24,19,17,Skipped,4,13,Skipped,18,15,Skipped,32,Skipped,Skipped,23,Skipped,Skipped,33,36,Skipped,7,Skipped,Skipped,22,6,Skipped,Skipped,12,Skipped,30,Skipped,Skipped,11,34,Skipped,26,27,16,1,21,Skipped,9,Skipped,Skipped,Skipped,Skipped,8,14,29,,
59,60,5,40,63,17,37,2,35,52,12,3,47,48,22,45,25,50,34,21,16,61,1,14,32,26,20,66,43,49,23,46,62,65,28,27,29,10,64,42,18,4,57,15,19,58,30,53,54,9,51,41,44,31,13,7,39,38,11,56,36,33,55,8,6,24,,
66,66,16,66,66,66,66,3,66,66,10,5,66,66,66,66,66,66,66,66,66,66,3,54,66,66,66,66,66,66,66,66,66,66,66,47,66,9,66,66,66,8,66,5,66,66,66,66,66,60,66,66,66,66,39,23,66,66,66,66,66,66,66,66,14,66,,
52,36,11,62,1,27,61,4,51,28,12,22,29,63,24,26,33,32,47,30,10,50,6,9,25,34,35,58,53,49,19,37,45,20,59,43,65,13,48,31,38,2,60,8,5,54,57,21,40,17,56,65,44,7,12,3,23,39,15,41,42,16,46,18,14,55,,
66,66,4,66,17,66,66,1,66,66,7,5,66,66,66,66,66,66,18,66,12,66,1,12,66,66,66,66,66,66,66,66,66,66,66,66,66,10,66,66,66,1,66,12,12,66,66,66,66,7,66,66,66,66,66,5,66,66,7,66,66,66,66,16,10,66,,
58,63,6,41,25,30,40,1,35,28,8,5,34,41,41,30,38,50,35,16,15,48,2,13,61,30,18,39,49,52,46,36,60,57,32,50,55,7,46,52,23,4,59,15,12,48,38,50,47,11,40,65,29,28,14,5,43,34,8,43,40,29,47,14,10,29,,
37,Skipped,7,Skipped,33,34,Skipped,2,Skipped,27,4,6,Skipped,Skipped,32,22,Skipped,Skipped,26,Skipped,15,Skipped,1,16,30,23,19,Skipped,36,Skipped,Skipped,31,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,25,3,Skipped,18,11,Skipped,20,Skipped,28,10,Skipped,Skipped,21,24,14,5,24,Skipped,9,35,26,Skipped,29,13,8,17,,
66,66,66,66,66,5,66,2,66,66,66,4,66,66,66,66,66,66,66,66,66,66,1,66,66,66,66,66,66,66,66,66,66,66,6,66,66,66,66,66,66,3,66,66,65,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,6,66,66,,
62,66,15,50,42,7,38,6,51,39,10,2,58,29,59,23,34,57,20,37,13,43,5,9,40,17,22,26,54,46,41,31,49,55,27,47,48,19,61,64,28,3,52,16,21,65,18,63,44,14,33,60,45,24,12,1,32,56,11,35,36,53,30,8,4,25,,
64,31,15,57,20,37,45,2,43,19,4,6,51,23,59,39,58,39,42,48,14,55,1,27,38,26,34,62,28,40,32,29,53,41,7,61,30,5,44,33,21,3,25,10,12,60,16,54,47,17,63,66,65,46,9,13,56,52,24,49,50,43,22,18,8,11,,
Skipped,Skipped,6,64,38,23,63,2,44,36,7,3,Skipped,26,34,29,61,Skipped,27,18,12,66,1,15,60,24,13,19,Skipped,Skipped,58,37,35,Skipped,59,20,62,5,57,41,22,4,Skipped,11,16,Skipped,28,Skipped,65,25,42,Skipped,32,30,14,9,43,33,10,40,Skipped,39,31,17,8,21,,
66,66,8,66,66,66,66,9,66,66,10,6,66,66,66,66,66,66,66,66,66,66,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,66,66,66,66,66,66,66,13,66,66,66,11,3,2,66,66,4,66,66,66,66,66,66,66,,
66,66,4,66,16,66,66,3,66,66,7,5,66,66,66,66,66,66,20,66,12,66,1,13,66,17,66,66,66,66,66,66,66,66,66,66,66,11,66,66,19,1,66,13,18,66,66,66,66,6,66,66,66,66,66,7,66,66,9,66,66,66,66,15,10,66,,
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,66,66,66,,
53,51,5,56,52,27,36,2,35,25,10,1,44,39,28,23,43,47,25,19,18,38,4,8,37,26,21,15,45,50,41,20,35,34,31,32,50,7,54,50,24,9,55,17,14,40,49,50,25,13,33,46,22,20,20,3,40,42,12,48,25,29,30,6,11,16,,
66,66,4,66,66,66,66,1,66,12,10,11,66,66,66,66,66,66,66,66,66,66,3,66,66,66,14,66,66,66,66,66,66,66,66,66,66,7,66,66,66,9,66,66,66,66,66,66,66,66,66,66,66,66,6,5,66,66,2,66,66,66,13,66,8,66,,
66,66,5,66,31,17,66,1,66,21,10,2,41,36,36,36,31,66,26,41,15,66,3,12,66,17,17,21,66,66,36,26,26,66,31,26,66,8,66,66,21,6,66,17,12,66,31,66,66,12,41,66,21,21,8,4,31,66,11,41,41,41,26,15,7,36,,
Skipped,Skipped,9,Skipped,45,14,Skipped,2,44,27,7,1,Skipped,43,Skipped,42,21,Skipped,34,30,39,Skipped,3,12,Skipped,Skipped,17,36,Skipped,Skipped,10,22,Skipped,41,Skipped,26,Skipped,19,Skipped,33,18,6,29,Skipped,13,Skipped,35,Skipped,Skipped,11,20,Skipped,23,24,5,8,32,37,25,38,31,28,15,16,4,40,,
65,9,5,30,65,65,65,2,65,65,22,3,65,50,65,65,65,18,17,65,65,65,6,4,65,11,65,65,65,25,65,65,65,65,7,65,25,65,65,65,40,1,10,21,65,65,65,65,65,16,65,65,65,65,65,15,65,65,19,13,65,65,65,8,12,20,,
37,Skipped,2,Skipped,48,19,52,5,40,27,9,6,51,Skipped,29,36,42,46,33,15,18,53,1,17,45,24,28,56,38,Skipped,30,54,Skipped,55,44,47,50,10,Skipped,Skipped,26,3,Skipped,11,12,49,22,Skipped,32,16,35,Skipped,31,20,13,4,34,39,7,43,21,23,41,14,8,25,,
42,46,4,45,42,25,29,1,43,35,8,6,45,26,30,28,37,45,23,20,16,32,2,12,44,24,19,45,47,43,43,40,41,44,27,42,41,9,44,44,21,3,44,17,13,45,35,33,34,7,31,48,38,15,18,5,41,46,11,36,39,43,41,14,10,22,,
66,66,5,66,66,66,66,2,66,66,6,3,66,66,66,66,66,66,66,66,66,66,1,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,4,66,66,66,66,66,66,66,66,Skipped,66,66,66,66,7,66,66,66,66,66,66,66,66,66,66,,
53,65,5,39,47,22,35,3,45,29,7,2,49,30,64,31,43,55,24,18,15,51,4,16,54,27,20,34,56,38,40,23,37,59,21,42,55,8,50,51,28,1,62,17,14,61,32,66,33,13,36,63,25,26,11,6,52,60,9,48,44,46,41,12,10,19,,
22,25,6,13,30,44,41,2,51,56,9,1,55,23,47,39,32,39,59,43,35,36,3,11,23,63,37,28,46,61,17,8,64,52,12,19,16,51,62,25,65,23,60,55,5,45,42,21,38,7,58,66,10,45,34,20,14,51,40,18,51,55,57,4,27,15,,
47,60,5,65,12,28,58,1,34,17,22,8,53,23,31,51,36,41,32,54,25,37,3,14,48,30,55,57,56,66,39,49,42,61,26,15,46,21,33,44,18,6,62,13,11,63,16,43,59,7,38,64,50,19,4,10,20,35,27,24,52,29,45,9,2,40,,
47,47,5,32,52,54,23,2,65,27,6,3,26,31,52,60,52,61,24,14,11,29,1,13,53,22,12,17,63,39,37,30,38,63,19,25,32,9,47,47,15,4,37,10,13,66,52,48,18,8,64,Skipped,20,16,54,4,28,63,7,54,66,64,41,37,52,21,,
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,2,66,66,66,66,66,66,66,1,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,
66,66,19,66,66,66,66,1,66,66,20,7,66,56,66,56,66,66,64,66,18,66,3,12,66,66,31,52,66,66,50,40,66,66,64,20,64,20,66,66,63,2,55,6,30,65,66,66,64,51,63,66,55,17,25,12,60,66,14,60,48,48,66,48,8,66,,
61,58,7,51,34,44,60,3,43,18,6,2,46,37,47,45,41,36,19,30,13,50,1,14,42,27,40,33,35,38,24,38,16,62,22,28,56,11,59,63,21,5,53,12,10,55,31,57,26,20,38,64,25,32,23,4,48,52,9,49,15,39,54,17,8,29,,
66,66,3,66,20,35,65,1,37,25,8,6,66,17,66,38,23,66,26,16,12,66,5,13,44,19,14,51,33,66,42,66,66,41,38,66,66,15,32,43,30,7,66,21,12,39,31,66,36,9,29,66,27,22,18,2,66,66,10,34,28,24,40,11,4,45,,
51,Skipped,4,24,43,21,47,2,44,20,7,3,Skipped,28,61,34,40,Skipped,30,31,15,55,1,12,41,35,17,58,Skipped,Skipped,42,52,38,Skipped,32,37,26,9,Skipped,53,36,6,56,23,13,48,50,Skipped,Skipped,11,25,Skipped,18,22,14,5,37,59,8,27,39,29,19,16,10,49,,
42,53,9,Skipped,35,22,56,2,42,24,9,3,48,48,19,53,17,56,27,15,14,40,1,14,Skipped,20,13,27,35,Skipped,25,14,66,51,25,27,65,11,Skipped,39,17,3,56,16,14,44,26,45,36,10,49,63,54,24,13,1,50,22,10,33,36,39,27,8,6,30,,
44,64,7,66,42,9,36,1,28,12,18,4,62,35,63,50,34,56,23,48,12,46,3,12,43,25,19,57,49,26,39,40,31,41,65,29,27,6,59,61,30,2,37,21,20,56,38,60,46,10,33,51,50,24,15,5,32,58,16,46,56,17,22,14,8,56,,
60,66,6,56,52,11,36,1,35,38,7,3,40,25,61,30,44,62,23,29,16,49,2,14,54,19,18,53,58,55,33,57,43,59,42,41,63,9,65,24,48,5,47,22,13,45,37,64,39,12,51,50,21,20,15,8,27,34,4,31,32,28,46,17,10,26,,
52,66,9,63,51,18,47,7,48,35,11,8,44,40,42,26,31,37,49,23,13,43,1,16,45,32,10,59,30,53,25,54,55,21,41,24,57,19,20,61,27,2,62,6,15,34,33,64,50,17,39,65,28,38,12,4,36,58,5,29,22,46,56,14,3,60,,
66,66,3,66,66,9,66,1,33,43,10,2,66,19,45,39,44,66,24,29,14,66,5,15,66,17,21,66,66,66,37,66,18,66,20,51,66,7,66,66,20,5,66,12,14,66,25,66,66,10,66,66,66,66,16,2,26,66,13,66,66,23,66,22,8,66,,
20,Skipped,4,29,Skipped,29,Skipped,6,Skipped,8,2,3,38,19,Skipped,Skipped,Skipped,Skipped,21,20,5,Skipped,2,Skipped,Skipped,10,Skipped,Skipped,Skipped,30,Skipped,Skipped,28,31,22,19,Skipped,Skipped,40,28,Skipped,7,Skipped,10,4,45,22,Skipped,Skipped,3,Skipped,Skipped,20,Skipped,Skipped,3,19,Skipped,Skipped,Skipped,Skipped,15,18,7,2,Skipped,,
Skipped,48,4,Skipped,24,25,Skipped,2,30,27,6,9,Skipped,45,26,29,46,35,31,28,18,41,1,7,50,22,19,44,Skipped,51,38,42,47,37,36,40,Skipped,14,Skipped,Skipped,21,3,Skipped,16,14,49,20,Skipped,43,8,52,Skipped,34,23,17,5,Skipped,Skipped,10,39,42,32,33,11,13,12,,
61,65,3,40,62,15,54,1,45,23,9,6,53,46,44,39,47,30,22,18,16,32,4,12,56,17,26,42,50,55,38,36,33,64,21,31,57,8,52,51,27,5,58,20,19,63,35,59,29,10,48,60,25,28,13,2,24,66,11,37,41,49,34,14,7,43,,
66,66,6,66,66,66,66,3,66,14,8,2,66,66,66,66,66,66,66,66,18,66,1,22,66,66,12,66,66,66,66,66,66,17,66,66,66,10,66,66,66,7,66,11,19,66,66,66,66,21,66,66,66,66,5,4,66,66,9,15,66,66,66,20,13,16,,
33,43,4,66,14,12,59,2,41,27,8,17,60,44,44,21,42,66,7,65,18,66,6,5,66,21,16,55,66,42,22,33,30,35,20,39,29,15,66,33,46,1,11,19,25,38,13,62,66,10,22,66,19,66,15,3,55,63,22,66,23,14,31,9,11,24,,
Skipped,Skipped,5,Skipped,17,Skipped,Skipped,3,42,Skipped,19,6,43,27,25,39,36,44,30,22,21,37,1,13,Skipped,26,20,Skipped,Skipped,Skipped,34,33,Skipped,Skipped,29,35,Skipped,8,Skipped,Skipped,31,2,Skipped,9,12,Skipped,45,Skipped,38,15,28,Skipped,40,18,16,4,32,Skipped,10,24,41,23,Skipped,11,7,14,,
66,66,6,45,66,27,31,1,28,16,14,2,42,32,43,25,66,66,25,24,15,41,3,13,39,17,22,24,42,66,36,35,46,66,26,33,45,8,45,47,21,4,66,20,12,43,66,66,42,10,40,66,19,22,18,5,36,66,9,41,29,23,42,11,7,30,,
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,
66,39,5,66,66,66,66,1,35,66,12,3,66,31,22,66,35,66,23,19,17,66,3,7,66,29,14,39,66,66,45,66,36,41,24,36,28,11,66,40,21,2,66,16,13,66,42,66,66,14,66,66,43,15,22,5,37,66,9,66,38,27,42,15,17,40,,
66,66,13,66,66,30,40,4,34,66,25,8,66,66,66,21,66,66,27,19,6,66,2,16,38,14,7,66,66,37,66,66,66,36,66,66,66,11,66,24,28,1,66,17,15,33,39,66,23,26,66,66,20,18,22,9,29,66,3,66,31,35,10,12,5,32,,
64,61,6,60,49,17,46,1,26,32,8,2,45,42,36,44,48,37,29,18,9,57,3,16,59,15,20,53,62,51,39,47,35,56,30,50,54,11,63,55,41,4,34,10,14,58,22,65,47,12,31,38,52,25,24,7,40,27,13,21,28,33,43,23,5,19,,
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,
Skipped,Skipped,11,Skipped,26,20,Skipped,3,Skipped,22,Skipped,2,46,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,17,Skipped,1,9,Skipped,Skipped,Skipped,49,Skipped,Skipped,Skipped,Skipped,Skipped,39,33,Skipped,Skipped,17,Skipped,Skipped,Skipped,3,Skipped,Skipped,8,Skipped,25,Skipped,Skipped,11,Skipped,Skipped,Skipped,47,10,5,Skipped,Skipped,6,64,39,Skipped,Skipped,10,15,Skipped,,
66,66,3,66,66,19,66,2,30,28,8,4,66,25,66,66,66,66,17,15,66,66,1,12,66,28,66,32,66,66,66,25,66,66,21,66,66,11,66,32,27,5,66,14,10,66,66,66,66,15,66,23,66,20,17,6,66,66,7,66,22,30,66,13,9,24,,
43,54,8,64,59,26,41,2,46,24,5,1,50,42,49,38,27,58,28,32,14,20,6,11,48,21,17,23,36,25,35,53,52,47,30,61,56,13,57,44,31,7,65,16,12,66,29,63,60,15,51,55,37,18,9,10,33,39,3,45,62,40,22,19,4,34,,
63,44,7,35,31,41,47,2,61,33,11,4,46,24,19,45,40,58,28,48,17,60,1,16,52,38,39,57,54,23,32,37,25,62,20,43,29,6,49,51,42,3,26,15,9,59,34,65,53,10,27,66,55,50,14,5,21,64,12,30,18,56,22,8,13,36,,
Skipped,Skipped,5,Skipped,Skipped,9,Skipped,2,Skipped,Skipped,Skipped,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,13,Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,Skipped,13,3,Skipped,Skipped,10,Skipped,14,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,9,3,Skipped,Skipped,10,Skipped,Skipped,Skipped,Skipped,12,8,Skipped,,
55,64,6,42,65,21,50,1,56,30,10,1,50,27,35,50,35,50,20,19,15,54,1,10,59,25,16,38,37,65,23,42,57,35,26,31,39,8,66,60,24,5,65,19,15,50,52,59,50,12,42,66,28,32,19,4,50,36,7,29,50,54,23,11,13,43,,
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,
66,66,66,66,66,66,66,3,66,66,66,2,66,66,66,66,66,66,66,66,66,66,2,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,,
66,66,1,66,66,66,66,7,66,3,66,66,66,66,66,66,66,66,66,66,66,66,6,66,66,12,66,66,66,66,66,8,5,66,13,66,66,66,66,66,10,66,66,66,66,66,66,66,66,66,66,66,66,66,11,2,66,66,66,66,66,66,4,9,66,66,,
66,66,4,66,66,16,66,2,66,66,8,6,66,66,66,66,66,66,66,66,12,66,1,14,66,66,66,66,66,66,66,66,66,66,66,66,66,10,66,66,66,66,66,66,17,66,66,66,66,13,66,66,66,66,15,3,66,66,9,66,66,66,66,11,7,66,,
Skipped,Skipped,7,Skipped,15,13,Skipped,2,Skipped,Skipped,8,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,16,Skipped,1,12,Skipped,Skipped,17,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,19,Skipped,Skipped,14,Skipped,Skipped,20,Skipped,Skipped,Skipped,11,9,6,Skipped,Skipped,10,Skipped,Skipped,18,Skipped,Skipped,4,Skipped,,
58,54,1,48,44,42,47,4,52,38,8,2,57,21,40,45,51,55,26,18,17,66,5,15,61,22,25,19,59,53,36,27,41,56,34,20,35,6,65,63,28,7,66,9,10,62,43,64,29,14,37,60,23,30,11,3,49,66,13,50,24,31,39,16,12,46,,
