rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,Num Cands,Num Seats
61,61,61,61,61,61,61,61,61,61,61,2,61,4,1,61,61,5,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,3,61,61,61,61,61,61,61,61,,
61,61,1,61,61,1,61,61,61,61,61,1,61,61,61,61,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,,
34,10,58,55,6,44,46,8,27,18,32,31,15,28,25,5,49,56,43,11,20,12,42,37,23,24,52,36,13,16,35,39,21,59,60,19,3,30,26,14,51,17,38,9,40,2,7,53,41,4,47,48,1,57,29,54,45,33,22,61,50,,
37,39,56,42,6,36,27,31,41,8,44,35,33,24,22,3,58,53,21,54,5,25,34,49,9,48,59,29,20,11,14,12,40,28,52,30,15,51,13,17,60,10,23,7,26,1,45,46,55,16,18,50,2,43,38,47,32,19,4,61,57,,
27,9,43,54,8,40,38,7,22,6,46,16,32,44,17,20,58,55,24,12,10,37,30,25,19,41,39,18,14,21,33,49,15,47,60,45,13,28,26,23,53,35,11,1,36,4,5,57,51,3,48,52,2,50,34,59,42,31,29,61,56,,
41,44,52,57,12,40,46,16,14,8,48,25,28,38,27,26,51,45,29,20,5,24,22,50,15,49,47,42,18,13,33,35,43,55,60,37,3,17,7,34,54,23,10,1,11,2,6,53,56,9,30,32,4,36,31,59,58,21,19,61,39,,
19,36,56,47,54,40,41,32,51,6,50,32,38,Skipped,24,33,58,44,27,45,28,29,53,55,Skipped,39,36,32,35,2,27,60,Skipped,49,57,46,32,30,12,34,59,25,Skipped,9,Skipped,1,44,14,Skipped,10,44,48,4,31,52,26,43,28,20,61,58,,
61,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,
Skipped,19,35,8,Skipped,Skipped,27,Skipped,24,Skipped,31,25,28,18,30,17,34,37,5,23,6,13,Skipped,33,2,39,Skipped,16,40,Skipped,Skipped,22,12,Skipped,20,11,Skipped,Skipped,3,32,Skipped,7,Skipped,14,Skipped,1,15,Skipped,36,26,10,38,9,Skipped,29,Skipped,Skipped,4,Skipped,Skipped,21,,
Skipped,12,55,Skipped,Skipped,59,40,Skipped,Skipped,11,53,34,38,45,50,51,58,Skipped,39,42,Skipped,3,Skipped,Skipped,Skipped,54,Skipped,35,49,2,Skipped,Skipped,47,Skipped,41,36,1,9,8,44,52,10,Skipped,4,Skipped,7,Skipped,Skipped,56,13,37,60,43,5,48,57,Skipped,6,Skipped,61,Skipped,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,61,61,61,,
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,
27,38,45,57,10,51,47,19,34,7,36,33,25,40,28,16,60,44,30,15,4,22,24,29,23,31,50,42,14,12,35,41,9,49,59,43,8,32,13,18,52,17,5,6,20,2,11,46,53,1,56,58,3,39,26,55,48,21,37,61,54,,
32,16,39,50,13,45,37,15,38,18,22,31,23,41,25,6,56,57,20,21,8,44,54,19,34,29,42,26,4,17,40,49,35,48,58,36,10,30,7,24,51,11,14,2,9,1,12,43,59,5,55,60,3,52,46,47,28,27,33,61,53,,
36,34,57,56,13,46,44,9,28,20,52,32,23,40,22,21,59,50,33,25,2,27,8,26,16,45,41,42,11,12,30,43,17,58,60,39,6,38,10,18,47,37,3,5,19,1,7,51,53,15,49,54,4,29,31,48,35,24,14,61,55,,
29,24,59,44,38,40,45,28,25,13,23,12,7,60,18,34,58,33,31,16,20,42,51,53,48,46,56,26,30,10,36,32,11,55,27,47,3,19,6,37,57,35,5,4,41,1,8,17,54,9,14,39,2,52,15,43,50,22,21,61,49,,
