rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,Num Cands,Num Seats
79,79,7,79,79,2,79,1,1,79,79,3,79,79,79,2,5,79,10,8,10,79,79,79,79,2,79,79,79,79,79,79,79,7,9,79,79,79,79,79,79,79,3,9,79,79,Skipped,79,79,79,79,79,79,79,79,79,79,79,79,7,79,79,79,79,79,79,79,79,4,79,6,79,79,79,79,79,79,79,4,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,4,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,,
75,75,75,6,75,78,75,76,75,75,75,75,75,75,75,75,10,75,75,7,75,75,75,75,75,75,75,75,75,75,75,75,75,75,2,75,75,75,75,75,75,75,79,77,75,75,1,75,75,75,75,75,75,75,75,75,75,75,75,8,75,75,8,75,75,75,75,75,75,75,9,75,75,75,75,4,75,75,5,,
79,79,1,79,79,7,79,79,79,79,79,8,79,79,79,79,5,79,79,79,4,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,9,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,6,79,79,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,3,79,79,79,79,79,79,79,79,4,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,4,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,,
79,79,9,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,8,79,8,79,8,79,79,79,79,79,79,79,79,8,79,79,8,18,79,79,79,79,79,79,79,18,79,79,79,79,18,1,79,79,79,18,79,79,79,8,2,18,79,79,79,79,79,79,79,79,18,79,79,79,79,79,18,79,79,8,79,79,18,79,79,79,79,18,79,79,79,79,79,79,79,19,,
79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,6,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,7,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,79,79,79,79,79,79,79,4,,
79,79,8,79,79,79,79,6,1,79,79,79,79,79,79,79,79,79,11,79,79,79,79,79,Skipped,7,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,4,79,79,79,79,79,79,79,10,79,5,79,79,79,79,3,79,79,79,,
79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,Skipped,79,79,79,7,79,79,79,79,79,79,79,79,79,79,79,79,79,4,79,79,79,79,79,79,79,79,79,5,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,34,1,79,29,79,79,79,79,79,79,,
79,37,37,37,37,37,79,37,79,37,37,37,79,79,79,79,37,79,79,37,37,79,79,37,4,79,79,79,37,79,79,79,79,37,5,37,79,37,37,79,79,79,37,37,37,79,37,37,37,37,79,37,37,37,79,2,79,79,79,37,79,79,37,79,79,37,37,37,79,79,37,79,1,79,3,79,79,79,37,,
79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,5,79,4,79,79,79,5,79,79,79,79,,
79,79,79,79,4,79,79,79,79,79,79,79,79,79,16,79,79,79,79,79,79,79,79,79,4,2,79,79,79,79,79,79,79,33,79,79,79,79,79,79,79,79,79,79,79,79,7,79,79,3,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,3,79,79,79,5,,
79,79,79,79,79,79,79,79,2,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,4,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
74,74,74,74,74,1,74,3,74,74,74,74,74,74,74,74,74,74,74,74,74,74,79,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,2,4,74,79,74,74,74,74,74,74,74,74,74,74,74,74,74,74,75,74,74,79,79,74,74,74,74,74,74,74,74,74,74,74,74,74,74,,
79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,5,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,4,79,79,79,79,79,79,79,2,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,1,79,4,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,3,5,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
74,74,7,74,74,74,74,6,4,74,74,74,74,74,74,74,74,74,74,74,1,74,79,74,74,74,3,74,74,74,74,74,74,74,8,74,74,74,74,74,74,74,74,74,74,79,74,74,74,74,74,74,74,74,74,74,74,74,74,74,79,74,74,79,5,74,74,74,74,74,2,74,74,74,12,9,74,74,74,,
79,52,52,52,52,52,79,52,79,52,52,52,52,52,79,79,52,79,79,52,52,52,79,52,52,52,52,52,52,79,79,79,79,52,52,52,79,52,52,52,52,79,79,70,52,79,52,52,52,52,79,52,52,52,79,52,1,79,79,52,79,79,52,79,79,52,52,52,52,52,78,52,52,79,79,52,52,79,69,,
79,79,79,79,10,10,79,9,4,79,79,2,79,79,79,79,6,79,79,11,10,79,79,79,9,10,79,79,79,79,79,79,79,79,9,79,79,79,79,79,79,79,5,12,8,79,1,79,79,79,79,79,79,79,79,79,79,79,11,79,79,79,79,79,79,79,79,79,13,79,2,79,79,79,79,79,79,79,7,,
79,79,5,79,79,4,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,8,79,79,79,4,79,79,79,79,79,79,79,79,79,79,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
68,31,4,31,68,31,68,31,68,31,31,5,68,68,79,1,31,68,68,31,2,68,79,31,68,68,68,68,31,68,68,79,68,31,31,68,68,68,31,68,68,68,31,31,31,79,4,31,31,31,68,68,31,31,68,31,68,79,69,31,79,68,31,79,79,31,31,31,68,68,2,68,68,79,68,68,68,68,31,,
62,35,35,35,35,3,67,3,62,35,35,35,62,62,79,79,35,67,62,4,35,62,79,35,62,62,62,62,35,62,62,79,62,35,35,35,67,62,35,62,62,62,35,3,35,79,62,35,35,35,62,35,35,35,62,35,67,79,79,35,79,79,35,79,63,35,35,35,62,62,35,62,36,79,62,62,62,67,1,,
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,,
79,79,4,79,79,31,79,11,79,79,79,79,79,79,79,79,10,79,79,79,3,79,9,79,5,7,79,8,78,79,79,79,79,79,12,79,79,79,79,79,79,79,79,13,79,79,79,79,79,79,79,79,79,14,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,79,1,79,79,79,79,79,6,,
79,24,38,10,33,7,79,6,79,29,29,33,38,50,79,79,3,79,79,10,15,50,79,24,50,50,50,50,19,54,54,79,79,19,2,38,79,38,15,50,50,79,10,5,19,79,38,29,24,29,79,33,33,15,79,24,79,79,79,15,79,79,12,79,79,19,29,24,50,50,1,50,50,4,79,54,54,79,10,,
79,79,79,13,79,2,79,5,79,79,79,79,79,79,79,79,8,79,79,7,16,79,79,79,79,79,79,79,79,79,79,79,79,79,1,79,79,79,15,79,79,79,9,6,79,79,4,79,79,79,79,79,79,13,79,79,79,79,79,13,79,79,13,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,13,,
79,79,79,79,79,1,79,79,6,79,79,79,79,79,79,79,79,79,79,79,79,79,7,79,79,79,79,79,79,79,79,79,79,79,3,79,79,79,79,79,79,79,79,79,79,79,4,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,2,,
79,30,38,30,33,30,79,30,79,30,30,33,38,79,79,79,30,79,79,30,30,43,79,30,79,43,79,43,30,79,79,79,79,30,30,38,79,38,30,79,79,79,30,30,30,79,38,30,30,30,79,33,30,30,79,30,79,79,79,30,79,79,30,79,79,30,30,30,79,1,30,43,43,79,79,79,79,79,30,,
