rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,Num Cands,Num Seats
48,48,48,6,48,9,48,48,48,4,48,48,48,48,48,48,48,48,10,48,48,48,7,48,48,48,48,48,5,48,48,48,3,48,8,48,2,48,48,1,48,48,48,48,48,48,48,48,,
48,48,16,11,48,15,48,5,7,1,15,16,6,10,48,5,48,17,6,15,48,7,48,9,48,16,14,16,1,4,4,14,13,17,48,15,3,48,48,2,8,12,9,8,48,5,15,48,,
25,12,13,5,40,8,15,5,26,1,46,14,12,9,13,13,18,48,43,16,25,23,13,32,8,18,7,48,3,21,9,14,3,48,36,45,2,21,4,14,10,12,5,20,42,29,20,23,,
38,38,38,38,38,5,38,41,38,38,38,38,39,38,38,38,38,3,38,43,38,40,38,38,38,38,1,46,38,45,38,48,38,47,38,38,4,38,38,2,38,42,38,38,38,38,44,38,,
48,48,48,48,48,27,48,48,48,10,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,48,48,48,48,48,48,48,48,48,4,48,48,1,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
Skipped,17,21,9,10,4,17,22,Skipped,1,Skipped,Skipped,20,Skipped,19,25,48,43,13,Skipped,Skipped,Skipped,17,15,14,16,47,44,3,Skipped,24,45,6,46,12,Skipped,2,Skipped,27,5,7,8,Skipped,Skipped,Skipped,26,23,11,,
45,45,45,45,45,45,45,45,45,Skipped,45,45,36,45,Skipped,45,45,45,45,45,45,45,45,45,45,46,20,45,45,45,45,47,1,45,45,45,Skipped,45,45,2,45,45,45,45,48,45,45,45,,
21,22,10,20,22,1,21,22,22,1,21,20,20,10,20,20,20,48,20,22,22,21,21,20,21,20,21,21,10,20,20,1,1,20,22,21,10,21,22,21,20,1,21,1,21,20,20,20,,
48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,4,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,3,48,48,2,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
37,23,19,8,21,5,27,33,48,1,48,14,12,11,26,32,22,25,7,13,24,48,18,48,28,15,31,26,10,48,30,25,6,25,20,17,2,9,34,3,48,4,29,35,48,36,16,21,,
40,47,40,40,46,3,40,40,46,5,47,40,40,40,40,40,25,40,40,42,40,40,40,40,40,40,15,41,4,48,40,44,40,40,40,40,2,40,40,1,40,40,40,40,45,40,43,40,,
20,48,48,15,48,8,48,12,48,1,48,48,13,10,48,10,48,8,11,13,48,5,48,48,16,48,48,48,6,48,15,4,9,48,48,48,2,48,48,3,18,14,48,48,48,15,7,48,,
42,22,38,6,28,10,27,48,26,3,46,13,11,9,20,31,37,12,8,21,41,39,18,43,17,24,23,25,15,7,40,16,4,29,32,36,2,44,47,1,45,5,34,33,35,14,19,30,,
48,48,48,48,48,4,48,48,48,2,48,48,7,48,48,48,48,8,48,48,48,48,48,48,48,9,48,48,48,48,48,5,6,48,48,48,3,48,48,1,48,48,48,48,48,48,48,48,,
48,10,48,7,48,2,3,48,48,48,48,48,5,48,8,48,48,48,4,48,48,48,48,48,6,48,48,48,11,48,48,48,48,48,9,48,1,48,48,48,48,48,48,48,48,48,48,48,,
45,45,45,45,45,45,3,45,45,2,45,45,45,45,45,46,47,45,45,45,45,45,45,45,45,45,45,4,45,45,45,45,45,48,45,45,1,45,45,45,45,45,45,45,45,45,45,45,,
48,48,48,48,48,6,48,48,7,1,30,5,46,48,48,48,39,48,42,48,48,37,48,48,44,48,48,48,4,45,48,48,48,48,48,48,3,41,48,2,48,48,35,48,48,48,44,48,,
48,46,5,46,46,45,46,46,45,7,45,44,41,8,48,48,45,44,2,Skipped,46,43,11,48,39,46,6,42,4,43,44,47,44,46,46,10,Skipped,43,46,3,45,46,45,40,9,48,43,1,,
Skipped,Skipped,Skipped,3,Skipped,7,Skipped,Skipped,Skipped,5,Skipped,16,12,5,Skipped,Skipped,Skipped,8,11,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,6,Skipped,14,18,2,Skipped,Skipped,Skipped,10,13,Skipped,1,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,17,,
41,41,41,41,44,41,1,41,41,41,41,41,41,41,41,47,48,41,41,41,43,41,41,41,46,41,41,5,41,41,41,41,41,45,42,41,41,41,41,41,41,41,41,41,41,41,41,41,,
Skipped,46,5,45,33,6,45,33,37,2,Skipped,15,19,3,17,20,38,13,16,Skipped,35,Skipped,12,Skipped,41,33,11,34,1,Skipped,21,39,7,48,44,14,8,40,33,4,33,10,39,18,36,Skipped,27,9,,
48,48,48,48,48,48,48,48,48,9,48,48,31,48,48,48,48,48,48,48,48,48,48,48,48,25,30,48,48,48,48,48,48,48,48,48,2,48,48,1,48,48,48,48,48,48,48,48,,
39,39,39,39,40,39,1,39,39,39,39,39,39,39,39,39,48,39,3,39,41,39,39,39,46,39,39,30,39,39,44,39,39,45,42,43,2,39,39,39,39,39,47,39,39,39,39,39,,
36,8,9,11,14,3,17,31,47,2,43,16,21,28,32,40,30,13,22,6,19,46,12,44,23,20,24,38,26,42,37,7,10,27,15,39,1,34,29,5,45,18,35,33,41,48,24,4,,
48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,4,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2,48,48,3,48,48,48,48,48,48,48,48,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
Skipped,12,10,9,18,5,23,Skipped,Skipped,2,Skipped,11,31,8,Skipped,28,Skipped,21,19,15,16,Skipped,20,Skipped,30,14,22,27,Skipped,Skipped,Skipped,13,3,26,29,33,1,32,Skipped,4,25,6,Skipped,24,Skipped,Skipped,17,7,,
6,48,48,48,48,48,48,48,48,3,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,5,48,48,48,48,48,48,48,1,48,48,48,48,48,2,4,48,48,48,48,,
45,45,31,45,45,1,Skipped,45,Skipped,4,45,45,45,45,45,45,Skipped,45,45,44,45,Skipped,45,45,45,Skipped,25,45,5,45,45,48,45,47,45,45,3,45,45,2,45,45,Skipped,43,45,45,46,45,,
48,48,48,48,48,7,48,48,48,2,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,4,48,48,48,1,48,48,3,48,6,48,48,48,48,48,5,,
48,43,5,46,46,45,46,46,45,7,45,44,41,8,48,48,2,44,48,Skipped,46,43,11,48,39,43,17,42,4,43,44,45,44,46,46,10,Skipped,43,46,3,1,34,45,40,9,48,43,19,,
48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
48,48,48,26,18,13,48,48,48,5,8,3,11,25,48,48,10,16,20,19,15,48,48,48,48,17,23,48,7,48,48,22,9,21,48,14,1,24,48,2,48,6,48,48,12,48,48,4,,
48,48,12,7,19,6,48,48,48,1,48,15,16,13,48,48,48,48,11,20,48,48,18,48,48,48,9,48,4,48,48,10,5,17,48,48,2,48,48,3,48,8,48,48,48,48,12,14,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,47,46,48,48,48,48,48,48,48,48,48,31,48,48,1,48,48,48,48,48,48,48,48,,
46,46,46,46,46,46,2,46,46,46,46,46,46,46,46,47,48,46,46,46,46,46,46,46,46,46,46,20,46,46,46,46,46,46,46,46,1,46,46,46,46,46,46,46,46,46,46,46,,
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,2,48,48,48,48,1,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,,
Skipped,15,10,6,10,4,10,Skipped,Skipped,2,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,3,15,6,15,Skipped,11,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,11,3,48,15,Skipped,2,15,Skipped,1,Skipped,6,Skipped,Skipped,Skipped,Skipped,6,5,,
48,48,48,48,48,6,48,48,48,1,48,14,48,48,48,48,48,48,48,48,48,48,12,48,48,10,48,48,7,48,48,48,1,48,48,48,3,48,48,2,48,11,48,48,48,48,48,3,,
