rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,rank111,rank112,rank113,Num Cands,Num Seats
112,112,112,112,112,111,112,112,113,112,112,112,112,112,20,113,1,112,112,113,96,112,112,98,112,112,112,17,112,112,113,112,97,56,15,112,113,112,112,112,112,112,112,14,112,112,112,16,112,112,112,112,112,112,112,112,112,112,112,112,112,112,1,112,112,113,112,113,112,112,112,112,112,13,19,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,113,112,112,112,1,112,112,112,112,12,18,113,112,112,112,112,112,112,111,112,112,112,112,,
20,113,113,113,30,2,113,113,113,113,113,113,113,113,113,113,20,113,113,113,113,113,113,113,9,113,113,113,113,113,113,113,8,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,15,113,113,113,113,113,113,113,113,113,113,113,113,113,,
93,18,98,104,89,76,109,102,19,111,90,64,67,51,94,12,57,31,84,72,48,10,8,34,3,59,32,23,27,79,53,106,28,39,7,44,63,83,50,113,33,97,108,52,11,22,92,70,35,75,82,41,24,69,99,45,30,15,9,100,6,2,1,78,107,5,96,54,103,112,42,66,65,25,95,13,17,105,61,37,110,29,71,20,73,62,55,81,43,85,36,47,49,86,56,46,60,74,77,40,38,80,87,88,21,101,26,4,68,58,16,91,14,,
113,1,113,113,113,113,113,113,113,113,113,113,113,113,11,113,7,113,113,113,113,113,113,113,113,7,113,113,7,113,113,113,7,1,10,113,113,113,113,113,8,113,113,8,113,6,113,113,113,113,113,7,113,113,113,113,113,113,113,113,113,13,1,113,113,20,113,113,113,113,7,113,113,113,113,113,113,113,113,9,113,113,113,113,113,113,113,113,7,113,113,113,113,113,7,113,7,8,113,113,1,113,113,113,113,113,113,7,1,7,113,113,13,,
40,113,113,50,113,113,113,113,113,113,113,113,113,113,10,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,30,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,1,113,113,4,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,104,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,104,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,1,113,1,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,1,113,113,113,113,113,113,1,113,1,113,113,113,113,113,1,113,113,113,113,1,113,113,1,113,113,113,113,113,1,113,113,113,113,113,113,1,113,113,1,113,113,1,113,113,113,113,1,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,1,113,1,1,113,113,113,113,1,113,113,113,113,113,113,113,113,113,1,113,113,1,113,113,,
4,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,9,113,113,113,4,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,6,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,22,113,113,8,113,113,113,113,113,113,113,113,113,113,113,25,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,7,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,30,113,113,113,1,113,113,113,113,,
113,39,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,106,113,113,113,113,113,113,113,113,113,62,113,113,113,113,100,113,113,113,113,113,113,113,113,113,113,91,113,113,113,113,113,113,113,113,113,113,113,20,113,113,113,113,112,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,109,113,113,113,113,113,113,103,113,113,113,113,100,113,1,113,113,113,113,113,113,113,113,103,113,113,113,113,,
5,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,6,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,7,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
110,106,111,110,110,107,110,110,110,110,110,107,112,112,107,107,107,110,110,113,111,113,107,111,107,107,112,107,107,109,107,110,107,111,111,112,107,110,113,110,111,111,113,107,110,111,110,107,107,107,110,107,107,113,107,107,113,107,111,113,108,107,107,107,113,111,112,107,110,110,106,109,111,111,107,110,110,110,108,107,110,110,107,113,111,108,110,110,107,110,112,112,112,110,107,112,107,107,110,107,111,110,110,110,107,113,112,107,107,106,111,110,107,,
113,107,98,113,113,111,113,113,113,113,113,113,111,104,92,1,112,113,113,109,109,113,1,1,113,112,111,96,112,113,104,113,112,1,94,111,113,113,104,113,1,110,113,106,113,1,113,105,1,111,113,112,102,111,95,111,113,1,110,111,113,100,103,102,113,1,97,1,113,113,112,113,113,1,91,1,113,113,113,1,113,113,101,111,98,113,113,113,112,113,93,107,110,113,112,108,112,111,113,99,1,113,113,113,1,113,1,112,111,112,111,113,1,,
113,5,113,113,113,6,113,113,8,113,113,113,113,113,12,113,113,4,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,12,3,113,113,113,113,10,113,113,11,113,113,113,113,113,113,9,113,113,113,113,11,113,113,113,113,113,113,113,113,113,113,7,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,4,1,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,32,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,35,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,35,113,113,113,113,35,113,35,113,113,113,113,113,113,113,113,113,113,36,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,35,35,113,113,113,113,113,113,113,113,113,113,113,113,113,113,35,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,8,113,113,7,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,6,113,113,113,113,113,113,113,10,113,113,113,113,113,113,113,113,4,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,9,113,113,113,113,113,113,113,5,113,113,113,113,,
103,96,103,103,103,106,103,103,101,103,103,103,107,111,1,103,103,103,103,108,103,103,112,103,103,103,105,103,103,103,103,103,103,103,103,104,103,103,111,103,103,98,103,103,103,103,103,103,103,105,103,103,103,107,97,99,103,103,103,104,100,113,103,103,103,3,103,103,103,103,103,103,103,108,2,103,103,103,100,102,103,103,112,107,103,103,103,103,103,103,103,103,103,103,103,109,103,103,103,95,7,103,103,103,110,103,103,103,103,103,105,103,113,,
5,113,113,113,113,113,113,20,113,15,113,3,113,113,113,113,10,2,113,113,113,4,113,113,113,113,113,113,113,10,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,10,113,113,113,113,113,113,113,10,113,12,113,113,10,113,113,7,113,20,113,113,113,8,113,113,113,113,113,10,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,113,113,5,113,113,113,113,113,113,113,113,113,113,113,,
111,111,111,111,111,111,111,111,111,111,111,111,111,111,2,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,3,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,1,111,111,111,111,111,111,111,111,111,112,111,111,111,111,111,111,111,111,4,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,113,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,,
113,113,113,113,113,113,113,113,17,113,113,113,113,113,113,113,60,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,113,113,113,113,113,113,113,113,12,113,113,113,113,113,113,113,113,113,113,113,113,10,113,113,113,11,113,113,113,113,113,113,13,113,113,113,113,113,113,113,113,113,113,113,113,9,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,7,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,6,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,6,113,113,113,113,113,113,2,113,4,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,5,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,4,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,,
110,111,111,112,111,111,111,111,111,111,111,112,112,111,10,111,111,112,111,112,111,111,111,111,112,111,111,112,111,112,111,111,16,111,111,111,112,111,111,111,111,111,111,111,111,111,111,111,20,2,111,111,111,112,111,111,112,111,112,112,112,111,5,111,111,112,111,111,111,111,111,112,112,111,111,111,111,111,112,111,111,112,111,112,111,112,111,112,111,60,111,112,111,111,13,111,111,7,111,20,111,111,111,111,111,111,111,111,111,111,1,109,111,,
113,113,113,113,113,12,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,113,4,20,113,113,113,113,113,113,113,113,113,113,113,113,113,14,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,2,113,10,113,113,,
113,112,112,113,113,112,113,113,112,113,113,113,112,112,112,112,112,113,113,112,112,113,112,112,113,112,112,112,112,113,112,113,112,112,112,112,113,113,112,113,112,112,113,1,113,112,113,1,112,112,113,1,112,112,112,112,113,112,112,112,113,112,1,112,113,112,112,112,113,113,1,113,113,112,1,112,113,113,113,112,113,113,112,112,112,113,113,113,1,112,112,112,112,113,1,112,112,112,113,112,112,113,113,113,112,113,112,1,112,1,112,113,112,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,2,113,113,113,113,113,113,113,113,113,113,113,113,20,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,4,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,2,113,113,1,113,113,5,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,3,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,3,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,22,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,100,113,113,113,113,113,113,113,113,113,113,89,113,113,113,113,113,113,113,113,21,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,10,113,113,113,113,113,113,113,113,113,113,20,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,6,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,1,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,6,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,5,113,113,113,113,113,113,113,113,10,113,113,113,113,113,113,1,113,8,9,113,113,113,113,113,113,113,5,113,113,113,113,,
113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,113,113,113,113,113,6,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,113,113,113,113,7,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,3,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,5,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,107,107,113,113,3,113,113,113,113,113,107,107,107,107,107,107,3,113,107,107,113,107,107,107,107,1,107,107,112,107,113,107,107,107,107,107,113,107,113,107,107,113,3,113,107,113,107,107,107,90,107,107,107,107,107,112,107,107,107,107,107,107,107,113,113,107,107,113,113,107,107,107,107,3,107,113,113,107,107,113,107,107,107,107,107,113,113,107,113,107,107,107,113,107,107,107,2,113,107,107,113,113,113,107,113,107,107,3,107,107,113,107,,
113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,4,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,,
113,113,113,113,113,1,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,4,113,113,113,113,113,2,113,113,113,113,113,113,113,113,113,113,113,113,113,113,5,113,113,113,113,113,2,113,113,113,113,113,6,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,113,3,113,113,113,113,,
113,104,113,113,113,104,113,113,113,113,113,113,113,113,104,104,113,42,113,113,113,113,104,104,104,113,104,104,113,113,104,113,113,104,113,104,113,113,113,113,104,104,113,104,113,104,113,113,104,104,113,113,104,113,104,104,113,113,104,113,104,113,113,104,113,105,113,104,113,113,113,42,104,104,104,104,113,113,104,104,113,104,113,104,42,104,113,113,113,113,113,104,104,113,113,113,113,42,113,104,104,113,113,113,104,113,104,113,104,113,104,113,113,,
