rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,Num Cands,Num Seats
37,37,37,37,37,37,37,37,37,4,37,37,37,37,37,37,37,37,1,37,37,2,37,37,37,37,37,37,37,37,37,37,37,3,2,37,6,,
33,7,30,14,22,34,23,28,35,24,1,27,17,32,19,20,8,15,9,16,6,2,Skipped,31,3,29,10,18,26,36,25,13,12,11,4,21,5,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
36,17,11,21,19,5,16,28,37,25,8,6,10,31,22,29,12,33,4,13,14,3,34,15,26,2,9,23,35,24,7,32,18,30,1,27,20,,
37,37,37,35,37,37,37,37,37,36,37,37,37,37,37,37,37,32,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,34,37,32,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,6,37,5,,
37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,4,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,5,37,20,37,37,37,37,37,37,1,5,37,3,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
28,18,6,32,18,36,12,33,35,8,2,6,37,32,18,24,3,27,5,20,17,1,23,24,6,34,10,14,20,13,34,12,6,7,7,13,28,,
37,37,37,37,37,3,37,37,37,37,6,37,37,37,37,37,37,37,37,2,37,4,37,37,37,37,37,37,37,37,37,37,37,37,5,7,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,2,1,,
37,37,37,9,37,37,37,14,37,12,4,8,2,37,37,37,7,37,15,37,37,6,37,37,1,11,5,37,37,37,37,37,3,37,13,37,10,,
37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,1,37,37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
33,18,15,21,8,7,11,32,37,19,13,6,12,35,27,26,22,36,3,5,9,4,30,29,25,2,14,24,31,17,10,34,20,28,1,16,23,,
37,20,28,37,20,37,14,37,37,37,6,37,1,37,37,37,19,24,13,37,37,3,37,26,2,25,19,37,37,37,14,18,23,37,6,27,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
17,4,11,37,7,37,37,15,37,37,1,2,37,37,37,37,37,37,8,6,37,2,37,37,9,5,37,37,14,10,37,37,13,37,3,16,12,,
Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,10,Skipped,7,1,2,10,Skipped,Skipped,Skipped,5,Skipped,3,Skipped,Skipped,1,Skipped,Skipped,6,9,8,Skipped,Skipped,Skipped,Skipped,11,11,3,3,Skipped,4,,
37,37,37,37,37,37,37,37,37,3,4,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,1,37,37,5,37,37,,
37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
25,9,37,25,37,25,18,37,14,12,1,17,8,13,20,26,7,37,10,37,25,2,19,25,37,6,16,15,21,11,25,5,4,25,3,18,25,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,3,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,,
37,1,37,37,37,37,37,20,37,20,5,37,37,37,37,37,37,37,37,37,37,5,37,37,37,37,37,37,37,37,37,37,37,37,5,37,10,,
37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
35,13,12,18,17,33,27,17,37,9,1,5,23,24,25,31,10,30,3,26,36,2,28,29,17,4,13,21,34,32,14,20,19,7,6,22,8,,
37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
36,3,15,4,31,8,5,35,34,20,11,21,24,28,17,30,9,37,23,19,13,1,14,10,25,22,7,29,33,32,16,27,30,2,6,12,18,,
37,37,37,37,37,37,37,37,37,5,1,37,37,37,37,37,1,37,7,37,37,37,37,37,3,37,37,10,37,37,37,37,37,4,6,37,5,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,4,18,12,10,37,37,1,19,7,3,16,19,37,37,18,19,37,9,18,37,8,18,18,13,11,19,15,37,18,37,14,17,5,2,18,6,,
37,37,37,37,37,37,37,37,37,37,1,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,4,37,37,37,5,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,7,2,37,,
37,37,37,37,13,14,37,15,37,11,10,4,16,37,18,37,8,37,7,17,37,3,37,37,6,18,37,12,37,37,37,1,37,5,1,37,9,,
37,37,37,11,37,37,14,37,37,13,1,7,10,37,37,37,3,37,5,37,37,4,37,12,15,37,9,37,37,37,37,37,37,8,2,16,6,,
6,1,37,37,37,7,37,5,37,37,3,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,4,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,6,37,11,37,37,37,37,37,9,1,37,8,37,37,37,7,37,10,37,37,3,37,14,15,37,37,37,13,37,37,37,37,12,2,4,5,,
37,15,37,37,11,37,16,37,37,7,3,13,6,37,20,37,5,37,12,14,8,1,37,17,4,18,19,37,37,37,10,37,37,37,2,21,9,,
19,37,37,11,34,27,1,23,37,17,5,37,4,37,7,35,15,26,37,34,35,6,26,8,14,37,5,37,37,34,29,37,21,9,2,10,3,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,9,37,17,11,37,37,12,2,1,37,37,16,37,6,37,8,37,37,4,37,15,7,13,3,14,37,37,37,37,37,10,5,37,6,,
37,14,37,4,37,37,37,37,37,6,2,6,9,37,8,37,9,37,37,37,20,37,10,37,13,37,6,19,37,37,37,16,10,7,37,37,3,,
37,37,37,37,37,37,37,37,1,4,2,4,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
32,3,20,23,22,28,24,37,36,7,1,26,13,33,11,34,12,35,14,27,15,4,30,9,21,29,10,17,18,31,25,16,19,8,2,5,6,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,,
37,37,37,37,37,37,37,37,37,37,5,37,1,37,37,37,6,37,7,2,37,3,37,37,37,37,37,37,37,37,37,37,37,4,8,37,9,,
11,33,6,27,23,15,18,20,3,28,37,29,1,10,9,7,31,8,30,32,17,35,14,12,22,25,24,5,2,13,16,4,21,26,36,19,34,,
37,37,37,37,37,37,37,37,37,37,1,9,10,7,37,37,37,37,37,37,37,37,37,37,2,3,37,11,37,6,37,37,9,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,4,16,37,37,37,37,37,37,26,1,27,19,37,37,37,21,37,14,16,37,13,37,37,37,37,37,37,37,37,37,37,37,37,1,37,9,,
22,22,35,13,35,22,11,35,35,8,1,9,35,22,22,35,4,22,35,7,37,2,22,22,35,5,22,10,35,22,13,35,35,3,22,36,6,,
37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,1,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,,
37,37,4,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,5,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
Skipped,2,Skipped,13,6,Skipped,Skipped,2,14,9,1,10,Skipped,Skipped,Skipped,Skipped,9,Skipped,8,11,Skipped,4,12,13,7,5,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,6,Skipped,Skipped,,
37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,5,37,8,4,37,37,11,37,37,1,10,37,37,37,37,37,37,37,37,37,3,37,37,37,6,37,37,37,7,37,37,37,37,2,37,9,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,11,37,5,15,37,37,37,37,6,1,37,37,37,37,37,37,37,37,2,37,37,37,37,37,12,37,37,37,37,37,4,37,3,3,7,37,,
37,37,37,37,37,37,37,37,37,37,1,37,6,37,37,37,7,37,37,37,37,4,37,37,5,37,37,37,37,37,37,37,37,37,3,37,2,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,14,10,37,11,37,16,22,24,37,3,9,13,37,37,20,16,19,17,1,23,7,37,12,18,2,15,37,37,37,5,21,4,8,6,37,37,,
37,37,37,37,37,37,37,37,37,37,2,37,10,8,37,37,37,9,37,37,37,1,37,3,37,37,7,37,37,37,37,37,37,4,6,7,5,,
Skipped,Skipped,13,10,Skipped,12,4,Skipped,Skipped,11,7,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,9,2,,
37,37,37,37,10,37,36,10,37,12,1,37,15,37,36,37,2,37,10,11,37,4,37,37,13,5,36,37,37,37,37,5,14,4,2,37,3,,
35,10,33,17,14,36,13,24,34,5,1,8,28,30,29,27,7,37,6,18,11,3,32,25,4,26,21,12,19,31,20,23,22,15,2,16,9,,
34,15,18,19,34,34,14,34,36,11,7,9,34,34,34,34,5,34,6,13,37,2,34,20,34,34,8,10,16,35,34,17,34,1,4,12,3,,
37,37,37,3,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,1,,
37,37,37,37,37,4,37,37,37,2,9,37,37,37,37,37,10,37,1,37,37,3,37,37,37,37,37,37,37,37,37,37,37,5,7,37,8,,
37,8,18,9,14,12,17,11,37,13,7,3,15,37,37,37,6,37,4,37,37,1,37,37,10,20,16,37,37,37,37,37,19,5,2,37,37,,
24,15,33,7,1,8,16,30,35,6,21,29,14,23,18,26,11,25,37,17,19,3,31,9,12,36,10,34,28,22,20,27,13,32,2,5,4,,
32,23,29,10,16,21,15,30,37,28,1,6,19,36,14,31,5,27,7,8,34,3,35,24,18,11,12,22,33,17,26,4,20,13,2,25,9,,
24,8,13,18,15,30,26,20,37,9,1,4,23,31,21,34,6,28,3,29,36,2,32,22,17,5,12,25,35,33,16,19,14,11,7,27,10,,
37,6,10,37,16,10,10,6,37,10,1,16,37,24,24,16,16,37,1,16,16,1,16,24,37,6,16,37,37,24,10,37,10,6,1,37,1,,
34,11,15,3,29,20,6,13,37,7,10,30,27,31,32,33,1,33,25,24,19,2,36,12,16,4,23,26,9,35,18,28,22,17,5,8,14,,
36,7,20,21,13,24,22,28,37,23,1,4,31,25,10,14,19,12,8,15,7,3,34,18,9,16,26,33,27,35,29,32,30,11,2,17,5,,
37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
34,12,32,23,14,37,24,19,35,8,1,20,10,31,26,28,5,16,7,13,17,2,36,27,4,25,18,30,29,33,11,21,15,9,3,22,6,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
15,16,18,13,33,9,27,32,24,20,1,4,9,25,25,34,6,25,3,10,Skipped,2,26,12,22,5,14,32,30,21,Skipped,26,23,11,7,19,8,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,4,4,5,37,37,37,3,37,1,37,37,3,37,37,5,37,4,37,37,37,37,37,37,3,2,37,2,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,2,37,37,7,37,37,5,37,3,1,37,37,37,37,2,37,37,37,2,37,4,37,6,37,37,37,37,37,37,4,37,37,37,2,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,2,4,37,37,37,37,37,37,1,37,37,2,37,37,37,37,5,37,37,37,37,37,37,6,3,37,7,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,2,37,5,2,37,10,37,37,4,1,28,37,37,24,37,37,37,7,3,21,37,37,37,37,37,14,37,30,37,37,15,37,6,7,37,13,,
33,17,9,20,17,35,10,32,34,9,2,9,10,24,15,18,5,10,4,12,25,1,32,25,11,15,8,12,12,22,27,6,6,7,3,10,16,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
24,Skipped,15,12,Skipped,18,14,Skipped,Skipped,21,4,9,7,Skipped,11,Skipped,5,Skipped,10,16,Skipped,1,Skipped,8,19,22,13,20,Skipped,Skipped,Skipped,25,23,6,2,17,3,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
Skipped,9,25,8,23,5,21,16,28,19,1,11,12,27,20,22,24,Skipped,13,4,Skipped,3,26,25,10,6,7,Skipped,Skipped,18,29,Skipped,15,14,2,Skipped,17,,
37,37,37,37,37,37,37,37,37,37,3,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,,
Skipped,13,23,9,Skipped,21,16,Skipped,Skipped,22,5,11,26,24,17,Skipped,4,Skipped,20,19,Skipped,6,Skipped,12,15,Skipped,3,Skipped,18,Skipped,14,7,25,8,1,10,2,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
Skipped,4,9,13,Skipped,Skipped,Skipped,11,Skipped,12,1,10,Skipped,Skipped,Skipped,Skipped,7,Skipped,3,Skipped,Skipped,3,Skipped,Skipped,Skipped,6,Skipped,5,Skipped,Skipped,Skipped,Skipped,7,Skipped,2,Skipped,6,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,6,37,3,12,37,14,37,37,1,1,5,17,37,37,37,18,37,16,37,37,7,37,37,11,9,19,8,37,37,37,13,37,2,10,37,15,,
37,17,37,37,9,13,25,9,37,11,1,5,37,37,37,37,17,37,5,11,25,3,37,20,19,8,13,37,37,25,13,37,13,7,1,20,3,,
37,37,3,37,37,37,37,37,37,37,2,6,7,37,37,37,37,37,3,37,37,1,37,37,4,37,37,5,37,37,37,37,37,37,6,37,5,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,1,2,1,37,37,37,1,37,37,1,37,1,37,37,37,1,2,37,37,37,37,3,37,36,1,37,4,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
35,25,30,8,29,13,24,36,37,23,3,19,9,28,7,14,16,31,17,32,26,2,27,6,15,22,11,18,20,34,33,12,21,4,1,10,5,,
37,37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,37,37,37,37,37,37,37,37,3,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,2,37,37,,
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,,
37,34,36,20,29,12,22,16,30,21,3,1,17,24,5,27,15,35,18,6,32,11,33,10,14,28,8,25,31,23,13,26,9,2,4,19,7,,
37,37,37,23,37,37,8,37,37,19,1,9,37,37,37,37,37,37,37,12,37,6,37,37,37,37,37,37,37,21,32,37,37,23,4,26,4,,
37,37,37,37,37,37,37,37,37,2,37,37,37,37,37,37,37,37,37,1,37,37,37,37,37,37,37,37,37,37,37,37,37,37,3,37,37,,
37,37,37,37,37,37,37,37,37,37,37,5,37,37,37,37,37,37,6,37,37,3,37,37,37,37,37,37,37,37,37,4,37,1,2,37,37,,
