rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,rank105,rank106,rank107,rank108,rank109,rank110,Num Cands,Num Seats
110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,110,110,110,110,110,110,110,,Unknown
110,110,110,2,110,110,110,110,110,110,110,110,110,110,110,110,4,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,6,110,110,110,110,110,110,110,110,3,110,110,5,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,9,110,110,110,8,7,110,110,1,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,6,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,110,110,110,110,7,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,8,110,110,110,110,110,5,110,4,110,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,,Unknown
110,110,110,16,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,14,110,110,110,110,110,110,110,5,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,110,110,110,110,110,110,13,110,110,1,10,4,110,110,12,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,9,110,110,7,110,110,110,110,11,110,15,110,110,110,110,6,110,110,110,8,,Unknown
10,86,90,3,103,64,63,32,18,83,61,35,53,93,91,56,47,17,19,70,51,50,59,13,69,31,88,71,52,66,81,45,36,110,74,76,33,60,5,107,97,57,79,68,38,12,44,72,75,41,100,27,1,55,105,77,39,95,14,9,49,2,54,8,109,84,22,106,87,62,85,29,48,89,102,101,34,30,92,94,108,98,82,73,80,11,46,15,37,6,58,42,67,23,43,28,78,96,4,104,26,7,21,99,20,25,65,16,40,24,,Unknown
110,110,110,2,110,110,110,110,5,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,4,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,5,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,,Unknown
110,110,110,5,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,7,110,110,110,110,9,110,6,110,3,110,110,110,110,110,110,110,110,9,110,110,110,4,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,7,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,,Unknown
15,110,110,3,110,110,110,27,32,110,110,110,110,110,110,110,110,31,33,40,37,110,41,18,110,26,110,110,6,110,110,110,110,110,110,110,28,110,110,110,110,8,110,35,36,17,110,110,110,1,110,110,34,110,110,110,10,42,11,13,110,2,110,14,110,110,39,110,110,110,110,23,110,110,110,110,29,25,110,110,110,110,110,110,110,16,110,19,110,9,110,110,110,22,110,24,110,110,7,110,21,12,38,110,20,4,110,30,110,5,,Unknown
3,110,110,2,110,3,110,5,5,110,110,110,110,110,110,110,110,5,5,110,110,110,110,3,4,5,110,110,2,110,110,110,110,110,110,110,5,110,110,110,110,3,110,110,1,3,110,110,110,5,110,110,4,110,110,110,1,110,3,3,110,2,110,3,110,110,2,110,110,110,110,5,110,110,110,110,5,3,110,110,110,110,110,110,110,2,110,5,110,110,110,110,110,2,110,5,5,110,110,110,110,3,4,110,5,2,110,5,110,2,,Unknown
22,110,110,8,110,110,110,9,35,110,110,33,110,110,110,110,110,29,36,110,3,110,110,23,110,30,110,110,13,110,110,110,34,110,110,110,31,110,110,110,110,1,110,110,2,25,110,110,110,110,110,110,17,110,110,110,18,110,6,20,110,5,110,21,110,110,12,110,110,110,110,14,110,110,110,110,32,16,110,110,110,110,110,110,110,24,110,26,38,110,110,110,110,28,110,15,11,110,110,110,110,19,7,110,37,10,110,27,110,4,,Unknown
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,5,3,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,1,109,109,109,109,109,109,109,109,108,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,2,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,4,109,,Unknown
110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,13,110,110,110,110,110,110,110,110,110,16,110,110,110,110,110,110,110,110,110,2,110,9,17,110,110,110,110,110,14,110,110,110,110,1,110,110,110,12,110,15,110,110,8,110,110,110,110,4,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,5,110,110,110,110,110,110,7,110,10,110,110,11,110,110,110,6,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,4,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,5,110,110,110,110,110,110,110,,Unknown
110,110,110,6,110,110,110,9,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,10,110,110,110,110,110,110,110,110,110,110,110,110,5,110,110,110,110,110,110,110,110,110,110,4,110,110,110,110,110,110,110,110,7,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,1,110,110,110,110,110,110,110,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,4,110,110,110,110,110,110,110,110,6,110,110,110,110,110,110,7,110,110,110,110,110,110,110,110,110,110,110,110,9,8,110,110,110,110,110,110,110,110,110,110,110,110,110,5,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,,Unknown
20,101,81,2,44,86,108,31,36,91,79,69,78,84,103,59,35,38,28,70,9,65,62,14,98,29,103,90,11,37,92,54,71,56,110,83,6,49,67,77,64,5,57,88,3,16,53,95,58,47,97,46,68,60,43,80,17,30,26,24,45,10,63,22,40,87,8,75,48,42,100,25,39,85,96,94,33,21,106,82,93,105,104,109,50,18,55,7,61,76,72,51,99,1,52,27,73,74,15,41,32,12,19,102,34,4,107,23,89,13,,Unknown
13,110,110,110,110,110,110,110,17,110,110,110,3,110,110,110,110,23,14,110,110,110,26,16,110,110,110,110,5,110,110,110,110,110,110,110,110,110,110,110,110,4,110,110,110,15,110,110,110,110,110,110,110,110,110,110,6,110,7,9,110,24,25,22,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,18,110,21,110,110,110,110,110,110,110,110,110,110,110,110,110,8,2,110,19,11,110,20,110,12,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,5,110,110,110,4,,Unknown
110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,4,110,110,110,110,110,110,110,110,110,110,2,,Unknown
110,110,110,6,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,110,110,110,7,110,110,110,110,110,110,110,110,110,110,8,110,110,3,110,110,9,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,4,110,110,110,110,110,110,110,110,110,10,110,110,110,,Unknown
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,1,110,22,22,22,22,22,22,22,22,22,22,22,2,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,3,22,22,22,4,22,22,22,22,22,22,22,22,22,22,22,22,22,,Unknown
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,2,110,110,4,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,3,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,1,110,110,110,110,110,110,110,110,110,110,110,110,110,,Unknown
