rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,Num Cands,Num Seats
1,14,23,21,12,18,15,4,27,38,13,31,32,28,33,38,3,40,17,26,34,2,8,36,7,22,10,9,6,39,5,25,16,11,19,20,29,35,24,30,,
12,37,29,22,7,8,23,10,6,11,14,2,27,30,18,33,31,21,28,4,38,25,20,35,1,36,24,19,15,40,16,32,9,3,5,39,34,26,17,13,,
3,32,36,4,16,2,29,24,19,13,11,33,27,30,6,31,28,26,23,18,37,9,34,25,22,21,10,5,7,38,8,20,17,1,12,39,35,15,14,40,,
30,24,32,18,33,10,27,2,15,39,31,19,35,21,11,23,20,14,7,13,26,40,36,34,1,22,28,25,9,38,29,12,3,6,8,37,17,16,4,5,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
16,32,25,31,30,34,22,8,4,26,40,10,28,27,7,33,38,36,14,18,12,9,19,6,3,15,1,17,5,39,37,29,2,24,11,20,35,21,23,13,,
23,26,8,Skipped,14,27,Skipped,25,11,Skipped,12,6,21,16,1,7,24,21,Skipped,4,22,Skipped,20,Skipped,10,Skipped,9,17,22,Skipped,Skipped,13,3,18,2,Skipped,15,Skipped,5,19,,
16,Skipped,Skipped,Skipped,2,16,Skipped,16,7,4,Skipped,5,16,Skipped,3,16,Skipped,16,9,13,8,Skipped,10,Skipped,6,16,12,1,Skipped,Skipped,Skipped,Skipped,16,Skipped,15,Skipped,Skipped,16,11,14,,
8,26,37,38,2,14,36,25,10,1,23,35,33,18,5,13,29,22,7,24,17,28,39,27,30,12,6,16,20,21,34,3,19,11,9,40,15,31,4,32,,
6,16,29,27,15,13,14,26,12,Skipped,3,Skipped,8,30,4,Skipped,9,Skipped,5,20,Skipped,18,25,31,11,Skipped,7,28,2,33,10,32,22,1,17,40,23,19,21,24,,
19,10,28,25,Skipped,Skipped,10,23,1,1,4,Skipped,Skipped,14,7,5,18,27,17,Skipped,26,Skipped,24,9,2,20,22,16,3,29,Skipped,8,11,12,13,30,6,Skipped,21,15,,
25,35,18,39,15,38,27,32,7,19,8,2,17,14,9,24,16,37,33,3,31,11,29,34,21,23,12,28,10,5,6,26,20,4,13,40,36,30,1,22,,
2,37,13,29,19,4,30,33,1,20,11,25,22,34,14,17,10,35,28,31,24,27,32,23,5,9,7,18,15,39,26,21,8,3,12,40,6,36,16,38,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
10,34,12,26,18,9,28,5,23,15,25,36,31,33,2,30,27,35,29,4,20,24,38,14,22,19,8,32,13,40,16,21,17,11,6,37,39,3,1,7,,
16,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,17,4,Skipped,20,1,Skipped,Skipped,19,8,Skipped,Skipped,3,9,Skipped,6,15,Skipped,20,7,Skipped,Skipped,Skipped,Skipped,2,1,Skipped,Skipped,Skipped,5,14,,
12,28,36,20,22,17,9,21,1,27,11,3,5,13,4,26,24,34,6,18,16,31,35,38,32,25,8,14,15,30,23,29,10,2,19,33,40,39,37,7,,
1,36,38,20,34,3,13,26,5,6,27,10,21,18,2,12,35,29,14,17,24,23,37,15,19,30,16,33,28,22,31,25,8,4,11,39,9,40,7,32,,
40,40,40,40,40,2,40,40,1,40,40,40,9,40,3,40,7,40,40,5,40,40,40,40,10,40,40,40,40,40,8,40,6,40,40,40,40,40,4,40,,
7,29,39,32,26,21,Skipped,2,10,25,35,16,27,14,6,17,34,36,13,9,30,18,19,11,20,22,8,28,15,37,23,12,5,4,3,24,31,38,1,33,,
29,32,33,6,23,18,35,31,1,19,15,13,24,34,4,30,38,37,7,26,16,28,36,14,3,22,5,11,2,12,27,21,10,9,17,40,39,20,25,8,,
2,30,Skipped,23,17,Skipped,Skipped,5,36,22,18,28,32,15,1,34,33,35,14,16,29,27,8,19,25,9,4,12,10,20,13,31,7,6,21,24,26,Skipped,11,3,,
6,15,23,40,29,13,16,12,5,19,4,18,20,24,1,32,9,22,21,31,28,34,33,25,3,17,8,27,7,40,10,38,2,30,14,Skipped,Skipped,Skipped,26,11,,
10,36,4,34,32,21,14,19,33,8,13,24,29,35,16,39,30,40,7,2,27,31,17,28,26,9,6,15,20,37,18,23,22,3,5,38,25,11,1,12,,
7,39,39,39,21,15,13,39,16,9,29,23,38,24,4,39,17,39,22,2,39,19,5,12,3,14,39,39,8,39,18,39,37,39,11,40,39,10,6,20,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
9,40,Skipped,40,40,40,40,40,40,Skipped,40,2,40,40,40,40,40,10,7,Skipped,40,40,4,40,8,5,40,3,40,40,40,40,1,6,40,40,40,40,40,40,,
40,40,40,40,40,4,40,40,40,40,40,3,40,40,40,40,40,40,40,40,2,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
23,36,11,14,5,10,17,12,35,20,1,9,24,34,3,21,26,18,7,28,25,19,37,39,6,33,30,15,2,31,16,40,4,8,29,38,32,13,27,22,,
1,35,11,16,6,14,8,10,5,30,4,10,36,36,5,13,4,37,12,Skipped,28,6,29,7,33,21,9,28,19,34,9,40,3,2,Skipped,Skipped,13,11,Skipped,3,,
2,32,33,30,23,8,22,17,15,10,25,14,13,36,5,24,37,39,9,19,29,18,16,21,7,12,3,35,34,40,28,31,11,6,4,27,20,38,1,26,,
13,11,16,28,17,20,8,27,23,5,6,3,15,32,1,9,36,21,30,33,29,10,37,22,18,35,34,31,12,19,14,24,25,7,2,40,4,38,26,39,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
40,40,40,40,3,40,40,40,40,1,40,40,40,40,2,40,40,40,40,5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,40,40,,
3,Skipped,Skipped,Skipped,Skipped,6,Skipped,Skipped,2,Skipped,11,Skipped,10,Skipped,13,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,Skipped,4,Skipped,9,Skipped,Skipped,Skipped,Skipped,Skipped,8,5,1,14,Skipped,Skipped,7,Skipped,,
3,40,40,40,40,6,40,5,40,40,40,40,40,40,7,40,40,40,40,10,40,40,40,40,4,40,9,40,8,40,40,40,40,1,2,40,40,40,40,40,,
2,36,22,32,24,5,28,25,1,19,10,28,17,31,9,38,29,35,30,12,4,15,13,37,18,8,14,21,23,39,3,40,6,7,16,28,34,11,20,33,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
3,26,15,32,16,27,9,31,13,4,33,11,25,18,12,29,20,36,22,7,5,17,14,35,19,28,8,21,23,37,34,40,10,1,2,39,24,38,6,30,,
15,35,31,29,9,24,36,20,30,19,32,18,12,13,1,23,21,34,14,2,11,22,39,37,26,6,8,27,7,16,38,17,5,10,4,40,25,33,3,28,,
8,12,36,39,14,1,20,13,2,27,21,15,Skipped,33,4,40,32,28,19,23,5,11,29,31,16,10,9,19,3,38,25,19,7,6,26,35,37,30,22,24,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
Skipped,11,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,Skipped,Skipped,3,Skipped,4,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,2,9,7,Skipped,1,13,Skipped,12,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,6,,
7,Skipped,Skipped,Skipped,11,Skipped,6,13,Skipped,Skipped,4,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,Skipped,Skipped,1,12,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,9,10,,
38,29,34,23,8,25,24,27,14,19,11,2,23,35,3,25,32,30,17,21,7,18,16,31,1,6,15,12,4,28,13,40,9,5,10,36,37,23,33,22,,
2,32,31,26,10,9,23,17,12,24,14,35,30,28,11,Skipped,34,36,37,1,Skipped,21,13,27,18,6,5,19,16,29,4,33,25,8,3,15,Skipped,22,7,20,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
16,38,12,36,27,11,22,32,23,5,28,18,24,33,4,35,6,30,13,21,20,9,14,25,1,15,19,10,2,40,8,40,26,3,31,34,37,7,17,29,,
40,40,40,40,40,40,40,38,5,10,39,1,40,40,11,40,36,40,12,4,40,40,40,40,2,40,8,6,40,40,40,40,9,7,3,40,40,37,40,40,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
16,37,22,27,20,39,33,24,19,40,11,7,36,23,6,30,29,32,28,13,38,15,34,25,14,21,8,17,10,1,18,2,9,4,5,35,31,26,12,3,,
1,35,20,32,26,7,15,27,2,22,4,17,10,30,18,11,38,31,19,13,33,3,28,12,6,25,5,29,14,40,21,36,8,16,24,39,37,23,9,34,,
15,22,19,Skipped,38,4,30,Skipped,1,20,1,9,Skipped,6,Skipped,Skipped,14,25,20,40,3,8,Skipped,Skipped,30,Skipped,40,30,2,28,13,Skipped,1,5,25,40,39,10,7,2,,
2,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
1,Skipped,Skipped,Skipped,12,14,Skipped,10,23,18,Skipped,20,7,Skipped,4,16,Skipped,8,6,15,11,Skipped,5,Skipped,17,2,9,3,Skipped,Skipped,Skipped,Skipped,19,Skipped,22,Skipped,Skipped,21,13,Skipped,,
16,19,32,14,8,27,9,33,35,8,5,10,17,24,2,3,30,21,29,20,34,11,36,12,28,37,13,31,22,25,23,18,26,8,4,38,1,40,15,39,,
2,Skipped,Skipped,Skipped,6,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,7,40,38,Skipped,Skipped,39,8,1,4,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,31,21,25,7,3,32,5,6,18,13,14,6,26,35,11,28,37,16,17,12,9,29,33,10,8,19,27,15,36,23,39,24,4,22,40,38,20,1,30,,
10,22,18,34,19,15,11,23,13,6,7,2,28,31,1,20,29,27,30,32,33,9,38,24,17,40,26,25,8,21,12,35,14,5,3,37,4,39,16,36,,
28,31,27,13,39,19,12,31,13,27,3,8,18,6,31,13,5,20,1,27,20,37,34,37,9,13,31,11,7,17,20,38,31,4,31,36,2,35,27,10,,
3,35,15,39,27,8,28,11,4,16,40,30,36,29,5,32,37,26,10,23,17,34,22,9,2,31,13,12,24,21,20,19,6,1,7,38,25,18,14,33,,
20,21,Skipped,27,30,6,13,22,3,2,Skipped,1,23,25,14,16,Skipped,17,4,19,24,Skipped,Skipped,Skipped,11,26,9,5,12,28,Skipped,29,7,8,Skipped,15,Skipped,Skipped,10,18,,
2,29,7,35,25,31,Skipped,12,5,6,16,17,28,33,1,19,Skipped,18,8,10,26,15,13,27,14,32,3,22,20,36,30,34,24,23,11,37,Skipped,4,9,21,,
3,40,32,29,11,8,30,6,10,6,37,4,7,35,2,9,32,28,11,3,1,5,7,39,10,5,10,3,10,38,5,33,2,4,6,36,34,32,3,5,,
31,21,15,19,3,28,Skipped,30,3,24,35,9,39,27,1,22,17,16,38,23,20,25,37,33,26,8,14,1,6,13,34,18,3,12,7,40,10,32,11,29,,
5,40,40,40,21,18,13,19,6,40,8,40,40,40,15,40,40,40,40,40,16,40,20,40,40,11,3,40,17,40,1,14,40,9,4,40,7,12,10,2,,
5,37,28,16,7,16,34,19,1,25,31,3,18,16,8,35,22,22,4,29,30,22,32,22,36,33,16,39,9,6,38,16,23,26,2,16,10,40,17,27,,
4,24,39,28,3,1,40,29,6,35,11,19,7,34,27,37,20,16,21,15,22,9,10,26,18,17,32,12,30,33,2,5,8,13,14,25,38,36,23,31,,
15,22,35,37,11,5,8,26,17,7,32,1,39,13,4,18,33,6,36,2,30,23,16,14,10,28,9,25,3,38,29,34,27,12,24,40,31,21,20,19,,
40,40,40,40,3,40,8,40,13,40,6,9,40,10,17,40,40,40,40,40,14,40,40,40,5,40,12,40,2,40,40,7,40,4,1,40,11,40,15,40,,
8,39,39,39,39,39,39,39,4,39,2,1,39,39,5,39,39,39,6,39,10,39,39,39,39,9,39,39,7,39,39,39,39,39,3,40,39,39,39,39,,
17,24,2,14,39,16,13,5,9,38,20,4,3,37,18,37,37,37,11,6,25,37,27,37,29,23,10,12,1,26,21,37,26,15,7,40,37,22,19,8,,
8,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,9,Skipped,7,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,11,Skipped,5,Skipped,6,,
40,40,40,40,6,40,9,40,40,4,40,40,40,5,40,40,40,40,1,8,40,40,40,3,40,10,2,40,40,40,40,40,40,40,40,40,40,40,7,40,,
9,40,40,40,3,40,40,40,40,5,40,40,40,40,7,40,40,40,40,40,40,40,11,40,6,40,1,8,4,40,40,10,40,40,2,40,40,40,40,40,,
5,27,31,35,26,33,28,25,1,2,17,7,20,23,11,19,4,21,30,29,37,10,34,32,6,22,13,16,14,39,12,36,3,15,8,38,18,24,9,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
9,Skipped,Skipped,11,2,15,15,22,3,Skipped,14,13,Skipped,21,5,Skipped,Skipped,Skipped,25,Skipped,22,6,7,21,Skipped,26,11,Skipped,1,23,14,24,21,8,7,28,Skipped,27,Skipped,4,,
40,40,40,40,2,13,40,12,10,6,40,3,11,40,40,14,40,40,9,15,40,40,40,40,10,40,1,7,5,40,40,40,15,8,4,40,40,40,15,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
1,Skipped,Skipped,Skipped,Skipped,Skipped,11,Skipped,Skipped,4,10,Skipped,Skipped,Skipped,12,Skipped,Skipped,Skipped,9,Skipped,Skipped,Skipped,6,Skipped,3,Skipped,8,7,13,40,2,39,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
14,21,37,24,39,19,25,18,7,11,23,8,30,17,9,26,12,10,22,3,27,34,35,36,7,29,16,13,4,33,32,28,15,6,1,38,5,31,2,20,,
19,38,36,33,10,22,8,5,39,2,4,6,24,34,3,32,26,7,30,25,11,13,27,12,9,23,21,14,31,40,17,37,29,15,1,35,28,16,20,18,,
36,25,24,34,16,1,11,15,10,9,18,7,29,27,3,37,23,33,26,20,31,22,35,39,13,14,4,5,6,40,17,30,21,2,19,38,8,32,12,28,,
20,31,12,27,17,34,33,38,4,5,1,6,19,25,14,24,32,10,30,35,16,13,3,22,7,2,11,8,15,23,25,37,9,26,21,40,29,18,40,28,,
12,40,40,40,8,40,11,40,6,4,13,40,14,15,7,40,40,40,40,3,40,40,40,40,40,40,10,40,40,40,9,40,40,40,1,40,5,40,2,40,,
25,34,18,28,14,17,27,24,3,13,30,4,37,23,1,31,7,35,16,2,21,8,32,33,9,20,15,10,5,40,29,36,12,11,19,39,38,26,6,22,,
9,Skipped,24,Skipped,4,Skipped,23,7,11,Skipped,16,20,Skipped,Skipped,5,Skipped,Skipped,Skipped,15,3,17,18,6,21,Skipped,8,14,Skipped,12,25,13,Skipped,10,22,1,26,Skipped,Skipped,2,19,,
5,Skipped,Skipped,40,Skipped,13,18,21,1,Skipped,Skipped,4,14,Skipped,Skipped,15,Skipped,Skipped,3,11,20,8,Skipped,23,12,22,7,Skipped,16,40,6,40,19,9,2,39,29,40,10,17,,
2,26,13,Skipped,21,20,Skipped,11,3,16,14,12,35,27,8,38,31,4,22,15,24,37,36,39,25,29,5,30,10,28,32,40,9,1,7,17,Skipped,19,6,18,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
3,Skipped,Skipped,Skipped,10,12,Skipped,Skipped,2,17,Skipped,5,Skipped,Skipped,4,11,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,16,Skipped,Skipped,13,18,6,Skipped,Skipped,Skipped,9,15,1,Skipped,14,Skipped,7,Skipped,,
2,31,32,34,27,20,14,15,1,35,37,25,4,23,8,28,17,30,21,3,36,6,39,16,24,29,9,33,5,12,19,38,11,13,10,40,26,22,7,18,,
13,26,6,17,9,24,19,31,4,8,7,12,28,27,3,30,34,38,14,25,36,29,39,18,16,37,23,20,11,32,21,22,10,1,2,Skipped,15,33,5,35,,
40,40,40,40,40,40,40,40,40,40,40,4,40,40,1,40,40,Skipped,40,5,40,2,9,40,40,3,3,40,40,40,40,40,6,40,40,40,40,40,5,40,,
13,21,27,31,11,7,12,28,19,22,10,4,25,32,1,6,20,16,35,34,30,8,37,26,17,39,29,33,15,14,18,23,9,5,2,40,3,36,24,38,,
3,20,24,34,29,16,15,6,7,35,19,33,38,37,1,17,10,27,14,5,21,2,35,23,26,9,13,22,11,18,25,28,30,32,8,40,39,31,4,12,,
7,37,38,9,15,4,29,18,11,20,8,13,22,32,1,23,33,36,14,12,34,25,26,30,24,31,6,17,3,40,19,27,16,2,5,39,35,28,10,21,,
4,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,5,Skipped,Skipped,Skipped,3,Skipped,4,Skipped,Skipped,40,Skipped,40,Skipped,Skipped,7,Skipped,Skipped,Skipped,6,Skipped,,
Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,9,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,Skipped,Skipped,13,Skipped,Skipped,11,Skipped,Skipped,8,Skipped,12,Skipped,Skipped,14,7,10,1,Skipped,2,6,,
40,40,40,40,15,40,4,40,17,7,40,3,40,14,11,40,13,40,10,18,40,40,40,40,16,40,8,5,40,9,40,20,6,40,1,2,40,40,19,12,,
18,21,19,30,28,24,15,20,18,3,2,9,25,14,6,8,35,32,18,40,32,17,40,10,15,39,18,35,4,10,7,27,16,11,1,40,9,39,31,40,,
1,Skipped,Skipped,37,Skipped,12,37,Skipped,18,16,Skipped,12,20,Skipped,15,25,25,7,Skipped,26,30,12,Skipped,36,11,1,12,Skipped,Skipped,40,9,Skipped,24,Skipped,7,Skipped,Skipped,20,29,Skipped,,
1,Skipped,Skipped,40,Skipped,4,Skipped,Skipped,2,Skipped,Skipped,40,Skipped,40,1,5,4,Skipped,6,2,20,Skipped,Skipped,6,5,20,2,5,3,40,Skipped,39,3,3,2,2,Skipped,Skipped,2,40,,
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,1,40,40,40,40,40,40,40,40,40,40,40,40,40,40,,
13,Skipped,Skipped,17,40,20,8,5,Skipped,6,11,Skipped,Skipped,Skipped,21,16,Skipped,Skipped,4,18,14,2,Skipped,Skipped,Skipped,9,12,7,3,Skipped,10,1,19,Skipped,40,Skipped,Skipped,Skipped,15,Skipped,,
40,40,40,40,2,40,40,40,40,40,40,40,40,9,8,40,40,40,40,6,40,40,40,40,7,40,4,40,3,40,40,40,40,1,10,40,40,40,5,40,,
1,29,11,Skipped,Skipped,8,19,4,27,35,14,24,29,22,7,25,26,Skipped,8,10,34,17,29,33,16,28,1,12,1,23,14,36,21,5,13,32,Skipped,18,6,20,,
11,28,16,25,34,27,Skipped,5,14,4,Skipped,1,2,31,7,8,36,23,20,13,18,Skipped,22,19,3,25,10,29,21,35,26,30,32,15,12,17,9,33,6,24,,
15,21,33,31,11,29,9,28,13,4,3,10,33,23,7,8,25,27,26,34,32,16,37,12,20,38,30,36,18,24,22,19,14,2,1,40,5,6,17,39,,
10,35,16,31,5,6,30,Skipped,1,2,27,8,12,22,14,25,36,32,4,24,20,33,29,21,17,13,7,19,11,39,18,15,26,9,3,Skipped,38,28,23,34,,
40,18,40,40,12,40,40,40,40,40,40,6,40,1,19,40,11,40,10,18,18,40,40,40,4,9,18,5,3,13,40,2,40,40,40,40,7,40,18,8,,
