rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,Num Cands,Num Seats
9,14,Skipped,3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,6,1,Skipped,Skipped,Skipped,Skipped,42,2,8,40,Skipped,12,Skipped,Skipped,Skipped,10,38,Skipped,Skipped,41,Skipped,Skipped,Skipped,7,39,Skipped,13,Skipped,4,11,5,Skipped,,
25,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,Skipped,40,5,2,Skipped,Skipped,42,1,Skipped,Skipped,3,Skipped,30,Skipped,Skipped,39,Skipped,Skipped,41,Skipped,Skipped,Skipped,Skipped,Skipped,,
2,21,40,4,42,35,38,16,13,27,5,15,17,20,18,25,37,41,7,39,11,8,3,22,23,28,29,32,10,30,6,19,24,12,36,26,31,33,34,1,14,9,,
1,28,42,30,35,26,41,19,8,15,20,3,18,22,12,25,13,38,5,40,16,7,23,36,6,29,17,32,14,31,10,24,27,2,11,34,33,21,39,4,37,9,,
2,21,10,28,40,34,42,8,22,23,24,1,31,26,9,36,16,41,4,39,27,7,5,38,17,33,18,32,14,20,11,13,37,6,19,25,30,29,15,3,35,12,,
4,15,35,3,19,Skipped,39,20,18,36,37,1,42,Skipped,12,42,42,Skipped,5,9,Skipped,15,6,Skipped,14,Skipped,Skipped,Skipped,10,40,17,Skipped,Skipped,2,41,38,13,16,7,33,8,11,,
1,38,29,41,20,25,34,19,16,27,32,6,31,28,17,24,4,37,15,7,22,8,5,33,9,30,21,18,36,14,10,23,35,2,13,39,42,26,11,3,40,12,,
42,42,42,42,42,42,42,42,42,42,42,1,42,42,5,42,42,42,42,42,42,2,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,3,4,42,,
7,15,24,16,27,20,22,21,17,25,10,12,Skipped,Skipped,3,Skipped,11,Skipped,4,41,Skipped,6,23,Skipped,9,40,26,Skipped,15,13,8,Skipped,Skipped,2,5,42,19,Skipped,14,1,42,18,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,42,42,42,,
6,42,38,37,38,38,38,38,5,38,38,9,38,38,4,38,8,38,38,38,38,3,38,38,36,38,41,38,34,35,38,38,38,1,7,38,40,38,38,2,39,38,,
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2,42,42,42,42,42,1,42,42,,
3,28,38,30,36,Skipped,41,Skipped,33,32,35,5,Skipped,8,7,42,15,40,10,21,16,17,6,37,9,18,27,Skipped,22,34,14,Skipped,Skipped,2,29,31,42,23,13,1,20,19,,
42,42,42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,2,42,42,42,42,42,,
3,32,35,38,40,33,42,8,6,31,7,15,24,13,27,23,23,34,26,41,28,4,22,39,9,Skipped,Skipped,Skipped,30,10,5,12,Skipped,2,11,37,36,29,14,1,25,Skipped,,
3,41,24,38,39,32,42,34,17,19,28,5,33,22,12,20,12,37,6,18,15,4,9,25,10,36,21,27,7,29,16,31,23,1,14,40,30,26,8,2,35,11,,
3,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,42,Skipped,Skipped,4,Skipped,Skipped,,
2,31,42,40,42,42,42,42,18,31,34,3,42,42,15,42,30,42,7,38,42,20,27,42,42,35,33,42,42,42,42,42,42,1,32,36,23,42,25,42,19,42,,
2,19,40,6,39,29,42,35,20,23,38,3,30,28,8,27,17,37,5,22,12,7,10,41,15,25,24,33,16,32,13,31,36,4,18,34,26,14,11,1,21,9,,
3,42,42,42,42,42,42,42,13,42,42,4,42,42,42,42,42,42,42,42,42,33,42,42,42,42,42,42,42,42,8,42,42,2,42,42,42,42,42,1,42,42,,
2,21,17,5,29,33,39,28,23,27,42,3,32,36,14,24,19,35,6,11,38,4,13,40,15,16,30,20,10,41,12,37,34,8,22,26,25,31,9,1,18,7,,
4,28,42,6,35,42,42,34,13,42,42,1,42,42,8,42,18,42,5,42,36,15,9,38,20,42,42,42,42,35,21,42,42,3,11,39,41,42,7,2,40,42,,
2,21,31,28,30,23,41,20,30,34,32,6,18,22,5,4,11,38,8,42,19,3,36,35,10,37,33,24,9,12,15,25,30,14,17,39,40,16,7,1,27,13,,
2,29,Skipped,15,Skipped,Skipped,33,35,4,34,38,6,Skipped,Skipped,1,Skipped,42,36,7,41,19,40,Skipped,Skipped,24,37,17,Skipped,8,31,18,Skipped,39,16,13,32,Skipped,Skipped,9,3,5,Skipped,,
5,17,29,37,35,33,41,2,18,34,39,1,26,27,8,24,16,42,7,9,25,4,12,28,15,13,21,32,19,23,14,31,30,3,11,40,38,22,20,6,36,10,,
2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,Skipped,Skipped,7,Skipped,Skipped,Skipped,6,Skipped,Skipped,4,11,Skipped,10,Skipped,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,9,Skipped,Skipped,Skipped,Skipped,1,8,Skipped,,
3,20,20,30,36,30,42,20,25,25,20,5,25,25,11,25,20,41,4,30,25,8,25,39,6,25,20,38,9,20,10,25,30,2,12,30,40,25,13,1,7,20,,
2,Skipped,Skipped,40,42,Skipped,Skipped,Skipped,14,Skipped,Skipped,4,Skipped,Skipped,10,Skipped,12,Skipped,6,11,Skipped,8,9,Skipped,7,Skipped,Skipped,Skipped,13,16,15,Skipped,Skipped,1,5,Skipped,41,Skipped,Skipped,3,39,Skipped,,
3,16,24,29,30,28,36,21,17,12,15,11,8,10,4,18,5,35,7,33,23,25,13,27,4,23,9,19,22,9,26,17,17,1,6,32,34,16,20,2,31,14,,
42,42,42,1,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,1,42,42,42,42,42,,
1,24,9,10,4,21,25,8,7,31,41,14,21,28,13,11,40,23,15,18,29,2,33,26,38,22,23,17,6,39,5,30,27,12,34,26,16,20,3,42,32,17,,
2,16,31,15,38,26,42,24,25,36,42,1,22,19,10,28,12,20,6,34,23,5,18,30,21,13,33,41,7,39,8,27,29,4,14,40,37,17,11,3,35,9,,
1,29,11,17,40,22,41,19,19,32,39,2,31,28,9,18,15,37,10,36,12,4,6,35,21,23,33,30,13,38,8,27,34,3,25,26,42,24,14,5,16,7,,
2,42,42,3,12,42,42,42,14,42,42,13,42,42,10,42,42,42,8,11,42,6,42,42,42,42,42,42,42,42,42,42,42,9,42,42,4,42,7,1,5,42,,
4,14,29,1,35,20,38,23,30,13,19,27,25,21,10,17,28,15,36,42,2,5,16,34,41,3,18,24,7,37,31,22,33,40,9,39,11,12,26,6,32,8,,
2,20,26,3,40,21,34,27,23,19,33,5,28,41,10,39,11,31,9,30,24,4,16,29,17,32,39,42,13,39,7,25,36,8,22,39,14,15,6,1,18,12,,
2,14,39,7,37,35,42,12,31,28,31,3,23,26,9,38,20,33,8,16,13,6,4,41,19,15,21,23,22,34,25,29,40,5,11,36,27,18,30,1,17,10,,
2,14,23,26,37,31,38,20,17,12,28,5,?,24,10,32,?,35,8,25,11,7,4,36,6,29,18,?,22,21,19,30,34,3,9,33,?,13,27,1,16,15,,
