rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,Num Cands,Num Seats
80,80,80,80,80,80,80,80,80,80,80,80,20,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,13,80,15,80,80,80,80,11,8,80,80,1,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,12,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
8,80,80,80,80,80,80,80,80,80,80,80,80,80,80,Skipped,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,4,80,80,5,80,80,80,13,80,80,9,12,80,80,80,2,80,80,80,6,10,80,1,80,80,80,80,7,80,80,14,11,80,80,,
Skipped,31,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,28,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,30,7,5,Skipped,37,35,Skipped,Skipped,Skipped,21,Skipped,16,36,32,Skipped,Skipped,Skipped,Skipped,Skipped,27,Skipped,23,12,17,38,Skipped,3,8,25,33,9,Skipped,Skipped,6,14,Skipped,Skipped,19,1,26,29,20,79,Skipped,80,Skipped,4,18,Skipped,2,15,34,13,Skipped,10,22,Skipped,Skipped,11,24,Skipped,,
80,80,1,80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,6,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,9,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,11,80,4,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,7,,
80,2,80,80,35,28,80,80,80,18,80,30,40,80,39,80,80,80,80,80,41,20,80,11,80,80,29,80,19,80,15,6,80,80,80,80,80,80,31,80,10,5,23,80,80,26,38,37,42,24,80,80,21,9,12,80,17,4,80,80,7,3,80,22,80,16,13,27,33,36,34,80,80,8,32,80,14,25,1,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,11,80,80,15,80,80,80,80,20,80,80,80,80,80,15,80,80,80,80,80,80,80,80,80,80,4,80,80,80,80,17,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,14,80,1,10,80,80,13,52,80,8,80,80,7,80,80,18,80,80,11,80,80,,
32,Skipped,29,13,30,14,Skipped,Skipped,Skipped,2,35,18,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,23,33,17,Skipped,Skipped,Skipped,22,7,30,Skipped,Skipped,26,21,Skipped,Skipped,Skipped,Skipped,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,16,Skipped,31,28,Skipped,Skipped,Skipped,11,Skipped,Skipped,10,27,Skipped,24,Skipped,36,25,Skipped,Skipped,3,5,12,6,Skipped,Skipped,20,Skipped,19,1,Skipped,Skipped,9,4,Skipped,,
80,80,80,80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,80,80,6,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,4,80,80,1,80,7,80,3,80,,
80,2,4,80,80,80,80,80,80,80,80,2,3,80,80,80,80,80,2,80,80,1,3,80,1,80,80,1,80,80,80,80,2,80,2,80,80,80,2,3,2,80,80,80,80,80,80,5,80,80,80,80,80,2,80,80,1,1,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,4,3,80,,
80,80,80,20,5,7,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,12,80,80,80,2,80,80,80,80,80,8,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,14,80,80,80,80,80,80,80,4,80,80,80,80,1,80,80,80,80,80,3,18,80,80,80,80,9,16,80,80,80,6,80,,
80,80,80,80,80,80,80,80,80,80,10,80,80,80,80,80,80,80,80,80,14,6,80,80,13,80,80,80,80,80,80,80,80,80,5,80,80,80,2,80,80,80,80,80,80,80,8,12,80,9,80,80,4,3,80,80,80,80,11,80,80,80,80,80,80,80,80,80,1,7,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,8,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,4,80,80,10,80,80,80,80,80,80,80,1,80,80,80,80,80,9,80,6,80,80,80,7,2,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,5,80,80,80,80,80,80,80,80,80,80,80,2,80,80,80,80,80,80,80,80,80,80,80,80,80,3,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80,80,4,80,80,80,80,80,80,,
15,10,59,59,27,50,59,66,73,7,35,47,79,73,73,46,61,79,49,21,30,22,44,59,79,59,37,19,18,79,6,41,26,66,45,79,71,49,39,51,3,32,8,52,66,29,5,34,17,31,80,66,14,9,70,13,28,4,33,62,25,60,49,36,42,12,20,23,1,66,38,11,79,24,2,74,48,40,16,43,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
