rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,Num Cands,Num Seats
3,53,53,5,53,5,53,53,53,53,10,53,53,10,3,1,53,53,53,53,53,53,2,53,8,53,53,53,53,4,53,53,53,53,53,53,53,53,53,53,53,53,53,5,53,53,53,53,53,53,53,53,53,,Unknown
8,53,53,53,53,1,53,53,53,53,53,53,53,4,5,53,6,53,2,53,53,53,53,53,53,53,53,53,53,53,53,53,7,53,53,53,53,53,53,53,53,53,3,53,53,53,53,53,53,53,53,53,53,,Unknown
52,52,52,52,52,52,52,52,52,2,52,52,52,52,5,1,52,52,52,8,52,52,6,52,52,52,52,52,52,9,52,52,7,52,52,52,4,52,52,52,52,52,52,52,52,53,52,2,52,52,52,52,52,,Unknown
1,18,50,50,7,12,50,13,8,50,9,50,5,17,50,50,50,50,50,6,50,21,53,1,50,50,51,50,50,10,53,11,50,14,1,52,50,16,50,50,50,50,15,50,19,50,20,50,4,50,50,50,50,,Unknown
1,53,53,11,53,53,53,53,53,53,53,53,53,4,53,8,53,53,13,53,53,53,53,53,53,53,53,53,53,9,53,12,53,53,53,53,53,53,2,3,53,10,53,53,6,53,53,53,53,53,53,7,5,,Unknown
28,51,28,26,13,28,5,25,12,51,51,51,51,8,18,51,2,16,51,51,1,4,51,51,14,28,51,9,51,7,28,19,52,51,53,22,51,15,28,21,51,23,10,24,3,27,17,6,20,10,51,51,51,,Unknown
53,5,53,53,53,49,53,45,51,53,3,53,44,47,53,53,53,53,43,4,53,48,53,53,50,53,53,53,53,42,53,53,53,1,53,53,53,53,53,53,53,53,2,53,46,53,53,53,53,52,53,53,53,,Unknown
53,53,53,53,53,53,53,5,4,53,3,53,53,6,53,53,53,53,4,53,53,53,53,1,3,53,53,53,53,6,53,53,53,53,2,53,53,53,2,53,53,2,53,53,53,53,53,53,53,53,53,53,53,,Unknown
36,48,53,45,5,44,22,15,37,53,35,53,53,9,53,53,53,53,24,53,53,53,53,53,53,26,53,49,53,53,6,51,53,53,53,39,53,53,53,15,52,53,1,4,34,53,3,2,53,1,53,32,53,,Unknown
5,4,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,1,2,53,53,53,53,53,53,9,53,53,10,53,53,8,53,53,53,53,53,53,6,53,53,53,53,3,53,53,53,53,53,53,7,53,,Unknown
53,53,53,53,53,53,53,14,10,53,4,53,2,9,53,53,53,53,16,7,18,53,6,53,1,53,53,19,53,11,53,17,53,5,12,53,53,13,1,53,53,53,3,53,53,53,8,53,53,3,53,53,15,,Unknown
13,53,53,53,5,53,53,53,53,2,21,23,9,8,53,53,22,53,53,53,6,14,53,53,3,53,15,12,53,20,53,16,53,53,53,11,53,53,53,53,53,7,53,4,17,53,53,1,19,53,53,18,10,,Unknown
9,3,53,8,6,1,53,20,13,17,21,53,53,7,53,53,53,53,53,53,53,53,53,53,53,53,11,15,53,18,53,2,19,53,53,10,53,5,53,53,53,53,53,53,14,16,53,53,53,53,53,12,4,,Unknown
12,53,53,2,22,53,53,10,53,14,53,53,53,8,53,53,16,53,23,53,53,53,7,53,4,19,53,21,53,53,53,9,5,53,6,11,53,20,53,1,53,13,25,53,17,53,53,18,53,24,53,3,15,,Unknown
53,53,53,53,53,53,10,53,20,53,53,53,5,25,53,53,53,53,6,53,53,11,53,53,1,53,53,53,53,53,53,10,53,53,53,53,53,53,53,53,53,53,53,2,1,53,53,53,53,53,53,12,53,,Unknown
5,10,31,31,3,31,32,22,34,33,16,14,23,8,52,24,31,48,53,12,42,36,9,31,44,23,1,15,45,31,39,7,21,50,38,13,40,11,6,2,46,19,47,43,41,31,49,35,20,37,51,4,23,,Unknown
53,53,53,53,53,53,53,53,5,53,53,53,53,3,53,53,53,53,4,53,53,53,53,53,6,53,53,53,53,1,53,53,53,53,53,53,53,53,3,53,53,3,2,53,53,53,53,53,53,53,53,53,53,,Unknown
26,53,26,26,53,53,53,8,26,26,5,53,53,53,53,53,26,53,6,3,26,26,11,26,9,4,26,53,53,2,53,53,12,53,53,53,53,27,1,7,53,26,53,26,26,53,53,26,10,53,53,26,26,,Unknown
4,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,3,53,53,53,53,53,8,53,53,53,53,2,53,53,6,53,53,53,53,53,5,1,53,53,7,53,53,53,53,53,53,53,53,53,53,,Unknown
53,53,53,53,53,5,53,53,53,53,4,53,6,3,53,53,53,53,2,53,53,53,53,53,53,53,53,53,53,53,53,53,53,6,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,1,53,53,53,,Unknown
2,53,53,53,53,53,53,53,53,53,53,53,6,5,53,53,53,53,53,53,7,53,53,53,53,53,53,53,53,3,4,53,53,9,53,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,53,8,,Unknown
53,53,53,53,53,53,53,50,53,53,7,53,53,13,49,53,52,53,3,53,53,53,1,53,53,5,48,53,11,12,53,53,10,4,53,53,53,53,6,51,47,8,2,53,53,53,14,53,53,9,53,53,15,,Unknown
53,53,53,53,53,53,53,53,53,53,53,53,53,3,53,53,53,53,53,53,53,53,53,53,4,53,53,53,53,53,53,53,53,53,53,2,53,53,1,53,53,53,53,53,53,53,53,53,53,53,53,53,5,,Unknown
2,53,53,53,53,53,4,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,3,53,53,53,1,53,53,53,53,53,53,53,,Unknown
17,12,10,34,27,36,42,35,11,1,26,19,9,1,33,11,28,53,1,20,38,31,18,25,1,29,21,15,43,14,41,7,16,8,5,1,37,3,6,22,43,1,23,30,2,13,24,40,32,23,39,4,1,,Unknown
53,53,53,53,53,53,53,53,53,53,53,53,1,53,2,6,53,53,53,53,53,53,53,53,4,53,53,53,53,8,53,53,53,53,53,53,53,5,53,53,53,7,53,53,53,53,53,53,53,53,53,53,53,,Unknown
53,53,53,53,53,3,53,6,53,53,8,53,53,53,1,8,13,53,4,5,53,53,53,53,11,53,53,53,53,5,12,53,7,53,53,53,53,53,2,53,53,53,53,53,53,53,53,53,53,53,53,53,53,,Unknown
53,7,16,21,28,53,53,53,1,35,30,53,3,31,25,17,53,53,5,53,9,2,19,24,53,34,22,26,21,53,21,28,53,4,33,23,18,12,53,6,53,53,11,20,8,32,31,53,53,53,53,13,10,,Unknown
53,53,53,53,53,53,53,53,53,53,53,53,2,53,53,1,53,53,53,53,53,53,53,53,5,53,53,53,53,53,53,53,53,3,53,53,53,53,4,53,53,53,53,53,53,53,53,53,53,53,53,53,53,,Unknown
53,53,53,53,53,53,53,53,2,3,53,53,53,53,53,53,1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,2,53,53,4,3,53,53,53,53,53,53,53,53,53,53,53,,Unknown
22,51,13,10,51,10,51,22,22,10,51,7,51,51,51,10,51,53,51,51,22,22,22,51,10,22,51,22,18,1,6,51,10,22,51,51,10,51,5,10,4,52,51,51,51,51,17,51,51,2,51,51,3,,Unknown
24,16,29,53,25,15,19,23,53,18,8,23,20,5,53,53,53,50,21,22,53,34,53,14,13,53,36,53,53,6,53,7,12,3,53,2,50,53,1,2,53,53,11,28,17,53,53,42,53,9,53,32,10,,Unknown
9,30,20,38,15,27,41,40,31,21,22,11,39,3,46,29,19,53,2,10,49,12,50,24,13,25,6,4,51,16,48,28,5,43,47,14,38,8,17,18,45,23,33,36,32,37,38,35,26,34,44,7,1,,Unknown
16,53,53,17,50,48,11,23,53,24,12,53,13,1,53,53,53,53,10,9,53,53,53,53,14,53,53,53,18,53,53,53,53,3,49,53,53,38,5,53,53,7,4,8,26,53,6,28,53,2,53,53,15,,Unknown
6,53,53,53,53,53,53,7,53,53,53,53,5,53,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,53,53,53,53,53,53,53,53,2,53,53,4,53,53,53,53,53,53,53,3,53,53,53,,Unknown
7,53,53,53,53,9,53,53,53,53,6,53,53,53,53,53,53,53,53,5,53,53,53,53,8,53,53,53,53,1,53,53,53,53,1,53,53,53,53,1,53,1,53,53,53,53,53,53,53,53,53,53,53,,Unknown
35,35,35,35,14,53,35,21,7,53,53,21,1,35,21,53,12,13,21,5,35,53,35,3,35,21,53,21,53,12,35,22,53,8,35,3,53,7,14,35,53,35,53,12,53,53,21,7,53,4,15,53,53,,Unknown
6,50,51,50,16,10,28,51,50,3,11,12,50,50,50,50,14,53,2,21,51,28,21,18,5,51,21,13,52,28,50,50,4,28,28,50,21,15,9,1,50,7,19,50,22,28,50,28,8,50,20,17,50,,Unknown
8,50,44,4,44,5,44,9,18,44,16,44,44,7,44,50,50,53,10,13,44,50,19,50,3,52,44,44,44,12,44,44,11,44,44,17,44,20,15,44,44,44,2,50,44,51,44,44,44,1,44,6,14,,Unknown
2,6,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,11,53,53,8,53,53,53,53,53,10,3,53,53,53,53,53,53,53,7,53,5,53,9,1,4,53,53,53,53,53,53,53,,Unknown
50,29,50,8,6,22,22,9,52,50,29,4,50,7,22,13,53,22,50,50,29,29,29,50,51,50,13,3,14,29,13,50,13,50,50,50,50,29,22,50,22,23,50,50,22,50,5,50,22,2,50,50,1,,Unknown
20,53,53,21,16,53,53,53,11,8,14,53,53,2,53,24,53,53,53,53,53,53,53,53,1,53,9,4,53,13,21,53,53,10,53,19,53,17,53,53,23,12,53,15,53,6,22,7,53,5,53,18,3,,Unknown
53,53,53,53,53,53,53,53,53,53,1,53,2,53,53,6,53,53,53,53,53,53,53,53,8,10,53,53,53,53,53,53,53,7,53,53,53,53,53,53,53,53,4,53,53,53,9,53,53,5,53,53,3,,Unknown
53,53,53,53,53,53,53,53,1,1,53,53,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,53,53,53,1,53,53,53,53,53,53,53,,Unknown
32,11,30,34,5,9,44,39,22,4,26,15,38,8,45,46,12,52,1,24,40,3,38,29,17,27,36,14,49,28,43,7,13,47,2,6,42,16,23,10,41,20,50,38,19,48,53,35,25,51,28,21,18,,Unknown
53,53,53,53,6,53,53,9,53,53,18,53,2,2,53,53,5,53,3,10,53,53,53,53,1,53,4,53,53,8,53,53,53,53,53,1,53,53,53,53,53,4,2,5,7,53,53,4,53,53,53,4,53,,Unknown
53,53,53,53,53,7,53,53,53,53,53,7,53,53,53,53,53,53,53,53,53,53,53,53,53,53,5,53,53,3,53,4,53,53,53,8,53,53,5,53,53,8,53,53,53,53,10,53,53,3,53,8,6,,Unknown
2,10,53,6,53,53,53,53,12,13,11,15,53,12,53,53,53,53,13,53,53,53,53,53,8,53,5,16,53,1,53,4,14,53,53,11,53,14,11,3,53,5,10,53,7,53,53,53,9,9,53,17,10,,Unknown
53,53,53,53,8,53,53,53,53,53,2,53,53,5,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,6,53,53,53,53,1,53,53,53,7,53,53,3,4,53,53,53,53,53,53,53,53,53,53,,Unknown
46,43,14,47,2,45,38,32,37,9,50,23,8,35,16,36,22,52,5,4,11,44,48,6,20,13,42,31,53,18,29,19,12,24,40,15,41,7,49,34,21,25,27,10,17,33,51,3,28,26,39,30,1,,Unknown
