rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,Num Cands,Num Seats
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,59,68,62,12,1,68,68,68,68,2,10,3,68,14,68,17,68,68,33,60,68,65,20,61,68,68,7,65,33,68,51,16,49,21,19,11,68,15,62,68,4,67,68,9,68,4,14,7,68,68,59,57,60,6,68,68,68,13,68,66,1,8,40,68,18,5,30,,
Skipped,Skipped,Skipped,10,Skipped,66,Skipped,Skipped,Skipped,64,3,63,65,Skipped,7,Skipped,2,12,Skipped,Skipped,Skipped,Skipped,68,68,Skipped,Skipped,Skipped,5,Skipped,Skipped,Skipped,67,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,11,9,Skipped,Skipped,Skipped,62,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,4,Skipped,Skipped,Skipped,20,Skipped,Skipped,1,Skipped,68,Skipped,Skipped,Skipped,Skipped,,
68,68,68,14,68,68,68,68,1,68,68,68,68,68,12,68,4,2,68,68,68,68,5,11,68,68,68,68,68,68,68,68,68,68,68,68,68,3,22,68,68,68,68,68,68,6,68,68,9,68,68,68,68,68,7,68,68,68,10,68,68,68,68,68,68,68,68,68,,
68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,,
68,68,51,51,49,51,68,51,51,68,51,68,1,51,68,51,51,51,51,68,51,51,51,68,51,51,51,2,68,51,51,68,68,51,68,50,51,68,51,51,68,1,1,51,68,51,68,51,51,68,51,51,68,51,51,51,51,1,51,68,68,68,51,51,68,51,51,51,,
60,61,61,21,2,61,61,61,19,60,2,61,3,19,19,60,15,12,60,60,60,61,61,62,60,67,60,2,61,60,12,13,60,61,68,4,12,50,60,60,61,3,61,60,18,4,3,60,3,22,4,11,19,60,4,61,60,20,61,60,60,1,13,19,21,60,19,67,,
68,68,68,67,68,68,1,68,68,68,68,68,68,3,68,68,33,10,68,68,68,68,68,68,68,68,68,40,30,68,53,10,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,39,68,68,68,68,68,68,68,68,68,68,68,68,68,32,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,16,68,68,5,68,2,68,68,68,11,7,68,68,68,68,68,68,68,14,68,68,68,68,68,68,68,68,68,6,68,1,68,68,68,68,68,68,10,4,13,68,3,68,12,68,68,17,68,68,68,68,68,15,68,9,68,68,68,68,8,68,,
68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,Skipped,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,6,2,68,68,68,68,68,68,68,68,68,68,68,7,68,68,68,68,68,68,68,68,68,68,68,1,68,68,4,68,68,68,68,8,68,9,68,68,68,68,68,68,68,68,3,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,5,,
13,68,68,68,3,68,68,68,20,6,2,68,16,68,68,68,15,68,68,68,68,68,68,68,68,68,68,68,68,68,68,10,68,68,68,6,21,68,68,68,68,5,68,68,12,68,1,68,21,68,17,12,68,23,18,68,68,68,68,68,68,4,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,3,68,68,68,68,68,1,2,1,2,68,65,68,3,68,5,10,15,2,68,68,68,2,49,60,68,68,68,68,2,55,6,5,10,7,52,2,2,5,68,68,10,3,67,1,62,7,68,66,10,68,11,68,17,3,68,68,1,68,68,68,1,25,68,9,68,3,,
1,1,1,1,40,1,5,1,51,1,67,1,1,17,1,1,40,1,1,1,1,1,1,1,1,1,1,10,66,1,10,1,1,1,1,10,30,1,1,1,30,56,1,1,1,1,1,10,1,1,35,1,66,1,35,1,1,68,1,1,1,45,1,1,6,1,1,1,,
68,68,68,12,68,68,21,21,68,12,21,68,68,12,68,68,68,68,68,68,21,68,21,68,68,22,68,68,68,68,68,21,68,68,68,68,68,68,68,12,21,68,68,12,68,21,1,12,21,68,68,68,68,12,68,68,12,68,68,68,68,68,68,68,12,12,12,12,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,1,68,68,4,68,6,68,68,9,68,68,68,8,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,68,68,68,8,68,68,68,68,68,68,68,68,68,68,68,68,68,7,68,1,68,68,68,68,68,68,68,68,3,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,6,68,68,10,68,68,3,68,68,7,68,68,68,68,68,68,68,Skipped,68,68,68,68,68,5,68,68,68,68,68,68,68,68,68,Skipped,68,Skipped,68,11,68,68,68,68,68,68,8,68,4,68,68,4,9,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,3,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,1,68,68,68,68,2,3,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,2,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
19,46,46,67,14,68,68,68,46,46,1,46,46,46,17,46,7,5,46,46,66,46,46,46,46,46,46,2,68,46,8,46,68,46,68,46,6,15,46,68,46,4,59,68,18,46,13,46,9,12,46,10,11,46,46,46,68,16,68,46,68,3,68,46,46,68,46,68,,
68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,5,68,68,68,68,68,1,15,2,68,68,68,68,10,68,68,68,68,68,68,68,68,68,4,68,68,68,11,68,68,68,14,12,18,68,68,68,6,68,68,68,13,7,68,68,17,68,16,68,68,8,68,68,68,68,68,68,3,68,68,68,68,9,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,6,6,8,68,68,68,3,68,68,68,68,5,1,68,68,68,68,68,68,68,68,68,4,68,68,68,68,9,68,68,1,68,2,68,68,68,68,68,68,2,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,66,68,68,68,68,68,65,67,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,63,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,64,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,Skipped,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,64,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,66,68,68,68,Skipped,68,68,68,Skipped,Skipped,Skipped,Skipped,68,Skipped,50,Skipped,68,68,68,68,68,68,Skipped,68,Skipped,68,Skipped,Skipped,20,68,Skipped,55,68,68,Skipped,Skipped,68,68,60,68,Skipped,Skipped,68,68,68,68,68,68,Skipped,68,68,Skipped,68,68,68,68,68,68,68,68,68,68,68,68,68,Skipped,Skipped,,
68,4,68,68,68,68,68,68,68,68,68,68,68,68,68,67,68,68,68,68,68,68,68,68,68,68,68,68,68,3,68,68,68,68,68,68,68,54,68,68,68,68,68,7,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,5,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,53,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
67,67,67,67,67,67,67,67,67,67,68,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,1,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,16,68,68,68,68,8,68,5,68,68,68,2,68,68,68,68,68,68,68,68,68,68,68,68,68,68,4,68,14,68,10,8,6,68,68,68,68,68,68,68,7,68,68,68,68,68,5,68,3,2,68,68,68,5,68,68,1,11,68,68,68,13,68,,
68,68,68,68,2,68,68,68,2,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,2,3,68,68,68,1,68,68,68,1,68,68,1,68,68,68,2,68,1,68,68,68,68,68,68,1,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,1,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,,
68,68,10,68,14,68,14,68,20,68,4,68,68,17,68,68,68,68,68,68,68,68,68,68,68,68,68,1,1,68,68,68,68,68,68,68,68,68,68,68,68,10,68,68,68,68,68,68,8,68,68,68,8,68,68,68,68,68,68,68,68,3,68,68,68,68,68,68,,
1,1,1,1,1,1,1,1,2,1,6,10,1,1,3,1,1,5,1,1,1,1,15,1,1,1,1,1,1,1,1,4,1,1,1,1,5,9,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,1,1,68,1,1,1,1,1,1,1,1,1,1,,
