rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,Num Cands,Num Seats
55,58,36,20,51,48,12,9,57,23,72,81,34,24,49,50,64,43,76,44,39,80,46,79,18,35,74,83,33,61,59,54,78,19,82,16,29,1,53,66,15,73,26,31,14,75,69,62,32,28,7,2,84,27,63,22,11,42,56,38,47,21,52,45,30,60,40,37,5,77,8,4,71,65,13,25,10,68,41,70,17,6,67,3,,
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,,
16,55,58,33,32,21,74,40,17,43,37,64,12,27,30,47,23,77,44,49,35,60,68,2,48,4,54,34,22,61,67,81,57,76,31,69,9,29,46,53,6,38,41,75,50,59,42,84,15,1,52,28,39,73,10,56,45,8,78,83,18,13,66,72,5,63,79,51,82,14,25,80,62,7,24,26,19,70,20,71,65,11,3,36,,
84,20,11,8,6,22,50,31,46,1,84,38,37,43,45,60,28,44,84,84,42,35,47,17,61,30,84,33,25,84,53,84,9,23,52,5,84,4,27,84,26,3,84,84,84,84,84,84,49,14,21,32,13,2,58,84,29,5,56,57,24,18,59,54,84,36,84,41,12,84,19,10,84,7,34,55,51,84,40,84,15,39,48,84,,
17,10,12,70,61,15,42,18,3,22,69,76,31,27,74,2,60,35,35,62,17,73,39,3,20,19,76,22,21,24,15,23,43,5,11,30,56,2,25,14,28,30,57,20,33,65,80,16,32,19,68,13,34,75,14,4,30,70,65,75,26,71,76,81,32,56,60,37,7,62,4,77,65,76,1,6,9,44,15,54,16,32,70,44,,
84,84,58,46,25,57,18,84,64,2,55,51,22,43,32,84,61,31,49,84,59,39,23,29,36,65,63,15,10,2,28,84,1,84,35,7,84,17,8,11,9,54,84,84,84,60,84,67,5,16,53,24,19,84,66,40,56,4,84,26,52,12,41,30,6,23,33,20,44,48,47,50,42,27,13,38,84,34,45,84,21,62,37,14,,
66,78,36,3,49,34,16,32,19,29,56,48,14,77,22,46,64,37,10,4,45,82,43,74,8,18,35,72,15,62,28,51,53,59,75,2,30,6,12,23,13,54,25,61,57,81,84,60,17,1,40,21,76,79,44,24,55,9,68,47,71,52,26,27,33,67,65,83,38,58,31,39,5,63,73,7,69,80,41,70,50,20,42,11,,
81,26,61,2,22,63,39,67,53,19,51,76,34,41,25,77,12,9,28,62,49,33,18,52,78,69,73,60,14,83,10,57,84,24,35,13,56,40,21,71,23,42,59,38,47,27,64,80,15,6,44,1,30,45,29,65,5,31,58,17,11,20,70,36,3,37,79,74,46,84,75,54,66,4,7,16,55,82,50,32,72,48,43,68,,
22,55,10,33,45,64,49,21,47,80,67,60,15,7,13,27,37,8,9,26,30,53,56,58,63,44,46,83,5,84,17,72,12,28,76,3,54,24,2,19,41,62,73,71,50,74,81,78,48,25,35,32,69,79,61,23,4,36,82,77,75,34,51,1,42,57,59,52,6,18,20,11,68,14,39,40,43,38,70,16,31,65,66,29,,
84,84,84,84,19,84,84,84,4,84,31,15,84,84,84,7,84,84,1,84,84,84,84,84,21,17,84,84,24,84,6,84,84,84,84,14,84,5,84,84,84,84,84,3,84,84,84,84,84,23,84,84,84,84,84,84,8,9,84,84,84,84,84,84,84,84,84,84,22,84,84,84,84,84,84,20,84,84,84,84,16,84,2,10,,
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,2,84,84,84,84,1,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,,
15,84,84,84,24,84,18,84,84,26,84,84,84,84,25,84,32,84,27,8,35,84,28,34,84,84,17,84,10,33,84,84,84,84,84,84,84,6,9,13,4,84,5,84,31,84,2,3,84,84,84,84,84,84,84,7,22,29,21,84,84,84,12,84,84,30,23,14,84,84,84,16,84,84,84,84,11,84,84,1,20,84,84,19,,
60,72,32,46,35,14,15,4,51,70,68,43,5,41,50,20,29,18,44,7,37,66,26,56,28,52,42,82,57,17,78,55,8,9,53,21,49,27,19,2,39,54,40,48,34,67,76,83,24,23,16,58,77,75,65,38,1,73,79,69,22,10,30,3,81,13,45,71,36,80,12,25,47,64,11,6,33,62,63,59,61,74,84,31,,
73,68,14,33,7,69,51,12,15,80,72,62,17,54,26,41,52,39,4,61,37,66,47,58,10,34,57,84,2,59,18,79,27,3,77,23,60,43,22,10,24,33,71,50,53,67,75,6,33,5,16,1,65,35,30,28,40,83,64,74,45,13,48,20,78,56,82,29,55,46,36,8,81,42,25,31,63,70,76,49,19,38,44,21,,
51,59,18,55,44,36,1,20,40,61,79,53,12,25,71,22,69,14,32,64,78,24,27,29,15,46,70,54,50,80,33,48,81,23,28,2,73,9,4,7,3,5,56,30,60,63,72,76,13,39,37,8,49,38,57,19,43,26,67,35,65,62,75,16,77,84,45,83,6,82,11,68,58,42,21,17,74,34,47,31,52,66,41,10,,
84,84,84,84,12,84,8,84,84,84,84,84,84,18,21,84,84,84,84,84,84,9,84,20,16,84,84,84,84,84,13,84,84,84,84,84,19,4,84,2,7,5,84,84,84,84,84,84,3,84,84,84,84,84,84,84,84,11,84,84,6,84,84,84,84,84,84,84,1,84,84,84,84,84,10,14,22,84,84,84,84,84,84,84,,
45,59,15,24,14,49,39,22,36,51,79,84,11,56,73,58,25,53,23,1,37,68,12,62,28,74,84,84,5,9,17,48,43,29,47,4,67,65,2,6,61,75,46,40,77,71,78,13,34,63,26,8,84,84,70,55,10,42,57,76,19,84,38,18,66,32,41,27,50,44,21,7,69,30,3,16,52,54,64,72,60,20,35,31,,
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,1,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,,
31,9,42,18,72,24,52,4,23,76,47,70,26,12,46,66,68,39,67,8,15,77,52,29,3,69,58,28,52,33,60,6,75,43,80,2,48,61,63,11,60,79,63,57,38,41,13,19,55,1,39,32,82,36,64,14,65,81,22,74,45,84,17,60,78,27,55,34,7,16,25,57,10,83,21,63,55,73,43,56,30,36,52,5,,
84,70,84,1,84,70,7,40,17,84,75,41,66,15,14,84,84,84,78,84,40,84,84,11,22,16,84,84,83,80,84,13,68,84,84,10,84,5,84,84,19,84,84,84,84,84,82,3,8,43,49,12,43,22,40,6,65,84,84,48,71,22,42,4,84,84,84,40,2,18,52,84,84,84,20,9,84,84,84,84,22,57,84,60,,
34,74,26,18,10,52,16,21,15,48,73,35,40,3,23,37,45,44,66,62,32,25,4,57,54,11,59,67,31,83,27,83,64,47,77,7,84,22,5,42,13,24,71,60,78,46,76,83,2,36,14,20,41,49,70,51,9,33,79,28,17,72,75,12,43,63,53,83,8,55,39,30,56,19,1,29,58,69,61,68,6,38,50,65,,
84,84,84,23,15,84,5,19,3,19,84,20,10,12,8,25,15,21,67,84,7,11,12,20,84,11,84,23,20,84,33,84,84,7,84,6,84,3,4,10,2,10,84,84,84,84,84,84,1,17,12,6,84,84,33,84,16,20,84,9,13,25,84,27,14,13,84,84,14,11,15,24,25,6,7,84,62,31,8,84,10,84,5,8,,
24,26,34,42,28,47,59,53,45,49,1,15,11,37,60,39,70,30,3,80,50,63,44,36,10,38,72,82,4,23,58,48,41,25,76,13,83,40,5,22,17,35,71,73,77,78,67,84,19,52,21,6,65,79,56,2,69,7,75,57,61,81,64,55,68,16,20,14,54,43,62,74,32,33,51,8,29,27,46,66,12,18,31,9,,
