file,plurality,top4_plurality,IRV,top4_IRV,top-two,top4_top-two,borda-pm,top4_borda-pm,top-3-truncation,top4_top-3-truncation,condorcet,top4_condorcet,minimax,top4_minimax,smith,top4_smith,smith-minimax,top4_smith-minimax,ranked-pairs,top4_ranked-pairs
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover,MOORE Clover
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul,AMOS Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve,KRIEG Steve
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,POLLOCK Rob,HATCHER Mat,HATCHER Mat,HATCHER Mat,POLLOCK Rob,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat,HATCHER Mat
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,HOMER Chris,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne,SALIBA Marianne
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue,MOORE Sue
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert,BELL Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,FINDLEY Amanda,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul,GREEN Paul
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta,PINSON Peta
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert,MUSTOW Robert
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay,FRASER Kay
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Stephens-mayoral-finalpreferencedatafile.csv,PALMER Ryan,PALMER Ryan,PALMER Ryan,PALMER Ryan,PALMER Ryan,PALMER Ryan,PALMER Ryan,PALMER Ryan,PALMER Ryan,PALMER Ryan,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah,ANDERSON Leah
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Wollondilly-mayoral-finalpreferencedatafile.csv,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt,GOULD Matt
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Griffith-mayoral-finalpreferencedatafile.csv,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug,CURRAN Doug
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Hunters_Hill-mayoral-finalpreferencedatafile.csv,MILES Zac,MILES Zac,MILES Zac,MILES Zac,MILES Zac,MILES Zac,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard,QUINN Richard
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Cessnock-mayoral-finalpreferencedatafile.csv,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Newcastle-mayoral-finalpreferencedatafile.csv,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Willoughby-mayoral-finalpreferencedatafile.csv,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Maitland-mayoral-finalpreferencedatafile.csv,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Bellingen-mayoral-finalpreferencedatafile (1).csv,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Byron-mayoral-finalpreferencedatafile.csv,LYON Michael,LYON Michael,LYON Michael,LYON Michael,LYON Michael,LYON Michael,LYON Michael,LYON Michael,LYON Michael,LYON Michael,PUGH Asren,LYON Michael,LYON Michael,LYON Michael,PUGH Asren,LYON Michael,LYON Michael,LYON Michael,SWIVEL Mark,SWIVEL Mark
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Orange-mayoral-finalpreferencedatafile.csv,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Hornsby-mayoral-finalpreferencedatafile.csv,RUDDOCK Philip,RUDDOCK Philip,RUDDOCK Philip,RUDDOCK Philip,RUDDOCK Philip,RUDDOCK Philip,RUDDOCK Philip,RUDDOCK Philip,RUDDOCK Philip,RUDDOCK Philip,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Kempsey-mayoral-finalpreferencedatafile.csv,CAMPBELL Liz,CAMPBELL Liz,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Burwood-mayoral-finalpreferencedatafile.csv,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Wollongong-mayoral-finalpreferencedatafile.csv,BRADBERY Gordon,BRADBERY Gordon,BRADBERY Gordon,BRADBERY Gordon,BRADBERY Gordon,BRADBERY Gordon,BRADBERY Gordon,BRADBERY Gordon,BRADBERY Gordon,BRADBERY Gordon,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Liverpool-mayoral-finalpreferencedatafile.csv,MANNOUN Ned,MANNOUN Ned,MANNOUN Ned,MANNOUN Ned,MANNOUN Ned,MANNOUN Ned,HAGARTY Nathan,MANNOUN Ned,MANNOUN Ned,MANNOUN Ned,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Cootamundra.csv,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,COOKE Steph,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Murray.csv,EVANS Austin,EVANS Austin,EVANS Austin,EVANS Austin,EVANS Austin,EVANS Austin,EVANS Austin,EVANS Austin,EVANS Austin,EVANS Austin,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1701 LA Pref Data_NA_Gosford.csv,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1701 LA Pref Data_NA_North Shore.csv,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,WILSON Felicity,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn,CORRIGAN Carolyn
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1701 LA Pref Data_NA_Manly.csv,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,GRIFFIN James,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn,RIDGE Kathryn
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Blacktown.csv,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen,BALI Stephen
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Murray.csv,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Sydney.csv,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex,GREENWICH Alex
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Newtown.csv,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny,LEONG Jenny
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Balmain.csv,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie,PARKER Jamie
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Camden.csv,SIDGREAVES Peter,SIDGREAVES Peter,SIDGREAVES Peter,SIDGREAVES Peter,SIDGREAVES Peter,SIDGREAVES Peter,SIDGREAVES Peter,SIDGREAVES Peter,SIDGREAVES Peter,SIDGREAVES Peter,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally,QUINNELL Sally
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Maitland.csv,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny,AITCHISON Jenny
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Ku-ring-gai.csv,HENSKENS Alister,HENSKENS Alister,HENSKENS Alister,HENSKENS Alister,HENSKENS Alister,HENSKENS Alister,HENSKENS Alister,HENSKENS Alister,HENSKENS Alister,HENSKENS Alister,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda,KEELING Amanda
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Bega.csv,CONSTANCE Andrew,CONSTANCE Andrew,CONSTANCE Andrew,CONSTANCE Andrew,CONSTANCE Andrew,CONSTANCE Andrew,CONSTANCE Andrew,CONSTANCE Andrew,CONSTANCE Andrew,CONSTANCE Andrew,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne,ATKINSON Leanne
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Orange.csv,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip,DONATO Philip
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Goulburn.csv,TUCKERMAN Wendy,TUCKERMAN Wendy,TUCKERMAN Wendy,TUCKERMAN Wendy,TUCKERMAN Wendy,TUCKERMAN Wendy,TUCKERMAN Wendy,TUCKERMAN Wendy,TUCKERMAN Wendy,TUCKERMAN Wendy,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula,STEPHENS Ursula
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Kiama.csv,WARD Gareth,WARD Gareth,WARD Gareth,WARD Gareth,WARD Gareth,WARD Gareth,WARD Gareth,WARD Gareth,WARD Gareth,WARD Gareth,HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy),HIGGINS Anthony (Andy)
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Wollondilly.csv,SMITH Nathaniel,SMITH Nathaniel,SMITH Nathaniel,SMITH Nathaniel,SMITH Nathaniel,SMITH Nathaniel,SMITH Nathaniel,SMITH Nathaniel,SMITH Nathaniel,SMITH Nathaniel,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy,HANNAN Judy
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Fairfield.csv,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy,ZANGARI Guy
