ballotID,ballot_type,countingGroup,district,districtType,precinct,precinctPortion,votingLocation,rank1,rank2,numSeats,numCands
40020_00001_000048,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000030,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000003,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000053,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000031,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000012,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000049,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000032,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000015,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000052,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000033,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000013,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000055,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
40020_00001_000034,Ballot 45 - Type 45,Election Day,Judicial 2,Judicial,40-020 Kivalina,40-020 Kivalina,Region IV,"Olson, Donald C. ""Donny""",skipped,1,2
