ballotID,ward,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
4732,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
4736,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
4744,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
4799,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
4831,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
5042,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
5054,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
5574,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
5581,600,Jason Small,Mike Moore,Raju Charles,Ambroise Agosse,skipped,1,5
4753,600,Mike Moore,Jason Small,writein,Ambroise Agosse,skipped,1,5
31,600,Raju Charles,Mike Moore,Ambroise Agosse,Jason Small,skipped,1,5
62,600,Raju Charles,Mike Moore,Ambroise Agosse,Jason Small,skipped,1,5
1430,600,Raju Charles,Mike Moore,Ambroise Agosse,Jason Small,skipped,1,5
4268,600,Raju Charles,Mike Moore,Ambroise Agosse,Jason Small,skipped,1,5
474,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,1,5
4007,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,1,5
4008,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,1,5
5014,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,1,5
5290,600,Mike Moore,Raju Charles,Ambroise Agosse,Jason Small,skipped,1,5
66,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
148,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
193,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
194,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
226,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
531,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
974,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
1091,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
1890,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
2157,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
2920,600,Raju Charles,Ambroise Agosse,Mike Moore,Jason Small,skipped,1,5
126,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,1,5
206,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,1,5
2996,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,1,5
3015,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,1,5
4402,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,1,5
4750,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,1,5
4760,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,1,5
5030,600,Ambroise Agosse,Raju Charles,Mike Moore,Jason Small,skipped,1,5
582,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
593,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
1274,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
1296,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
3444,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
3547,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
4475,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
4546,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
4692,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
4712,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
5614,600,Mike Moore,Ambroise Agosse,Raju Charles,Jason Small,skipped,1,5
34,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
63,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
579,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
806,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
2243,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
2869,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
3126,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
4225,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
5071,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
5724,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
6249,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
6250,600,Ambroise Agosse,Mike Moore,Raju Charles,Jason Small,skipped,1,5
2467,600,Ambroise Agosse,skipped,skipped,skipped,skipped,1,5
6335,600,Raju Charles,Jason Small,Ambroise Agosse,Mike Moore,skipped,1,5
788,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,1,5
1421,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,1,5
2504,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,1,5
4771,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,1,5
5488,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,1,5
5489,600,Jason Small,Raju Charles,Ambroise Agosse,Mike Moore,skipped,1,5
2592,600,Raju Charles,writein,Ambroise Agosse,Mike Moore,skipped,1,5
178,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,1,5
14,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,1,5
1422,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,1,5
2451,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,1,5
2922,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,1,5
2924,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,1,5
5073,600,Raju Charles,Ambroise Agosse,Jason Small,Mike Moore,skipped,1,5
82,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,1,5
3398,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,1,5
4009,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,1,5
4749,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,1,5
5027,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,1,5
5068,600,Ambroise Agosse,Raju Charles,Jason Small,Mike Moore,skipped,1,5
2719,600,Jason Small,Mike Moore,skipped,skipped,skipped,1,5
33,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
795,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
1061,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
1847,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
1848,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
2588,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
2681,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
2864,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
4444,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
4579,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
4774,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
4785,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
5010,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
5013,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
5032,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
5045,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
5046,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
5051,600,Jason Small,Ambroise Agosse,Raju Charles,Mike Moore,skipped,1,5
2698,600,Ambroise Agosse,Jason Small,Raju Charles,Mike Moore,skipped,1,5
2825,600,Ambroise Agosse,Jason Small,Raju Charles,Mike Moore,skipped,1,5
4693,600,Ambroise Agosse,Jason Small,Raju Charles,Mike Moore,skipped,1,5
4726,600,Ambroise Agosse,Jason Small,Raju Charles,Mike Moore,skipped,1,5
3555,600,Mike Moore,Jason Small,skipped,skipped,skipped,1,5
1,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
55,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
125,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
228,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
796,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
1060,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
1177,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
1278,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
1498,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
1721,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
1842,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
2444,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
2849,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
3313,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
3316,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
3850,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
4336,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
4368,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
4426,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
4737,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
4777,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
4778,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
4798,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
5048,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
5061,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
5062,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
5477,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
5919,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
6433,600,Mike Moore,Jason Small,Ambroise Agosse,Raju Charles,skipped,1,5
691,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
879,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1051,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1154,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1367,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1770,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1771,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1849,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1880,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1904,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1974,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
1995,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
2094,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
2095,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
2165,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
2219,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
2220,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
2391,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
2974,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
3100,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
3281,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
3324,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
3489,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
3532,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4284,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4500,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4649,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4730,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4741,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4761,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4776,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4801,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4824,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
4826,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
5049,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
5797,600,Jason Small,Mike Moore,Ambroise Agosse,Raju Charles,skipped,1,5
5668,600,Jason Small,Ambroise Agosse,Raju Charles,skipped,skipped,1,5
365,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,1,5
467,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,1,5
1030,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,1,5
1957,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,1,5
2246,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,1,5
2268,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,1,5
4654,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,1,5
4713,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,1,5
5378,600,Mike Moore,Ambroise Agosse,Jason Small,Raju Charles,skipped,1,5
917,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,1,5
1071,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,1,5
1078,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,1,5
3000,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,1,5
3358,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,1,5
4092,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,1,5
4538,600,Ambroise Agosse,Mike Moore,Jason Small,Raju Charles,skipped,1,5
444,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
510,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
1769,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
1922,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
2485,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
2677,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
3019,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
3549,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
3697,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
3704,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
4521,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
4547,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
4748,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
4808,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
4823,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
5031,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
6333,600,Jason Small,Ambroise Agosse,Mike Moore,Raju Charles,skipped,1,5
790,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
1224,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
1846,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
2332,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
2598,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
3216,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
3219,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
4456,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
4746,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
5813,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
5864,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
6074,600,Ambroise Agosse,Jason Small,Mike Moore,Raju Charles,skipped,1,5
2733,600,Ambroise Agosse,Raju Charles,Mike Moore,writein,skipped,1,5
2868,600,Raju Charles,Jason Small,Mike Moore,writein,skipped,1,5
2626,600,Ambroise Agosse,skipped,skipped,skipped,skipped,1,5
3094,600,Mike Moore,Jason Small,Ambroise Agosse,skipped,skipped,1,5
4152,600,Mike Moore,Jason Small,Ambroise Agosse,skipped,skipped,1,5
6311,600,Raju Charles,Jason Small,Ambroise Agosse,skipped,skipped,1,5
637,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
1808,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
1825,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
1864,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
2209,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
4013,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
4014,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
4231,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
4409,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
4470,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
5065,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
6310,600,Jason Small,Mike Moore,Ambroise Agosse,skipped,skipped,1,5
958,600,Jason Small,Raju Charles,Ambroise Agosse,skipped,skipped,1,5
2661,600,Mike Moore,Raju Charles,Ambroise Agosse,skipped,skipped,1,5
4474,600,Mike Moore,Raju Charles,Ambroise Agosse,skipped,skipped,1,5
562,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,1,5
1907,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,1,5
3186,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,1,5
6429,600,Mike Moore,Ambroise Agosse,Jason Small,skipped,skipped,1,5
789,600,Ambroise Agosse,Mike Moore,Jason Small,skipped,skipped,1,5
1056,600,Raju Charles,Mike Moore,Jason Small,skipped,skipped,1,5
3453,600,Raju Charles,Mike Moore,Jason Small,skipped,skipped,1,5
4501,600,Ambroise Agosse,Raju Charles,Jason Small,skipped,skipped,1,5
2743,600,Mike Moore,Raju Charles,Jason Small,skipped,skipped,1,5
4688,600,Mike Moore,Raju Charles,Jason Small,skipped,skipped,1,5
476,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,1,5
800,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,1,5
1038,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,1,5
2164,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,1,5
4432,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,1,5
4443,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,1,5
5281,600,Jason Small,Ambroise Agosse,Mike Moore,skipped,skipped,1,5
1888,600,Raju Charles,Ambroise Agosse,Mike Moore,skipped,skipped,1,5
