voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
5940,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5941,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5942,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5943,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5944,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5945,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5946,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5947,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5948,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5949,# ALTERNATIVE NAME 6: Allison Hunter (SNP),# ALTERNATIVE NAME 3: Stephen Dornan (Lab),# ALTERNATIVE NAME 1: Shaukat Butt (Lab),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5950,# ALTERNATIVE NAME 9: Patricia Mcintyre (Con),# ALTERNATIVE NAME 7: Will Jess (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5951,# ALTERNATIVE NAME 9: Patricia Mcintyre (Con),# ALTERNATIVE NAME 7: Will Jess (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
5952,# ALTERNATIVE NAME 9: Patricia Mcintyre (Con),# ALTERNATIVE NAME 7: Will Jess (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4,11
