file,plurality,top4_plurality,IRV,top4_IRV,top-two,top4_top-two,borda-pm,top4_borda-pm,top-3-truncation,top4_top-3-truncation,condorcet,top4_condorcet,minimax,top4_minimax,smith,top4_smith,smith-minimax,top4_smith-minimax,ranked-pairs,top4_ranked-pairs
american/Alaska/Alaska_08162022_HouseofRepresentativesSpecial.csv,"Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Begich, Nick","Begich, Nick","Begich, Nick","Begich, Nick","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S.","Peltola, Mary S."
american/Alaska/Alaska_11082022_HouseDistrict34.csv,"Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Tomaszewski, Frank J.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H.","Hopkins, Grier H."
american/Alaska/Alaska_11082022_HouseDistrict20.csv,"Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T.","Gray, Andrew T."
american/Alaska/Alaska_11082022_HouseDistrict21.csv,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C."
american/Alaska/Alaska_11082022_HouseDistrict35.csv,"Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E.","Carrick, Ashley E."
american/Alaska/Alaska_11082022_HouseDistrict19.csv,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G."
american/Alaska/Alaska_11082022_HouseDistrict31.csv,"Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L."
american/Alaska/Alaska_11082022_HouseDistrict25.csv,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M."
american/Alaska/Alaska_11082022_HouseDistrict24.csv,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan"
american/Alaska/Alaska_11082022_HouseDistrict30.csv,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J."
american/Alaska/Alaska_11082022_HouseDistrict18.csv,"Nelson, David","Nelson, David","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff"
american/Alaska/Alaska_11082022_HouseDistrict26.csv,"Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L.","Tilton, Cathy L."
american/Alaska/Alaska_11082022_HouseDistrict32.csv,"Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B.","Stapp, Will B."
american/Alaska/Alaska_11052024_StateHouseD40.csv,"Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq""","Burke, Robyn ""Niayuq"""
american/Alaska/Alaska_11082022_HouseDistrict33.csv,"Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""",unknown,"Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike""","Prax, Glenn M. ""Mike"""
american/Alaska/Alaska_11082022_HouseDistrict27.csv,"Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David","Eastman, David"
american/Alaska/Alaska_11082022_HouseDistrict40.csv,"Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""",unknown,"Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq""","Patkotak, Josiah B. ""Aullaqsruaq"""
american/Alaska/Alaska_11052024_StateHouseD33.csv,"Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""",unknown,"Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike""","Prax, Glenn ""Mike"""
american/Alaska/Alaska_11052024_StateHouseD27.csv,"Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L.","Underwood, Jubilee L."
american/Alaska/Alaska_11082022_HouseDistrict1.csv,"Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan""","Ortiz, Daniel H. ""Dan"""
american/Alaska/Alaska_11052024_StateHouseD26.csv,"Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy",unknown,"Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy","Tilton, Cathy"
american/Alaska/Alaska_11052024_StateHouseD32.csv,"Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will","Stapp, Will"
american/Alaska/Alaska_11052024_StateHouseD1.csv,"Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Bynum, Jeremy T.","Moran, Agnes C.","Moran, Agnes C.","Moran, Agnes C.","Moran, Agnes C.","Moran, Agnes C.","Moran, Agnes C.","Moran, Agnes C.","Moran, Agnes C.","Moran, Agnes C.","Moran, Agnes C."
american/Alaska/Alaska_11082022_SenateDistrictA.csv,"Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K.","Stedman, Bert K."
american/Alaska/Alaska_11052024_StateSenateJ.csv,"Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest","Dunbar, Forrest"
american/Alaska/Alaska_11052024_StateSenateH.csv,"Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt","Claman, Matt"
american/Alaska/Alaska_11082022_SenateDistrictC.csv,"Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary","Stevens, Gary"
american/Alaska/Alaska_11052024_StateHouseD3.csv,"Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""",unknown,"Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi"""
american/Alaska/Alaska_11052024_StateHouseD24.csv,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan",unknown,"Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan","Saddler, Dan"
american/Alaska/Alaska_11052024_StateHouseD30.csv,"McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J.","McCabe, Kevin J."
american/Alaska/Alaska_11052024_StateHouseD18.csv,"Nelson, David","Nelson, David","Nelson, David","Nelson, David","Nelson, David","Nelson, David","Nelson, David","Nelson, David","Nelson, David","Nelson, David","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff","Groh, Cliff"
american/Alaska/Alaska_11082022_HouseDistrict2.csv,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca"
american/Alaska/Alaska_11082022_HouseDistrict3.csv,"Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""",unknown,"Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi""","Story, Andrea ""Andi"""
american/Alaska/Alaska_11052024_StateHouseD19.csv,"Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G.","Mina, Genevieve G."
american/Alaska/Alaska_11052024_StateHouseD31.csv,"Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L.","Dibert, Maxine L."
american/Alaska/Alaska_11052024_StateHouseD25.csv,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.",unknown,"Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M.","Johnson, DeLena M."
american/Alaska/Alaska_11052024_StateHouseD2.csv,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca",unknown,"Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca","Himschoot, Rebecca"
american/Alaska/Alaska_11082022_SenateDistrictB.csv,"Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse",unknown,"Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse","Kiehl, Jesse"
american/Alaska/Alaska_11082022_GovernorLieutenantGovernor.csv,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom,Dunleavy/Dahlstrom
american/Alaska/Alaska_11082022_SenateDistrictQ.csv,"Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr.","Myers, Robert H. Jr."
american/Alaska/Alaska_11082022_SenateDistrictF.csv,"Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Kaufman, James D.","Park, Janice L.","Park, Janice L.","Park, Janice L.","Park, Janice L.","Park, Janice L.","Park, Janice L.","Park, Janice L.","Park, Janice L.","Park, Janice L.","Park, Janice L."
american/Alaska/Alaska_11052024_StateHouseD6.csv,"Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Vance, Sarah L.","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent","Johnson, Brent"
american/Alaska/Alaska_11052024_StateHouseD21.csv,"Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C.","Mears, Donna C."
