voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,num_positions
590,Kevin STELFOX Scottish National Party (SNP),George CARR Scottish Conservative and Unionist,Alison Elizabeth McBean EVISON Independent,Douglas FRASER Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
591,Kevin STELFOX Scottish National Party (SNP),George CARR Scottish Conservative and Unionist,Alison Elizabeth McBean EVISON Independent,Douglas FRASER Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
592,Kevin STELFOX Scottish National Party (SNP),George CARR Scottish Conservative and Unionist,Alison Elizabeth McBean EVISON Independent,Douglas FRASER Scottish Green Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
593,Kevin STELFOX Scottish National Party (SNP),David Allen NEILL Independent,Alison Elizabeth McBean EVISON Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
594,Kevin STELFOX Scottish National Party (SNP),David Allen NEILL Independent,Alison Elizabeth McBean EVISON Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
595,Kevin STELFOX Scottish National Party (SNP),David Allen NEILL Independent,Alison Elizabeth McBean EVISON Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
596,Kevin STELFOX Scottish National Party (SNP),David Allen NEILL Independent,Alison Elizabeth McBean EVISON Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
597,Kevin STELFOX Scottish National Party (SNP),David Allen NEILL Independent,Alison Elizabeth McBean EVISON Independent,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
598,George CARR Scottish Conservative and Unionist,Alison Elizabeth McBean EVISON Independent,Douglas FRASER Scottish Green Party,Dave STEWART ,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
599,Dave STEWART ,Shona EWEN Scottish Liberal Democrats,Alison Elizabeth McBean EVISON Independent,Yvonne ALLAN Scottish Labour Party,David Allen NEILL Independent,skipped,skipped,skipped,skipped,skipped,skipped,4
600,Kevin STELFOX Scottish National Party (SNP),Douglas FRASER Scottish Green Party,Leigh WILSON Alba Party for independence,Dave STEWART ,Alison Elizabeth McBean EVISON Independent,David Allen NEILL Independent,Yvonne ALLAN Scottish Labour Party,Shona EWEN Scottish Liberal Democrats,"Diane Elizabeth LAURENSON Scottish Family Party Pro-Family, Pro-Marriage, Pro-Life",George CARR Scottish Conservative and Unionist,Laurie CARNIE Scottish Conservative and Unionist,4
601,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
602,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
603,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
604,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
605,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
606,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
607,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
608,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
609,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
610,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
611,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
612,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
613,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
614,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
615,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
616,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
617,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
618,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
619,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
620,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
621,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
622,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
623,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
624,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
625,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
626,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
627,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
628,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
629,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
630,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
631,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
632,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
633,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
634,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
635,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
636,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
637,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
638,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
639,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
640,Kevin STELFOX Scottish National Party (SNP),Leigh WILSON Alba Party for independence,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,4
