Vote,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
971,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,2,6
972,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,MIKE MCCURDY,JASON TAYLOR,2,6
973,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
974,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,2,6
975,JASON TAYLOR,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,2,6
976,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,2,6
977,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
978,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
979,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,2,6
980,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
981,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
982,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
983,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
984,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,2,6
985,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,2,6
986,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,skipped,skipped,2,6
987,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,2,6
988,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
989,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
990,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
991,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
992,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,2,6
993,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,2,6
994,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,2,6
995,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
996,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX,JOSIE KOVASH,skipped,2,6
997,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
998,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
999,JASON TAYLOR,LUKE WOJCIECHOWSKI,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,2,6
1000,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,2,6
1001,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
1003,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1004,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1005,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,2,6
1006,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1007,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,JOSIE KOVASH,LUKE WOJCIECHOWSKI,2,6
1008,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,RANDALL FOX,2,6
1009,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,2,6
1010,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1011,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,2,6
1012,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1013,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1014,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,2,6
1015,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1016,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,2,6
1017,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1018,JASON TAYLOR,MIKE MCCURDY,RANDALL FOX,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,2,6
1020,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,JOSIE KOVASH,RANDALL FOX,MIKE MCCURDY,2,6
1021,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,RANDALL FOX,JOSIE KOVASH,2,6
