Vote,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
1359,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1360,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1361,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1362,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1363,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1364,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1365,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1366,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1367,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1368,JOSIE KOVASH,skipped,skipped,skipped,skipped,skipped,2,6
1369,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1370,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,2,6
1371,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,2,6
1372,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1373,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1374,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1375,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,2,6
1376,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1377,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1379,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1380,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,2,6
1381,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,2,6
1382,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1383,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1384,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1385,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1386,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1387,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1388,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,skipped,2,6
1389,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,skipped,2,6
1390,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,JOSIE KOVASH,skipped,2,6
1391,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1392,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,2,6
1393,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1394,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1395,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1396,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1397,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,2,6
1398,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1399,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1400,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,2,6
1401,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1402,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1403,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1404,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,2,6
1405,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1406,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1407,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1408,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1409,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1410,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,2,6
1411,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1412,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1413,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1414,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1415,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1416,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1417,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1418,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1419,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,skipped,skipped,2,6
1420,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1421,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1422,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1423,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1424,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1425,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1426,JASON TAYLOR,MIKE MCCURDY,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,2,6
1427,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1428,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1429,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1430,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped,2,6
1431,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JOSIE KOVASH,skipped,2,6
1432,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1433,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1434,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1435,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1436,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1437,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1438,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1439,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1440,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped,skipped,skipped,2,6
1441,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1442,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1443,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1444,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1445,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1446,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1447,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,2,6
1448,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1449,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,JOSIE KOVASH,skipped,2,6
1450,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1452,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1453,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1454,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,2,6
1455,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1456,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1457,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1458,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1459,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,2,6
1460,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1461,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1462,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1463,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1464,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,skipped,2,6
1465,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,2,6
1466,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1467,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1468,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1469,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1470,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,2,6
1471,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1472,JASON TAYLOR,ANTHONY CHARLES,skipped,skipped,skipped,skipped,2,6
1473,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1474,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,2,6
1475,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1476,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1477,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1478,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1479,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1480,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1481,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1482,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1483,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1484,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1485,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,2,6
1486,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1487,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1488,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1489,JASON TAYLOR,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1490,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,2,6
1491,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1492,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1493,MIKE MCCURDY,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,2,6
1494,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1495,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1496,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1497,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1498,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1499,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1500,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1501,JOSIE KOVASH,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1502,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1503,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,2,6
1504,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1505,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1506,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1507,LUKE WOJCIECHOWSKI,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1508,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1509,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1510,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1511,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1512,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1513,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1514,MIKE MCCURDY,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1515,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1516,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,2,6
1517,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1518,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1519,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,2,6
1521,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JOSIE KOVASH,skipped,2,6
1522,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1523,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,2,6
1524,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1525,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,2,6
1526,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1527,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,skipped,2,6
1528,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,2,6
1529,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1530,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1531,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,2,6
1532,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1533,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1534,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1535,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1536,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,2,6
1537,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1538,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1539,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped,2,6
1540,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1541,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1542,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1543,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1544,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,2,6
1545,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,JASON TAYLOR,skipped,2,6
1546,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,2,6
1547,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1548,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1549,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1550,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1551,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1552,JASON TAYLOR,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1553,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,2,6
1554,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1555,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1556,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1557,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,2,6
1558,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1559,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1560,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1561,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1562,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,2,6
1563,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1564,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1565,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1566,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1567,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1568,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1569,MIKE MCCURDY,skipped,skipped,skipped,skipped,skipped,2,6
1570,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1571,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1572,JASON TAYLOR,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1573,LUKE WOJCIECHOWSKI,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1574,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1575,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1577,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1578,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1579,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1580,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1581,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1582,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,skipped,2,6
1583,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1584,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1585,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1586,ANTHONY CHARLES,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
1587,MIKE MCCURDY,JASON TAYLOR,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,2,6
1588,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,2,6
1589,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,skipped,skipped,2,6
1590,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1591,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,skipped,2,6
1592,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,2,6
1593,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,2,6
1594,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,2,6
1595,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,skipped,skipped,2,6
1596,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,2,6
1597,JOSIE KOVASH,LUKE WOJCIECHOWSKI,JASON TAYLOR,ANTHONY CHARLES,MIKE MCCURDY,skipped,2,6
1598,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,skipped,2,6
1599,JASON TAYLOR,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,skipped,skipped,2,6
1600,MIKE MCCURDY,JASON TAYLOR,skipped,skipped,skipped,skipped,2,6
1601,JASON TAYLOR,MIKE MCCURDY,ANTHONY CHARLES,skipped,skipped,skipped,2,6
1602,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,2,6
