Index,rank1,rank2,rank3,rank4,Num cands,Num seats
GE69,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE70,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE71,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE72,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE73,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE74,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE75,HALE ROBISON,skipped,skipped,skipped,3,2
GE76,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE77,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE78,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE79,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE80,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE81,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE82,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE83,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE84,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE85,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE86,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE87,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE89,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE90,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE92,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE93,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE94,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE96,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE97,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE98,DARON S. HUGHES,HALE ROBISON,skipped,skipped,3,2
GE99,DARON S. HUGHES,HALE ROBISON,skipped,skipped,3,2
GE100,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE101,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,3,2
GE102,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE103,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE104,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE105,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE106,GRANT LUNDBERG,DARON S. HUGHES,skipped,skipped,3,2
GE107,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE108,HALE ROBISON,skipped,skipped,skipped,3,2
GE109,HALE ROBISON,DARON S. HUGHES,skipped,skipped,3,2
GE110,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE111,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE112,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE113,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE114,HALE ROBISON,skipped,skipped,skipped,3,2
GE115,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE116,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE117,HALE ROBISON,skipped,skipped,skipped,3,2
GE118,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE119,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE120,HALE ROBISON,skipped,skipped,skipped,3,2
GE121,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE122,HALE ROBISON,skipped,skipped,skipped,3,2
GE123,HALE ROBISON,skipped,skipped,skipped,3,2
GE124,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE125,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE126,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE127,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE128,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE129,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,3,2
GE130,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE131,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE132,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE133,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE134,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE135,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE136,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE137,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE138,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE139,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE140,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE141,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE142,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE143,HALE ROBISON,DARON S. HUGHES,skipped,skipped,3,2
GE144,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE145,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE146,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE147,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE148,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE149,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE150,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE151,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE152,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE153,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE154,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE155,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE156,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE157,HALE ROBISON,DARON S. HUGHES,skipped,skipped,3,2
GE158,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE159,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE160,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE161,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE162,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE163,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE164,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE165,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE166,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE167,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE168,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE169,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE170,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE171,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE172,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE173,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE174,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE175,GRANT LUNDBERG,HALE ROBISON,skipped,skipped,3,2
GE176,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE177,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE178,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE179,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE180,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE181,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE182,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE183,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE184,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE185,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE186,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE187,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE188,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE189,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE190,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE191,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE192,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,3,2
GE193,HALE ROBISON,skipped,skipped,skipped,3,2
GE194,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE195,HALE ROBISON,skipped,skipped,skipped,3,2
GE196,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE197,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE198,HALE ROBISON,skipped,skipped,skipped,3,2
GE199,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE200,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE201,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE202,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE203,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE204,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE205,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE206,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE207,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE208,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE209,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE210,HALE ROBISON,DARON S. HUGHES,skipped,skipped,3,2
GE211,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE212,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE213,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE215,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE216,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE217,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE218,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE219,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE220,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE221,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,3,2
GE222,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE223,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE224,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE225,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE226,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE227,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE228,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE230,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE232,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE233,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE234,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE235,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE236,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE237,HALE ROBISON,skipped,skipped,skipped,3,2
GE238,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE239,DARON S. HUGHES,skipped,skipped,skipped,3,2
GE240,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE241,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE242,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE243,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE244,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE245,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE246,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE247,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE248,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE249,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE250,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE251,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE252,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE254,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE255,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE256,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE257,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE258,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE259,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE260,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE261,HALE ROBISON,DARON S. HUGHES,skipped,skipped,3,2
GE262,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE263,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE264,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE265,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE266,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE267,HALE ROBISON,DARON S. HUGHES,skipped,skipped,3,2
GE268,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE269,GRANT LUNDBERG,skipped,skipped,skipped,3,2
GE270,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE271,GRANT LUNDBERG,skipped,skipped,skipped,3,2
GE272,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE273,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE274,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE276,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE277,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE278,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE280,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE281,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE282,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE283,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE284,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE285,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE286,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE287,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE288,HALE ROBISON,skipped,skipped,skipped,3,2
GE289,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE290,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE291,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE292,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE293,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE294,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE295,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE296,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE297,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,3,2
GE298,HALE ROBISON,DARON S. HUGHES,skipped,skipped,3,2
GE299,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE300,HALE ROBISON,DARON S. HUGHES,skipped,skipped,3,2
GE301,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE302,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE303,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE305,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE306,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE307,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE308,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE309,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE310,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE311,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE312,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE313,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE314,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,3,2
GE315,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE316,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE317,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE318,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE319,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE320,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE321,HALE ROBISON,skipped,skipped,skipped,3,2
GE322,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE323,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE324,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,3,2
GE325,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
GE326,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE327,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE328,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE329,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE330,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE331,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE332,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE333,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE334,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE335,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE336,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,3,2
GE337,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE338,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE339,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE340,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE341,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,3,2
GE342,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,3,2
GE343,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE344,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,3,2
GE345,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,3,2
