Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num cands,Num seats
LE50,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE51,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,9,2
LE52,NICOLE KUNZE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE53,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE54,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE55,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,ETHAN M. ERICKSON,LORI MCINTOSH LE,9,2
LE56,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE57,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,9,2
LE58,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE59,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE60,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,MICHELLE MILES,9,2
LE61,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE62,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,skipped,skipped,skipped,skipped,9,2
LE63,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,9,2
LE64,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE65,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE66,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,ETHAN M. ERICKSON,PAUL HANCOCK,MONTANE C HAMILTON,9,2
LE67,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
