Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,Num cands,Num seats
LE5279,AARON BULLEN,ETHAN M. ERICKSON,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,skipped,skipped,9,2
LE5281,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,skipped,skipped,skipped,9,2
LE5282,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,skipped,9,2
LE5283,MICHELLE MILES,CHRIS CONDIE,ETHAN M. ERICKSON,NICOLE KUNZE,CAMI PURTSCHERT,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,skipped,9,2
LE5284,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE5286,CAMI PURTSCHERT,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5287,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5288,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,skipped,skipped,skipped,skipped,9,2
LE5289,AARON BULLEN,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,9,2
LE5290,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,9,2
LE5291,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,MONTANE C HAMILTON,skipped,9,2
LE5292,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,skipped,skipped,skipped,9,2
LE5293,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5294,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,CAMI PURTSCHERT,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE5295,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,9,2
LE5296,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,9,2
LE5297,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5298,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5299,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5300,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5301,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,ETHAN M. ERICKSON,9,2
LE5302,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,9,2
LE5303,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5304,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,9,2
LE5305,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,skipped,skipped,skipped,9,2
LE5306,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,skipped,9,2
LE5307,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,9,2
LE5308,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,LORI MCINTOSH LE,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,9,2
LE5309,NICOLE KUNZE,MONTANE C HAMILTON,MICHELLE MILES,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5310,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5311,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5312,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5313,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE5314,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,PAUL HANCOCK,9,2
LE5315,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE5316,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,CHRIS CONDIE,9,2
LE5317,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,9,2
LE5318,CHRIS CONDIE,LORI MCINTOSH LE,ETHAN M. ERICKSON,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,skipped,skipped,skipped,9,2
LE5319,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5320,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE5321,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,CAMI PURTSCHERT,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,9,2
LE5322,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5323,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5324,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5325,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5326,CHRIS CONDIE,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE5327,MICHELLE MILES,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5328,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5329,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,LORI MCINTOSH LE,9,2
LE5330,MICHELLE MILES,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5331,CAMI PURTSCHERT,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,9,2
LE5332,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5333,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,9,2
LE5334,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,ETHAN M. ERICKSON,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,9,2
LE5335,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,CHRIS CONDIE,skipped,skipped,9,2
LE5336,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,9,2
LE5337,CAMI PURTSCHERT,LORI MCINTOSH LE,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,9,2
LE5338,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5339,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,9,2
LE5340,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5341,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5342,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,CHRIS CONDIE,9,2
LE5343,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5344,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,MICHELLE MILES,9,2
LE5345,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,skipped,9,2
LE5346,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,NICOLE KUNZE,ETHAN M. ERICKSON,9,2
LE5347,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,9,2
LE5348,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5349,NICOLE KUNZE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5350,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5351,PAUL HANCOCK,LORI MCINTOSH LE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5352,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,ETHAN M. ERICKSON,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,9,2
LE5353,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5354,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,9,2
LE5355,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5356,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5357,MICHELLE MILES,PAUL HANCOCK,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,9,2
LE5358,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,9,2
LE5359,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,9,2
LE5360,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5361,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,AARON BULLEN,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,9,2
LE5362,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE5363,MONTANE C HAMILTON,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5364,MICHELLE MILES,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5365,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,9,2
LE5366,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5367,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,9,2
LE5368,AARON BULLEN,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE5369,AARON BULLEN,MICHELLE MILES,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,CHRIS CONDIE,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE5370,AARON BULLEN,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,9,2
LE5371,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,MONTANE C HAMILTON,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE5372,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,LORI MCINTOSH LE,9,2
LE5373,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE5374,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,9,2
LE5375,MICHELLE MILES,PAUL HANCOCK,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,9,2
LE5376,LORI MCINTOSH LE,NICOLE KUNZE,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5377,CHRIS CONDIE,MONTANE C HAMILTON,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,CAMI PURTSCHERT,PAUL HANCOCK,ETHAN M. ERICKSON,9,2
LE5379,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE5380,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,9,2
LE5381,MICHELLE MILES,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5382,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,CHRIS CONDIE,MONTANE C HAMILTON,CAMI PURTSCHERT,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,9,2
LE5383,MICHELLE MILES,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5384,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,skipped,skipped,skipped,9,2
LE5385,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,9,2
LE5386,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,skipped,skipped,skipped,9,2
LE5387,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,CHRIS CONDIE,LORI MCINTOSH LE,ETHAN M. ERICKSON,AARON BULLEN,9,2
LE5388,CAMI PURTSCHERT,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,ETHAN M. ERICKSON,9,2
LE5389,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,9,2
LE5390,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,LORI MCINTOSH LE,9,2
LE5391,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5392,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,9,2
LE5393,AARON BULLEN,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE5394,CHRIS CONDIE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5395,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,LORI MCINTOSH LE,NICOLE KUNZE,ETHAN M. ERICKSON,MONTANE C HAMILTON,PAUL HANCOCK,skipped,9,2
LE5396,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5397,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,NICOLE KUNZE,ETHAN M. ERICKSON,PAUL HANCOCK,CHRIS CONDIE,9,2
LE5398,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,9,2
LE5399,PAUL HANCOCK,LORI MCINTOSH LE,ETHAN M. ERICKSON,CHRIS CONDIE,CAMI PURTSCHERT,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,9,2
LE5400,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,CHRIS CONDIE,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5401,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5402,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,MICHELLE MILES,9,2
LE5403,ETHAN M. ERICKSON,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,9,2
LE5405,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,9,2
LE5406,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5407,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5408,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5409,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,CAMI PURTSCHERT,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,ETHAN M. ERICKSON,9,2
LE5410,MICHELLE MILES,CAMI PURTSCHERT,LORI MCINTOSH LE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,9,2
LE5411,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5412,PAUL HANCOCK,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,AARON BULLEN,LORI MCINTOSH LE,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE5413,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,9,2
LE5415,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,9,2
LE5416,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,skipped,skipped,9,2
LE5417,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,9,2
LE5418,MICHELLE MILES,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,9,2
LE5419,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,CHRIS CONDIE,MICHELLE MILES,ETHAN M. ERICKSON,PAUL HANCOCK,9,2
LE5420,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,9,2
LE5421,CHRIS CONDIE,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,CAMI PURTSCHERT,PAUL HANCOCK,ETHAN M. ERICKSON,skipped,9,2
LE5422,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,9,2
