Index,rank1,rank2,rank3,Num cands,Num seats
SP75,MATT PACKARD,skipped,skipped,3,1
SP76,RYAN MILLER,skipped,skipped,3,1
SP77,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP78,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP79,MATT PACKARD,skipped,skipped,3,1
SP81,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP82,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP84,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP85,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP86,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP87,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP88,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP89,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP91,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP93,MATT PACKARD,skipped,skipped,3,1
SP94,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP95,MATT PACKARD,skipped,skipped,3,1
SP96,MATT PACKARD,skipped,skipped,3,1
SP97,MATT PACKARD,skipped,skipped,3,1
SP98,MATT PACKARD,skipped,skipped,3,1
SP99,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP100,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP101,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP102,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP104,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP105,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP106,MATT PACKARD,skipped,skipped,3,1
SP107,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP109,MATT PACKARD,RYAN MILLER,skipped,3,1
SP110,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP111,MATT PACKARD,skipped,skipped,3,1
SP112,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP113,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP114,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP115,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP116,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP117,MATT PACKARD,skipped,skipped,3,1
SP118,MATT PACKARD,skipped,skipped,3,1
SP119,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP120,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP121,MATT PACKARD,skipped,skipped,3,1
SP122,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP123,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP124,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP125,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP126,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP127,MATT PACKARD,skipped,skipped,3,1
SP128,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP129,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP130,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP131,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP132,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP133,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP134,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP135,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP136,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP137,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP138,RYAN MILLER,skipped,skipped,3,1
SP139,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP140,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP141,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP142,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP143,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP145,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP146,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP147,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP148,MATT PACKARD,skipped,skipped,3,1
SP150,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP151,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP152,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP153,MATTHEW NORMAN BRADLEY,skipped,skipped,3,1
SP154,MATT PACKARD,skipped,skipped,3,1
SP155,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP156,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP158,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP159,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP160,MATT PACKARD,skipped,skipped,3,1
SP161,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP162,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP163,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP164,MATTHEW NORMAN BRADLEY,RYAN MILLER,skipped,3,1
SP165,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP166,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP167,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP168,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP169,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP170,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP171,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP172,MATTHEW NORMAN BRADLEY,skipped,skipped,3,1
SP173,MATT PACKARD,skipped,skipped,3,1
SP174,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP175,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP176,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP177,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP178,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP179,MATTHEW NORMAN BRADLEY,skipped,skipped,3,1
SP180,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP181,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP182,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP183,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP184,MATT PACKARD,skipped,skipped,3,1
SP185,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP186,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP187,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP188,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP189,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP190,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP191,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP192,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP193,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP194,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP195,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP196,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP197,MATT PACKARD,skipped,skipped,3,1
SP198,MATT PACKARD,skipped,skipped,3,1
SP199,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP200,MATT PACKARD,skipped,skipped,3,1
SP201,MATT PACKARD,RYAN MILLER,skipped,3,1
SP202,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP203,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP204,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP205,MATT PACKARD,skipped,skipped,3,1
SP206,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP207,MATT PACKARD,RYAN MILLER,skipped,3,1
SP208,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP209,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP210,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP211,MATT PACKARD,RYAN MILLER,skipped,3,1
SP212,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP213,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP214,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP215,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP216,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP217,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP218,MATT PACKARD,skipped,skipped,3,1
SP219,MATT PACKARD,skipped,skipped,3,1
SP221,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP223,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP224,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP225,MATT PACKARD,skipped,skipped,3,1
SP226,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP227,MATT PACKARD,skipped,skipped,3,1
SP228,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP230,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP231,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP232,MATT PACKARD,RYAN MILLER,skipped,3,1
SP233,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP234,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP235,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP236,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP237,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP238,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP239,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP240,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP241,MATT PACKARD,skipped,skipped,3,1
SP242,MATT PACKARD,skipped,skipped,3,1
SP243,MATT PACKARD,MATTHEW NORMAN BRADLEY,skipped,3,1
SP244,MATT PACKARD,skipped,skipped,3,1
SP245,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP246,MATT PACKARD,skipped,skipped,3,1
SP247,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP248,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP249,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP250,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP251,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP252,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP253,MATT PACKARD,RYAN MILLER,skipped,3,1
SP254,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP255,MATT PACKARD,skipped,skipped,3,1
SP256,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP257,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP258,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP259,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP260,MATT PACKARD,skipped,skipped,3,1
SP262,MATT PACKARD,RYAN MILLER,skipped,3,1
SP263,MATT PACKARD,skipped,skipped,3,1
SP264,MATT PACKARD,skipped,skipped,3,1
SP265,MATT PACKARD,skipped,skipped,3,1
SP266,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP267,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP268,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP269,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP270,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP271,MATT PACKARD,skipped,skipped,3,1
SP272,MATT PACKARD,skipped,skipped,3,1
SP273,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP274,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP275,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP276,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP277,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP278,MATT PACKARD,skipped,skipped,3,1
SP279,MATT PACKARD,MATTHEW NORMAN BRADLEY,skipped,3,1
SP280,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP281,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP282,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP283,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP284,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP285,RYAN MILLER,skipped,skipped,3,1
SP286,MATT PACKARD,skipped,skipped,3,1
SP287,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP288,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP289,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP290,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP291,MATT PACKARD,skipped,skipped,3,1
SP293,MATT PACKARD,RYAN MILLER,skipped,3,1
SP294,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP295,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP296,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP297,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP298,MATTHEW NORMAN BRADLEY,RYAN MILLER,MATT PACKARD,3,1
SP299,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP300,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP301,MATT PACKARD,RYAN MILLER,skipped,3,1
SP302,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP303,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP304,MATT PACKARD,RYAN MILLER,skipped,3,1
SP305,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP306,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP307,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP308,MATT PACKARD,RYAN MILLER,skipped,3,1
SP309,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP310,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP311,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP312,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP313,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP314,MATT PACKARD,skipped,skipped,3,1
SP315,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP316,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP318,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP319,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP320,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP321,MATT PACKARD,skipped,skipped,3,1
SP322,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP323,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP324,MATT PACKARD,skipped,skipped,3,1
SP325,MATT PACKARD,skipped,skipped,3,1
SP326,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP327,MATT PACKARD,skipped,skipped,3,1
SP328,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP329,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP330,MATT PACKARD,skipped,skipped,3,1
SP331,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP332,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP333,MATT PACKARD,RYAN MILLER,skipped,3,1
SP334,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP335,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP336,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP337,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP338,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP339,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP340,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP341,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP342,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP343,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP344,MATT PACKARD,skipped,skipped,3,1
SP345,MATT PACKARD,skipped,skipped,3,1
SP346,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP347,MATT PACKARD,skipped,skipped,3,1
SP348,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP349,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP350,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP351,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP352,MATT PACKARD,skipped,skipped,3,1
SP353,MATTHEW NORMAN BRADLEY,MATT PACKARD,RYAN MILLER,3,1
SP354,RYAN MILLER,skipped,skipped,3,1
SP355,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP356,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP357,MATT PACKARD,skipped,skipped,3,1
SP358,MATT PACKARD,skipped,skipped,3,1
SP359,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP360,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP361,MATT PACKARD,skipped,skipped,3,1
SP362,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP363,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
SP364,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP365,MATT PACKARD,skipped,skipped,3,1
SP366,RYAN MILLER,MATTHEW NORMAN BRADLEY,MATT PACKARD,3,1
SP367,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP368,MATTHEW NORMAN BRADLEY,skipped,skipped,3,1
SP369,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP370,MATT PACKARD,RYAN MILLER,MATTHEW NORMAN BRADLEY,3,1
SP371,MATT PACKARD,MATTHEW NORMAN BRADLEY,RYAN MILLER,3,1
SP372,RYAN MILLER,MATT PACKARD,MATTHEW NORMAN BRADLEY,3,1
