Vote,rank1,rank2,rank3,rank4,rank5,rank6,Num cands,Num seats
1024,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1025,JOSIE KOVASH,JASON TAYLOR,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,6,2
1026,LUKE WOJCIECHOWSKI,MIKE MCCURDY,JASON TAYLOR,JOSIE KOVASH,ANTHONY CHARLES,skipped,6,2
1027,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1028,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1029,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,MIKE MCCURDY,6,2
1030,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1031,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,6,2
1032,MIKE MCCURDY,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,6,2
1033,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1034,LUKE WOJCIECHOWSKI,JOSIE KOVASH,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,MIKE MCCURDY,6,2
1035,LUKE WOJCIECHOWSKI,JOSIE KOVASH,skipped,skipped,skipped,skipped,6,2
1036,JOSIE KOVASH,LUKE WOJCIECHOWSKI,RANDALL FOX,ANTHONY CHARLES,JASON TAYLOR,MIKE MCCURDY,6,2
1037,JASON TAYLOR,RANDALL FOX,ANTHONY CHARLES,JOSIE KOVASH,MIKE MCCURDY,LUKE WOJCIECHOWSKI,6,2
1038,ANTHONY CHARLES,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1039,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1040,JASON TAYLOR,MIKE MCCURDY,skipped,skipped,skipped,skipped,6,2
1041,JOSIE KOVASH,LUKE WOJCIECHOWSKI,MIKE MCCURDY,ANTHONY CHARLES,JASON TAYLOR,RANDALL FOX,6,2
1042,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,MIKE MCCURDY,RANDALL FOX,JASON TAYLOR,6,2
1043,LUKE WOJCIECHOWSKI,JOSIE KOVASH,JASON TAYLOR,skipped,skipped,skipped,6,2
1044,MIKE MCCURDY,LUKE WOJCIECHOWSKI,skipped,skipped,skipped,skipped,6,2
1045,LUKE WOJCIECHOWSKI,JASON TAYLOR,JOSIE KOVASH,MIKE MCCURDY,ANTHONY CHARLES,RANDALL FOX,6,2
1046,JASON TAYLOR,MIKE MCCURDY,LUKE WOJCIECHOWSKI,JOSIE KOVASH,RANDALL FOX,ANTHONY CHARLES,6,2
1047,JASON TAYLOR,skipped,skipped,skipped,skipped,skipped,6,2
1048,JOSIE KOVASH,LUKE WOJCIECHOWSKI,ANTHONY CHARLES,RANDALL FOX,JASON TAYLOR,MIKE MCCURDY,6,2
