Index,rank1,rank2,rank3,Num cands,Num seats
VI28,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI29,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI30,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI31,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI32,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI33,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI34,JULIE FULLMER,skipped,skipped,3,1
VI35,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI36,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,3,1
VI37,JULIE FULLMER,skipped,skipped,3,1
VI38,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI39,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI40,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI41,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,3,1
VI42,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI43,JULIE FULLMER,skipped,skipped,3,1
VI44,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI45,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI46,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI47,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI48,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI49,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,3,1
VI50,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI51,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI52,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI53,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI54,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI55,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI56,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI57,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI58,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI59,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI60,JULIE FULLMER,skipped,skipped,3,1
VI61,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI62,MARIA GUADALUPE CANE,skipped,skipped,3,1
VI63,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI64,JULIE FULLMER,skipped,skipped,3,1
VI65,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI66,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI67,MARIA GUADALUPE CANE,skipped,skipped,3,1
VI68,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI69,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI70,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI71,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI72,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI73,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI74,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI75,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI76,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI77,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI78,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI79,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI80,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI81,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI82,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI83,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI84,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI85,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI86,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI87,JULIE FULLMER,MARIA GUADALUPE CANE,skipped,3,1
VI88,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI89,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI90,JULIE FULLMER,skipped,skipped,3,1
VI91,JULIE FULLMER,skipped,skipped,3,1
VI92,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI93,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,3,1
VI94,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI95,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI96,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI97,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,3,1
VI98,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI99,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI100,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI101,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI102,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI103,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI104,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI105,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI106,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI107,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI108,JULIE FULLMER,skipped,skipped,3,1
VI109,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI110,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI111,JULIE FULLMER,skipped,skipped,3,1
VI112,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI113,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI114,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI115,JULIE FULLMER,skipped,skipped,3,1
VI116,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI117,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI118,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI119,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI120,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI121,JULIE FULLMER,skipped,skipped,3,1
VI122,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI123,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,3,1
VI124,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI125,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI126,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI127,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI128,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI129,JULIE FULLMER,skipped,skipped,3,1
VI130,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI131,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI132,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,3,1
VI133,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI134,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI135,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI136,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI137,MARC BRIMHALL,MARIA GUADALUPE CANE,skipped,3,1
VI138,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI139,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI140,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,3,1
VI141,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI142,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI143,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI144,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI145,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI146,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI147,JULIE FULLMER,skipped,skipped,3,1
VI148,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI149,JULIE FULLMER,skipped,skipped,3,1
VI150,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI151,JULIE FULLMER,skipped,skipped,3,1
VI152,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI153,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI154,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI155,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI156,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI157,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI158,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI159,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI160,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,3,1
VI161,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI162,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI163,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI164,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI165,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI166,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI167,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI168,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI169,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI170,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI171,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI172,JULIE FULLMER,skipped,skipped,3,1
VI173,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI174,JULIE FULLMER,skipped,skipped,3,1
VI175,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI176,JULIE FULLMER,skipped,skipped,3,1
VI177,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI178,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI179,MARC BRIMHALL,MARIA GUADALUPE CANE,skipped,3,1
VI180,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI181,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI182,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI183,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI184,JULIE FULLMER,skipped,skipped,3,1
VI185,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI186,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI187,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI188,JULIE FULLMER,skipped,skipped,3,1
VI189,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI190,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,3,1
VI191,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI192,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI193,JULIE FULLMER,skipped,skipped,3,1
VI194,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI195,JULIE FULLMER,skipped,skipped,3,1
VI196,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI197,JULIE FULLMER,skipped,skipped,3,1
VI198,JULIE FULLMER,skipped,skipped,3,1
VI199,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI200,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI201,JULIE FULLMER,skipped,skipped,3,1
VI202,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,3,1
VI203,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI204,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,3,1
VI205,JULIE FULLMER,skipped,skipped,3,1
VI206,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI207,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI208,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI209,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI210,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI211,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI212,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI213,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI214,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI215,JULIE FULLMER,skipped,skipped,3,1
VI216,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI217,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI218,JULIE FULLMER,skipped,skipped,3,1
VI219,JULIE FULLMER,skipped,skipped,3,1
VI220,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI221,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI222,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI223,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI224,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI225,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI226,JULIE FULLMER,skipped,skipped,3,1
VI227,JULIE FULLMER,skipped,skipped,3,1
VI229,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI230,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI231,JULIE FULLMER,skipped,skipped,3,1
VI232,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI233,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI234,JULIE FULLMER,skipped,skipped,3,1
VI235,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI236,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI237,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI238,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI239,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI240,JULIE FULLMER,skipped,skipped,3,1
VI241,JULIE FULLMER,skipped,skipped,3,1
VI242,JULIE FULLMER,skipped,skipped,3,1
VI243,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI244,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI245,JULIE FULLMER,skipped,skipped,3,1
VI246,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI247,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI248,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI249,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI250,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI251,JULIE FULLMER,skipped,skipped,3,1
VI252,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI253,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,3,1
VI254,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI255,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI256,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,3,1
VI257,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI258,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,3,1
VI259,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI260,JULIE FULLMER,skipped,skipped,3,1
VI261,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI262,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI263,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI264,JULIE FULLMER,skipped,skipped,3,1
VI265,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI266,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI267,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI268,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,3,1
VI269,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI270,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI271,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI272,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI273,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI274,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI275,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI276,JULIE FULLMER,MARIA GUADALUPE CANE,skipped,3,1
VI277,JULIE FULLMER,skipped,skipped,3,1
VI278,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI279,JULIE FULLMER,skipped,skipped,3,1
VI280,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI281,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI282,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI283,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI284,JULIE FULLMER,skipped,skipped,3,1
VI285,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI286,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI287,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI288,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI289,JULIE FULLMER,skipped,skipped,3,1
VI290,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI291,MARC BRIMHALL,skipped,skipped,3,1
VI292,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI293,JULIE FULLMER,skipped,skipped,3,1
VI294,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI295,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI296,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI297,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI298,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,3,1
VI299,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI300,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI301,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI302,JULIE FULLMER,skipped,skipped,3,1
VI303,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI304,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI305,JULIE FULLMER,skipped,skipped,3,1
VI307,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI308,JULIE FULLMER,skipped,skipped,3,1
VI309,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI310,JULIE FULLMER,skipped,skipped,3,1
VI311,JULIE FULLMER,MARIA GUADALUPE CANE,skipped,3,1
VI312,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI313,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI314,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI315,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI316,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI317,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI318,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI319,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,3,1
VI320,JULIE FULLMER,skipped,skipped,3,1
VI321,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI322,JULIE FULLMER,MARC BRIMHALL,skipped,3,1
VI323,JULIE FULLMER,skipped,skipped,3,1
VI324,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI325,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI326,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI327,JULIE FULLMER,skipped,skipped,3,1
VI328,JULIE FULLMER,MARIA GUADALUPE CANE,skipped,3,1
VI329,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,3,1
VI330,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,3,1
VI331,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI332,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,3,1
VI333,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI334,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI335,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI336,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI337,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI338,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI339,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI340,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI341,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI342,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI343,JULIE FULLMER,skipped,skipped,3,1
VI344,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI345,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,3,1
VI346,MARC BRIMHALL,JULIE FULLMER,skipped,3,1
VI347,JULIE FULLMER,skipped,skipped,3,1
VI348,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,3,1
VI349,MARC BRIMHALL,JULIE FULLMER,skipped,3,1
