file,numCands,plurality,plurality_rank,IRV,IRV_rank,top-two,top-two_rank,borda-pm,borda-pm_rank,top-3-truncation,top-3-truncation_rank,condorcet,condorcet_rank,minimax,minimax_rank,smith,smith_rank,smith-minimax,smith-minimax_rank,ranked-pairs,ranked-pairs_rank
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Sydney-mayoral-finalpreferencedatafile.csv,6,MOORE Clover,1,MOORE Clover,1,MOORE Clover,1,MOORE Clover,1,MOORE Clover,1,MOORE Clover,1,MOORE Clover,1,MOORE Clover,1,MOORE Clover,1,MOORE Clover,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Coffs_Harbour-mayoral-finalpreferencedatafile.csv,10,AMOS Paul,1,AMOS Paul,1,AMOS Paul,1,AMOS Paul,1,AMOS Paul,1,AMOS Paul,1,AMOS Paul,1,AMOS Paul,1,AMOS Paul,1,AMOS Paul,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,6,KRIEG Steve,1,KRIEG Steve,1,KRIEG Steve,1,KRIEG Steve,1,KRIEG Steve,1,KRIEG Steve,1,KRIEG Steve,1,KRIEG Steve,1,KRIEG Steve,1,KRIEG Steve,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,7,HATCHER Mat,1,HATCHER Mat,1,HATCHER Mat,1,HATCHER Mat,1,HATCHER Mat,1,HARRISON N (Tubby),4,HATCHER Mat,1,HARRISON N (Tubby),4,HATCHER Mat,1,HATCHER Mat,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,2,HOMER Chris,1,HOMER Chris,1,HOMER Chris,1,HOMER Chris,1,HOMER Chris,1,SALIBA Marianne,2,SALIBA Marianne,2,SALIBA Marianne,2,SALIBA Marianne,2,SALIBA Marianne,2
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,4,MOORE Sue,1,MOORE Sue,1,MOORE Sue,1,MOORE Sue,1,MOORE Sue,1,MOORE Sue,1,MOORE Sue,1,MOORE Sue,1,MOORE Sue,1,MOORE Sue,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,3,BELL Robert,1,BELL Robert,1,BELL Robert,1,BELL Robert,1,BELL Robert,1,BELL Robert,1,BELL Robert,1,BELL Robert,1,BELL Robert,1,BELL Robert,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Shoalhaven-mayoral-finalpreferencedatafile.csv,6,FINDLEY Amanda,1,FINDLEY Amanda,1,FINDLEY Amanda,1,FINDLEY Amanda,1,FINDLEY Amanda,1,GREEN Paul,2,GREEN Paul,2,GREEN Paul,2,GREEN Paul,2,GREEN Paul,2
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Macquarie-Hastings-mayoral-finalpreferencedatafile.csv,5,PINSON Peta,1,PINSON Peta,1,PINSON Peta,1,PINSON Peta,1,PINSON Peta,1,PINSON Peta,1,PINSON Peta,1,PINSON Peta,1,PINSON Peta,1,PINSON Peta,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Richmond_Valley-mayoral-finalpreferencedatafile.csv,2,MUSTOW Robert,1,MUSTOW Robert,1,MUSTOW Robert,1,MUSTOW Robert,1,MUSTOW Robert,1,MUSTOW Robert,1,MUSTOW Robert,1,MUSTOW Robert,1,MUSTOW Robert,1,MUSTOW Robert,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lake_Macquarie-mayoral-finalpreferencedatafile.csv,4,FRASER Kay,1,FRASER Kay,1,FRASER Kay,1,FRASER Kay,1,FRASER Kay,1,FRASER Kay,1,FRASER Kay,1,FRASER Kay,1,FRASER Kay,1,FRASER Kay,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Port_Stephens-mayoral-finalpreferencedatafile.csv,2,PALMER Ryan,1,PALMER Ryan,1,PALMER Ryan,1,PALMER Ryan,1,PALMER Ryan,1,ANDERSON Leah,2,ANDERSON Leah,2,ANDERSON Leah,2,ANDERSON Leah,2,ANDERSON Leah,2
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Wollondilly-mayoral-finalpreferencedatafile.csv,6,GOULD Matt,1,GOULD Matt,1,GOULD Matt,1,GOULD Matt,1,GOULD Matt,1,GOULD Matt,1,GOULD Matt,1,GOULD Matt,1,GOULD Matt,1,GOULD Matt,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Griffith-mayoral-finalpreferencedatafile.csv,5,CURRAN Doug,1,CURRAN Doug,1,CURRAN Doug,1,CURRAN Doug,1,CURRAN Doug,1,CURRAN Doug,1,CURRAN Doug,1,CURRAN Doug,1,CURRAN Doug,1,CURRAN Doug,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Hunters_Hill-mayoral-finalpreferencedatafile.csv,4,MILES Zac,1,MILES Zac,1,MILES Zac,1,QUINN Richard,3,QUINN Richard,3,QUINN Richard,3,QUINN Richard,3,QUINN Richard,3,QUINN Richard,3,QUINN Richard,3
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Cessnock-mayoral-finalpreferencedatafile.csv,4,SUVAAL Jay,1,SUVAAL Jay,1,SUVAAL Jay,1,SUVAAL Jay,1,SUVAAL Jay,1,SUVAAL Jay,1,SUVAAL Jay,1,SUVAAL Jay,1,SUVAAL Jay,1,SUVAAL Jay,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Newcastle-mayoral-finalpreferencedatafile.csv,6,NELMES Nuatali,1,NELMES Nuatali,1,NELMES Nuatali,1,NELMES Nuatali,1,NELMES Nuatali,1,NELMES Nuatali,1,NELMES Nuatali,1,NELMES Nuatali,1,NELMES Nuatali,1,NELMES Nuatali,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Willoughby-mayoral-finalpreferencedatafile.csv,3,TAYLOR Tanya,1,TAYLOR Tanya,1,TAYLOR Tanya,1,TAYLOR Tanya,1,TAYLOR Tanya,1,TAYLOR Tanya,1,TAYLOR Tanya,1,TAYLOR Tanya,1,TAYLOR Tanya,1,TAYLOR Tanya,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Maitland-mayoral-finalpreferencedatafile.csv,7,PENFOLD Philip,1,PENFOLD Philip,1,PENFOLD Philip,1,PENFOLD Philip,1,PENFOLD Philip,1,PENFOLD Philip,1,PENFOLD Philip,1,PENFOLD Philip,1,PENFOLD Philip,1,PENFOLD Philip,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,3,KENNEDY Tom,1,KENNEDY Tom,1,KENNEDY Tom,1,KENNEDY Tom,1,KENNEDY Tom,1,KENNEDY Tom,1,KENNEDY Tom,1,KENNEDY Tom,1,KENNEDY Tom,1,KENNEDY Tom,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Bellingen-mayoral-finalpreferencedatafile (1).csv,3,ALLAN Steve,1,ALLAN Steve,1,ALLAN Steve,1,ALLAN Steve,1,ALLAN Steve,1,ALLAN Steve,1,ALLAN Steve,1,ALLAN Steve,1,ALLAN Steve,1,ALLAN Steve,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Byron-mayoral-finalpreferencedatafile.csv,9,LYON Michael,1,LYON Michael,1,LYON Michael,1,LYON Michael,1,LYON Michael,1,SWIVEL Mark,2,LYON Michael,1,SWIVEL Mark,2,LYON Michael,1,SWIVEL Mark,2
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Orange-mayoral-finalpreferencedatafile.csv,7,HAMLING Jason,1,HAMLING Jason,1,HAMLING Jason,1,HAMLING Jason,1,HAMLING Jason,1,HAMLING Jason,1,HAMLING Jason,1,HAMLING Jason,1,HAMLING Jason,1,HAMLING Jason,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Hornsby-mayoral-finalpreferencedatafile.csv,2,RUDDOCK Philip,1,RUDDOCK Philip,1,RUDDOCK Philip,1,RUDDOCK Philip,1,RUDDOCK Philip,1,HEYDE Emma,2,HEYDE Emma,2,HEYDE Emma,2,HEYDE Emma,2,HEYDE Emma,2
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Kempsey-mayoral-finalpreferencedatafile.csv,7,CAMPBELL Liz,1,HAUVILLE Leo,2,HAUVILLE Leo,2,HAUVILLE Leo,2,HAUVILLE Leo,2,HAUVILLE Leo,2,HAUVILLE Leo,2,HAUVILLE Leo,2,HAUVILLE Leo,2,HAUVILLE Leo,2
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Burwood-mayoral-finalpreferencedatafile.csv,4,FAKER John,1,FAKER John,1,FAKER John,1,FAKER John,1,FAKER John,1,FAKER John,1,FAKER John,1,FAKER John,1,FAKER John,1,FAKER John,1
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Wollongong-mayoral-finalpreferencedatafile.csv,6,BRADBERY Gordon,1,BRADBERY Gordon,1,BRADBERY Gordon,1,BRADBERY Gordon,1,BRADBERY Gordon,1,BROWN Tania,2,BROWN Tania,2,BROWN Tania,2,BROWN Tania,2,BROWN Tania,2
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Liverpool-mayoral-finalpreferencedatafile.csv,5,MANNOUN Ned,1,MANNOUN Ned,1,MANNOUN Ned,1,HAGARTY Nathan,2,MANNOUN Ned,1,HAGARTY Nathan,2,HAGARTY Nathan,2,HAGARTY Nathan,2,HAGARTY Nathan,2,HAGARTY Nathan,2
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Cootamundra.csv,6,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,SHEAHAN Charlie,2,SHEAHAN Charlie,2,SHEAHAN Charlie,2,SHEAHAN Charlie,2,SHEAHAN Charlie,2
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Murray.csv,6,EVANS Austin,1,EVANS Austin,1,EVANS Austin,1,EVANS Austin,1,EVANS Austin,1,DALTON Helen,2,DALTON Helen,2,DALTON Helen,2,DALTON Helen,2,DALTON Helen,2
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1701 LA Pref Data_NA_Gosford.csv,6,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1701 LA Pref Data_NA_North Shore.csv,8,WILSON Felicity,1,WILSON Felicity,1,WILSON Felicity,1,WILSON Felicity,1,WILSON Felicity,1,CORRIGAN Carolyn,2,CORRIGAN Carolyn,2,CORRIGAN Carolyn,2,CORRIGAN Carolyn,2,CORRIGAN Carolyn,2
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1701 LA Pref Data_NA_Manly.csv,12,GRIFFIN James,1,GRIFFIN James,1,GRIFFIN James,1,GRIFFIN James,1,GRIFFIN James,1,RIDGE Kathryn,2,RIDGE Kathryn,2,RIDGE Kathryn,2,RIDGE Kathryn,2,RIDGE Kathryn,2
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Blacktown.csv,4,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Murray.csv,10,DALTON Helen,1,DALTON Helen,1,DALTON Helen,1,DALTON Helen,1,DALTON Helen,1,DALTON Helen,1,DALTON Helen,1,DALTON Helen,1,DALTON Helen,1,DALTON Helen,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Sydney.csv,6,GREENWICH Alex,1,GREENWICH Alex,1,GREENWICH Alex,1,GREENWICH Alex,1,GREENWICH Alex,1,GREENWICH Alex,1,GREENWICH Alex,1,GREENWICH Alex,1,GREENWICH Alex,1,GREENWICH Alex,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Newtown.csv,7,LEONG Jenny,1,LEONG Jenny,1,LEONG Jenny,1,LEONG Jenny,1,LEONG Jenny,1,LEONG Jenny,1,LEONG Jenny,1,LEONG Jenny,1,LEONG Jenny,1,LEONG Jenny,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Balmain.csv,6,PARKER Jamie,1,PARKER Jamie,1,PARKER Jamie,1,PARKER Jamie,1,PARKER Jamie,1,PARKER Jamie,1,PARKER Jamie,1,PARKER Jamie,1,PARKER Jamie,1,PARKER Jamie,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Camden.csv,7,SIDGREAVES Peter,1,SIDGREAVES Peter,1,SIDGREAVES Peter,1,SIDGREAVES Peter,1,SIDGREAVES Peter,1,QUINNELL Sally,2,QUINNELL Sally,2,QUINNELL Sally,2,QUINNELL Sally,2,QUINNELL Sally,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Maitland.csv,8,AITCHISON Jenny,1,AITCHISON Jenny,1,AITCHISON Jenny,1,AITCHISON Jenny,1,AITCHISON Jenny,1,AITCHISON Jenny,1,AITCHISON Jenny,1,AITCHISON Jenny,1,AITCHISON Jenny,1,AITCHISON Jenny,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Ku-ring-gai.csv,6,HENSKENS Alister,1,HENSKENS Alister,1,HENSKENS Alister,1,HENSKENS Alister,1,HENSKENS Alister,1,KEELING Amanda,2,KEELING Amanda,2,KEELING Amanda,2,KEELING Amanda,2,KEELING Amanda,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Bega.csv,6,CONSTANCE Andrew,1,CONSTANCE Andrew,1,CONSTANCE Andrew,1,CONSTANCE Andrew,1,CONSTANCE Andrew,1,ATKINSON Leanne,2,ATKINSON Leanne,2,ATKINSON Leanne,2,ATKINSON Leanne,2,ATKINSON Leanne,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Orange.csv,9,DONATO Philip,1,DONATO Philip,1,DONATO Philip,1,DONATO Philip,1,DONATO Philip,1,DONATO Philip,1,DONATO Philip,1,DONATO Philip,1,DONATO Philip,1,DONATO Philip,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Goulburn.csv,7,TUCKERMAN Wendy,1,TUCKERMAN Wendy,1,TUCKERMAN Wendy,1,TUCKERMAN Wendy,1,TUCKERMAN Wendy,1,STEPHENS Ursula,2,STEPHENS Ursula,2,STEPHENS Ursula,2,STEPHENS Ursula,2,STEPHENS Ursula,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Kiama.csv,5,WARD Gareth,1,WARD Gareth,1,WARD Gareth,1,WARD Gareth,1,WARD Gareth,1,HIGGINS Anthony (Andy),2,HIGGINS Anthony (Andy),2,HIGGINS Anthony (Andy),2,HIGGINS Anthony (Andy),2,HIGGINS Anthony (Andy),2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Wollondilly.csv,8,SMITH Nathaniel,1,SMITH Nathaniel,1,SMITH Nathaniel,1,SMITH Nathaniel,1,SMITH Nathaniel,1,HANNAN Judy,2,HANNAN Judy,2,HANNAN Judy,2,HANNAN Judy,2,HANNAN Judy,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Fairfield.csv,4,ZANGARI Guy,1,ZANGARI Guy,1,ZANGARI Guy,1,ZANGARI Guy,1,ZANGARI Guy,1,ZANGARI Guy,1,ZANGARI Guy,1,ZANGARI Guy,1,ZANGARI Guy,1,ZANGARI Guy,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Coogee.csv,8,NOTLEY-SMITH Bruce,1,O'NEILL Marjorie,2,O'NEILL Marjorie,2,O'NEILL Marjorie,2,O'NEILL Marjorie,2,O'NEILL Marjorie,2,O'NEILL Marjorie,2,O'NEILL Marjorie,2,O'NEILL Marjorie,2,O'NEILL Marjorie,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Cessnock.csv,5,BARR Clayton,1,BARR Clayton,1,BARR Clayton,1,BARR Clayton,1,BARR Clayton,1,BARR Clayton,1,BARR Clayton,1,BARR Clayton,1,BARR Clayton,1,BARR Clayton,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Maroubra.csv,7,DALEY Michael,1,DALEY Michael,1,DALEY Michael,1,DALEY Michael,1,DALEY Michael,1,DALEY Michael,1,DALEY Michael,1,DALEY Michael,1,DALEY Michael,1,DALEY Michael,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data The Entrance.csv,7,MEHAN David,1,MEHAN David,1,MEHAN David,1,MEHAN David,1,MEHAN David,1,MEHAN David,1,MEHAN David,1,MEHAN David,1,MEHAN David,1,MEHAN David,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Bathurst.csv,6,TOOLE Paul,1,TOOLE Paul,1,TOOLE Paul,1,TOOLE Paul,1,TOOLE Paul,1,TOOLE Paul,1,TOOLE Paul,1,TOOLE Paul,1,TOOLE Paul,1,TOOLE Paul,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Oatley.csv,5,COURE Mark,1,COURE Mark,1,COURE Mark,1,COURE Mark,1,COURE Mark,1,MANNERING Lucy,2,MANNERING Lucy,2,MANNERING Lucy,2,MANNERING Lucy,2,MANNERING Lucy,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Swansea.csv,5,CATLEY Yasmin,1,CATLEY Yasmin,1,CATLEY Yasmin,1,CATLEY Yasmin,1,CATLEY Yasmin,1,CATLEY Yasmin,1,CATLEY Yasmin,1,CATLEY Yasmin,1,CATLEY Yasmin,1,CATLEY Yasmin,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Blue Mountains.csv,7,DOYLE Trish,1,DOYLE Trish,1,DOYLE Trish,1,DOYLE Trish,1,DOYLE Trish,1,DOYLE Trish,1,DOYLE Trish,1,DOYLE Trish,1,DOYLE Trish,1,DOYLE Trish,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Miranda.csv,6,PETINOS Eleni,1,PETINOS Eleni,1,PETINOS Eleni,1,PETINOS Eleni,1,PETINOS Eleni,1,ARMSTRONG Jen,2,ARMSTRONG Jen,2,ARMSTRONG Jen,2,ARMSTRONG Jen,2,ARMSTRONG Jen,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Auburn.csv,5,VOLTZ Lynda,1,VOLTZ Lynda,1,VOLTZ Lynda,1,VOLTZ Lynda,1,VOLTZ Lynda,1,VOLTZ Lynda,1,VOLTZ Lynda,1,VOLTZ Lynda,1,VOLTZ Lynda,1,VOLTZ Lynda,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Barwon.csv,9,BUTLER Roy,1,BUTLER Roy,1,BUTLER Roy,1,BUTLER Roy,1,BUTLER Roy,1,BUTLER Roy,1,BUTLER Roy,1,BUTLER Roy,1,BUTLER Roy,1,BUTLER Roy,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Lakemba.csv,6,DIB Jihad,1,DIB Jihad,1,DIB Jihad,1,DIB Jihad,1,DIB Jihad,1,DIB Jihad,1,DIB Jihad,1,DIB Jihad,1,DIB Jihad,1,DIB Jihad,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Mount Druitt.csv,5,ATALLA Edmond,1,ATALLA Edmond,1,ATALLA Edmond,1,ATALLA Edmond,1,ATALLA Edmond,1,ATALLA Edmond,1,ATALLA Edmond,1,ATALLA Edmond,1,ATALLA Edmond,1,ATALLA Edmond,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Pittwater.csv,8,STOKES Robert,1,STOKES Robert,1,STOKES Robert,1,STOKES Robert,1,STOKES Robert,1,KORZY Miranda,2,KORZY Miranda,2,KORZY Miranda,2,KORZY Miranda,2,KORZY Miranda,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data East Hills.csv,7,LINDSAY Wendy,1,LINDSAY Wendy,1,LINDSAY Wendy,1,LINDSAY Wendy,1,LINDSAY Wendy,1,MURPHY Cameron,2,MURPHY Cameron,2,MURPHY Cameron,2,MURPHY Cameron,2,MURPHY Cameron,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Gosford.csv,6,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1,TESCH Liesl,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Monaro.csv,6,BARILARO John,1,BARILARO John,1,BARILARO John,1,BARILARO John,1,BARILARO John,1,WILSON Bryce,2,WILSON Bryce,2,WILSON Bryce,2,WILSON Bryce,2,WILSON Bryce,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Cootamundra.csv,6,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1,COOKE Steph,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Parramatta.csv,7,LEE Geoffrey,1,LEE Geoffrey,1,LEE Geoffrey,1,LEE Geoffrey,1,LEE Geoffrey,1,SCULLY Liz,2,SCULLY Liz,2,SCULLY Liz,2,SCULLY Liz,2,SCULLY Liz,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Epping.csv,5,PERROTTET Dominic,1,PERROTTET Dominic,1,PERROTTET Dominic,1,PERROTTET Dominic,1,PERROTTET Dominic,1,MASCARENHAS Alan,2,MASCARENHAS Alan,2,MASCARENHAS Alan,2,MASCARENHAS Alan,2,MASCARENHAS Alan,2
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Blacktown.csv,5,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1,BALI Stephen,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Wyong.csv,4,HARRIS David,1,HARRIS David,1,HARRIS David,1,HARRIS David,1,HARRIS David,1,HARRIS David,1,HARRIS David,1,HARRIS David,1,HARRIS David,1,HARRIS David,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data Lake Macquarie.csv,6,PIPER Greg,1,PIPER Greg,1,PIPER Greg,1,PIPER Greg,1,PIPER Greg,1,PIPER Greg,1,PIPER Greg,1,PIPER Greg,1,PIPER Greg,1,PIPER Greg,1
australia/processed_data/Australia_NewSouthWales_State_LegAssembly_2019/SGE2019 LA Pref Data North Shore.csv,9,WILSON Felicity,1,WILSON Felicity,1,WILSON Felicity,1,WILSON Felicity,1,WILSON Felicity,1,PETTIGREW Toby,4,PETTIGREW Toby,4,PETTIGREW Toby,4,PETTIGREW Toby,4,PETTIGREW Toby,4
