file,numCands,plurality,plurality_rank,IRV,IRV_rank,top-two,top-two_rank,borda-pm,borda-pm_rank,borda-om-no-uwi,borda-om-no-uwi_rank,borda-avg-no-uwi,borda-avg-no-uwi_rank,top-3-truncation,top-3-truncation_rank,condorcet,condorcet_rank,minimax,minimax_rank,smith_plurality,smith_plurality_rank,smith_irv,smith_irv_rank,smith-minimax,smith-minimax_rank,ranked-pairs,ranked-pairs_rank,bucklin,bucklin_rank,approval,approval_rank
raw_data/scotland/processed_data/w-lothian17-ballots/Ward8-Bathgate_w-lothian17-08.csv,10,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,['Harry CARTMILL (Lab)'],1,"['John MCGINTY (Lab)', 'William Hannah BOYLE (SNP)', 'Harry CARTMILL (Lab)']",multiple,['Harry CARTMILL (Lab)'],1
raw_data/scotland/processed_data/w-lothian17-ballots/Ward5-EastLivingstonandEastCalder_w-lothian17-05.csv,9,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,['Carl JOHN (SNP)'],4,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,['Dave KING (Lab)'],1,"['Carl JOHN (SNP)', 'Veronica SMITH (SNP)', 'Dave KING (Lab)', 'Frank ANDERSON (SNP)']",multiple,['Dave KING (Lab)'],1
raw_data/scotland/processed_data/w-lothian17-ballots/Ward9-ArmadaleandBlackridge_w-lothian17-09.csv,7,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1,['Stuart BORROWMAN (Ind)'],1
raw_data/scotland/processed_data/w-lothian17-ballots/Ward3-LivingstonNorth_w-lothian17-03.csv,9,['Alison ADAMSON (Con)'],1,['Robert DE BOLD (SNP)'],2,['Robert DE BOLD (SNP)'],2,['Robert DE BOLD (SNP)'],2,['Robert DE BOLD (SNP)'],2,['Robert DE BOLD (SNP)'],2,['Robert DE BOLD (SNP)'],2,['Robert DE BOLD (SNP)'],2,['Robert DE BOLD (SNP)'],2,['Alison ADAMSON (Con)'],1,['Robert DE BOLD (SNP)'],2,['Robert DE BOLD (SNP)'],2,['Robert DE BOLD (SNP)'],2,"['Andrew MILLER (SNP)', 'Robert DE BOLD (SNP)']",multiple,['Robert DE BOLD (SNP)'],2
raw_data/scotland/processed_data/glasgow12/Ward7Langside_glasgow12-07-recalc.csv,9,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,['Susan AITKEN (SNP)'],2,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,['Archie GRAHAM (Lab)'],1,"['Archie GRAHAM (Lab)', 'Susan AITKEN (SNP)']",multiple,['Archie GRAHAM (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward16Canal_glasgow12-16.csv,13,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,['Chris KELLY (Lab)'],1,"['Helen STEPHEN (Lab)', 'Chris KELLY (Lab)']",multiple,['Chris KELLY (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward20Baillieston_glasgow12-20.csv,11,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1,['James COLEMAN (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward21NorthEast_glasgow12-21.csv,10,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,['Maureen BURKE (Lab)'],1,"['Sohan SINGH (Lab)', 'Gerry LEONARD (Lab)', 'Maureen BURKE (Lab)']",multiple,['Maureen BURKE (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward17Springburn_glasgow12-17.csv,11,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,['Gilbert DAVIDSON (Lab)'],1,"['Gilbert DAVIDSON (Lab)', 'Allan STEWART (Lab)']",multiple,['Gilbert DAVIDSON (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward9Calton_glasgow12-09.csv,14,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1,['George REDMOND (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward1Linn_glasgow12-01.csv,10,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,['Malcolm Robert CUNNING (Lab)'],1,"['Malcolm Robert CUNNING (Lab)', 'Sadie DOCHERTY (Lab)']",multiple,['Malcolm Robert CUNNING (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward13Garscadden-Scotstounhill_glasgow12-13.csv,14,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,['Liz CAMERON (Lab)'],1,"['Liz CAMERON (Lab)', 'John KELLY (Lab)', 'Paul ROONEY (Lab)']",multiple,['Liz CAMERON (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward15Maryhill-Kelvin_glasgow12-15.csv,9,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1,['Martin RHODES (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward2Newlands-Auldburn_glasgow12-02.csv,12,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1,['Stephen CURRAN (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward14Drumchapel-Anniesland_glasgow12-14.csv,12,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,['Paul CAREY (Lab)'],1,"['Paul CAREY (Lab)', 'Jon FINDLAY(Lab)', 'Judith FISHER (Lab)']",multiple,['Paul CAREY (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward12PartickWest_glasgow12-12.csv,14,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,['Aileen COLLERAN (Lab)'],1,"['Feargal DALTON (SNP)', 'Martin BARTOS (Grn)', 'Aileen COLLERAN (Lab)']",multiple,['Aileen COLLERAN (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward5Govan_glasgow12-05.csv,15,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,['Allison HUNTER (SNP)'],2,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,['James ADAMS (Lab)'],1,"['James ADAMS (Lab)', 'Allison HUNTER (SNP)']",multiple,['James ADAMS (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward6Pollokshields_glasgow12-06.csv,9,['Hanif RAJA (Lab)'],1,['Norman MACLEOD (SNP)'],3,['Hanif RAJA (Lab)'],1,['Norman MACLEOD (SNP)'],3,['Norman MACLEOD (SNP)'],3,['Norman MACLEOD (SNP)'],3,['Norman MACLEOD (SNP)'],3,['Norman MACLEOD (SNP)'],3,['Norman MACLEOD (SNP)'],3,['Hanif RAJA (Lab)'],1,['Norman MACLEOD (SNP)'],3,['Norman MACLEOD (SNP)'],3,['Norman MACLEOD (SNP)'],3,"['Khalil MALIK (SNP)', 'Norman MACLEOD (SNP)']",multiple,['Norman MACLEOD (SNP)'],3
raw_data/scotland/processed_data/glasgow12/Ward4Craigton_glasgow12-04.csv,11,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1,['Matt KERR (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward19Shettleston_glasgow12-19.csv,11,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,['Frank MCAVEETY (Lab)'],1,"['Anne SIMPSON (Lab)', 'George RYAN (Lab)', 'Frank MCAVEETY (Lab)']",multiple,['Frank MCAVEETY (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward8SouthsideCentral_glasgow12-08.csv,11,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1,['James SCANLON (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward10Anderston-City_glasgow12-10.csv,12,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1,['Philip BRAAT (Lab)'],1
raw_data/scotland/processed_data/glasgow12/Ward18EastCentre_glasgow12-18.csv,12,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,['Frank DOCHERTY (Lab)'],1,"['Frank DOCHERTY (Lab)', 'Elaine MCDOUGALL (Lab)', 'Russell ROBERTSON (Lab)']",multiple,['Frank DOCHERTY (Lab)'],1
