australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Cessnock-mayoral-finalpreferencedatafile.csv,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay,SUVAAL Jay
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Newcastle-mayoral-finalpreferencedatafile.csv,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali,NELMES Nuatali
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Willoughby-mayoral-finalpreferencedatafile.csv,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya,TAYLOR Tanya
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Maitland-mayoral-finalpreferencedatafile.csv,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip,PENFOLD Philip
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Broken_Hill-mayoral-finalpreferencedatafile.csv,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom,KENNEDY Tom
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Bellingen-mayoral-finalpreferencedatafile (1).csv,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve,ALLAN Steve
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Byron-mayoral-finalpreferencedatafile.csv,LYON Michael,SWIVEL Mark,LYON Michael,SWIVEL Mark,LYON Michael,LYON Michael,NULL,ERROR,NULL,ERROR,LYON Michael,SWIVEL Mark,NULL,NULL,LYON Michael
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Orange-mayoral-finalpreferencedatafile.csv,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,NULL,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason,HAMLING Jason
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Hornsby-mayoral-finalpreferencedatafile.csv,RUDDOCK Philip,HEYDE Emma,RUDDOCK Philip,HEYDE Emma,RUDDOCK Philip,RUDDOCK Philip,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma,HEYDE Emma
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Kempsey-mayoral-finalpreferencedatafile.csv,CAMPBELL Liz,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,NULL,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo,HAUVILLE Leo
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Burwood-mayoral-finalpreferencedatafile.csv,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John,FAKER John
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Wollongong-mayoral-finalpreferencedatafile.csv,BRADBERY Gordon,BROWN Tania,BRADBERY Gordon,BROWN Tania,BRADBERY Gordon,BRADBERY Gordon,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania,BROWN Tania
australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Liverpool-mayoral-finalpreferencedatafile.csv,MANNOUN Ned,HAGARTY Nathan,MANNOUN Ned,HAGARTY Nathan,MANNOUN Ned,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan,HAGARTY Nathan
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Cootamundra.csv,COOKE Steph,SHEAHAN Charlie,COOKE Steph,SHEAHAN Charlie,COOKE Steph,COOKE Steph,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie,SHEAHAN Charlie
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1702 LA Pref Data_NA_Murray.csv,EVANS Austin,DALTON Helen,EVANS Austin,DALTON Helen,EVANS Austin,EVANS Austin,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen,DALTON Helen
australia/processed_data/Australia_NSW_LegAssembly_2017_ByElections/SB1701 LA Pref Data_NA_Gosford.csv,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl,TESCH Liesl
