rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,numSeats,numCands
34,34,34,34,34,34,34,34,2,34,34,2,1,34,34,34,34,34,34,34,34,4,2,34,34,34,1,34,34,3,34,34,34,34,,
27,10,27,27,30,31,1,27,4,7,27,27,27,27,27,27,34,10,2,8,27,27,3,27,27,7,5,5,30,27,27,34,34,9,,
9,10,34,34,34,7,34,14,34,34,34,34,34,34,34,34,34,34,8,1,12,4,5,2,13,6,34,34,34,11,34,3,34,34,,
33,4,28,29,32,8,32,22,22,27,28,11,17,27,22,24,26,11,27,12,20,23,24,29,9,2,10,23,33,19,29,32,29,25,,
29,29,31,29,32,29,2,29,29,29,29,1,34,29,29,4,29,33,29,5,29,29,7,6,8,29,3,31,29,29,29,30,29,29,,
34,1,34,34,34,9,4,10,34,8,34,6,34,34,34,34,34,34,34,34,3,34,34,34,10,2,34,34,34,34,34,34,34,34,,
20,10,34,34,34,34,34,20,34,15,34,34,34,34,34,34,34,34,34,34,15,34,34,34,34,1,34,34,34,34,34,34,34,34,,
26,4,26,8,26,Skipped,1,3,11,30,34,Skipped,26,31,Skipped,Skipped,7,Skipped,Skipped,12,Skipped,10,34,2,Skipped,28,26,6,34,34,9,34,5,34,,
34,5,34,34,34,3,34,34,34,34,34,34,34,34,34,34,34,34,34,34,4,34,1,34,34,34,34,34,34,2,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,2,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,,
34,2,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34,34,4,34,34,34,34,3,5,34,34,34,34,34,34,34,,
34,20,34,34,34,34,4,4,34,3,34,34,34,1,34,34,34,34,34,4,7,34,34,34,34,2,34,34,3,34,34,34,34,34,,
34,34,34,34,34,2,34,34,34,34,34,34,34,1,34,34,34,4,34,34,34,34,34,34,34,34,34,34,34,34,34,34,3,34,,
Skipped,15,Skipped,Skipped,Skipped,8,Skipped,34,14,1,Skipped,Skipped,10,5,5,12,Skipped,Skipped,6,11,3,4,Skipped,34,9,Skipped,Skipped,Skipped,1,Skipped,Skipped,13,Skipped,Skipped,,
27,19,14,34,27,15,4,3,23,22,17,9,12,1,2,24,13,21,7,32,11,5,32,28,33,10,17,17,8,25,33,6,20,32,,
25,25,34,25,25,25,25,25,25,2,34,25,25,1,34,25,25,25,34,34,34,25,25,34,25,25,34,25,3,25,25,25,25,25,,
34,28,34,34,34,34,34,34,23,8,6,34,34,34,34,34,34,34,34,34,1,7,9,34,3,22,34,34,8,34,2,34,5,34,,
34,34,34,34,34,7,34,34,34,5,34,4,2,34,34,10,8,34,6,34,1,34,34,34,34,34,3,34,9,34,34,34,34,34,,
34,9,34,34,7,5,10,3,34,4,34,34,34,34,34,34,34,34,34,34,11,34,34,34,34,34,34,7,Skipped,34,34,1,2,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
10,34,34,34,34,1,34,34,15,15,34,15,15,5,5,15,34,5,2,10,15,34,34,10,34,10,15,34,34,15,34,10,34,34,,
34,8,34,6,34,34,34,34,34,2,34,34,34,34,7,34,34,1,5,6,4,34,3,34,34,34,34,34,34,34,34,34,34,34,,
34,26,31,32,15,23,7,28,4,1,17,9,6,14,30,5,12,18,27,20,10,22,19,21,11,25,8,16,13,29,3,33,2,24,,
34,34,34,34,34,34,34,34,8,34,34,3,2,34,34,1,4,6,34,34,7,34,34,34,34,34,34,34,34,34,34,34,34,34,,
23,34,23,23,34,2,1,26,23,23,34,34,23,23,23,23,23,23,23,23,3,23,4,34,23,25,23,23,27,23,34,23,23,34,,
18,17,Skipped,Skipped,Skipped,12,Skipped,19,Skipped,5,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,11,8,13,Skipped,20,10,7,6,Skipped,4,5,9,16,3,15,14,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,8,Skipped,Skipped,1,4,3,6,34,Skipped,5,7,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
34,34,34,34,34,34,2,34,34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,3,1,4,34,34,34,34,34,34,34,34,2,34,5,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,6,1,34,34,34,4,34,34,34,7,34,34,3,34,34,34,34,34,34,34,34,34,34,34,34,2,34,34,5,,
34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34,34,2,34,34,,
34,34,34,34,34,34,34,34,34,5,34,3,3,34,34,3,4,5,34,34,1,34,34,34,34,2,3,34,34,34,34,34,5,34,,
18,6,34,34,23,34,2,12,21,8,34,17,20,25,13,19,34,3,5,26,26,9,26,11,12,1,22,15,4,10,26,34,15,34,,
Skipped,30,Skipped,Skipped,Skipped,3,5,Skipped,29,4,Skipped,Skipped,Skipped,Skipped,Skipped,31,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,6,1,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,3,34,34,34,34,34,34,34,2,34,34,4,1,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,3,34,34,34,2,34,34,34,34,34,,
34,2,34,34,34,1,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
9,30,7,32,30,11,30,30,30,6,30,30,30,1,30,30,30,30,30,10,30,4,30,2,5,34,30,30,31,3,30,8,33,30,,
34,34,34,34,34,5,3,34,34,1,34,34,34,6,34,34,34,34,15,7,10,4,8,34,34,34,34,34,34,34,34,34,2,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34,2,34,34,34,34,34,34,34,34,34,,
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,,
1,16,28,27,34,17,24,18,7,6,30,10,9,22,26,12,23,25,19,4,20,5,13,2,21,15,11,32,8,14,33,3,31,29,,
33,33,33,33,33,33,33,33,33,33,33,33,33,4,33,33,33,33,33,33,33,33,2,33,34,33,33,33,33,33,33,33,33,33,,
34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,,
34,34,Skipped,34,34,34,34,34,34,2,34,34,34,34,34,34,34,34,34,1,34,34,34,3,34,4,Skipped,34,34,34,34,5,34,34,,
34,28,34,34,34,24,34,17,34,34,34,34,22,34,34,27,34,10,20,34,1,28,2,32,34,16,34,34,33,34,34,34,34,34,,
34,34,10,6,34,8,34,2,34,34,34,34,9,12,34,34,34,34,34,34,7,34,34,11,34,11,34,34,4,5,3,1,34,34,,
34,34,34,34,34,2,7,34,34,34,34,34,34,1,34,34,34,34,4,5,34,34,8,6,34,34,34,34,34,3,34,34,34,34,,
2,34,34,34,34,34,34,34,34,4,34,34,34,3,34,34,34,34,34,3,34,34,34,3,2,34,34,34,34,34,34,1,34,34,,
34,5,6,34,Skipped,1,34,9,34,14,12,34,34,10,34,34,34,34,7,34,3,2,8,34,34,4,34,Skipped,Skipped,34,34,34,13,6,,
34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,1,34,34,34,34,34,,
34,34,34,34,34,2,8,5,34,7,34,34,34,34,34,34,11,34,34,34,34,4,10,34,34,34,34,34,6,1,34,3,34,34,,
34,34,34,34,34,4,26,3,34,1,34,34,34,7,1,34,34,7,6,34,5,34,34,34,2,34,34,34,1,34,34,34,5,34,,
34,21,34,34,34,1,3,2,34,7,34,34,34,34,34,34,34,19,5,9,13,34,34,10,14,4,34,34,34,12,34,34,34,34,,
33,8,15,27,29,12,10,3,21,1,30,17,21,25,26,22,20,18,7,6,4,14,19,34,31,5,16,28,2,11,32,9,13,24,,
34,34,34,34,34,34,3,1,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,2,34,34,34,34,34,34,34,34,,
