rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,numSeats,numCands
Skipped,Skipped,Skipped,Skipped,Skipped,8,10,7,5,9,Skipped,15,11,Skipped,3,Skipped,Skipped,16,Skipped,Skipped,Skipped,14,Skipped,Skipped,Skipped,Skipped,4,Skipped,2,Skipped,Skipped,6,Skipped,Skipped,Skipped,13,12,Skipped,Skipped,1,Skipped,Skipped,Skipped,Skipped,,
1,44,44,44,44,44,44,1,2,44,1,1,44,1,44,44,44,1,44,44,3,2,44,44,44,44,44,44,1,44,44,44,44,3,44,1,1,2,44,44,44,44,44,3,,
44,44,44,44,44,44,44,44,44,44,44,15,44,44,44,44,44,36,44,40,44,44,44,44,44,44,44,44,1,30,44,44,44,44,44,44,44,44,44,36,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,8,44,3,44,44,44,7,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,4,1,44,44,5,44,44,44,44,,
44,44,44,44,5,44,44,44,44,6,44,44,44,44,44,44,44,44,44,44,9,12,44,44,44,44,10,44,44,11,44,44,44,44,44,44,3,44,44,1,44,44,44,44,,
3,21,11,20,44,44,1,4,9,44,33,28,12,34,44,16,33,44,9,44,20,24,17,23,28,33,29,44,28,33,44,28,10,17,2,9,22,19,18,44,44,11,28,20,,
44,44,44,6,44,44,7,1,9,44,20,44,11,15,44,44,20,20,44,44,6,44,44,44,44,44,44,44,3,15,44,10,12,44,44,4,20,44,44,2,44,44,44,8,,
44,44,44,44,44,44,2,44,44,10,44,44,44,3,44,44,44,44,44,44,11,44,44,44,44,44,44,44,8,44,44,44,5,44,44,44,44,44,12,6,44,44,1,10,,
17,18,19,10,2,39,6,31,32,36,21,38,26,3,27,9,27,28,11,42,5,29,35,13,12,37,41,33,7,16,43,8,1,15,23,4,25,24,34,30,44,22,14,20,,
44,44,12,44,44,44,4,44,44,44,44,9,44,10,44,44,44,44,44,44,44,2,44,44,44,44,5,44,1,19,44,44,3,44,44,44,44,44,44,14,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,2,44,4,44,44,44,44,44,44,44,6,44,5,44,44,44,44,44,44,44,44,44,44,44,3,,
Skipped,10,Skipped,28,Skipped,Skipped,3,Skipped,8,Skipped,Skipped,12,40,38,43,Skipped,Skipped,11,Skipped,14,Skipped,Skipped,Skipped,Skipped,Skipped,4,2,Skipped,5,Skipped,Skipped,Skipped,41,33,Skipped,9,7,13,1,15,44,Skipped,Skipped,Skipped,,
15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,13,4,10,Skipped,19,2,5,6,Skipped,Skipped,11,Skipped,Skipped,Skipped,21,Skipped,8,Skipped,Skipped,17,7,14,22,1,Skipped,18,12,Skipped,16,23,20,9,3,42,Skipped,Skipped,Skipped,,
37,37,37,9,44,44,13,12,7,44,37,4,10,6,15,37,37,2,37,37,37,37,37,37,37,37,11,38,8,37,44,37,37,16,37,5,1,37,37,3,14,37,37,37,,
44,44,44,44,44,44,44,7,44,44,7,35,36,44,44,44,44,44,44,44,3,4,4,44,44,44,44,44,20,2,44,1,7,44,6,41,43,44,44,9,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,6,14,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,,
13,18,24,1,24,24,1,13,44,1,13,1,18,13,1,24,24,18,44,24,1,13,1,24,24,24,1,1,1,44,24,24,1,24,24,18,13,24,24,18,18,24,24,24,,
44,5,44,10,29,44,1,1,7,1,14,23,23,44,44,44,44,44,13,44,44,4,44,44,44,1,4,44,44,44,44,44,13,44,44,44,1,22,30,44,44,44,44,1,,
44,44,44,44,44,44,44,44,44,4,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,6,44,7,44,44,44,44,5,44,44,1,44,44,44,3,44,44,44,,
44,44,44,44,44,44,44,44,44,1,44,44,10,9,5,44,44,7,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,3,8,44,44,44,4,44,6,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
2,Skipped,43,3,8,18,17,9,22,Skipped,25,44,15,40,Skipped,5,10,42,21,19,16,41,14,Skipped,Skipped,Skipped,44,7,4,24,Skipped,6,11,Skipped,Skipped,12,23,Skipped,Skipped,1,44,20,Skipped,13,,
Skipped,5,Skipped,33,Skipped,Skipped,Skipped,Skipped,Skipped,12,Skipped,43,Skipped,7,15,Skipped,32,18,Skipped,44,Skipped,17,Skipped,Skipped,8,Skipped,2,Skipped,31,Skipped,Skipped,Skipped,6,Skipped,Skipped,Skipped,3,35,9,19,1,Skipped,16,Skipped,,
40,44,42,40,44,44,44,2,44,44,44,2,42,44,7,38,44,39,44,44,44,44,41,44,44,44,44,6,44,5,44,3,44,44,44,43,1,44,44,5,44,44,44,44,,
10,21,33,23,13,24,26,8,18,32,17,4,42,2,38,19,11,6,20,44,27,7,14,35,5,29,16,31,22,12,40,30,28,9,37,3,1,43,36,41,15,25,39,34,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,3,11,44,44,44,6,44,44,44,44,44,20,44,44,44,44,44,44,44,44,44,44,10,44,44,44,2,44,1,44,44,44,44,1,44,44,44,31,,
44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,1,44,44,44,44,44,44,,
44,44,44,44,44,44,44,3,44,44,44,6,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,7,44,44,2,5,44,44,44,4,44,44,1,44,44,44,44,,
44,44,44,44,44,44,44,6,44,44,44,7,44,44,11,44,1,4,44,44,44,5,44,44,44,44,44,9,2,8,44,44,44,44,44,44,10,44,44,3,44,44,44,44,,
44,44,44,44,44,44,7,4,44,44,44,5,44,44,44,2,44,44,44,18,44,10,44,44,44,44,44,44,6,44,44,1,20,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,3,44,44,44,44,6,44,44,8,5,44,44,44,44,44,44,44,44,44,44,44,44,7,44,44,44,1,44,44,2,44,44,44,44,44,44,44,44,,
2,44,44,44,4,44,1,12,44,44,44,44,44,5,44,44,44,44,44,44,44,44,44,44,44,44,8,44,6,3,44,44,10,44,44,11,9,44,44,7,44,44,44,44,,
42,28,26,16,32,43,3,19,13,30,22,14,21,8,29,17,15,33,4,20,18,12,27,31,34,38,39,40,5,35,11,24,7,25,41,2,9,6,10,1,44,23,37,36,,
7,7,Skipped,Skipped,3,5,2,1,Skipped,Skipped,3,1,5,1,Skipped,6,Skipped,Skipped,2,8,5,3,4,Skipped,10,Skipped,43,7,4,7,Skipped,2,Skipped,9,Skipped,9,Skipped,Skipped,Skipped,6,44,Skipped,5,Skipped,,
Skipped,Skipped,Skipped,9,Skipped,44,Skipped,30,6,Skipped,44,20,5,7,15,Skipped,44,6,Skipped,15,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,10,7,6,44,Skipped,Skipped,5,Skipped,Skipped,8,2,Skipped,Skipped,5,44,Skipped,Skipped,Skipped,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,3,4,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,5,1,Skipped,Skipped,Skipped,44,Skipped,Skipped,Skipped,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
9,21,33,10,41,24,21,7,15,38,16,3,5,12,20,21,25,14,21,32,33,6,33,26,31,34,43,17,2,13,41,33,11,33,41,4,1,28,27,8,44,30,19,18,,
15,Skipped,22,31,Skipped,1,21,5,4,44,24,8,12,14,9,Skipped,30,7,6,Skipped,20,Skipped,17,Skipped,18,28,10,Skipped,2,27,29,32,Skipped,16,19,13,3,23,26,11,44,Skipped,25,Skipped,,
44,44,44,1,11,44,44,8,44,44,10,7,44,44,3,44,44,44,44,44,44,44,44,44,44,44,44,44,9,44,44,6,5,44,44,44,4,44,44,2,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
3,44,43,44,9,27,10,1,28,44,8,2,31,30,24,4,44,7,26,44,13,32,44,44,44,44,44,23,11,5,44,12,44,44,15,37,29,44,44,6,44,44,44,44,,
21,10,25,22,6,26,7,2,34,43,17,1,9,31,38,13,40,24,13,21,21,14,16,41,21,33,28,36,27,21,42,3,5,37,4,29,32,35,30,26,44,13,39,8,,
15,22,44,20,6,44,25,44,44,44,8,44,44,19,44,44,44,44,20,44,44,44,44,44,14,44,44,44,26,44,19,44,44,44,44,23,3,44,44,44,44,44,44,44,,
12,44,44,44,44,44,44,9,44,44,6,5,44,44,44,14,44,13,44,7,10,1,44,44,44,44,44,44,3,44,44,44,4,44,44,11,2,44,44,8,44,44,44,44,,
38,41,38,10,38,44,11,4,20,8,16,1,7,12,42,22,17,19,18,13,38,2,6,38,38,38,39,40,5,38,38,21,9,38,38,14,15,23,38,3,43,38,38,38,,
38,27,41,25,17,44,34,29,41,29,9,1,42,35,42,36,31,34,40,40,39,2,41,41,40,40,42,34,5,39,38,43,4,35,41,41,10,3,42,8,43,42,41,26,,
12,10,Skipped,5,Skipped,Skipped,Skipped,11,9,7,Skipped,44,8,4,18,Skipped,Skipped,44,Skipped,6,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,Skipped,14,16,Skipped,Skipped,Skipped,Skipped,Skipped,3,1,Skipped,Skipped,13,17,Skipped,Skipped,15,,
43,2,43,43,44,43,43,43,43,3,43,43,43,42,43,43,43,43,43,43,43,43,43,43,43,43,1,8,43,43,43,43,43,40,43,43,41,43,7,43,43,43,4,43,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,42,44,44,44,,
44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,1,,
12,25,26,9,22,44,2,5,11,21,17,18,16,17,9,8,16,19,10,44,22,14,16,43,30,20,43,15,3,21,44,1,6,21,32,4,7,28,26,2,44,27,31,15,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
33,3,23,33,2,11,7,10,15,44,14,33,9,5,16,24,44,44,4,44,12,13,23,19,18,44,8,34,6,44,44,33,3,23,44,17,20,1,19,44,44,19,33,33,,
21,14,36,15,16,17,4,1,12,42,2,19,7,40,24,6,25,18,9,41,8,39,5,26,32,33,43,35,11,10,34,3,38,27,23,31,28,37,30,20,44,22,29,13,,
11,Skipped,Skipped,6,Skipped,7,Skipped,13,2,Skipped,9,16,15,14,Skipped,Skipped,5,12,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,4,8,Skipped,Skipped,Skipped,Skipped,Skipped,1,10,Skipped,Skipped,3,Skipped,Skipped,Skipped,Skipped,,
Skipped,Skipped,42,6,7,2,Skipped,44,8,32,Skipped,44,4,Skipped,37,Skipped,9,14,Skipped,36,Skipped,33,Skipped,Skipped,Skipped,Skipped,44,12,31,35,Skipped,Skipped,13,Skipped,Skipped,1,10,Skipped,Skipped,5,44,Skipped,3,30,,
44,44,15,44,11,44,44,5,16,11,8,2,44,7,44,44,44,1,44,44,13,44,44,44,44,44,44,3,6,4,44,44,44,44,9,44,17,44,44,10,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,,
44,44,44,44,24,44,44,44,44,44,25,44,44,10,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,17,44,44,26,44,44,44,6,44,44,44,44,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,3,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,,
6,Skipped,39,15,15,26,13,1,17,Skipped,12,2,21,16,21,9,20,19,16,44,14,24,10,26,23,24,44,11,8,20,44,7,22,18,Skipped,4,5,25,40,3,44,18,Skipped,17,,
44,44,10,44,11,44,44,44,44,44,44,44,44,9,12,44,44,44,44,44,44,3,44,44,44,44,44,5,4,7,44,44,44,8,44,44,2,1,44,44,6,44,44,44,,
44,44,8,9,44,44,2,44,3,44,44,10,7,44,44,44,44,6,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,1,5,44,44,44,44,44,,
44,44,44,44,44,44,44,44,20,20,44,44,44,44,44,44,44,20,44,44,44,44,44,44,44,44,44,44,20,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,,
Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,1,40,Skipped,10,9,42,Skipped,Skipped,Skipped,8,Skipped,Skipped,Skipped,43,Skipped,Skipped,Skipped,Skipped,41,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,2,3,Skipped,Skipped,Skipped,44,Skipped,Skipped,Skipped,,
44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,9,44,44,44,44,44,44,44,33,44,44,44,44,28,44,44,44,44,44,44,8,44,10,25,44,44,44,13,44,44,44,,
44,44,44,44,44,44,12,44,44,10,44,44,44,4,44,44,44,44,44,8,44,44,44,44,44,44,2,44,3,44,44,44,7,44,44,5,1,44,44,9,6,44,44,44,,
31,20,35,25,21,34,16,39,26,7,32,30,10,6,8,20,33,38,23,42,18,22,37,40,28,41,44,5,29,4,39,13,5,9,36,11,1,15,12,2,43,14,17,24,,
39,21,10,28,34,43,28,1,42,13,13,41,38,12,36,32,43,42,40,43,36,38,33,44,39,5,37,41,4,42,44,42,26,41,39,26,5,38,37,6,30,42,44,28,,
44,44,44,44,44,44,44,44,44,44,44,44,44,2,44,44,44,4,44,44,44,3,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,,
7,4,9,44,18,44,6,44,44,44,44,44,44,8,44,44,44,44,12,44,15,44,44,44,44,44,5,19,14,44,44,11,44,13,44,44,3,2,1,17,44,10,44,16,,
Skipped,Skipped,Skipped,Skipped,Skipped,35,Skipped,2,Skipped,15,25,5,19,40,Skipped,Skipped,Skipped,3,Skipped,Skipped,Skipped,27,Skipped,Skipped,Skipped,Skipped,44,Skipped,15,30,Skipped,Skipped,Skipped,Skipped,Skipped,25,1,Skipped,Skipped,9,43,Skipped,Skipped,21,,
44,44,44,44,44,44,2,44,44,44,44,44,44,12,14,44,44,44,16,44,44,44,44,44,44,44,44,44,44,44,44,44,25,44,44,44,1,44,44,44,44,44,44,13,,
38,2,4,24,8,40,25,38,19,39,6,5,12,8,42,14,38,13,11,17,24,9,24,20,1,38,43,10,38,15,40,38,16,20,38,18,44,3,20,38,41,20,38,38,,
44,11,44,44,44,44,7,1,8,44,44,44,6,44,44,3,44,44,44,44,44,10,44,44,44,44,44,44,44,44,44,44,11,44,44,9,44,4,44,5,44,44,44,2,,
44,44,44,44,44,44,44,44,44,44,44,44,8,3,44,44,44,44,44,44,44,4,44,44,44,44,6,44,44,44,44,44,44,2,44,5,9,7,10,44,1,44,44,44,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
20,Skipped,Skipped,10,Skipped,Skipped,14,11,16,7,Skipped,12,17,21,44,Skipped,15,4,18,44,Skipped,22,Skipped,Skipped,42,Skipped,19,43,13,6,Skipped,Skipped,8,Skipped,Skipped,3,1,Skipped,Skipped,5,41,Skipped,Skipped,Skipped,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
28,44,43,28,44,44,14,43,44,2,43,32,43,44,20,44,15,7,8,42,44,44,44,44,44,43,44,42,26,44,42,4,18,43,9,35,1,16,44,44,44,3,44,9,,
28,44,44,8,29,9,20,12,18,26,4,11,21,44,30,13,31,17,22,44,25,15,14,44,44,44,10,44,2,7,24,1,23,44,6,5,19,32,44,16,3,44,44,27,,
44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,,
42,36,43,10,39,11,15,1,14,44,3,5,19,20,38,13,38,4,34,44,29,18,20,43,34,39,42,14,6,39,37,42,12,25,40,5,2,28,41,5,44,16,41,22,,
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,1,44,44,44,44,44,44,44,44,3,44,44,44,44,44,2,44,44,44,44,44,44,44,44,44,44,44,44,,
7,38,37,15,27,23,20,2,21,42,14,4,32,9,29,13,17,19,18,40,16,28,11,31,25,12,44,10,8,33,41,5,35,26,34,6,3,24,39,1,43,30,36,22,,
18,33,44,Skipped,1,44,7,5,31,44,12,30,44,1,20,Skipped,Skipped,11,2,Skipped,12,27,17,11,22,Skipped,44,11,20,10,14,44,6,8,Skipped,4,5,9,4,13,44,10,10,44,,
8,44,44,20,44,16,18,4,9,11,44,44,3,15,14,5,44,2,19,44,44,44,44,44,44,44,17,44,10,44,44,44,12,44,44,6,1,44,44,7,44,44,44,13,,
44,44,44,7,44,13,10,4,44,44,44,6,44,1,44,44,44,44,44,44,44,44,44,8,44,44,11,44,44,44,44,44,44,2,44,44,5,3,44,9,44,44,44,44,,
26,18,44,5,44,28,11,25,13,4,44,22,10,1,16,30,15,21,29,27,23,14,44,44,20,32,42,7,2,8,6,44,3,12,44,43,19,24,17,9,44,44,31,44,,
Skipped,Skipped,12,8,Skipped,Skipped,Skipped,Skipped,41,40,Skipped,10,42,24,Skipped,Skipped,Skipped,37,Skipped,Skipped,Skipped,19,Skipped,Skipped,Skipped,Skipped,40,Skipped,44,Skipped,Skipped,Skipped,Skipped,Skipped,Skipped,43,1,Skipped,Skipped,2,43,Skipped,Skipped,Skipped,,
10,44,44,44,44,44,44,2,44,44,44,44,28,44,44,3,44,16,44,44,44,44,44,44,44,44,44,44,4,44,44,44,44,44,44,13,25,44,44,1,44,44,44,44,,
9,44,4,9,44,44,4,44,44,44,44,44,4,44,1,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,4,1,1,44,44,44,44,44,44,,
Skipped,6,43,2,44,44,13,8,4,44,Skipped,44,5,42,44,Skipped,2,44,Skipped,44,41,Skipped,Skipped,Skipped,Skipped,9,12,44,10,44,44,Skipped,Skipped,Skipped,44,1,7,Skipped,14,44,44,Skipped,Skipped,11,,
