"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","Num Cands","Num Seats"
"2","16","15","1","4","8","5","14","13","7","6","9","12","10","skipped","skipped","nan","nan"
"5","3","2","11","16","15","6","14","1","4","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","1","2","14","16","15","3","4","13","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","16","13","6","1","12","3","4","7","5","2","8","10","11","skipped","skipped","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","14","12","8","1","5","11","10","13","16","7","2","15","6","4","skipped","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","7","1","15","3","9","2","5","4","16","6","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","1","5","16","8","15","10","2","14","12","11","4","6","3","13","nan","nan"
"8","16","6","2","1","4","3","5","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","5","4","9","11","6","14","10","3","8","15","1","2","16","12","13","nan","nan"
"16","2","3","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","5","11","13","14","4","10","12","1","3","2","7","8","9","6","16","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","6","10","16","1","15","5","8","12","14","4","2","13","3","11","nan","nan"
"5","1","16","6","3","9","4","7","2","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","11","13","6","14","2","16","5","10","12","15","9","3","7","8","1","nan","nan"
"1","6","3","10","13","2","11","5","9","15","14","7","4","12","8","16","nan","nan"
"6","4","2","1","9","10","3","5","7","8","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","4","15","8","6","11","7","12","2","3","9","5","14","13","16","nan","nan"
"7","10","1","9","13","11","15","3","14","6","12","4","2","8","16","5","nan","nan"
"2","8","3","9","16","7","10","6","1","11","14","5","4","13","12","15","nan","nan"
"1","15","8","5","2","4","11","7","12","6","3","10","9","14","16","skipped","nan","nan"
"4","12","1","15","2","16","14","7","11","6","3","8","5","9","10","13","nan","nan"
"5","2","7","15","9","11","1","12","14","13","4","3","8","10","6","16","nan","nan"
"5","3","16","4","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","16","7","8","4","13","9","10","2","5","6","1","11","12","15","14","nan","nan"
"6","9","13","8","5","7","2","15","1","14","12","3","11","4","16","10","nan","nan"
"1","16","11","5","6","7","13","8","3","15","9","4","2","14","12","10","nan","nan"
"7","3","6","1","16","2","4","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","3","5","16","2","6","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","4","10","13","6","8","15","7","16","1","3","9","5","12","11","14","nan","nan"
"16","8","14","13","15","10","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","15","14","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"1","16","2","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","10","9","7","14","6","16","12","1","11","2","5","4","13","3","15","nan","nan"
"16","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","1","12","10","16","6","14","5","2","8","15","9","3","7","11","13","nan","nan"
"3","16","9","11","7","5","12","6","14","2","15","8","4","10","13","1","nan","nan"
"14","4","12","15","2","13","10","5","3","1","7","6","9","8","11","16","nan","nan"
"3","16","12","10","13","2","11","8","5","1","15","6","4","9","7","14","nan","nan"
"16","14","6","7","4","1","11","12","3","15","13","2","5","8","9","10","nan","nan"
"4","8","16","9","6","1","2","7","3","5","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","8","10","13","16","12","2","11","1","7","15","14","3","5","6","9","nan","nan"
"3","11","1","12","15","4","16","6","5","10","14","9","2","7","8","13","nan","nan"
"4","1","13","12","15","6","16","8","11","2","14","10","5","7","9","3","nan","nan"
"6","3","7","15","5","16","4","13","1","8","12","11","9","10","2","14","nan","nan"
"13","10","7","16","4","9","14","2","8","6","3","15","12","5","1","11","nan","nan"
"5","1","10","11","7","13","4","12","2","3","6","9","16","14","8","15","nan","nan"
"15","16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","16","3","2","11","12","13","10","6","15","4","1","5","8","14","7","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","1","4","15","8","14","5","11","3","7","12","9","2","6","13","16","nan","nan"
"4","10","3","16","1","12","8","7","13","14","11","9","6","5","2","15","nan","nan"
"5","1","2","11","14","6","16","12","15","4","9","10","3","7","8","13","nan","nan"
"3","12","1","5","16","14","9","4","8","15","2","13","6","10","7","11","nan","nan"
"14","4","7","9","11","12","16","6","8","3","1","2","13","5","10","15","nan","nan"
"7","1","3","13","9","14","16","11","15","2","6","8","5","10","4","12","nan","nan"
"1","4","9","13","15","2","12","10","11","14","3","5","7","6","8","16","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","2","1","13","16","15","3","4","5","14","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","16","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","12","8","4","5","3","9","7","11","13","6","14","1","15","10","16","nan","nan"
"16","3","1","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","2","3","1","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","13","2","10","14","7","16","6","15","1","12","5","4","8","9","11","nan","nan"
"6","3","7","16","5","1","4","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","16","9","4","2","1","7","3","5","8","10","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","3","5","4","2","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","15","16","5","1","14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","16","7","3","6","4","8","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","1","2","14","13","11","16","8","3","6","12","7","5","10","4","15","nan","nan"
"3","7","16","8","5","10","2","12","15","13","14","6","4","1","11","9","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","5","4","10","9","1","8","7","2","6","3","skipped","skipped","skipped","skipped","skipped","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","14","12","8","2","6","9","11","1","16","5","7","3","13","10","15","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","5","3","6","16","4","12","11","1","8","14","7","2","13","15","9","nan","nan"
"10","3","6","11","5","12","2","1","9","14","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","16","13","8","5","6","14","11","1","15","7","2","4","12","10","9","nan","nan"
"10","2","1","9","8","14","12","13","15","4","3","5","16","6","7","11","nan","nan"
"10","3","4","14","11","16","5","9","1","2","12","7","8","6","13","15","nan","nan"
"9","5","10","3","12","15","16","7","1","8","14","2","11","6","13","4","nan","nan"
"7","16","1","6","13","5","10","14","4","12","15","3","2","8","9","11","nan","nan"
"14","1","9","15","16","7","4","2","3","11","12","skipped","skipped","skipped","skipped","skipped","nan","nan"
"2","6","7","15","8","13","11","5","4","3","12","1","14","9","10","16","nan","nan"
"1","3","13","7","9","16","14","12","8","6","4","2","5","10","11","skipped","nan","nan"
"2","1","16","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","16","1","8","11","13","7","10","6","9","12","5","2","4","14","15","nan","nan"
"10","11","7","6","5","16","3","9","8","12","2","13","1","15","4","14","nan","nan"
"8","3","7","10","1","6","11","14","2","15","13","5","4","12","9","16","nan","nan"
"5","15","10","2","12","3","4","8","16","14","11","13","6","9","7","1","nan","nan"
"16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","3","16","13","14","1","15","2","4","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","16","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","6","3","13","4","15","16","10","11","2","1","5","8","9","7","14","nan","nan"
"11","2","4","15","13","14","9","10","1","3","12","16","skipped","skipped","skipped","skipped","nan","nan"
"8","16","1","15","9","7","6","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
