rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,numSeats,numCands
2,3,2,5,4,3,5,2,4,1,5,3,3,1,4,3,2,5,1,4,4,1,4,4,1,3,2,5,5,5,5,1,,
2,32,32,1,1,4,2,32,32,1,32,32,2,32,3,2,32,3,32,32,32,32,32,32,32,32,32,32,1,32,32,32,,
10,32,32,32,32,32,32,5,32,32,32,32,32,32,32,5,2,32,32,32,32,32,32,32,5,32,10,1,32,32,32,32,,
15,32,5,1,4,2,5,29,32,32,3,9,2,10,6,1,32,8,32,5,1,31,30,30,21,4,10,20,2,8,8,7,,
32,11,13,32,32,32,32,8,1,9,32,32,32,3,12,32,2,32,4,32,32,7,32,32,10,32,32,6,32,32,32,5,,
32,32,6,30,2,32,3,32,32,32,9,32,5,32,32,32,32,32,10,1,32,30,32,32,32,7,30,32,4,32,30,8,,
16,29,30,2,32,3,4,9,28,12,7,15,5,21,26,1,18,6,10,22,13,27,24,23,14,25,11,20,8,31,17,19,,
3,32,32,32,32,32,32,32,32,32,32,1,32,32,4,32,32,32,32,32,32,32,32,32,5,32,6,32,32,32,32,2,,
32,32,32,2,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
6,32,16,16,3,32,32,16,32,32,6,32,16,16,32,6,32,32,2,1,32,16,16,32,32,32,5,16,4,32,16,32,,
32,6,32,32,32,32,32,1,7,5,32,8,32,32,32,32,2,32,32,32,32,32,4,32,3,32,32,32,32,32,32,32,,
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
8,32,32,1,32,32,32,7,32,2,32,9,32,32,3,11,32,5,32,32,32,32,32,4,32,10,32,32,32,32,32,6,,
6,4,8,3,5,32,32,7,32,32,32,32,9,32,2,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,,
8,32,6,32,32,3,2,32,32,32,32,32,32,32,32,32,32,4,32,1,32,32,32,32,32,32,7,32,32,5,32,32,,
12,32,8,32,2,32,6,32,32,32,32,4,7,32,5,13,32,32,1,3,10,32,32,32,32,14,11,32,32,32,9,32,,
32,32,7,4,14,3,6,32,30,32,32,32,5,15,28,32,32,1,20,12,32,31,32,32,32,32,32,27,2,17,7,13,,
32,32,32,2,32,32,32,32,32,32,32,32,5,32,32,3,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,32,3,32,2,32,32,32,32,32,32,32,32,32,32,32,1,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
32,2,11,32,13,32,32,15,9,7,32,8,32,6,5,32,3,32,12,32,32,4,32,32,32,10,32,32,32,32,32,1,,
31,31,10,18,32,15,1,31,31,31,31,9,1,21,20,10,31,5,13,10,1,14,31,31,20,5,31,18,5,5,16,5,,
25,32,2,20,5,9,1,32,14,32,32,5,1,10,5,4,32,15,1,3,2,5,32,32,20,5,20,20,4,2,17,3,,
32,5,32,32,32,32,32,9,4,2,32,32,32,7,32,32,8,32,3,32,32,1,32,6,10,32,32,32,32,32,32,11,,
26,29,6,19,3,10,2,31,14,32,16,18,1,23,17,5,30,7,8,4,15,24,27,28,25,11,20,22,12,9,21,13,,
3,17,32,10,32,32,7,2,32,4,19,19,9,32,17,17,5,32,32,32,32,32,8,17,18,17,6,1,20,17,32,11,,
32,32,5,32,1,2,9,32,32,32,32,32,4,32,3,32,32,3,6,7,32,32,32,32,32,32,32,32,8,32,10,32,,
32,32,1,32,32,32,32,32,32,32,32,5,32,32,32,32,2,3,32,32,32,4,32,32,32,32,6,32,32,32,32,32,,
