rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,numSeats,numCands
47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,3,47,47,47,47,47,2,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,3,47,47,47,47,47,47,47,47,47,47,4,47,47,47,,
4,47,47,47,47,47,6,47,47,47,47,47,47,47,47,8,5,13,47,47,10,47,47,7,3,47,47,47,47,14,2,1,47,47,47,47,47,47,9,47,47,12,47,47,47,11,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,3,47,47,47,47,47,,
47,47,47,3,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,5,1,47,6,47,47,2,47,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,3,47,47,47,47,47,2,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
46,45,14,11,46,10,46,46,46,36,37,9,46,46,46,47,37,46,7,46,6,8,10,12,46,13,46,46,46,3,46,4,46,46,5,1,46,46,46,46,46,46,46,46,46,46,46,,
4,47,47,11,21,9,28,15,47,47,24,47,5,47,47,21,21,25,24,28,47,47,13,10,26,47,47,47,16,1,47,47,47,3,21,2,13,7,22,8,21,6,47,21,24,29,13,,
47,47,47,47,47,47,47,47,46,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,25,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,20,27,47,47,47,24,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,,
47,2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,3,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
4,47,47,47,47,47,47,8,47,47,47,47,47,47,47,47,47,2,3,47,47,47,47,47,7,47,5,47,6,47,10,47,47,47,47,47,9,47,1,47,47,47,47,9,47,47,47,,
47,47,47,47,47,47,47,47,47,2,47,6,47,47,8,47,47,47,47,4,47,47,47,47,47,47,47,47,47,47,47,47,47,7,47,3,47,47,1,47,47,47,47,47,47,47,5,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,5,47,47,47,47,47,47,47,47,47,47,47,47,47,47,2,1,47,47,47,47,3,47,47,47,47,47,47,47,47,4,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
3,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,7,47,47,47,7,47,47,47,47,3,2,3,2,47,47,3,47,47,7,47,47,47,2,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,1,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,,
