rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,numSeats,numCands
7,21,21,1,22,24,21,21,6,3,21,21,21,21,21,23,21,21,4,21,8,2,21,5,,
19,13,7,2,4,3,6,15,16,17,20,5,14,1,8,23,21,10,9,11,22,24,12,18,,
9,4,16,1,12,24,20,22,15,3,17,7,11,18,19,10,21,8,6,13,23,2,14,5,,
7,4,22,10,11,5,13,16,9,23,20,8,17,21,18,6,24,1,19,15,3,2,14,12,,
7,6,24,11,24,9,10,24,24,24,24,4,24,24,24,3,24,12,24,24,2,1,5,8,,
6,24,24,24,4,1,12,7,24,24,24,11,24,24,24,5,24,3,24,8,2,9,10,24,,
24,24,3,5,24,4,24,24,24,24,24,24,24,24,24,24,24,2,24,24,24,1,24,24,,
4,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,3,24,24,,
14,13,23,1,6,7,15,22,21,12,18,10,17,16,19,8,24,5,4,20,3,2,9,11,,
9,8,24,17,10,12,6,13,7,24,11,13,14,8,15,4,23,5,24,24,3,1,2,16,,
12,15,18,11,5,2,7,23,20,17,14,10,21,13,22,6,19,1,9,16,4,3,8,24,,
8,10,24,11,7,12,24,9,24,24,24,5,24,24,24,4,24,3,24,13,2,1,6,24,,
8,10,12,23,4,5,13,7,20,15,15,11,18,16,14,9,19,2,24,22,3,1,6,17,,
6,7,19,24,13,14,9,10,12,18,8,5,21,22,16,4,20,11,23,15,2,1,3,17,,
24,24,24,24,3,6,24,24,24,24,24,24,24,5,24,24,24,1,24,24,2,4,24,24,,
5,12,24,1,10,11,24,24,24,4,24,7,24,24,24,23,24,8,24,24,3,2,6,9,,
3,5,14,1,23,24,23,13,11,4,21,7,17,18,15,12,19,10,9,20,6,2,16,8,,
24,24,24,5,7,3,24,24,24,24,24,24,24,24,24,6,24,1,24,24,4,2,24,24,,
24,2,7,3,24,24,24,24,24,24,24,24,24,24,24,6,24,24,24,4,5,1,24,24,,
24,24,24,24,24,24,24,24,3,24,24,24,24,24,24,24,24,2,24,24,1,24,24,24,,
24,24,24,1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,2,24,24,,
7,3,22,20,13,9,14,10,19,15,16,12,4,11,17,8,23,6,24,18,2,1,5,21,,
16,20,17,8,3,5,9,23,10,21,22,6,14,12,19,4,15,13,18,24,2,1,7,11,,
