rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,numSeats,numCands
1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,
21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,21,21,21,,
4,12,17,9,14,7,15,11,5,19,13,20,4,6,3,18,16,2,1,10,21,,
20,20,20,20,20,5,20,20,5,20,20,7,1,5,20,20,20,20,20,20,20,,
1,20,20,20,20,20,20,21,3,4,20,20,20,20,2,20,20,20,20,20,20,,
4,19,12,8,13,6,3,21,2,15,7,16,5,11,1,17,13,17,8,10,20,,
15,20,16,9,11,7,8,21,2,12,10,17,6,3,1,18,5,19,4,13,14,,
9,10,12,13,11,3,1,21,7,19,17,14,8,2,5,20,15,18,6,4,16,,
6,7,14,16,17,4,5,21,1,19,15,11,3,2,9,12,10,20,8,14,18,,
21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,21,21,,
21,21,21,21,21,21,21,21,21,21,21,21,1,21,21,21,21,21,21,21,21,,
2,1,9,21,21,21,7,21,21,3,4,21,21,21,8,10,5,21,21,21,6,,
1,5,21,21,2,21,6,21,21,3,21,21,21,21,21,21,21,21,21,21,4,,
5,21,21,6,21,21,21,21,21,21,21,21,2,4,21,21,21,3,21,1,21,,
5,7,8,5,13,11,4,21,2,14,15,9,10,1,3,16,20,18,17,19,12,,
21,21,21,21,21,21,1,21,3,21,21,21,21,21,2,21,21,21,21,21,21,,
7,13,10,21,9,4,3,20,1,18,18,14,11,5,2,18,12,18,6,8,19,,
1,17,16,18,11,3,5,21,6,12,10,20,7,8,2,15,13,9,19,4,14,,
2,12,21,18,11,3,8,16,6,10,20,19,7,5,1,13,17,9,14,4,15,,
4,6,19,3,12,15,1,20,11,5,13,10,16,8,18,17,3,14,9,21,7,,
1,11,13,16,7,8,2,21,3,14,10,18,6,4,5,17,12,20,9,15,19,,
3,14,13,21,12,6,4,20,11,15,2,10,1,7,5,19,17,18,8,9,16,,
6,21,7,21,21,8,21,1,5,4,21,21,3,2,21,21,21,21,21,21,21,,
