rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,numSeats,numCands
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,2,3,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,4,89,89,5,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,3,89,89,89,2,89,89,89,89,89,89,89,89,89,89,89,89,4,89,89,89,89,,
89,89,3,89,87,88,89,89,86,89,89,89,89,89,89,89,5,89,89,89,89,89,89,89,89,89,9,89,89,89,89,89,89,89,89,89,89,7,89,89,89,89,89,6,89,89,89,89,89,89,89,89,89,89,89,89,89,89,2,89,89,89,8,89,89,89,89,89,82,89,86,4,89,89,89,89,89,89,89,89,89,1,89,83,89,89,89,89,89,,
89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
89,89,89,89,89,5,89,89,89,3,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,4,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,6,2,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
89,89,89,89,89,5,89,89,89,16,89,89,89,89,89,89,6,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,3,2,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,4,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
89,89,89,89,89,3,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,5,89,89,89,89,89,89,89,89,2,89,89,89,89,89,89,89,89,89,4,89,89,89,89,1,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,,
89,87,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,88,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
6,89,89,2,89,89,89,89,89,89,89,89,89,89,89,89,3,89,89,89,89,89,89,89,89,89,89,4,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,5,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
88,9,11,14,6,88,19,88,15,50,64,27,64,42,2,45,25,88,52,88,88,47,54,32,88,36,26,7,88,88,88,88,46,38,64,51,64,8,3,28,64,44,88,1,13,64,64,88,64,30,89,56,53,16,34,88,64,88,88,41,55,88,40,24,20,21,48,4,43,37,88,10,22,64,35,38,12,29,41,23,49,33,39,41,5,17,18,31,64,,
11,89,89,89,89,1,89,89,89,89,89,89,89,89,89,2,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,3,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,6,89,89,1,89,89,89,89,89,89,89,89,2,89,89,89,10,89,89,89,89,16,89,89,,
89,89,89,89,5,89,89,89,89,89,89,89,89,89,89,89,9,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,6,89,89,89,89,89,11,89,89,89,89,7,3,1,89,89,89,89,89,89,89,89,89,10,89,89,89,89,89,4,89,89,8,89,89,89,89,89,89,,
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,2,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,3,89,89,89,89,89,89,89,89,89,89,,
89,89,2,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,,
88,88,88,88,2,12,88,88,3,88,88,16,88,88,88,88,12,88,88,88,88,88,88,88,89,88,5,12,88,88,88,7,88,88,88,88,88,88,88,88,88,88,88,12,88,88,4,88,88,88,88,88,88,88,88,88,88,9,88,6,88,88,15,88,88,88,88,88,88,88,11,8,88,88,88,88,88,10,88,88,88,88,18,88,88,88,88,88,88,,
89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,2,89,89,89,2,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,3,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,4,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,2,89,5,89,6,89,89,89,89,89,89,89,,
89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
89,89,89,89,3,89,89,89,9,2,89,89,89,89,6,89,89,89,89,89,89,89,89,89,89,89,10,89,89,89,89,89,89,89,89,89,1,89,8,89,89,89,89,3,89,89,89,89,89,89,7,89,89,89,89,89,89,89,12,89,89,89,5,89,89,89,89,89,11,89,89,89,89,89,89,14,89,89,89,89,89,89,89,14,89,89,13,89,89,,
2,89,89,89,89,7,89,89,89,16,89,89,89,16,89,89,3,89,89,16,89,16,89,89,89,89,16,6,89,89,89,89,89,89,89,16,89,89,16,89,16,89,89,16,89,89,16,89,89,89,16,89,89,89,16,89,89,89,89,16,17,89,4,89,89,16,89,16,89,89,89,1,89,89,89,89,89,89,89,89,89,33,89,16,5,89,89,89,89,,
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,3,89,89,89,89,89,89,1,89,89,2,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
89,89,89,89,89,2,89,89,89,3,89,89,89,89,89,1,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,,
