rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,numSeats,numCands
34,36,35,36,35,34,35,34,36,5,34,1,34,4,6,4,36,35,35,35,35,35,34,36,35,34,34,7,2,35,35,35,35,35,34,35,,
36,36,36,36,36,36,36,36,36,36,1,2,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,1,36,36,11,36,19,6,36,36,8,36,36,36,26,36,2,36,36,36,14,36,3,36,36,18,8,23,12,36,29,24,,
36,36,3,36,36,11,36,36,5,15,1,36,14,10,4,36,36,36,36,12,36,9,8,36,10,36,11,36,36,7,36,6,11,36,36,36,,
36,36,36,36,36,2,36,36,36,36,36,36,36,36,4,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,3,36,1,36,,
36,36,36,36,36,36,36,36,36,2,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,3,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,3,36,36,4,36,36,36,2,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
2,7,35,35,35,35,35,3,35,5,35,35,1,35,4,35,35,35,35,8,35,35,35,35,35,35,35,35,35,35,35,35,35,35,6,35,,
36,36,36,36,36,17,36,36,36,36,36,1,28,36,26,36,36,18,36,27,36,36,36,36,36,15,14,36,36,6,19,36,36,23,36,36,,
36,36,10,9,36,13,11,36,36,36,14,8,36,36,4,7,14,36,36,36,12,3,36,36,1,36,36,36,5,36,13,6,2,36,36,36,,
36,36,36,36,36,36,36,36,4,36,36,36,36,36,2,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,3,36,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,1,36,36,36,36,,
36,6,36,10,36,36,14,36,36,36,36,36,12,36,2,36,36,5,7,36,36,1,36,5,36,36,36,36,36,36,36,36,36,6,36,36,,
36,36,36,36,36,36,36,36,36,36,36,6,36,36,36,36,36,36,36,36,36,36,36,36,36,4,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,36,36,36,36,36,,
36,36,1,36,36,2,36,36,36,36,36,6,36,36,5,36,36,36,36,36,8,36,36,36,36,3,36,36,36,7,36,36,4,36,36,36,,
35,35,35,35,35,35,35,35,35,35,35,35,36,35,35,35,35,1,35,35,35,1,35,1,35,35,35,35,35,35,33,1,35,35,35,35,,
11,16,5,22,27,9,23,30,2,24,6,12,3,25,1,33,20,13,18,32,34,35,26,14,36,15,10,29,21,31,7,4,8,17,19,28,,
35,35,36,36,36,35,35,36,1,36,4,5,35,36,2,36,35,36,35,35,36,35,36,35,36,35,36,36,3,6,36,36,35,35,35,35,,
6,22,22,22,11,36,36,36,10,36,36,2,36,36,10,22,22,22,22,22,36,22,7,22,22,1,22,10,22,36,36,4,22,36,6,22,,
36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,2,36,36,36,36,36,,
11,7,32,8,9,27,5,18,23,35,20,3,2,30,12,26,36,10,19,29,33,25,14,17,16,21,15,34,4,1,22,13,28,6,24,31,,
36,36,36,36,36,36,36,7,3,36,4,36,3,36,3,36,36,36,36,36,4,36,36,36,36,1,2,36,4,5,36,5,36,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,35,36,34,35,36,36,36,36,35,36,36,1,36,36,36,36,36,36,36,36,36,35,36,36,36,35,2,36,35,34,36,36,36,,
11,10,6,2,22,36,1,22,15,11,36,8,13,22,5,36,36,36,13,7,19,22,10,18,3,36,11,36,36,22,22,4,9,11,36,36,,
32,8,17,13,22,11,19,24,3,18,2,1,5,25,4,20,30,10,15,33,9,34,36,6,26,28,31,29,21,16,12,36,27,7,23,14,,
36,36,36,36,36,3,36,36,36,35,35,36,36,36,1,36,36,36,36,36,36,36,36,7,36,36,2,36,36,36,36,36,36,36,4,36,,
36,36,36,2,36,15,5,10,36,9,36,4,36,36,8,11,36,36,36,36,12,36,36,36,3,36,36,36,36,36,36,36,1,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,7,36,36,6,36,36,36,3,36,36,36,36,36,5,36,36,36,36,36,36,36,2,36,36,8,1,36,36,36,36,36,,
36,36,36,36,36,4,36,36,36,36,36,2,36,36,36,36,36,36,36,36,5,36,36,36,36,36,36,36,36,1,36,36,36,36,36,3,,
36,18,29,6,29,33,17,17,12,29,5,4,2,17,8,17,34,11,3,29,29,29,35,29,29,29,13,9,1,33,10,17,33,30,29,7,,
4,36,36,36,36,36,36,36,36,36,36,36,2,36,3,36,36,36,36,36,36,36,36,36,2,36,36,36,36,36,36,1,36,36,36,36,,
10,29,17,3,9,30,1,16,10,35,29,5,12,29,25,4,29,18,29,35,17,17,16,29,34,6,13,36,2,10,8,29,29,29,6,32,,
36,36,8,4,36,3,7,36,36,36,36,36,1,36,36,36,36,36,36,6,36,36,36,36,36,36,36,36,2,36,36,36,5,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,,
36,17,3,36,36,6,36,36,7,36,36,36,36,13,36,20,36,19,16,36,10,5,14,19,2,11,8,36,36,21,12,1,9,18,4,14,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,10,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,4,36,36,15,36,36,36,36,36,36,36,36,36,36,36,36,,
36,10,36,36,36,1,36,36,3,36,36,36,3,36,1,36,36,36,36,36,36,36,36,36,36,1,1,36,12,36,36,36,36,36,36,36,,
36,36,36,36,36,4,36,36,36,36,36,3,5,36,1,36,36,36,6,36,36,36,36,36,36,36,36,36,2,36,36,36,36,36,36,36,,
8,12,36,3,12,36,5,7,36,36,11,2,4,36,12,36,36,6,5,36,36,36,36,9,36,36,36,36,10,1,36,36,36,12,36,12,,
36,36,36,36,36,3,6,36,4,36,36,2,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,1,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,3,36,36,36,36,36,36,2,36,36,36,36,36,36,36,36,1,36,36,,
36,36,36,36,36,1,36,36,36,36,36,3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,2,36,36,36,,
36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,2,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,1,36,36,36,1,36,36,36,36,36,36,36,4,36,36,36,36,36,36,2,36,36,3,2,36,36,36,36,36,36,36,36,36,36,,
36,10,36,36,36,1,36,36,2,36,36,36,3,36,6,36,36,36,36,36,5,36,36,36,36,36,4,36,36,36,7,36,8,36,9,36,,
36,36,11,2,36,36,3,36,1,36,36,36,36,36,36,36,10,36,8,36,36,36,36,36,36,7,36,36,5,36,12,36,36,36,36,36,,
31,7,31,31,31,7,31,31,2,31,31,31,4,31,8,31,36,31,31,3,31,31,36,31,12,4,31,31,31,6,1,11,10,31,8,9,,
36,36,36,36,36,36,36,36,2,36,36,36,1,36,3,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,,
36,36,36,36,36,3,36,36,36,36,36,36,36,36,5,36,36,36,36,36,36,36,36,36,4,2,36,36,36,36,36,1,36,36,36,36,,
1,36,36,36,5,36,36,36,1,36,36,36,36,36,36,36,8,36,36,36,36,36,36,36,36,4,36,36,7,36,2,36,36,3,36,36,,
