rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,rank37,rank38,rank39,rank40,rank41,rank42,rank43,rank44,rank45,rank46,rank47,rank48,rank49,rank50,rank51,rank52,rank53,rank54,rank55,rank56,rank57,rank58,rank59,rank60,rank61,rank62,rank63,rank64,rank65,rank66,rank67,rank68,rank69,rank70,rank71,rank72,rank73,rank74,rank75,rank76,rank77,rank78,rank79,rank80,rank81,rank82,rank83,rank84,rank85,rank86,rank87,rank88,rank89,rank90,rank91,rank92,rank93,rank94,rank95,rank96,rank97,rank98,rank99,rank100,rank101,rank102,rank103,rank104,numSeats,numCands
104,104,104,104,104,104,104,104,104,3,104,104,104,5,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,7,104,104,104,104,104,104,104,104,104,104,104,104,4,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,6,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,3,104,6,104,104,104,8,104,104,104,14,15,104,104,104,104,104,104,104,17,104,1,104,104,104,104,104,104,104,104,104,104,104,16,104,104,104,104,4,104,104,2,104,104,104,104,104,104,104,104,18,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,19,104,10,9,104,104,5,104,104,104,7,12,104,104,11,13,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,6,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,4,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,6,104,104,104,104,104,104,104,104,103,104,104,98,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,104,104,104,104,7,104,100,104,104,104,104,104,104,104,104,104,104,104,104,101,104,104,99,104,104,104,104,104,104,104,104,104,104,104,104,2,8,104,104,104,102,104,4,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,4,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,6,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,104,104,104,104,104,104,104,104,,
104,104,11,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,14,104,8,104,12,104,104,3,104,104,104,104,104,104,104,2,9,104,104,104,104,104,16,104,104,104,104,104,104,4,104,104,6,104,104,104,104,104,104,104,104,104,104,104,10,7,14,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
66,20,45,19,96,82,18,37,94,84,63,7,83,58,52,28,61,73,92,22,30,12,80,51,13,74,87,64,93,5,32,89,76,67,57,4,79,88,50,14,81,11,55,91,10,48,98,90,43,78,8,39,38,85,17,102,86,25,6,65,29,69,47,60,42,15,68,41,97,49,53,21,62,59,36,2,34,3,46,9,77,23,31,104,103,101,24,71,27,72,35,44,33,40,16,99,95,26,100,75,54,56,70,1,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,1,104,104,104,1,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,1,104,104,104,104,1,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,1,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,7,104,104,104,104,104,104,104,104,104,104,104,12,104,104,104,16,3,104,104,104,104,104,12,21,104,104,2,5,104,104,104,104,104,104,9,104,15,104,104,104,104,104,104,10,18,104,104,104,6,104,104,14,104,104,104,104,1,104,13,17,104,104,104,1,104,13,4,104,104,104,104,104,13,11,104,17,104,23,6,1,8,104,104,104,19,104,104,104,104,104,5,13,20,104,4,104,104,22,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,4,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,,
72,48,43,73,86,47,1,53,23,76,69,93,35,20,82,6,60,56,104,3,39,5,91,16,45,27,94,49,25,55,37,26,50,71,74,10,101,83,75,77,70,63,13,33,42,79,41,102,11,67,17,44,24,15,104,58,97,54,29,38,100,78,68,96,62,21,84,88,89,52,81,57,85,30,22,99,92,28,14,98,31,80,9,34,46,65,18,90,104,40,7,19,12,2,8,64,87,103,36,61,95,32,51,66,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
83,29,50,33,15,77,17,48,65,58,85,96,75,86,68,22,103,45,1,92,28,36,6,14,19,12,20,57,35,31,61,84,34,32,3,52,37,79,43,74,66,23,41,46,53,60,94,10,89,44,80,30,98,5,63,11,13,70,93,25,64,95,91,39,38,56,87,9,69,40,21,7,42,81,90,99,58,104,2,27,89,76,54,78,73,51,100,97,59,88,55,62,4,71,67,82,8,24,16,72,47,18,26,49,,
104,104,104,104,104,104,104,104,3,1,3,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,4,2,104,104,104,104,104,2,3,104,104,104,104,104,2,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,1,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
27,104,12,104,104,104,104,104,104,104,8,26,14,104,21,104,104,104,104,41,104,104,41,12,104,41,104,41,104,9,104,24,41,26,104,41,41,104,104,104,41,104,9,104,104,104,6,104,104,41,104,104,104,104,104,4,14,104,104,104,104,104,104,104,14,12,104,104,5,104,104,26,8,21,104,104,104,41,104,104,104,104,104,2,104,1,12,41,41,14,24,104,41,27,104,3,104,21,21,104,7,104,104,104,,
104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,1,104,104,104,4,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,1,104,104,104,104,104,104,8,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,9,104,104,104,104,104,104,104,104,104,104,104,104,104,104,4,104,104,104,6,104,104,6,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,5,104,104,104,10,104,104,,
104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,7,104,46,96,104,104,104,104,104,104,104,104,104,104,104,104,104,4,104,104,104,104,104,104,104,104,104,6,104,104,104,104,17,104,104,104,104,104,104,45,104,104,104,104,104,104,104,104,104,104,104,104,104,104,87,22,104,104,104,38,104,104,104,104,104,104,76,104,104,104,104,104,16,104,104,,
104,5,4,3,104,104,104,104,4,104,3,3,4,2,104,104,4,4,104,3,2,1,104,2,3,1,4,104,4,104,2,3,104,104,104,5,104,104,3,104,104,104,3,4,104,104,104,104,3,4,104,5,104,3,104,4,5,104,4,2,104,104,104,5,4,5,104,104,104,3,2,104,104,4,4,104,104,4,2,104,4,104,2,5,104,4,5,104,104,3,2,3,5,2,3,104,104,104,3,104,104,3,104,104,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,11,104,104,104,104,104,104,1,104,104,11,11,104,104,104,104,104,104,104,104,104,104,11,104,104,104,104,11,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,11,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,11,104,11,104,104,104,104,104,104,104,104,104,104,104,104,104,11,104,104,104,104,104,104,11,11,104,104,,
91,18,60,7,15,72,34,93,72,53,103,92,51,8,84,60,9,49,97,85,15,104,103,93,34,13,18,69,72,33,46,36,83,90,37,61,82,86,58,89,2,41,12,61,67,83,87,100,78,103,79,47,5,21,60,103,42,98,39,51,31,38,22,4,3,103,36,90,59,67,90,68,45,11,96,87,93,89,88,48,58,84,86,102,94,1,68,22,91,77,94,49,6,86,10,80,102,66,57,83,45,55,86,103,,
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,3,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,104,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,3,6,6,6,6,6,6,6,6,6,,
104,104,104,104,104,104,104,104,104,10,104,104,104,104,104,104,104,104,104,104,104,10,104,104,104,104,104,10,104,104,104,104,10,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,10,10,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,10,104,104,104,104,104,2,1,104,104,104,104,104,104,3,10,104,104,104,10,104,10,104,104,104,104,,
103,103,103,103,103,103,103,3,103,4,3,103,5,103,103,103,5,3,103,103,4,2,103,103,4,1,103,3,103,103,103,103,1,103,103,2,103,103,103,103,103,103,103,6,7,3,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,4,103,103,103,103,3,103,103,103,103,103,3,103,3,103,6,3,103,1,103,103,3,103,103,103,103,4,7,3,103,104,3,1,103,103,103,2,3,103,4,103,,
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
104,104,5,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,2,104,104,104,104,104,104,104,104,104,104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,8,104,104,104,104,104,7,104,104,104,104,104,104,4,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,6,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
102,102,102,102,102,102,102,11,33,3,24,102,102,102,10,102,40,9,102,33,102,1,102,28,102,104,6,35,102,37,2,33,14,21,102,102,19,102,26,41,102,102,42,23,37,16,102,102,102,102,102,102,102,102,38,102,102,12,102,102,102,102,25,102,102,102,102,102,102,22,103,102,102,30,27,4,13,102,37,15,102,102,43,102,102,102,18,7,102,5,8,39,17,36,102,102,102,102,102,34,20,102,102,29,,
104,104,104,104,3,104,104,104,104,104,104,104,104,104,104,104,2,104,104,104,104,104,104,104,104,4,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,1,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,,
