rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,rank29,rank30,rank31,rank32,rank33,rank34,rank35,rank36,numSeats,numCands
8,25,10,3,31,2,13,32,34,17,22,14,35,15,36,1,23,11,18,7,4,29,33,16,20,19,5,30,27,6,21,26,12,24,9,28,,
2,32,19,24,10,4,12,27,29,6,34,33,16,23,25,15,9,21,17,26,3,31,35,5,30,13,1,11,28,36,8,22,14,7,20,18,,
5,22,5,20,31,36,19,12,33,36,34,21,2,14,28,9,34,4,13,16,6,27,29,11,23,7,36,30,32,8,26,1,17,10,35,3,,
9,1,36,20,25,5,3,15,36,23,36,8,11,17,36,21,19,2,7,24,22,13,36,6,4,36,18,14,36,36,36,10,36,12,36,36,,
2,8,23,36,14,27,10,9,20,18,1,31,33,28,34,19,5,22,12,26,17,3,6,16,29,7,32,15,24,25,30,4,13,35,11,21,,
11,3,18,21,31,8,4,6,34,13,1,28,17,9,36,25,27,10,7,19,20,22,33,35,26,23,2,29,24,30,32,5,15,16,14,12,,
1,36,2,36,36,36,36,36,36,36,36,36,36,36,36,36,5,6,8,36,10,3,7,36,36,36,9,36,36,36,36,36,11,36,36,4,,
3,28,10,15,34,16,4,28,30,11,12,33,28,14,31,28,28,30,29,28,5,28,28,13,28,6,1,35,36,9,28,28,7,32,2,8,,
36,11,8,23,18,16,2,36,36,36,5,36,36,35,36,7,14,10,17,13,9,15,36,6,36,36,1,30,12,29,25,3,4,36,28,20,,
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,1,36,36,36,36,36,36,36,10,36,,
33,2,22,36,4,19,15,30,35,20,1,31,13,29,26,16,7,11,28,9,3,24,14,6,32,23,21,10,17,27,25,8,18,12,34,5,,
6,22,17,21,15,36,12,30,10,29,11,32,20,24,34,26,8,3,5,9,23,18,14,25,35,28,4,1,13,19,33,2,16,27,31,7,,
10,17,7,36,11,14,4,23,30,22,1,26,36,28,36,20,12,36,16,13,21,36,27,25,24,2,6,21,18,15,19,3,8,9,5,29,,
5,15,8,20,29,32,10,21,33,7,24,27,19,16,35,23,34,14,2,22,26,18,28,1,12,13,3,31,36,9,11,4,17,25,30,6,,
13,2,20,33,22,4,26,36,35,25,5,32,34,29,31,24,17,6,10,21,23,28,9,8,7,11,18,30,27,1,12,15,3,19,14,16,,
12,31,13,9,36,3,8,20,34,22,16,33,14,1,19,29,30,21,17,7,11,24,27,18,32,15,2,35,4,28,5,6,23,10,26,25,,
1,36,36,36,36,36,36,36,36,36,6,36,36,36,36,36,36,10,3,36,36,9,36,36,36,36,4,2,36,5,7,8,36,36,36,36,,
6,9,25,5,17,7,24,32,19,13,29,22,31,18,27,11,36,26,8,34,16,21,12,15,23,30,1,14,33,3,28,10,20,2,4,35,,
28,11,35,9,8,19,34,32,25,10,13,36,2,31,20,7,3,1,33,17,15,22,29,4,23,14,21,16,18,26,5,24,27,6,12,30,,
4,17,12,20,32,11,3,35,34,22,16,36,24,18,33,25,1,5,10,19,9,29,21,7,26,13,2,14,30,27,15,6,8,23,31,28,,
1,12,3,18,25,19,5,20,30,15,22,13,16,12,30,26,9,32,5,11,21,4,14,23,18,2,36,24,29,7,27,9,10,17,28,8,,
1,18,6,17,23,31,8,16,15,32,19,3,20,9,36,29,11,2,12,27,25,14,21,30,24,4,34,22,28,5,33,10,7,26,35,13,,
22,19,18,24,31,8,7,36,34,5,2,26,33,27,32,15,13,23,35,11,21,20,28,9,16,6,4,25,12,14,17,1,10,29,3,30,,
