rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,rank13,rank14,rank15,rank16,rank17,rank18,rank19,rank20,rank21,rank22,rank23,rank24,rank25,rank26,rank27,rank28,numSeats,numCands
28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
19,26,6,1,27,4,18,6,12,4,28,17,1,21,22,12,1,3,21,8,10,6,25,5,27,2,18,9,,
8,3,26,20,1,11,7,16,24,27,28,18,19,10,17,9,21,14,13,5,4,2,12,23,6,25,15,22,,
24,28,24,24,24,24,1,24,24,24,3,24,24,24,24,25,24,24,24,26,24,24,24,24,27,24,2,24,,
2,3,23,15,1,10,5,18,16,19,27,20,17,6,14,26,21,12,11,9,13,8,7,24,4,28,25,22,,
2,8,11,16,1,5,26,10,13,18,24,12,21,9,17,23,14,4,20,3,6,7,15,25,19,27,28,22,,
24,6,24,24,2,3,24,24,24,24,28,24,24,26,24,27,24,24,5,1,24,4,24,24,25,24,24,24,,
28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
20,4,22,14,1,11,7,15,17,12,28,23,8,6,9,18,13,10,21,3,16,2,26,24,5,27,25,19,,
2,4,11,18,1,5,13,21,22,20,28,23,10,16,17,25,14,15,3,9,6,7,8,19,12,26,24,27,,
5,19,7,7,1,14,25,18,11,15,26,28,12,20,22,8,11,13,24,4,12,3,2,16,21,23,27,17,,
28,4,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,28,2,3,28,28,28,28,28,28,28,,
28,3,28,28,28,28,4,28,28,28,1,28,28,28,28,28,28,28,28,28,28,28,28,28,2,28,28,28,,
24,12,28,19,1,4,2,13,16,22,10,23,18,14,15,9,17,25,7,6,5,3,8,28,11,28,21,20,,
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,,
6,2,18,20,1,4,23,27,10,22,28,21,17,8,12,25,16,13,19,11,5,7,14,24,3,26,15,14,,
