"rank1","rank2","rank3","rank4","rank5","rank6","rank7","rank8","rank9","rank10","rank11","rank12","rank13","rank14","rank15","rank16","rank17","rank18","rank19","rank20","rank21","rank22","rank23","rank24","rank25","rank26","rank27","rank28","rank29","rank30","rank31","rank32","rank33","rank34","Num Cands","Num Seats"
"9","20","18","26","8","33","3","24","5","13","16","21","11","34","4","17","7","12","6","1","27","30","23","22","28","25","31","14","2","15","29","10","32","19","nan","nan"
"8","19","22","15","11","16","3","29","1","9","18","32","10","30","17","23","20","6","7","2","34","33","12","26","27","28","14","5","4","21","25","13","31","skipped","nan","nan"
"7","34","14","13","5","4","9","17","20","19","8","11","12","21","6","2","18","16","1","3","15","10","22","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"7","9","34","13","3","1","4","12","10","8","6","2","11","5","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"34","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","21","25","4","12","32","9","26","7","18","3","28","20","31","13","14","24","10","6","2","34","16","8","11","22","29","27","19","1","17","30","5","33","23","nan","nan"
"4","7","19","32","9","31","5","29","3","10","13","14","8","33","12","34","15","17","26","2","20","16","1","30","28","23","24","27","6","18","25","11","21","22","nan","nan"
"34","3","1","5","6","2","7","8","4","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"14","26","33","21","13","28","6","23","3","7","8","32","2","31","10","24","15","11","5","4","20","9","18","17","30","27","16","22","1","19","34","12","29","25","nan","nan"
"10","14","15","6","34","7","23","2","17","11","33","20","18","13","8","3","24","19","22","26","28","9","1","4","30","5","21","27","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"12","32","19","14","4","18","7","30","3","26","17","25","6","31","21","27","8","15","5","1","28","33","9","16","23","24","20","10","2","13","22","11","34","29","nan","nan"
"34","24","31","23","18","19","15","28","27","29","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"6","32","9","15","3","31","4","28","2","14","13","24","8","26","20","21","18","12","10","5","27","33","16","22","17","25","29","11","1","19","23","7","34","30","nan","nan"
"21","11","34","19","3","22","6","4","15","18","10","7","23","16","9","1","17","13","12","20","14","2","5","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"10","16","33","7","6","22","5","25","1","20","14","31","9","34","11","21","30","19","4","3","13","24","17","18","23","29","32","15","2","8","26","12","27","28","nan","nan"
"18","33","32","9","34","7","16","2","10","14","8","21","19","6","12","23","5","1","22","26","20","24","11","17","4","13","3","25","15","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","29","33","34","23","28","2","13","4","14","8","31","12","19","11","16","5","24","1","6","21","30","15","9","32","25","26","18","3","7","27","10","22","20","nan","nan"
"34","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"4","22","16","14","9","28","5","30","2","15","12","13","10","31","29","11","6","19","7","1","33","34","18","23","25","24","8","3","26","20","21","27","32","skipped","nan","nan"
"19","25","29","22","13","10","23","31","6","17","9","26","15","32","18","2","7","16","12","11","24","33","4","27","8","3","5","14","1","21","28","20","30","skipped","nan","nan"
"13","20","21","17","6","32","10","23","4","12","14","25","2","33","24","11","16","9","7","3","34","27","30","15","19","31","22","1","5","18","26","8","29","skipped","nan","nan"
"6","12","20","11","34","5","30","10","15","1","9","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"3","34","2","6","4","5","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","31","34","30","3","20","4","28","10","25","8","26","24","13","6","11","9","22","16","2","23","33","21","27","19","12","32","18","1","7","15","5","29","14","nan","nan"
"12","5","34","15","7","4","3","13","2","10","6","1","14","9","11","8","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"19","20","34","25","4","28","5","24","3","14","9","22","7","23","10","17","15","6","8","1","30","33","12","21","27","18","29","11","2","16","31","13","26","32","nan","nan"
"7","32","31","28","10","33","2","22","4","13","15","30","11","27","5","9","21","19","6","1","26","34","20","25","23","12","24","18","3","8","16","29","17","14","nan","nan"
"8","20","34","30","18","7","25","2","14","11","9","13","15","5","1","27","10","3","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"9","15","26","32","17","19","5","34","1","13","8","28","3","22","6","12","33","16","10","2","18","27","31","25","21","14","23","29","4","24","20","7","11","30","nan","nan"
"6","34","2","1","5","4","8","7","3","9","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","10","3","4","9","15","13","5","6","2","11","12","14","1","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"8","10","13","9","3","6","7","16","4","11","2","15","5","1","12","14","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"17","23","34","29","13","33","4","32","3","10","18","28","11","25","12","22","16","9","5","2","20","24","7","14","26","21","27","6","1","15","30","8","31","19","nan","nan"
"34","3","1","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","11","26","3","25","16","32","9","17","12","5","22","31","30","1","10","21","27","28","29","2","34","23","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"13","34","14","2","4","5","12","10","3","8","9","6","15","1","11","7","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"34","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"21","26","17","12","2","18","5","29","3","22","15","10","16","28","8","7","14","24","11","4","13","19","32","33","34","25","20","30","1","9","27","6","31","23","nan","nan"
"34","1","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"34","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"15","21","13","24","28","5","6","22","14","4","11","23","1","27","12","7","8","31","10","34","25","19","32","30","29","26","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"11","28","34","14","3","29","7","31","6","15","10","30","12","26","9","17","23","8","2","1","32","33","25","5","21","24","20","13","4","19","27","16","22","18","nan","nan"
"6","23","24","26","1","27","14","30","3","11","15","34","8","28","16","9","13","17","5","2","20","33","32","21","19","18","31","12","4","7","29","10","22","25","nan","nan"
"33","32","34","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
"18","14","17","19","11","7","8","32","3","20","10","22","13","33","27","5","9","15","4","1","30","28","16","23","21","26","31","6","2","12","24","25","34","29","nan","nan"
"6","34","8","1","7","10","5","4","9","3","2","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","skipped","nan","nan"
