voter_id,rank1,rank2,rank3,rank4,rank5,rank6,rank7,num_positions
2050,Peter Richard BARLOW Scottish Green Party,Willie SCOBIE Independent,Tommy SLOAN Independent,John MCCUTCHEON Scottish Labour Party,Chrissie HILL Scottish Conservative and Unionist,Andrew GIUSTI Scottish Conservative and Unionist,Ben DASHPER Scottish National Party (SNP),4
2051,Ben DASHPER Scottish National Party (SNP),John MCCUTCHEON Scottish Labour Party,Willie SCOBIE Independent,Tommy SLOAN Independent,Andrew GIUSTI Scottish Conservative and Unionist,Peter Richard BARLOW Scottish Green Party,Chrissie HILL Scottish Conservative and Unionist,4
2052,Ben DASHPER Scottish National Party (SNP),John MCCUTCHEON Scottish Labour Party,Andrew GIUSTI Scottish Conservative and Unionist,Peter Richard BARLOW Scottish Green Party,Chrissie HILL Scottish Conservative and Unionist,Tommy SLOAN Independent,Willie SCOBIE Independent,4
2053,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,skipped,skipped,skipped,skipped,4
2054,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),Willie SCOBIE Independent,skipped,skipped,skipped,skipped,4
2055,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2056,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2057,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2058,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2059,Willie SCOBIE Independent,John MCCUTCHEON Scottish Labour Party,Ben DASHPER Scottish National Party (SNP),skipped,skipped,skipped,skipped,4
2060,Ben DASHPER Scottish National Party (SNP),Peter Richard BARLOW Scottish Green Party,Andrew GIUSTI Scottish Conservative and Unionist,Chrissie HILL Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,skipped,skipped,4
2061,Peter Richard BARLOW Scottish Green Party,Willie SCOBIE Independent,Chrissie HILL Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,Andrew GIUSTI Scottish Conservative and Unionist,Ben DASHPER Scottish National Party (SNP),Tommy SLOAN Independent,4
2062,Andrew GIUSTI Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,Chrissie HILL Scottish Conservative and Unionist,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Tommy SLOAN Independent,skipped,4
2063,Ben DASHPER Scottish National Party (SNP),Andrew GIUSTI Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
2064,Ben DASHPER Scottish National Party (SNP),Andrew GIUSTI Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
2065,Ben DASHPER Scottish National Party (SNP),Andrew GIUSTI Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
2066,Ben DASHPER Scottish National Party (SNP),Andrew GIUSTI Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,skipped,4
2067,Chrissie HILL Scottish Conservative and Unionist,John MCCUTCHEON Scottish Labour Party,Tommy SLOAN Independent,skipped,skipped,skipped,skipped,4
2068,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,4
2069,Willie SCOBIE Independent,Peter Richard BARLOW Scottish Green Party,Ben DASHPER Scottish National Party (SNP),John MCCUTCHEON Scottish Labour Party,skipped,skipped,skipped,4
