Ballot Style,Cast Vote Record,Precinct,rank1,rank2,rank3,numSeats,numCands
ST LOUIS PARK W-3 P-12,22219,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,22220,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-12,22221,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-09,22252,ST LOUIS PARK W-3 P-09,Saul Eugene,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-09,22253,ST LOUIS PARK W-3 P-09,Jim Leuthner,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-09,22254,ST LOUIS PARK W-3 P-09,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-09,22255,ST LOUIS PARK W-3 P-09,Sue Budd,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-09,22256,ST LOUIS PARK W-3 P-09,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-09,22257,ST LOUIS PARK W-3 P-09,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-10,22289,ST LOUIS PARK W-3 P-10,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,22292,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,22293,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152296,ST LOUIS PARK W-3 P-12,Jim Leuthner,Saul Eugene,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,152297,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,152298,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152299,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152300,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-12,152301,ST LOUIS PARK W-3 P-12,Saul Eugene,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152302,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-12,152303,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152304,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152305,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152306,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152307,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152308,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152309,ST LOUIS PARK W-3 P-12,Saul Eugene,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152310,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152311,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152312,ST LOUIS PARK W-3 P-12,writein,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152313,ST LOUIS PARK W-3 P-12,Saul Eugene,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,152314,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152315,ST LOUIS PARK W-3 P-12,Saul Eugene,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152316,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152317,ST LOUIS PARK W-3 P-12,Jim Leuthner,Saul Eugene,skipped,1,4
ST LOUIS PARK W-3 P-12,152318,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-12,152319,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152320,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152321,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152322,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152323,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152324,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,152325,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152326,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152327,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152328,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152329,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152330,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152331,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152332,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152333,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152334,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152335,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,152336,ST LOUIS PARK W-3 P-12,Sue Budd,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152337,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152338,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152339,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152340,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152341,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152342,ST LOUIS PARK W-3 P-12,Saul Eugene,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152343,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152344,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152345,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152346,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,skipped,1,4
ST LOUIS PARK W-3 P-12,152347,ST LOUIS PARK W-3 P-12,Sue Budd,Saul Eugene,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152348,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152349,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152350,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152351,ST LOUIS PARK W-3 P-12,Saul Eugene,Jim Leuthner,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,152352,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,skipped,1,4
ST LOUIS PARK W-3 P-12,152353,ST LOUIS PARK W-3 P-12,Jim Leuthner,Saul Eugene,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,152354,ST LOUIS PARK W-3 P-12,Jim Leuthner,Sue Budd,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152355,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152356,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152357,ST LOUIS PARK W-3 P-12,Saul Eugene,Jim Leuthner,Sue Budd,1,4
ST LOUIS PARK W-3 P-12,152358,ST LOUIS PARK W-3 P-12,Saul Eugene,Sue Budd,Jim Leuthner,1,4
ST LOUIS PARK W-3 P-12,152359,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
ST LOUIS PARK W-3 P-12,152360,ST LOUIS PARK W-3 P-12,Jim Leuthner,writein,skipped,1,4
ST LOUIS PARK W-3 P-12,152361,ST LOUIS PARK W-3 P-12,Jim Leuthner,skipped,skipped,1,4
ST LOUIS PARK W-3 P-12,152362,ST LOUIS PARK W-3 P-12,Sue Budd,Jim Leuthner,Saul Eugene,1,4
