file,candidate_cloned,numCands,plurality,IRV,top-two,borda-pm,borda-om,borda-avg,top-3-truncation,condorcet,minimax,smith_plurality,smith_irv,smith-minimax,ranked-pairs,bucklin,approval
/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,KRIEG Steve,7,['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,BIRD Elly,7,['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)'],['KRIEG Steve (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,POLLOCK Rob,8,['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,SMITH Gary,8,['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['STARMER Karyn (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/Eurobodalla-mayoral-finalpreferencedatafile.csv,GRACE David,8,['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['STARMER Karyn (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)'],['HATCHER Mat (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,HOMER Chris,3,['SALIBA Marianne (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['SALIBA Marianne (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/City_of_Shellharbour-mayoral-finalpreferencedatafile.csv,SALIBA Marianne,3,['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['SALIBA Marianne (UNKNOWN)'],['SALIBA Marianne (UNKNOWN)'],['SALIBA Marianne (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)'],['HOMER Chris (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,THOMPSON Danny,5,['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['THOMPSON Danny (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,MOORE Sue,5,['THOMPSON Danny (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)']
/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,JARRETT Tony,5,['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)'],['MOORE Sue (UNKNOWN)']
