,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,numSeats,numCands
40,Enrolment/NAMAV,Enrolment/NAMAV,45978,Formal,MP,ANDERSON Leah,skipped,1,2
41,Enrolment/NAMAV,Enrolment/NAMAV,45979,Formal,MP,ANDERSON Leah,skipped,1,2
42,Enrolment/NAMAV,Enrolment/NAMAV,45980,Formal,MP,ANDERSON Leah,skipped,1,2
43,Enrolment/NAMAV,Enrolment/NAMAV,45981,Formal,MP,ANDERSON Leah,skipped,1,2
44,Enrolment/NAMAV,Enrolment/NAMAV,45982,Formal,MP,ANDERSON Leah,skipped,1,2
45,Enrolment/NAMAV,Enrolment/NAMAV,45983,Formal,MP,ANDERSON Leah,skipped,1,2
46,Enrolment/NAMAV,Enrolment/NAMAV,45984,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
47,Enrolment/NAMAV,Enrolment/NAMAV,45985,Formal,MP,ANDERSON Leah,skipped,1,2
48,Enrolment/NAMAV,Enrolment/NAMAV,45986,Formal,MP,ANDERSON Leah,skipped,1,2
49,Enrolment/NAMAV,Enrolment/NAMAV,45987,Formal,MP,ANDERSON Leah,skipped,1,2
50,Enrolment/NAMAV,Enrolment/NAMAV,45988,Formal,MP,ANDERSON Leah,skipped,1,2
51,Enrolment/NAMAV,Enrolment/NAMAV,45989,Formal,MP,ANDERSON Leah,skipped,1,2
52,Enrolment/NAMAV,Enrolment/NAMAV,45990,Formal,MP,ANDERSON Leah,skipped,1,2
53,Enrolment/NAMAV,Enrolment/NAMAV,45991,Formal,MP,ANDERSON Leah,skipped,1,2
54,Enrolment/NAMAV,Enrolment/NAMAV,45992,Formal,MP,ANDERSON Leah,skipped,1,2
55,Enrolment/NAMAV,Enrolment/NAMAV,45993,Formal,MP,ANDERSON Leah,skipped,1,2
56,Enrolment/NAMAV,Enrolment/NAMAV,45994,Formal,MP,ANDERSON Leah,skipped,1,2
57,Enrolment/NAMAV,Enrolment/NAMAV,45995,Formal,MP,ANDERSON Leah,skipped,1,2
58,Enrolment/NAMAV,Enrolment/NAMAV,45996,Formal,MP,ANDERSON Leah,skipped,1,2
59,Enrolment/NAMAV,Enrolment/NAMAV,45997,Formal,MP,ANDERSON Leah,skipped,1,2
60,Enrolment/NAMAV,Enrolment/NAMAV,45998,Formal,MP,ANDERSON Leah,skipped,1,2
61,Enrolment/NAMAV,Enrolment/NAMAV,45999,Formal,MP,ANDERSON Leah,skipped,1,2
62,Enrolment/NAMAV,Enrolment/NAMAV,46000,Formal,MP,ANDERSON Leah,skipped,1,2
63,Enrolment/NAMAV,Enrolment/NAMAV,46001,Formal,MP,ANDERSON Leah,skipped,1,2
64,Enrolment/NAMAV,Enrolment/NAMAV,46002,Formal,MP,ANDERSON Leah,skipped,1,2
65,Enrolment/NAMAV,Enrolment/NAMAV,46003,Formal,MP,ANDERSON Leah,skipped,1,2
66,Enrolment/NAMAV,Enrolment/NAMAV,46004,Formal,MP,ANDERSON Leah,skipped,1,2
67,Enrolment/NAMAV,Enrolment/NAMAV,46005,Formal,MP,ANDERSON Leah,skipped,1,2
68,Enrolment/NAMAV,Enrolment/NAMAV,46006,Formal,MP,ANDERSON Leah,skipped,1,2
69,Enrolment/NAMAV,Enrolment/NAMAV,46007,Formal,MP,ANDERSON Leah,skipped,1,2
70,Enrolment/NAMAV,Enrolment/NAMAV,46008,Formal,MP,ANDERSON Leah,skipped,1,2
71,Enrolment/NAMAV,Enrolment/NAMAV,46009,Formal,MP,ANDERSON Leah,skipped,1,2
72,Enrolment/NAMAV,Enrolment/NAMAV,46010,Formal,MP,ANDERSON Leah,skipped,1,2
73,Enrolment/NAMAV,Enrolment/NAMAV,46011,Formal,MP,ANDERSON Leah,skipped,1,2
74,Enrolment/NAMAV,Enrolment/NAMAV,46012,Formal,MP,ANDERSON Leah,skipped,1,2
75,Enrolment/NAMAV,Enrolment/NAMAV,46013,Formal,MP,ANDERSON Leah,skipped,1,2
76,Enrolment/NAMAV,Enrolment/NAMAV,46014,Formal,MP,ANDERSON Leah,skipped,1,2
77,Enrolment/NAMAV,Enrolment/NAMAV,46015,Formal,MP,ANDERSON Leah,skipped,1,2
78,Enrolment/NAMAV,Enrolment/NAMAV,46016,Formal,MP,ANDERSON Leah,skipped,1,2
79,Enrolment/NAMAV,Enrolment/NAMAV,46017,Formal,MP,ANDERSON Leah,skipped,1,2
80,Enrolment/NAMAV,Enrolment/NAMAV,46018,Formal,MP,ANDERSON Leah,skipped,1,2
81,Enrolment/NAMAV,Enrolment/NAMAV,46019,Formal,MP,ANDERSON Leah,skipped,1,2
82,Enrolment/NAMAV,Enrolment/NAMAV,46020,Formal,MP,ANDERSON Leah,skipped,1,2
83,Enrolment/NAMAV,Enrolment/NAMAV,46021,Formal,MP,ANDERSON Leah,skipped,1,2
84,Enrolment/NAMAV,Enrolment/NAMAV,46022,Formal,MP,ANDERSON Leah,skipped,1,2
85,Enrolment/NAMAV,Enrolment/NAMAV,46023,Formal,MP,ANDERSON Leah,skipped,1,2
86,Enrolment/NAMAV,Enrolment/NAMAV,46024,Formal,MP,ANDERSON Leah,skipped,1,2
87,Enrolment/NAMAV,Enrolment/NAMAV,46025,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
88,Enrolment/NAMAV,Enrolment/NAMAV,46026,Formal,MP,ANDERSON Leah,skipped,1,2
89,Enrolment/NAMAV,Enrolment/NAMAV,46027,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
90,Enrolment/NAMAV,Enrolment/NAMAV,46028,Formal,MP,ANDERSON Leah,skipped,1,2
91,Enrolment/NAMAV,Enrolment/NAMAV,46029,Formal,MP,ANDERSON Leah,skipped,1,2
92,Enrolment/NAMAV,Enrolment/NAMAV,46030,Formal,MP,ANDERSON Leah,skipped,1,2
93,Enrolment/NAMAV,Enrolment/NAMAV,46031,Formal,MP,ANDERSON Leah,skipped,1,2
94,Enrolment/NAMAV,Enrolment/NAMAV,46032,Formal,MP,ANDERSON Leah,skipped,1,2
95,Enrolment/NAMAV,Enrolment/NAMAV,46033,Formal,MP,ANDERSON Leah,skipped,1,2
96,Enrolment/NAMAV,Enrolment/NAMAV,46034,Formal,MP,ANDERSON Leah,skipped,1,2
97,Enrolment/NAMAV,Enrolment/NAMAV,46035,Formal,MP,ANDERSON Leah,skipped,1,2
98,Enrolment/NAMAV,Enrolment/NAMAV,46036,Formal,MP,ANDERSON Leah,skipped,1,2
99,Enrolment/NAMAV,Enrolment/NAMAV,46037,Formal,MP,ANDERSON Leah,skipped,1,2
100,Enrolment/NAMAV,Enrolment/NAMAV,46038,Formal,MP,PALMER Ryan,skipped,1,2
101,Enrolment/NAMAV,Enrolment/NAMAV,46039,Formal,MP,PALMER Ryan,skipped,1,2
102,Enrolment/NAMAV,Enrolment/NAMAV,46040,Formal,MP,PALMER Ryan,skipped,1,2
103,Enrolment/NAMAV,Enrolment/NAMAV,46041,Formal,MP,PALMER Ryan,skipped,1,2
104,Enrolment/NAMAV,Enrolment/NAMAV,46042,Formal,MP,PALMER Ryan,skipped,1,2
105,Enrolment/NAMAV,Enrolment/NAMAV,46043,Formal,MP,PALMER Ryan,skipped,1,2
106,Enrolment/NAMAV,Enrolment/NAMAV,46044,Formal,MP,PALMER Ryan,skipped,1,2
107,Enrolment/NAMAV,Enrolment/NAMAV,46045,Formal,MP,PALMER Ryan,skipped,1,2
108,Enrolment/NAMAV,Enrolment/NAMAV,46046,Formal,MP,PALMER Ryan,skipped,1,2
109,Enrolment/NAMAV,Enrolment/NAMAV,46047,Formal,MP,PALMER Ryan,skipped,1,2
110,Enrolment/NAMAV,Enrolment/NAMAV,46048,Formal,MP,PALMER Ryan,skipped,1,2
111,Enrolment/NAMAV,Enrolment/NAMAV,46049,Formal,MP,PALMER Ryan,skipped,1,2
112,Enrolment/NAMAV,Enrolment/NAMAV,46050,Formal,MP,PALMER Ryan,skipped,1,2
113,Enrolment/NAMAV,Enrolment/NAMAV,46051,Formal,MP,PALMER Ryan,skipped,1,2
114,Enrolment/NAMAV,Enrolment/NAMAV,46052,Formal,MP,PALMER Ryan,skipped,1,2
115,Enrolment/NAMAV,Enrolment/NAMAV,46053,Formal,MP,PALMER Ryan,skipped,1,2
116,Enrolment/NAMAV,Enrolment/NAMAV,46054,Formal,MP,PALMER Ryan,skipped,1,2
117,Enrolment/NAMAV,Enrolment/NAMAV,46055,Formal,MP,PALMER Ryan,skipped,1,2
118,Enrolment/NAMAV,Enrolment/NAMAV,46056,Formal,MP,PALMER Ryan,skipped,1,2
119,Enrolment/NAMAV,Enrolment/NAMAV,46057,Formal,MP,PALMER Ryan,skipped,1,2
120,Enrolment/NAMAV,Enrolment/NAMAV,46058,Formal,MP,PALMER Ryan,skipped,1,2
121,Enrolment/NAMAV,Enrolment/NAMAV,46059,Formal,MP,PALMER Ryan,skipped,1,2
122,Enrolment/NAMAV,Enrolment/NAMAV,46060,Formal,MP,PALMER Ryan,skipped,1,2
123,Enrolment/NAMAV,Enrolment/NAMAV,46061,Formal,MP,PALMER Ryan,skipped,1,2
124,Enrolment/NAMAV,Enrolment/NAMAV,46062,Formal,MP,PALMER Ryan,skipped,1,2
125,Enrolment/NAMAV,Enrolment/NAMAV,46063,Formal,MP,PALMER Ryan,skipped,1,2
126,Enrolment/NAMAV,Enrolment/NAMAV,46064,Formal,MP,PALMER Ryan,skipped,1,2
127,Enrolment/NAMAV,Enrolment/NAMAV,46065,Formal,MP,PALMER Ryan,ANDERSON Leah,1,2
128,Enrolment/NAMAV,Enrolment/NAMAV,46066,Formal,MP,PALMER Ryan,skipped,1,2
129,Enrolment/NAMAV,Enrolment/NAMAV,46067,Formal,MP,PALMER Ryan,skipped,1,2
130,Enrolment/NAMAV,Enrolment/NAMAV,46068,Formal,MP,PALMER Ryan,skipped,1,2
131,Enrolment/NAMAV,Enrolment/NAMAV,46069,Formal,MP,PALMER Ryan,skipped,1,2
132,Enrolment/NAMAV,Enrolment/NAMAV,46070,Formal,MP,PALMER Ryan,skipped,1,2
133,Enrolment/NAMAV,Enrolment/NAMAV,46071,Formal,MP,PALMER Ryan,skipped,1,2
134,Enrolment/NAMAV,Enrolment/NAMAV,46072,Formal,MP,PALMER Ryan,skipped,1,2
135,Enrolment/NAMAV,Enrolment/NAMAV,46073,Formal,MP,PALMER Ryan,skipped,1,2
136,Enrolment/NAMAV,Enrolment/NAMAV,46074,Formal,MP,PALMER Ryan,skipped,1,2
137,Enrolment/NAMAV,Enrolment/NAMAV,46075,Formal,MP,PALMER Ryan,skipped,1,2
138,Enrolment/NAMAV,Enrolment/NAMAV,46076,Formal,MP,PALMER Ryan,skipped,1,2
139,Enrolment/NAMAV,Enrolment/NAMAV,46077,Formal,MP,PALMER Ryan,skipped,1,2
140,Enrolment/NAMAV,Enrolment/NAMAV,46078,Formal,MP,PALMER Ryan,skipped,1,2
141,Enrolment/NAMAV,Enrolment/NAMAV,46079,Formal,MP,PALMER Ryan,skipped,1,2
142,Enrolment/NAMAV,Enrolment/NAMAV,46080,Formal,MP,PALMER Ryan,skipped,1,2
143,Enrolment/NAMAV,Enrolment/NAMAV,46081,Formal,MP,PALMER Ryan,skipped,1,2
144,Enrolment/NAMAV,Enrolment/NAMAV,46082,Formal,MP,PALMER Ryan,skipped,1,2
145,Enrolment/NAMAV,Enrolment/NAMAV,46083,Formal,MP,PALMER Ryan,skipped,1,2
146,Enrolment/NAMAV,Enrolment/NAMAV,46084,Formal,MP,PALMER Ryan,skipped,1,2
147,Enrolment/NAMAV,Enrolment/NAMAV,46085,Formal,MP,PALMER Ryan,skipped,1,2
148,Enrolment/NAMAV,Enrolment/NAMAV,46086,Formal,MP,PALMER Ryan,skipped,1,2
149,Enrolment/NAMAV,Enrolment/NAMAV,46087,Formal,MP,PALMER Ryan,skipped,1,2
150,Enrolment/NAMAV,Enrolment/NAMAV,46088,Formal,MP,ANDERSON Leah,skipped,1,2
151,Enrolment/NAMAV,Enrolment/NAMAV,46089,Formal,MP,ANDERSON Leah,skipped,1,2
152,Enrolment/NAMAV,Enrolment/NAMAV,46090,Formal,MP,ANDERSON Leah,skipped,1,2
153,Enrolment/NAMAV,Enrolment/NAMAV,46091,Formal,MP,ANDERSON Leah,skipped,1,2
154,Enrolment/NAMAV,Enrolment/NAMAV,46092,Formal,MP,ANDERSON Leah,skipped,1,2
155,Enrolment/NAMAV,Enrolment/NAMAV,46093,Formal,MP,ANDERSON Leah,skipped,1,2
156,Enrolment/NAMAV,Enrolment/NAMAV,46094,Formal,MP,ANDERSON Leah,skipped,1,2
157,Enrolment/NAMAV,Enrolment/NAMAV,46095,Formal,MP,ANDERSON Leah,skipped,1,2
158,Enrolment/NAMAV,Enrolment/NAMAV,46096,Formal,MP,ANDERSON Leah,skipped,1,2
159,Enrolment/NAMAV,Enrolment/NAMAV,46097,Formal,MP,ANDERSON Leah,skipped,1,2
160,Enrolment/NAMAV,Enrolment/NAMAV,46098,Formal,MP,ANDERSON Leah,skipped,1,2
161,Enrolment/NAMAV,Enrolment/NAMAV,46099,Formal,MP,ANDERSON Leah,skipped,1,2
162,Enrolment/NAMAV,Enrolment/NAMAV,46100,Formal,MP,ANDERSON Leah,skipped,1,2
163,Enrolment/NAMAV,Enrolment/NAMAV,46101,Formal,MP,ANDERSON Leah,skipped,1,2
164,Enrolment/NAMAV,Enrolment/NAMAV,46102,Formal,MP,ANDERSON Leah,skipped,1,2
165,Enrolment/NAMAV,Enrolment/NAMAV,46103,Formal,MP,ANDERSON Leah,skipped,1,2
166,Enrolment/NAMAV,Enrolment/NAMAV,46104,Formal,MP,ANDERSON Leah,skipped,1,2
167,Enrolment/NAMAV,Enrolment/NAMAV,46105,Formal,MP,ANDERSON Leah,skipped,1,2
168,Enrolment/NAMAV,Enrolment/NAMAV,46106,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
169,Enrolment/NAMAV,Enrolment/NAMAV,46107,Formal,MP,ANDERSON Leah,skipped,1,2
170,Enrolment/NAMAV,Enrolment/NAMAV,46108,Formal,MP,ANDERSON Leah,skipped,1,2
171,Enrolment/NAMAV,Enrolment/NAMAV,46109,Formal,MP,ANDERSON Leah,skipped,1,2
172,Enrolment/NAMAV,Enrolment/NAMAV,46110,Formal,MP,ANDERSON Leah,skipped,1,2
173,Enrolment/NAMAV,Enrolment/NAMAV,46111,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
174,Enrolment/NAMAV,Enrolment/NAMAV,46112,Formal,MP,ANDERSON Leah,skipped,1,2
175,Enrolment/NAMAV,Enrolment/NAMAV,46113,Formal,MP,ANDERSON Leah,skipped,1,2
176,Enrolment/NAMAV,Enrolment/NAMAV,46114,Formal,MP,ANDERSON Leah,skipped,1,2
177,Enrolment/NAMAV,Enrolment/NAMAV,46115,Formal,MP,ANDERSON Leah,skipped,1,2
178,Enrolment/NAMAV,Enrolment/NAMAV,46116,Formal,MP,ANDERSON Leah,skipped,1,2
179,Enrolment/NAMAV,Enrolment/NAMAV,46117,Formal,MP,ANDERSON Leah,skipped,1,2
180,Enrolment/NAMAV,Enrolment/NAMAV,46118,Formal,MP,ANDERSON Leah,skipped,1,2
181,Enrolment/NAMAV,Enrolment/NAMAV,46119,Formal,MP,ANDERSON Leah,skipped,1,2
182,Enrolment/NAMAV,Enrolment/NAMAV,46120,Formal,MP,ANDERSON Leah,skipped,1,2
183,Enrolment/NAMAV,Enrolment/NAMAV,46121,Formal,MP,ANDERSON Leah,skipped,1,2
184,Enrolment/NAMAV,Enrolment/NAMAV,46122,Formal,MP,ANDERSON Leah,skipped,1,2
185,Enrolment/NAMAV,Enrolment/NAMAV,46123,Formal,MP,ANDERSON Leah,skipped,1,2
186,Enrolment/NAMAV,Enrolment/NAMAV,46124,Formal,MP,ANDERSON Leah,skipped,1,2
187,Enrolment/NAMAV,Enrolment/NAMAV,46125,Formal,MP,ANDERSON Leah,skipped,1,2
188,Enrolment/NAMAV,Enrolment/NAMAV,46126,Formal,MP,ANDERSON Leah,skipped,1,2
189,Enrolment/NAMAV,Enrolment/NAMAV,46127,Formal,MP,ANDERSON Leah,skipped,1,2
190,Enrolment/NAMAV,Enrolment/NAMAV,46128,Formal,MP,ANDERSON Leah,skipped,1,2
191,Enrolment/NAMAV,Enrolment/NAMAV,46129,Formal,MP,ANDERSON Leah,skipped,1,2
192,Enrolment/NAMAV,Enrolment/NAMAV,46130,Formal,MP,ANDERSON Leah,skipped,1,2
193,Enrolment/NAMAV,Enrolment/NAMAV,46131,Formal,MP,ANDERSON Leah,skipped,1,2
194,Enrolment/NAMAV,Enrolment/NAMAV,46132,Formal,MP,ANDERSON Leah,skipped,1,2
195,Enrolment/NAMAV,Enrolment/NAMAV,46133,Formal,MP,ANDERSON Leah,skipped,1,2
196,Enrolment/NAMAV,Enrolment/NAMAV,46134,Formal,MP,ANDERSON Leah,skipped,1,2
197,Enrolment/NAMAV,Enrolment/NAMAV,46135,Formal,MP,ANDERSON Leah,skipped,1,2
198,Enrolment/NAMAV,Enrolment/NAMAV,46136,Formal,MP,ANDERSON Leah,skipped,1,2
199,Enrolment/NAMAV,Enrolment/NAMAV,46137,Formal,MP,ANDERSON Leah,skipped,1,2
200,Enrolment/NAMAV,Enrolment/NAMAV,46138,Formal,MP,ANDERSON Leah,skipped,1,2
201,Enrolment/NAMAV,Enrolment/NAMAV,46139,Formal,MP,ANDERSON Leah,skipped,1,2
202,Enrolment/NAMAV,Enrolment/NAMAV,46140,Formal,MP,ANDERSON Leah,skipped,1,2
203,Enrolment/NAMAV,Enrolment/NAMAV,46141,Formal,MP,ANDERSON Leah,skipped,1,2
204,Enrolment/NAMAV,Enrolment/NAMAV,46142,Formal,MP,ANDERSON Leah,skipped,1,2
205,Enrolment/NAMAV,Enrolment/NAMAV,46143,Formal,MP,ANDERSON Leah,skipped,1,2
206,Enrolment/NAMAV,Enrolment/NAMAV,46144,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
207,Enrolment/NAMAV,Enrolment/NAMAV,46145,Formal,MP,ANDERSON Leah,skipped,1,2
208,Enrolment/NAMAV,Enrolment/NAMAV,46146,Formal,MP,ANDERSON Leah,skipped,1,2
209,Enrolment/NAMAV,Enrolment/NAMAV,46147,Formal,MP,ANDERSON Leah,skipped,1,2
210,Enrolment/NAMAV,Enrolment/NAMAV,46148,Formal,MP,ANDERSON Leah,skipped,1,2
211,Enrolment/NAMAV,Enrolment/NAMAV,46149,Formal,MP,ANDERSON Leah,skipped,1,2
212,Enrolment/NAMAV,Enrolment/NAMAV,46150,Formal,MP,ANDERSON Leah,skipped,1,2
213,Enrolment/NAMAV,Enrolment/NAMAV,46151,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
214,Enrolment/NAMAV,Enrolment/NAMAV,46152,Formal,MP,ANDERSON Leah,skipped,1,2
215,Enrolment/NAMAV,Enrolment/NAMAV,46153,Formal,MP,ANDERSON Leah,skipped,1,2
216,Enrolment/NAMAV,Enrolment/NAMAV,46154,Formal,MP,ANDERSON Leah,skipped,1,2
217,Enrolment/NAMAV,Enrolment/NAMAV,46155,Formal,MP,ANDERSON Leah,skipped,1,2
218,Enrolment/NAMAV,Enrolment/NAMAV,46156,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
219,Enrolment/NAMAV,Enrolment/NAMAV,46157,Formal,MP,ANDERSON Leah,skipped,1,2
220,Enrolment/NAMAV,Enrolment/NAMAV,46158,Formal,MP,ANDERSON Leah,skipped,1,2
221,Enrolment/NAMAV,Enrolment/NAMAV,46159,Formal,MP,ANDERSON Leah,skipped,1,2
222,Enrolment/NAMAV,Enrolment/NAMAV,46160,Formal,MP,ANDERSON Leah,skipped,1,2
223,Enrolment/NAMAV,Enrolment/NAMAV,46161,Formal,MP,ANDERSON Leah,skipped,1,2
224,Enrolment/NAMAV,Enrolment/NAMAV,46162,Formal,MP,ANDERSON Leah,skipped,1,2
225,Enrolment/NAMAV,Enrolment/NAMAV,46163,Formal,MP,ANDERSON Leah,skipped,1,2
226,Enrolment/NAMAV,Enrolment/NAMAV,46164,Formal,MP,ANDERSON Leah,skipped,1,2
227,Enrolment/NAMAV,Enrolment/NAMAV,46165,Formal,MP,ANDERSON Leah,skipped,1,2
228,Enrolment/NAMAV,Enrolment/NAMAV,46166,Formal,MP,ANDERSON Leah,skipped,1,2
229,Enrolment/NAMAV,Enrolment/NAMAV,46167,Formal,MP,ANDERSON Leah,skipped,1,2
230,Enrolment/NAMAV,Enrolment/NAMAV,46168,Formal,MP,ANDERSON Leah,skipped,1,2
231,Enrolment/NAMAV,Enrolment/NAMAV,46169,Formal,MP,ANDERSON Leah,skipped,1,2
232,Enrolment/NAMAV,Enrolment/NAMAV,46170,Formal,MP,ANDERSON Leah,skipped,1,2
233,Enrolment/NAMAV,Enrolment/NAMAV,46171,Formal,MP,ANDERSON Leah,skipped,1,2
234,Enrolment/NAMAV,Enrolment/NAMAV,46172,Formal,MP,ANDERSON Leah,skipped,1,2
235,Enrolment/NAMAV,Enrolment/NAMAV,46173,Formal,MP,ANDERSON Leah,skipped,1,2
236,Enrolment/NAMAV,Enrolment/NAMAV,46174,Formal,MP,ANDERSON Leah,skipped,1,2
237,Enrolment/NAMAV,Enrolment/NAMAV,46175,Formal,MP,ANDERSON Leah,skipped,1,2
238,Enrolment/NAMAV,Enrolment/NAMAV,46176,Formal,MP,ANDERSON Leah,skipped,1,2
239,Enrolment/NAMAV,Enrolment/NAMAV,46177,Formal,MP,ANDERSON Leah,skipped,1,2
240,Enrolment/NAMAV,Enrolment/NAMAV,46178,Formal,MP,ANDERSON Leah,skipped,1,2
241,Enrolment/NAMAV,Enrolment/NAMAV,46179,Formal,MP,ANDERSON Leah,skipped,1,2
242,Enrolment/NAMAV,Enrolment/NAMAV,46180,Formal,MP,ANDERSON Leah,skipped,1,2
243,Enrolment/NAMAV,Enrolment/NAMAV,46181,Formal,MP,ANDERSON Leah,skipped,1,2
244,Enrolment/NAMAV,Enrolment/NAMAV,46182,Formal,MP,ANDERSON Leah,skipped,1,2
245,Enrolment/NAMAV,Enrolment/NAMAV,46183,Formal,MP,ANDERSON Leah,skipped,1,2
246,Enrolment/NAMAV,Enrolment/NAMAV,46184,Formal,MP,ANDERSON Leah,PALMER Ryan,1,2
247,Enrolment/NAMAV,Enrolment/NAMAV,46185,Formal,MP,ANDERSON Leah,skipped,1,2
248,Enrolment/NAMAV,Enrolment/NAMAV,46186,Formal,MP,ANDERSON Leah,skipped,1,2
249,Enrolment/NAMAV,Enrolment/NAMAV,46187,Formal,MP,ANDERSON Leah,skipped,1,2
250,Enrolment/NAMAV,Enrolment/NAMAV,46188,Formal,MP,ANDERSON Leah,skipped,1,2
251,Enrolment/NAMAV,Enrolment/NAMAV,46189,Formal,MP,ANDERSON Leah,skipped,1,2
252,Enrolment/NAMAV,Enrolment/NAMAV,46190,Formal,MP,ANDERSON Leah,skipped,1,2
253,Enrolment/NAMAV,Enrolment/NAMAV,46191,Formal,MP,ANDERSON Leah,skipped,1,2
254,Enrolment/NAMAV,Enrolment/NAMAV,46192,Formal,MP,ANDERSON Leah,skipped,1,2
255,Enrolment/NAMAV,Enrolment/NAMAV,46193,Formal,MP,ANDERSON Leah,skipped,1,2
256,Enrolment/NAMAV,Enrolment/NAMAV,46194,Formal,MP,ANDERSON Leah,skipped,1,2
