VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
Enrolment/NAMAV,Enrolment/NAMAV,25117,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25118,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25119,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25120,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25121,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25122,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25123,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25124,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25125,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25126,Formal,MP,JOHNSON Jeff,MCCARTHY Steve,JOHNSTON Eoin,WILLIAMS Keith,CADWALLADER Sharon,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25127,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25128,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25129,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25130,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25131,Formal,MP,JOHNSON Jeff,MCCARTHY Steve,WILLIAMS Keith,JOHNSTON Eoin,CADWALLADER Sharon,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25132,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25133,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,MCCARTHY Steve,CADWALLADER Sharon,JOHNSTON Eoin,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25134,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25135,Formal,MP,JOHNSON Jeff,JOHNSTON Eoin,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25136,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25137,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25138,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25139,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,JOHNSTON Eoin,MCCARTHY Steve,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25140,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25141,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25142,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25143,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25144,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25145,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25146,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25147,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25148,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25149,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25150,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25151,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25152,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25153,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25154,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25155,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25156,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25157,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25158,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25159,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,WILLIAMS Keith,MCCARTHY Steve,JOHNSTON Eoin,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25160,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,JOHNSTON Eoin,MCCARTHY Steve,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25161,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25162,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25163,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25164,Formal,MP,JOHNSON Jeff,JOHNSTON Eoin,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25165,Formal,MP,JOHNSON Jeff,JOHNSTON Eoin,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25166,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25167,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,MCCARTHY Steve,JOHNSTON Eoin,CADWALLADER Sharon,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25168,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25169,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25170,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25171,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25172,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25173,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25174,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25175,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25176,Formal,MP,JOHNSTON Eoin,JOHNSON Jeff,MCCARTHY Steve,CADWALLADER Sharon,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25177,Formal,MP,JOHNSTON Eoin,JOHNSON Jeff,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25178,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25179,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25180,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25181,Formal,MP,JOHNSTON Eoin,MCCARTHY Steve,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25182,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25183,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,MCCARTHY Steve,WILLIAMS Keith,JOHNSON Jeff,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25184,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25185,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,MCCARTHY Steve,JOHNSON Jeff,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25186,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25187,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,MCCARTHY Steve,JOHNSON Jeff,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25188,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25189,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25190,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25191,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25192,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,WILLIAMS Keith,JOHNSON Jeff,MCCARTHY Steve,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25193,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25194,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25195,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25196,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25197,Formal,MP,JOHNSTON Eoin,JOHNSON Jeff,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25198,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,WILLIAMS Keith,JOHNSON Jeff,MCCARTHY Steve,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25199,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25200,Formal,MP,JOHNSTON Eoin,JOHNSON Jeff,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25201,Formal,MP,JOHNSTON Eoin,JOHNSON Jeff,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25202,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25203,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25204,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25205,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,MCCARTHY Steve,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25206,Formal,MP,JOHNSTON Eoin,MCCARTHY Steve,JOHNSON Jeff,CADWALLADER Sharon,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25207,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25208,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25209,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25210,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25211,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25212,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25213,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25214,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25215,Formal,MP,JOHNSTON Eoin,MCCARTHY Steve,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25216,Formal,MP,JOHNSTON Eoin,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25217,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25218,Formal,MP,JOHNSTON Eoin,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25219,Formal,MP,JOHNSTON Eoin,JOHNSON Jeff,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25220,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25221,Formal,MP,JOHNSTON Eoin,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25222,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25223,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25224,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25225,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25226,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25227,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,CADWALLADER Sharon,MCCARTHY Steve,JOHNSTON Eoin,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25228,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25229,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,MCCARTHY Steve,JOHNSTON Eoin,CADWALLADER Sharon,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25230,Formal,MP,JOHNSON Jeff,MCCARTHY Steve,JOHNSTON Eoin,CADWALLADER Sharon,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25231,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25232,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25233,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,JOHNSTON Eoin,MCCARTHY Steve,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25234,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25235,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25236,Formal,MP,JOHNSON Jeff,JOHNSTON Eoin,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25237,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25238,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25239,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,CADWALLADER Sharon,JOHNSTON Eoin,MCCARTHY Steve,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25240,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25241,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,JOHNSTON Eoin,MCCARTHY Steve,WILLIAMS Keith,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25242,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25243,Formal,MP,JOHNSON Jeff,JOHNSTON Eoin,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25244,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25245,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25246,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25247,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25248,Formal,MP,JOHNSON Jeff,CADWALLADER Sharon,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25249,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25250,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25251,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25252,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25253,Formal,MP,JOHNSON Jeff,WILLIAMS Keith,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25254,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25255,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25256,Formal,MP,JOHNSON Jeff,JOHNSTON Eoin,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25257,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25258,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25259,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25260,Formal,MP,JOHNSON Jeff,MCCARTHY Steve,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25261,Formal,MP,JOHNSON Jeff,MCCARTHY Steve,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25262,Formal,MP,JOHNSON Jeff,MCCARTHY Steve,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25263,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25264,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25265,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
Enrolment/NAMAV,Enrolment/NAMAV,25266,Formal,MP,JOHNSON Jeff,skipped,skipped,skipped,skipped,1,6
