VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6,rank7
Enrolment/NAMAV,Enrolment/NAMAV,24610,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24611,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24612,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24613,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24614,Formal,MP,HATCHER Mat,STARMER Karyn,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary,WORTHINGTON Alison,GRACE David
Enrolment/NAMAV,Enrolment/NAMAV,24615,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24616,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24617,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24618,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24619,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24620,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,GRACE David,WORTHINGTON Alison,SMITH Gary,HATCHER Mat
Enrolment/NAMAV,Enrolment/NAMAV,24621,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24622,Formal,MP,HARRISON N (Tubby),HATCHER Mat,POLLOCK Rob,STARMER Karyn,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24623,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24624,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24625,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24626,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24627,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24628,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,HATCHER Mat,SMITH Gary,GRACE David,WORTHINGTON Alison
Enrolment/NAMAV,Enrolment/NAMAV,24629,Formal,MP,HARRISON N (Tubby),HATCHER Mat,GRACE David,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24630,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24631,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24632,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24633,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24634,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24635,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,HATCHER Mat,STARMER Karyn,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24636,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24637,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24638,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24639,Formal,MP,HARRISON N (Tubby),HATCHER Mat,POLLOCK Rob,STARMER Karyn,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24640,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24641,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24642,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24643,Formal,MP,HARRISON N (Tubby),WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24644,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24645,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24646,Formal,MP,HARRISON N (Tubby),WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24647,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24648,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24649,Formal,MP,STARMER Karyn,GRACE David,SMITH Gary,HARRISON N (Tubby),HATCHER Mat,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24650,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24651,Formal,MP,STARMER Karyn,GRACE David,SMITH Gary,HATCHER Mat,WORTHINGTON Alison,POLLOCK Rob,HARRISON N (Tubby)
Enrolment/NAMAV,Enrolment/NAMAV,24652,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24653,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,HARRISON N (Tubby),POLLOCK Rob,SMITH Gary,HATCHER Mat
Enrolment/NAMAV,Enrolment/NAMAV,24654,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24655,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24656,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24657,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24658,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,POLLOCK Rob,SMITH Gary,HARRISON N (Tubby),HATCHER Mat
Enrolment/NAMAV,Enrolment/NAMAV,24659,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,HATCHER Mat,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary
Enrolment/NAMAV,Enrolment/NAMAV,24660,Formal,MP,STARMER Karyn,GRACE David,WORTHINGTON Alison,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24661,Formal,MP,STARMER Karyn,HARRISON N (Tubby),HATCHER Mat,SMITH Gary,GRACE David,POLLOCK Rob,WORTHINGTON Alison
Enrolment/NAMAV,Enrolment/NAMAV,24662,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24663,Formal,MP,STARMER Karyn,HATCHER Mat,WORTHINGTON Alison,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24664,Formal,MP,STARMER Karyn,WORTHINGTON Alison,GRACE David,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24665,Formal,MP,STARMER Karyn,POLLOCK Rob,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24666,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24667,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24668,Formal,MP,STARMER Karyn,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24669,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24670,Formal,MP,HARRISON N (Tubby),SMITH Gary,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24671,Formal,MP,HARRISON N (Tubby),WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24672,Formal,MP,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24673,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,HATCHER Mat,STARMER Karyn,SMITH Gary,GRACE David,WORTHINGTON Alison
Enrolment/NAMAV,Enrolment/NAMAV,24674,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24675,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24676,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24677,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24678,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24679,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24680,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,HATCHER Mat,GRACE David,SMITH Gary,WORTHINGTON Alison
Enrolment/NAMAV,Enrolment/NAMAV,24681,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24682,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24683,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24684,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24685,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24686,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24687,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24688,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24689,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24690,Formal,MP,HARRISON N (Tubby),HATCHER Mat,STARMER Karyn,GRACE David,POLLOCK Rob,SMITH Gary,WORTHINGTON Alison
Enrolment/NAMAV,Enrolment/NAMAV,24691,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24692,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24693,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24694,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24695,Formal,MP,HARRISON N (Tubby),HATCHER Mat,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24696,Formal,MP,HARRISON N (Tubby),POLLOCK Rob,HATCHER Mat,STARMER Karyn,SMITH Gary,WORTHINGTON Alison,GRACE David
Enrolment/NAMAV,Enrolment/NAMAV,24697,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24698,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24699,Formal,MP,GRACE David,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn
Enrolment/NAMAV,Enrolment/NAMAV,24700,Formal,MP,GRACE David,WORTHINGTON Alison,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24701,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24702,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24703,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24704,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24705,Formal,MP,GRACE David,WORTHINGTON Alison,STARMER Karyn,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24706,Formal,MP,GRACE David,HARRISON N (Tubby),SMITH Gary,WORTHINGTON Alison,HATCHER Mat,POLLOCK Rob,STARMER Karyn
Enrolment/NAMAV,Enrolment/NAMAV,24707,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24708,Formal,MP,GRACE David,HARRISON N (Tubby),SMITH Gary,HATCHER Mat,WORTHINGTON Alison,POLLOCK Rob,STARMER Karyn
Enrolment/NAMAV,Enrolment/NAMAV,24709,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24710,Formal,MP,GRACE David,SMITH Gary,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24711,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24712,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24713,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24714,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24715,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24716,Formal,MP,GRACE David,STARMER Karyn,WORTHINGTON Alison,SMITH Gary,HATCHER Mat,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24717,Formal,MP,GRACE David,STARMER Karyn,HATCHER Mat,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24718,Formal,MP,GRACE David,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24719,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24720,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24721,Formal,MP,HATCHER Mat,POLLOCK Rob,STARMER Karyn,HARRISON N (Tubby),GRACE David,WORTHINGTON Alison,SMITH Gary
Enrolment/NAMAV,Enrolment/NAMAV,24722,Formal,MP,HATCHER Mat,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24723,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24724,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24725,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24726,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24727,Formal,MP,HATCHER Mat,STARMER Karyn,POLLOCK Rob,HARRISON N (Tubby),SMITH Gary,GRACE David,WORTHINGTON Alison
Enrolment/NAMAV,Enrolment/NAMAV,24728,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24729,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24730,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24731,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24732,Formal,MP,SMITH Gary,HARRISON N (Tubby),HATCHER Mat,STARMER Karyn,POLLOCK Rob,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24733,Formal,MP,SMITH Gary,POLLOCK Rob,HATCHER Mat,STARMER Karyn,GRACE David,WORTHINGTON Alison,HARRISON N (Tubby)
Enrolment/NAMAV,Enrolment/NAMAV,24734,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24735,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24736,Formal,MP,SMITH Gary,HARRISON N (Tubby),STARMER Karyn,POLLOCK Rob,HATCHER Mat,GRACE David,WORTHINGTON Alison
Enrolment/NAMAV,Enrolment/NAMAV,24737,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24738,Formal,MP,SMITH Gary,HATCHER Mat,HARRISON N (Tubby),POLLOCK Rob,STARMER Karyn,GRACE David,WORTHINGTON Alison
Enrolment/NAMAV,Enrolment/NAMAV,24739,Formal,MP,SMITH Gary,HARRISON N (Tubby),WORTHINGTON Alison,HATCHER Mat,STARMER Karyn,GRACE David,POLLOCK Rob
Enrolment/NAMAV,Enrolment/NAMAV,24740,Formal,MP,SMITH Gary,POLLOCK Rob,GRACE David,HATCHER Mat,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24741,Formal,MP,SMITH Gary,WORTHINGTON Alison,POLLOCK Rob,HARRISON N (Tubby),STARMER Karyn,HATCHER Mat,GRACE David
Enrolment/NAMAV,Enrolment/NAMAV,24742,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24743,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24744,Formal,MP,SMITH Gary,WORTHINGTON Alison,GRACE David,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,POLLOCK Rob
Enrolment/NAMAV,Enrolment/NAMAV,24745,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24746,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24747,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24748,Formal,MP,SMITH Gary,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24749,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24750,Formal,MP,HARRISON N (Tubby),skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24751,Formal,MP,HATCHER Mat,HARRISON N (Tubby),STARMER Karyn,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24752,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24753,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,24754,Formal,MP,HATCHER Mat,skipped,skipped,skipped,skipped,skipped,skipped
