VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2
Enrolment/NAMAV,Enrolment/NAMAV,12739,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12740,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12741,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12742,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12743,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12744,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12745,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12746,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12747,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12748,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12749,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12750,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12751,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12752,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12753,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12754,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12755,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12756,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12757,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12758,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12759,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12760,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12761,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12762,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12763,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12764,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12765,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12766,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12767,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12768,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12769,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12770,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12771,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12772,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12773,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12774,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12775,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12776,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12777,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12778,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12779,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12780,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12781,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12782,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12783,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12784,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12785,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12786,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12787,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12788,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12789,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12790,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12791,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12792,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12793,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12794,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12795,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12796,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12797,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12798,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12799,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12800,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12801,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12802,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12803,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12804,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12805,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12806,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12807,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12808,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12809,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12810,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12811,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12812,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12813,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12814,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12815,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12816,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12817,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12818,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12819,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12820,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12821,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12822,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12823,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12824,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12825,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12826,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12827,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12828,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12829,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12830,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12831,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12832,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12833,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12834,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12835,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12836,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12837,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12838,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12839,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12840,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12841,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12842,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12843,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12844,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12845,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12846,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12847,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12848,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12849,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12850,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12851,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12852,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12853,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12854,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12855,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12856,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12857,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12858,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12859,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12860,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12861,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12862,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12863,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12864,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12865,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12866,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12867,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12868,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12869,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12870,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12871,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12872,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12873,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12874,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12875,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12876,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12877,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12878,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12879,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12880,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12881,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12882,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12883,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12884,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12885,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12886,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12887,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12888,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12889,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12890,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12891,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12892,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12893,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12894,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12895,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12896,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12897,Formal,MP,HAYES Robert,MUSTOW Robert
Enrolment/NAMAV,Enrolment/NAMAV,12898,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12899,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12900,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12901,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12902,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12903,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12904,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12905,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12906,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12907,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12908,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12909,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12910,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12911,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12912,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12913,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12914,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12915,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12916,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12917,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12918,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12919,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12920,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12921,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12922,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12923,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12924,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12925,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12926,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12927,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12928,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12929,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12930,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12931,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12932,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12933,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12934,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12935,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12936,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12937,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12938,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12939,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12940,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12941,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12942,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12943,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12944,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12945,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12946,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12947,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12948,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12949,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12950,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12951,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12952,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12953,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12954,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12955,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12956,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12957,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12958,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12959,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12960,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12961,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12962,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12963,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12964,Formal,MP,HAYES Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12965,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12966,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12967,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12968,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12969,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12970,Formal,MP,MUSTOW Robert,HAYES Robert
Enrolment/NAMAV,Enrolment/NAMAV,12971,Formal,MP,MUSTOW Robert,HAYES Robert
Enrolment/NAMAV,Enrolment/NAMAV,12972,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12973,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12974,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12975,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12976,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12977,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12978,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12979,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12980,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12981,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12982,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12983,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12984,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12985,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12986,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12987,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12988,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12989,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12990,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12991,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12992,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12993,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12994,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12995,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12996,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12997,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12998,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,12999,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13000,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13001,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13002,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13003,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13004,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13005,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13006,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13007,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13008,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13009,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13010,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13011,Formal,MP,MUSTOW Robert,HAYES Robert
Enrolment/NAMAV,Enrolment/NAMAV,13012,Formal,MP,MUSTOW Robert,HAYES Robert
Enrolment/NAMAV,Enrolment/NAMAV,13013,Formal,MP,MUSTOW Robert,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13014,Formal,MP,MUSTOW Robert,skipped
