VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,numSeats,numCands
Enrolment/NAMAV,Enrolment/NAMAV,7977,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7978,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7979,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7980,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7981,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7982,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7983,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7984,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7985,Formal,MP,KING Dominic,ALLAN Steve,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7986,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7987,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7988,Formal,MP,KING Dominic,WOODWARD Andrew,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7989,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7990,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7991,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7992,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7993,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7994,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7995,Formal,MP,KING Dominic,ALLAN Steve,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7996,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7997,Formal,MP,KING Dominic,ALLAN Steve,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7998,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,7999,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8000,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8001,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8002,Formal,MP,KING Dominic,ALLAN Steve,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8003,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8004,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8005,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8006,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8007,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8008,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8009,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8010,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8011,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8012,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8013,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8014,Formal,MP,KING Dominic,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8015,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8016,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8017,Formal,MP,WOODWARD Andrew,KING Dominic,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8018,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8019,Formal,MP,WOODWARD Andrew,KING Dominic,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8020,Formal,MP,WOODWARD Andrew,KING Dominic,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8021,Formal,MP,WOODWARD Andrew,KING Dominic,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8022,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8023,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8024,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8025,Formal,MP,WOODWARD Andrew,KING Dominic,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8026,Formal,MP,WOODWARD Andrew,KING Dominic,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8027,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8028,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8029,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8030,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8031,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8032,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8033,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8034,Formal,MP,WOODWARD Andrew,KING Dominic,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8035,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8036,Formal,MP,WOODWARD Andrew,ALLAN Steve,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8037,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8038,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8039,Formal,MP,WOODWARD Andrew,KING Dominic,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8040,Formal,MP,WOODWARD Andrew,ALLAN Steve,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8041,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8042,Formal,MP,WOODWARD Andrew,ALLAN Steve,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8043,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8044,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8045,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8046,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8047,Formal,MP,WOODWARD Andrew,KING Dominic,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8048,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8049,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8050,Formal,MP,ALLAN Steve,WOODWARD Andrew,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8051,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8052,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8053,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8054,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8055,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8056,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8057,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8058,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8059,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8060,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8061,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8062,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8063,Formal,MP,ALLAN Steve,WOODWARD Andrew,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8064,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8065,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8066,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8067,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8068,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8069,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8070,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8071,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8072,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8073,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8074,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8075,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8076,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8077,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8078,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8079,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8080,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8081,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8082,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8083,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8084,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8085,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8086,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8087,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8088,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8089,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8090,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8091,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8092,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8093,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8094,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8095,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8096,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8097,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8098,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8099,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8100,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8101,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8102,Formal,MP,WOODWARD Andrew,KING Dominic,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8103,Formal,MP,WOODWARD Andrew,ALLAN Steve,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8104,Formal,MP,WOODWARD Andrew,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8105,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8106,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8107,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8108,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8109,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8110,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8111,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8112,Formal,MP,ALLAN Steve,WOODWARD Andrew,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8113,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8114,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8115,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8116,Formal,MP,KING Dominic,WOODWARD Andrew,ALLAN Steve,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8117,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8118,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8119,Formal,MP,ALLAN Steve,KING Dominic,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8120,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8121,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8122,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8123,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8124,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8125,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8126,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8127,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8128,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8129,Formal,MP,ALLAN Steve,WOODWARD Andrew,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8130,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8131,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8132,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8133,Formal,MP,ALLAN Steve,WOODWARD Andrew,KING Dominic,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8134,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8135,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8136,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8137,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8138,Formal,MP,ALLAN Steve,skipped,skipped,1,4
Enrolment/NAMAV,Enrolment/NAMAV,8139,Formal,MP,ALLAN Steve,KING Dominic,WOODWARD Andrew,1,4
