VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5,rank6
Enrolment/NAMAV,Enrolment/NAMAV,28881,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28882,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28883,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28884,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28885,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28886,Formal,MP,KHAN Robert,BANASIK Michael,DEETH Matthew,LAW Ray,GOULD Matt,HANNAN Judy
Enrolment/NAMAV,Enrolment/NAMAV,28887,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28888,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28889,Formal,MP,KHAN Robert,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28890,Formal,MP,KHAN Robert,HANNAN Judy,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28891,Formal,MP,KHAN Robert,LAW Ray,DEETH Matthew,BANASIK Michael,HANNAN Judy,GOULD Matt
Enrolment/NAMAV,Enrolment/NAMAV,28892,Formal,MP,KHAN Robert,HANNAN Judy,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28893,Formal,MP,GOULD Matt,HANNAN Judy,LAW Ray,DEETH Matthew,BANASIK Michael,KHAN Robert
Enrolment/NAMAV,Enrolment/NAMAV,28894,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28895,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28896,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28897,Formal,MP,GOULD Matt,HANNAN Judy,LAW Ray,DEETH Matthew,BANASIK Michael,KHAN Robert
Enrolment/NAMAV,Enrolment/NAMAV,28898,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28899,Formal,MP,GOULD Matt,DEETH Matthew,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28900,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28901,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28902,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28903,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28904,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28905,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28906,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28907,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28908,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28909,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28910,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28911,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28912,Formal,MP,GOULD Matt,LAW Ray,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28913,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28914,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28915,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28916,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28917,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28918,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28919,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28920,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28921,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28922,Formal,MP,GOULD Matt,DEETH Matthew,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28923,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28924,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28925,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28926,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28927,Formal,MP,GOULD Matt,HANNAN Judy,DEETH Matthew,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28928,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28929,Formal,MP,GOULD Matt,KHAN Robert,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28930,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28931,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28932,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28933,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28934,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28935,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28936,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28937,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28938,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28939,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28940,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28941,Formal,MP,GOULD Matt,KHAN Robert,BANASIK Michael,LAW Ray,DEETH Matthew,HANNAN Judy
Enrolment/NAMAV,Enrolment/NAMAV,28942,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28943,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28944,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28945,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28946,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28947,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28948,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28949,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28950,Formal,MP,GOULD Matt,BANASIK Michael,KHAN Robert,DEETH Matthew,LAW Ray,HANNAN Judy
Enrolment/NAMAV,Enrolment/NAMAV,28951,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28952,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28953,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28954,Formal,MP,GOULD Matt,DEETH Matthew,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28955,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28956,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28957,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28958,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28959,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28960,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28961,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28962,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28963,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28964,Formal,MP,GOULD Matt,LAW Ray,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28965,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28966,Formal,MP,GOULD Matt,HANNAN Judy,LAW Ray,BANASIK Michael,DEETH Matthew,KHAN Robert
Enrolment/NAMAV,Enrolment/NAMAV,28967,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28968,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28969,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28970,Formal,MP,GOULD Matt,DEETH Matthew,HANNAN Judy,LAW Ray,BANASIK Michael,KHAN Robert
Enrolment/NAMAV,Enrolment/NAMAV,28971,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28972,Formal,MP,GOULD Matt,HANNAN Judy,LAW Ray,DEETH Matthew,BANASIK Michael,KHAN Robert
Enrolment/NAMAV,Enrolment/NAMAV,28973,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28974,Formal,MP,GOULD Matt,HANNAN Judy,LAW Ray,DEETH Matthew,BANASIK Michael,KHAN Robert
Enrolment/NAMAV,Enrolment/NAMAV,28975,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28976,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28977,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28978,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28979,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28980,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28981,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28982,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28983,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28984,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28985,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28986,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28987,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28988,Formal,MP,GOULD Matt,HANNAN Judy,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28989,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28990,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28991,Formal,MP,GOULD Matt,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28992,Formal,MP,GOULD Matt,DEETH Matthew,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28993,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28994,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28995,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28996,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28997,Formal,MP,HANNAN Judy,DEETH Matthew,BANASIK Michael,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28998,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,28999,Formal,MP,HANNAN Judy,KHAN Robert,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29000,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29001,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29002,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29003,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29004,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29005,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29006,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29007,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29008,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29009,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29010,Formal,MP,HANNAN Judy,DEETH Matthew,LAW Ray,GOULD Matt,KHAN Robert,BANASIK Michael
Enrolment/NAMAV,Enrolment/NAMAV,29011,Formal,MP,HANNAN Judy,KHAN Robert,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29012,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29013,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29014,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29015,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29016,Formal,MP,HANNAN Judy,GOULD Matt,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29017,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29018,Formal,MP,HANNAN Judy,GOULD Matt,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29019,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29020,Formal,MP,HANNAN Judy,GOULD Matt,KHAN Robert,BANASIK Michael,DEETH Matthew,LAW Ray
Enrolment/NAMAV,Enrolment/NAMAV,29021,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29022,Formal,MP,HANNAN Judy,LAW Ray,DEETH Matthew,KHAN Robert,BANASIK Michael,GOULD Matt
Enrolment/NAMAV,Enrolment/NAMAV,29023,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29024,Formal,MP,HANNAN Judy,GOULD Matt,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29025,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29026,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29027,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29028,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29029,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29030,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29031,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29032,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29033,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29034,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29035,Formal,MP,HANNAN Judy,GOULD Matt,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29036,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29037,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29038,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29039,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29040,Formal,MP,HANNAN Judy,GOULD Matt,KHAN Robert,BANASIK Michael,DEETH Matthew,LAW Ray
Enrolment/NAMAV,Enrolment/NAMAV,29041,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29042,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29043,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29044,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29045,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29046,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29047,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29048,Formal,MP,HANNAN Judy,GOULD Matt,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29049,Formal,MP,HANNAN Judy,BANASIK Michael,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29050,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29051,Formal,MP,HANNAN Judy,GOULD Matt,LAW Ray,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29052,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29053,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29054,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,29055,Formal,MP,HANNAN Judy,skipped,skipped,skipped,skipped,skipped
