VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,rank5
Enrolment/NAMAV,Enrolment/NAMAV,13795,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13796,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13797,Formal,MP,CURRAN Doug,MERCURI Rina,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13798,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13799,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13800,Formal,MP,CURRAN Doug,MERCURI Rina,NAPOLI Anne,LA ROCCA Mariacarmina (Carmel),ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13801,Formal,MP,CURRAN Doug,LA ROCCA Mariacarmina (Carmel),skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13802,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13803,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13804,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13805,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13806,Formal,MP,CURRAN Doug,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13807,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13808,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13809,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13810,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13811,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13812,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13813,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13814,Formal,MP,NAPOLI Anne,MERCURI Rina,LA ROCCA Mariacarmina (Carmel),CURRAN Doug,ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13815,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13816,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13817,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13818,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13819,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13820,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13821,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13822,Formal,MP,NAPOLI Anne,MERCURI Rina,ZAPPACOSTA Dino,LA ROCCA Mariacarmina (Carmel),CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13823,Formal,MP,NAPOLI Anne,MERCURI Rina,LA ROCCA Mariacarmina (Carmel),CURRAN Doug,ZAPPACOSTA Dino
Enrolment/NAMAV,Enrolment/NAMAV,13824,Formal,MP,NAPOLI Anne,MERCURI Rina,ZAPPACOSTA Dino,LA ROCCA Mariacarmina (Carmel),CURRAN Doug
Enrolment/NAMAV,Enrolment/NAMAV,13825,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13826,Formal,MP,NAPOLI Anne,MERCURI Rina,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13827,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13828,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13829,Formal,MP,NAPOLI Anne,MERCURI Rina,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13830,Formal,MP,NAPOLI Anne,skipped,skipped,skipped,skipped
Enrolment/NAMAV,Enrolment/NAMAV,13831,Formal,MP,ZAPPACOSTA Dino,skipped,skipped,skipped,skipped
