,VoteType,Venue/VoteSubType,BPNumber,Formality,Type,rank1,rank2,rank3,rank4,numSeats,numCands
19,Enrolment/NAMAV,Enrolment/NAMAV,34650,Formal,MP,OLSEN Ian,MURRAY Janet,MOORES John,SUVAAL Jay,1,4
20,Enrolment/NAMAV,Enrolment/NAMAV,34651,Formal,MP,OLSEN Ian,SUVAAL Jay,MOORES John,MURRAY Janet,1,4
21,Enrolment/NAMAV,Enrolment/NAMAV,34652,Formal,MP,OLSEN Ian,MOORES John,skipped,skipped,1,4
22,Enrolment/NAMAV,Enrolment/NAMAV,34653,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
23,Enrolment/NAMAV,Enrolment/NAMAV,34654,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
24,Enrolment/NAMAV,Enrolment/NAMAV,34655,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
25,Enrolment/NAMAV,Enrolment/NAMAV,34656,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
26,Enrolment/NAMAV,Enrolment/NAMAV,34657,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
27,Enrolment/NAMAV,Enrolment/NAMAV,34658,Formal,MP,OLSEN Ian,SUVAAL Jay,MOORES John,MURRAY Janet,1,4
28,Enrolment/NAMAV,Enrolment/NAMAV,34659,Formal,MP,OLSEN Ian,SUVAAL Jay,MOORES John,MURRAY Janet,1,4
29,Enrolment/NAMAV,Enrolment/NAMAV,34660,Formal,MP,OLSEN Ian,SUVAAL Jay,MURRAY Janet,MOORES John,1,4
30,Enrolment/NAMAV,Enrolment/NAMAV,34661,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
31,Enrolment/NAMAV,Enrolment/NAMAV,34662,Formal,MP,OLSEN Ian,SUVAAL Jay,skipped,skipped,1,4
32,Enrolment/NAMAV,Enrolment/NAMAV,34663,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
33,Enrolment/NAMAV,Enrolment/NAMAV,34664,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
34,Enrolment/NAMAV,Enrolment/NAMAV,34665,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
35,Enrolment/NAMAV,Enrolment/NAMAV,34666,Formal,MP,OLSEN Ian,SUVAAL Jay,MURRAY Janet,MOORES John,1,4
36,Enrolment/NAMAV,Enrolment/NAMAV,34667,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
37,Enrolment/NAMAV,Enrolment/NAMAV,34668,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
38,Enrolment/NAMAV,Enrolment/NAMAV,34669,Formal,MP,OLSEN Ian,MURRAY Janet,MOORES John,SUVAAL Jay,1,4
39,Enrolment/NAMAV,Enrolment/NAMAV,34670,Formal,MP,OLSEN Ian,SUVAAL Jay,MURRAY Janet,MOORES John,1,4
40,Enrolment/NAMAV,Enrolment/NAMAV,34671,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
41,Enrolment/NAMAV,Enrolment/NAMAV,34672,Formal,MP,OLSEN Ian,MURRAY Janet,skipped,skipped,1,4
42,Enrolment/NAMAV,Enrolment/NAMAV,34673,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
43,Enrolment/NAMAV,Enrolment/NAMAV,34674,Formal,MP,OLSEN Ian,MOORES John,SUVAAL Jay,MURRAY Janet,1,4
44,Enrolment/NAMAV,Enrolment/NAMAV,34675,Formal,MP,OLSEN Ian,MURRAY Janet,skipped,skipped,1,4
45,Enrolment/NAMAV,Enrolment/NAMAV,34676,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
46,Enrolment/NAMAV,Enrolment/NAMAV,34677,Formal,MP,OLSEN Ian,SUVAAL Jay,skipped,skipped,1,4
47,Enrolment/NAMAV,Enrolment/NAMAV,34678,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
48,Enrolment/NAMAV,Enrolment/NAMAV,34679,Formal,MP,OLSEN Ian,SUVAAL Jay,MURRAY Janet,MOORES John,1,4
49,Enrolment/NAMAV,Enrolment/NAMAV,34680,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
50,Enrolment/NAMAV,Enrolment/NAMAV,34681,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
51,Enrolment/NAMAV,Enrolment/NAMAV,34682,Formal,MP,SUVAAL Jay,MURRAY Janet,skipped,skipped,1,4
52,Enrolment/NAMAV,Enrolment/NAMAV,34683,Formal,MP,SUVAAL Jay,MOORES John,OLSEN Ian,MURRAY Janet,1,4
53,Enrolment/NAMAV,Enrolment/NAMAV,34684,Formal,MP,SUVAAL Jay,MURRAY Janet,OLSEN Ian,MOORES John,1,4
54,Enrolment/NAMAV,Enrolment/NAMAV,34685,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
55,Enrolment/NAMAV,Enrolment/NAMAV,34686,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
56,Enrolment/NAMAV,Enrolment/NAMAV,34687,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
57,Enrolment/NAMAV,Enrolment/NAMAV,34688,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
58,Enrolment/NAMAV,Enrolment/NAMAV,34689,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
59,Enrolment/NAMAV,Enrolment/NAMAV,34690,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
60,Enrolment/NAMAV,Enrolment/NAMAV,34691,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
61,Enrolment/NAMAV,Enrolment/NAMAV,34692,Formal,MP,SUVAAL Jay,MURRAY Janet,skipped,skipped,1,4
62,Enrolment/NAMAV,Enrolment/NAMAV,34693,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
63,Enrolment/NAMAV,Enrolment/NAMAV,34694,Formal,MP,SUVAAL Jay,MOORES John,skipped,skipped,1,4
64,Enrolment/NAMAV,Enrolment/NAMAV,34695,Formal,MP,SUVAAL Jay,MOORES John,OLSEN Ian,MURRAY Janet,1,4
65,Enrolment/NAMAV,Enrolment/NAMAV,34696,Formal,MP,SUVAAL Jay,MURRAY Janet,OLSEN Ian,MOORES John,1,4
66,Enrolment/NAMAV,Enrolment/NAMAV,34697,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
67,Enrolment/NAMAV,Enrolment/NAMAV,34698,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
68,Enrolment/NAMAV,Enrolment/NAMAV,34699,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
69,Enrolment/NAMAV,Enrolment/NAMAV,34700,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
70,Enrolment/NAMAV,Enrolment/NAMAV,34701,Formal,MP,SUVAAL Jay,OLSEN Ian,MURRAY Janet,skipped,1,4
71,Enrolment/NAMAV,Enrolment/NAMAV,34702,Formal,MP,SUVAAL Jay,OLSEN Ian,MOORES John,MURRAY Janet,1,4
72,Enrolment/NAMAV,Enrolment/NAMAV,34703,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
73,Enrolment/NAMAV,Enrolment/NAMAV,34704,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
74,Enrolment/NAMAV,Enrolment/NAMAV,34705,Formal,MP,SUVAAL Jay,OLSEN Ian,MOORES John,MURRAY Janet,1,4
75,Enrolment/NAMAV,Enrolment/NAMAV,34706,Formal,MP,SUVAAL Jay,MOORES John,OLSEN Ian,MURRAY Janet,1,4
76,Enrolment/NAMAV,Enrolment/NAMAV,34707,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
77,Enrolment/NAMAV,Enrolment/NAMAV,34708,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
78,Enrolment/NAMAV,Enrolment/NAMAV,34709,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
79,Enrolment/NAMAV,Enrolment/NAMAV,34710,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
80,Enrolment/NAMAV,Enrolment/NAMAV,34711,Formal,MP,SUVAAL Jay,MOORES John,OLSEN Ian,MURRAY Janet,1,4
81,Enrolment/NAMAV,Enrolment/NAMAV,34712,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
82,Enrolment/NAMAV,Enrolment/NAMAV,34713,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
83,Enrolment/NAMAV,Enrolment/NAMAV,34714,Formal,MP,SUVAAL Jay,MOORES John,MURRAY Janet,OLSEN Ian,1,4
84,Enrolment/NAMAV,Enrolment/NAMAV,34715,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
85,Enrolment/NAMAV,Enrolment/NAMAV,34716,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
86,Enrolment/NAMAV,Enrolment/NAMAV,34717,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
87,Enrolment/NAMAV,Enrolment/NAMAV,34718,Formal,MP,SUVAAL Jay,OLSEN Ian,MURRAY Janet,MOORES John,1,4
88,Enrolment/NAMAV,Enrolment/NAMAV,34719,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
89,Enrolment/NAMAV,Enrolment/NAMAV,34720,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
90,Enrolment/NAMAV,Enrolment/NAMAV,34721,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
91,Enrolment/NAMAV,Enrolment/NAMAV,34722,Formal,MP,SUVAAL Jay,MURRAY Janet,skipped,skipped,1,4
92,Enrolment/NAMAV,Enrolment/NAMAV,34723,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
93,Enrolment/NAMAV,Enrolment/NAMAV,34724,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
94,Enrolment/NAMAV,Enrolment/NAMAV,34725,Formal,MP,SUVAAL Jay,MURRAY Janet,OLSEN Ian,MOORES John,1,4
95,Enrolment/NAMAV,Enrolment/NAMAV,34726,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
96,Enrolment/NAMAV,Enrolment/NAMAV,34727,Formal,MP,SUVAAL Jay,MURRAY Janet,OLSEN Ian,MOORES John,1,4
97,Enrolment/NAMAV,Enrolment/NAMAV,34728,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
98,Enrolment/NAMAV,Enrolment/NAMAV,34729,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
99,Enrolment/NAMAV,Enrolment/NAMAV,34730,Formal,MP,SUVAAL Jay,skipped,skipped,skipped,1,4
100,Enrolment/NAMAV,Enrolment/NAMAV,34731,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
101,Enrolment/NAMAV,Enrolment/NAMAV,34732,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
102,Enrolment/NAMAV,Enrolment/NAMAV,34733,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
103,Enrolment/NAMAV,Enrolment/NAMAV,34734,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
104,Enrolment/NAMAV,Enrolment/NAMAV,34735,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
105,Enrolment/NAMAV,Enrolment/NAMAV,34736,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
106,Enrolment/NAMAV,Enrolment/NAMAV,34737,Formal,MP,OLSEN Ian,MOORES John,SUVAAL Jay,MURRAY Janet,1,4
107,Enrolment/NAMAV,Enrolment/NAMAV,34738,Formal,MP,OLSEN Ian,SUVAAL Jay,MURRAY Janet,MOORES John,1,4
108,Enrolment/NAMAV,Enrolment/NAMAV,34739,Formal,MP,OLSEN Ian,MURRAY Janet,MOORES John,SUVAAL Jay,1,4
109,Enrolment/NAMAV,Enrolment/NAMAV,34740,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
110,Enrolment/NAMAV,Enrolment/NAMAV,34741,Formal,MP,OLSEN Ian,MURRAY Janet,MOORES John,SUVAAL Jay,1,4
111,Enrolment/NAMAV,Enrolment/NAMAV,34742,Formal,MP,OLSEN Ian,SUVAAL Jay,skipped,skipped,1,4
112,Enrolment/NAMAV,Enrolment/NAMAV,34743,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
113,Enrolment/NAMAV,Enrolment/NAMAV,34744,Formal,MP,OLSEN Ian,SUVAAL Jay,MOORES John,MURRAY Janet,1,4
114,Enrolment/NAMAV,Enrolment/NAMAV,34745,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
115,Enrolment/NAMAV,Enrolment/NAMAV,34746,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
116,Enrolment/NAMAV,Enrolment/NAMAV,34747,Formal,MP,OLSEN Ian,MOORES John,MURRAY Janet,SUVAAL Jay,1,4
117,Enrolment/NAMAV,Enrolment/NAMAV,34748,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
118,Enrolment/NAMAV,Enrolment/NAMAV,34749,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
119,Enrolment/NAMAV,Enrolment/NAMAV,34750,Formal,MP,OLSEN Ian,MOORES John,SUVAAL Jay,MURRAY Janet,1,4
120,Enrolment/NAMAV,Enrolment/NAMAV,34751,Formal,MP,OLSEN Ian,MOORES John,SUVAAL Jay,MURRAY Janet,1,4
121,Enrolment/NAMAV,Enrolment/NAMAV,34752,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
122,Enrolment/NAMAV,Enrolment/NAMAV,34753,Formal,MP,OLSEN Ian,SUVAAL Jay,MOORES John,MURRAY Janet,1,4
123,Enrolment/NAMAV,Enrolment/NAMAV,34754,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
124,Enrolment/NAMAV,Enrolment/NAMAV,34755,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
125,Enrolment/NAMAV,Enrolment/NAMAV,34756,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
126,Enrolment/NAMAV,Enrolment/NAMAV,34757,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
127,Enrolment/NAMAV,Enrolment/NAMAV,34758,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
128,Enrolment/NAMAV,Enrolment/NAMAV,34759,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
129,Enrolment/NAMAV,Enrolment/NAMAV,34760,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
130,Enrolment/NAMAV,Enrolment/NAMAV,34761,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
131,Enrolment/NAMAV,Enrolment/NAMAV,34762,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
132,Enrolment/NAMAV,Enrolment/NAMAV,34763,Formal,MP,OLSEN Ian,SUVAAL Jay,MURRAY Janet,MOORES John,1,4
133,Enrolment/NAMAV,Enrolment/NAMAV,34764,Formal,MP,OLSEN Ian,MOORES John,SUVAAL Jay,MURRAY Janet,1,4
134,Enrolment/NAMAV,Enrolment/NAMAV,34765,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
135,Enrolment/NAMAV,Enrolment/NAMAV,34766,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
136,Enrolment/NAMAV,Enrolment/NAMAV,34767,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
137,Enrolment/NAMAV,Enrolment/NAMAV,34768,Formal,MP,OLSEN Ian,MOORES John,MURRAY Janet,SUVAAL Jay,1,4
138,Enrolment/NAMAV,Enrolment/NAMAV,34769,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
139,Enrolment/NAMAV,Enrolment/NAMAV,34770,Formal,MP,OLSEN Ian,MOORES John,SUVAAL Jay,MURRAY Janet,1,4
140,Enrolment/NAMAV,Enrolment/NAMAV,34771,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
141,Enrolment/NAMAV,Enrolment/NAMAV,34772,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
142,Enrolment/NAMAV,Enrolment/NAMAV,34773,Formal,MP,OLSEN Ian,MURRAY Janet,MOORES John,SUVAAL Jay,1,4
143,Enrolment/NAMAV,Enrolment/NAMAV,34774,Formal,MP,OLSEN Ian,SUVAAL Jay,MURRAY Janet,MOORES John,1,4
144,Enrolment/NAMAV,Enrolment/NAMAV,34775,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
145,Enrolment/NAMAV,Enrolment/NAMAV,34776,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
146,Enrolment/NAMAV,Enrolment/NAMAV,34777,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
147,Enrolment/NAMAV,Enrolment/NAMAV,34778,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
148,Enrolment/NAMAV,Enrolment/NAMAV,34779,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
149,Enrolment/NAMAV,Enrolment/NAMAV,34780,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
150,Enrolment/NAMAV,Enrolment/NAMAV,34781,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
151,Enrolment/NAMAV,Enrolment/NAMAV,34782,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
152,Enrolment/NAMAV,Enrolment/NAMAV,34783,Formal,MP,MURRAY Janet,SUVAAL Jay,MOORES John,OLSEN Ian,1,4
153,Enrolment/NAMAV,Enrolment/NAMAV,34784,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
154,Enrolment/NAMAV,Enrolment/NAMAV,34785,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
155,Enrolment/NAMAV,Enrolment/NAMAV,34786,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
156,Enrolment/NAMAV,Enrolment/NAMAV,34787,Formal,MP,MURRAY Janet,OLSEN Ian,SUVAAL Jay,MOORES John,1,4
157,Enrolment/NAMAV,Enrolment/NAMAV,34788,Formal,MP,MURRAY Janet,SUVAAL Jay,MOORES John,OLSEN Ian,1,4
158,Enrolment/NAMAV,Enrolment/NAMAV,34789,Formal,MP,MURRAY Janet,MOORES John,SUVAAL Jay,OLSEN Ian,1,4
159,Enrolment/NAMAV,Enrolment/NAMAV,34790,Formal,MP,MURRAY Janet,OLSEN Ian,SUVAAL Jay,MOORES John,1,4
160,Enrolment/NAMAV,Enrolment/NAMAV,34791,Formal,MP,MURRAY Janet,OLSEN Ian,MOORES John,SUVAAL Jay,1,4
161,Enrolment/NAMAV,Enrolment/NAMAV,34792,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
162,Enrolment/NAMAV,Enrolment/NAMAV,34793,Formal,MP,MURRAY Janet,OLSEN Ian,skipped,skipped,1,4
163,Enrolment/NAMAV,Enrolment/NAMAV,34794,Formal,MP,MURRAY Janet,SUVAAL Jay,MOORES John,OLSEN Ian,1,4
164,Enrolment/NAMAV,Enrolment/NAMAV,34795,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
165,Enrolment/NAMAV,Enrolment/NAMAV,34796,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
166,Enrolment/NAMAV,Enrolment/NAMAV,34797,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
167,Enrolment/NAMAV,Enrolment/NAMAV,34798,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
168,Enrolment/NAMAV,Enrolment/NAMAV,34799,Formal,MP,MURRAY Janet,OLSEN Ian,SUVAAL Jay,MOORES John,1,4
169,Enrolment/NAMAV,Enrolment/NAMAV,34800,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
170,Enrolment/NAMAV,Enrolment/NAMAV,34801,Formal,MP,MURRAY Janet,SUVAAL Jay,OLSEN Ian,MOORES John,1,4
171,Enrolment/NAMAV,Enrolment/NAMAV,34802,Formal,MP,MURRAY Janet,SUVAAL Jay,skipped,skipped,1,4
172,Enrolment/NAMAV,Enrolment/NAMAV,34803,Formal,MP,MURRAY Janet,MOORES John,OLSEN Ian,SUVAAL Jay,1,4
173,Enrolment/NAMAV,Enrolment/NAMAV,34804,Formal,MP,MURRAY Janet,SUVAAL Jay,OLSEN Ian,MOORES John,1,4
174,Enrolment/NAMAV,Enrolment/NAMAV,34805,Formal,MP,MURRAY Janet,OLSEN Ian,SUVAAL Jay,MOORES John,1,4
175,Enrolment/NAMAV,Enrolment/NAMAV,34806,Formal,MP,MURRAY Janet,OLSEN Ian,skipped,skipped,1,4
176,Enrolment/NAMAV,Enrolment/NAMAV,34807,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
177,Enrolment/NAMAV,Enrolment/NAMAV,34808,Formal,MP,MURRAY Janet,SUVAAL Jay,skipped,skipped,1,4
178,Enrolment/NAMAV,Enrolment/NAMAV,34809,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
179,Enrolment/NAMAV,Enrolment/NAMAV,34810,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
180,Enrolment/NAMAV,Enrolment/NAMAV,34811,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
181,Enrolment/NAMAV,Enrolment/NAMAV,34812,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
182,Enrolment/NAMAV,Enrolment/NAMAV,34813,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
183,Enrolment/NAMAV,Enrolment/NAMAV,34814,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
184,Enrolment/NAMAV,Enrolment/NAMAV,34815,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
185,Enrolment/NAMAV,Enrolment/NAMAV,34816,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
186,Enrolment/NAMAV,Enrolment/NAMAV,34817,Formal,MP,MURRAY Janet,SUVAAL Jay,skipped,skipped,1,4
187,Enrolment/NAMAV,Enrolment/NAMAV,34818,Formal,MP,MURRAY Janet,MOORES John,SUVAAL Jay,OLSEN Ian,1,4
188,Enrolment/NAMAV,Enrolment/NAMAV,34819,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
189,Enrolment/NAMAV,Enrolment/NAMAV,34820,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
190,Enrolment/NAMAV,Enrolment/NAMAV,34821,Formal,MP,MURRAY Janet,SUVAAL Jay,skipped,skipped,1,4
191,Enrolment/NAMAV,Enrolment/NAMAV,34822,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
192,Enrolment/NAMAV,Enrolment/NAMAV,34823,Formal,MP,MURRAY Janet,OLSEN Ian,skipped,skipped,1,4
193,Enrolment/NAMAV,Enrolment/NAMAV,34824,Formal,MP,MURRAY Janet,OLSEN Ian,MOORES John,SUVAAL Jay,1,4
194,Enrolment/NAMAV,Enrolment/NAMAV,34825,Formal,MP,MURRAY Janet,SUVAAL Jay,MOORES John,OLSEN Ian,1,4
195,Enrolment/NAMAV,Enrolment/NAMAV,34826,Formal,MP,MURRAY Janet,SUVAAL Jay,OLSEN Ian,MOORES John,1,4
196,Enrolment/NAMAV,Enrolment/NAMAV,34827,Formal,MP,MURRAY Janet,OLSEN Ian,SUVAAL Jay,MOORES John,1,4
197,Enrolment/NAMAV,Enrolment/NAMAV,34828,Formal,MP,MURRAY Janet,SUVAAL Jay,OLSEN Ian,MOORES John,1,4
198,Enrolment/NAMAV,Enrolment/NAMAV,34829,Formal,MP,MURRAY Janet,OLSEN Ian,skipped,skipped,1,4
199,Enrolment/NAMAV,Enrolment/NAMAV,34830,Formal,MP,MURRAY Janet,SUVAAL Jay,OLSEN Ian,MOORES John,1,4
200,Enrolment/NAMAV,Enrolment/NAMAV,34831,Formal,MP,MOORES John,skipped,skipped,skipped,1,4
201,Enrolment/NAMAV,Enrolment/NAMAV,34832,Formal,MP,OLSEN Ian,MOORES John,SUVAAL Jay,MURRAY Janet,1,4
202,Enrolment/NAMAV,Enrolment/NAMAV,34833,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
203,Enrolment/NAMAV,Enrolment/NAMAV,34834,Formal,MP,OLSEN Ian,skipped,skipped,skipped,1,4
204,Enrolment/NAMAV,Enrolment/NAMAV,34835,Formal,MP,OLSEN Ian,MURRAY Janet,MOORES John,SUVAAL Jay,1,4
205,Enrolment/NAMAV,Enrolment/NAMAV,34836,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
206,Enrolment/NAMAV,Enrolment/NAMAV,34837,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
207,Enrolment/NAMAV,Enrolment/NAMAV,34838,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
208,Enrolment/NAMAV,Enrolment/NAMAV,34839,Formal,MP,MURRAY Janet,SUVAAL Jay,OLSEN Ian,MOORES John,1,4
209,Enrolment/NAMAV,Enrolment/NAMAV,34840,Formal,MP,MURRAY Janet,SUVAAL Jay,skipped,skipped,1,4
210,Enrolment/NAMAV,Enrolment/NAMAV,34841,Formal,MP,MURRAY Janet,skipped,skipped,skipped,1,4
