Index,rank1,rank2,rank3,rank4,numSeats,numCands
GE76,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE77,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE78,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE79,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE80,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE81,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE82,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE83,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE84,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE85,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE86,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE87,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE89,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE90,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE92,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE93,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE94,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE96,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE97,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE98,DARON S. HUGHES,HALE ROBISON,skipped,skipped,2,3
GE99,DARON S. HUGHES,HALE ROBISON,skipped,skipped,2,3
GE100,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE101,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,2,3
GE102,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE103,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE104,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE105,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE106,GRANT LUNDBERG,DARON S. HUGHES,skipped,skipped,2,3
GE107,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE108,HALE ROBISON,skipped,skipped,skipped,2,3
GE109,HALE ROBISON,DARON S. HUGHES,skipped,skipped,2,3
GE110,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE111,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE112,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE113,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE114,HALE ROBISON,skipped,skipped,skipped,2,3
GE115,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE116,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE117,HALE ROBISON,skipped,skipped,skipped,2,3
GE118,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE119,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE120,HALE ROBISON,skipped,skipped,skipped,2,3
GE121,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE122,HALE ROBISON,skipped,skipped,skipped,2,3
GE123,HALE ROBISON,skipped,skipped,skipped,2,3
GE124,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE125,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE126,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE127,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE128,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE129,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,2,3
GE130,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE131,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE132,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE133,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE134,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE135,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE136,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE137,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE138,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE139,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE140,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE141,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE142,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE143,HALE ROBISON,DARON S. HUGHES,skipped,skipped,2,3
GE144,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE145,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE146,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE147,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE148,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE149,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE150,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE151,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE152,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE153,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE154,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE155,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE156,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE157,HALE ROBISON,DARON S. HUGHES,skipped,skipped,2,3
GE158,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE159,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE160,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE161,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE162,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE163,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE164,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE165,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE166,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE167,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE168,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE169,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE170,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE171,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE172,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE173,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE174,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE175,GRANT LUNDBERG,HALE ROBISON,skipped,skipped,2,3
GE176,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE177,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE178,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE179,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE180,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE181,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE182,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE183,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE184,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE185,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE186,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE187,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE188,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE189,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE190,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE191,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE192,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,2,3
GE193,HALE ROBISON,skipped,skipped,skipped,2,3
GE194,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE195,HALE ROBISON,skipped,skipped,skipped,2,3
GE196,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE197,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE198,HALE ROBISON,skipped,skipped,skipped,2,3
GE199,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE200,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE201,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE202,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE203,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE204,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE205,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE206,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE207,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE208,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE209,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE210,HALE ROBISON,DARON S. HUGHES,skipped,skipped,2,3
GE211,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE212,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE213,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE215,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE216,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE217,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE218,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE219,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE220,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE221,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,2,3
GE222,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE223,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE224,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE225,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE226,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE227,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE228,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE230,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE232,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE233,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE234,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE235,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE236,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE237,HALE ROBISON,skipped,skipped,skipped,2,3
GE238,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE239,DARON S. HUGHES,skipped,skipped,skipped,2,3
GE240,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE241,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE242,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE243,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE244,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE245,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE246,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE247,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE248,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE249,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE250,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE251,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE252,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE254,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE255,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE256,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE257,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE258,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE259,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE260,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE261,HALE ROBISON,DARON S. HUGHES,skipped,skipped,2,3
GE262,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE263,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE264,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE265,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE266,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE267,HALE ROBISON,DARON S. HUGHES,skipped,skipped,2,3
GE268,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE269,GRANT LUNDBERG,skipped,skipped,skipped,2,3
GE270,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE271,GRANT LUNDBERG,skipped,skipped,skipped,2,3
GE272,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE273,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE274,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE276,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE277,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE278,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE280,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE281,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE282,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE283,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE284,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE285,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE286,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE287,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE288,HALE ROBISON,skipped,skipped,skipped,2,3
GE289,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE290,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE291,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE292,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE293,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE294,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE295,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE296,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE297,HALE ROBISON,GRANT LUNDBERG,skipped,skipped,2,3
GE298,HALE ROBISON,DARON S. HUGHES,skipped,skipped,2,3
GE299,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE300,HALE ROBISON,DARON S. HUGHES,skipped,skipped,2,3
GE301,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE302,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE303,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE305,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE306,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE307,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE308,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE309,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE310,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE311,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE312,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE313,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE314,DARON S. HUGHES,GRANT LUNDBERG,skipped,skipped,2,3
GE315,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE316,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE317,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE318,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE319,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE320,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE321,HALE ROBISON,skipped,skipped,skipped,2,3
GE322,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE323,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE324,DARON S. HUGHES,HALE ROBISON,GRANT LUNDBERG,skipped,2,3
GE325,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
GE326,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE327,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE328,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE329,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE330,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE331,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE332,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE333,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE334,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE335,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE336,GRANT LUNDBERG,HALE ROBISON,DARON S. HUGHES,skipped,2,3
GE337,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE338,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE339,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE340,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE341,GRANT LUNDBERG,DARON S. HUGHES,HALE ROBISON,skipped,2,3
GE342,HALE ROBISON,GRANT LUNDBERG,DARON S. HUGHES,skipped,2,3
GE343,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE344,HALE ROBISON,DARON S. HUGHES,GRANT LUNDBERG,skipped,2,3
GE345,DARON S. HUGHES,GRANT LUNDBERG,HALE ROBISON,skipped,2,3
