file,candidate_removed,plurality,IRV,top-two,top-3-truncation,condorcet,smith,smith-plurality,smith-irv,minimax,smith-minimax,ranked-pairs,bucklin,approval,irv-rank
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,BIRD Elly,{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},"{'KRIEG Steve': {'status': 'Elected', 'round': 1}, 'GRINDON-EKINS Vanessa': {'status': 'Remaining', 'round': 1}, 'BIRD Elly': {'status': 'Remaining', 'round': 1}, 'COOK Darlene': {'status': 'Remaining', 'round': 1}, 'ROB Big': {'status': 'Remaining', 'round': 1}, 'HEALEY Patrick': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,GRINDON-EKINS Vanessa,{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},"{'KRIEG Steve': {'status': 'Elected', 'round': 1}, 'GRINDON-EKINS Vanessa': {'status': 'Remaining', 'round': 1}, 'BIRD Elly': {'status': 'Remaining', 'round': 1}, 'COOK Darlene': {'status': 'Remaining', 'round': 1}, 'ROB Big': {'status': 'Remaining', 'round': 1}, 'HEALEY Patrick': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,COOK Darlene,{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},{'KRIEG Steve'},"{'KRIEG Steve': {'status': 'Elected', 'round': 1}, 'GRINDON-EKINS Vanessa': {'status': 'Remaining', 'round': 1}, 'BIRD Elly': {'status': 'Remaining', 'round': 1}, 'COOK Darlene': {'status': 'Remaining', 'round': 1}, 'ROB Big': {'status': 'Remaining', 'round': 1}, 'HEALEY Patrick': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/City_of_Lismore-mayoral-finalpreferencedatafile.csv,KRIEG Steve,{'ROB Big'},{'GRINDON-EKINS Vanessa'},{'GRINDON-EKINS Vanessa'},{'BIRD Elly'},{'BIRD Elly'},{'BIRD Elly'},{'ROB Big'},{'GRINDON-EKINS Vanessa'},{'BIRD Elly'},{'BIRD Elly'},{'BIRD Elly'},"{'HEALEY Patrick', 'GRINDON-EKINS Vanessa', 'COOK Darlene', 'BIRD Elly'}",{'GRINDON-EKINS Vanessa'},"{'KRIEG Steve': {'status': 'Elected', 'round': 1}, 'GRINDON-EKINS Vanessa': {'status': 'Remaining', 'round': 1}, 'BIRD Elly': {'status': 'Remaining', 'round': 1}, 'COOK Darlene': {'status': 'Remaining', 'round': 1}, 'ROB Big': {'status': 'Remaining', 'round': 1}, 'HEALEY Patrick': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,none,{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},"{'MOORE Sue', 'THOMPSON Danny'}",{'MOORE Sue'},"{'MOORE Sue': {'status': 'Elected', 'round': 4}, 'THOMPSON Danny': {'status': 'Eliminated', 'round': 3}, 'JARRETT Tony': {'status': 'Eliminated', 'round': 2}, 'CHARLTON Belinda': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,JARRETT Tony,{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},"{'THOMPSON Danny', 'MOORE Sue', 'CHARLTON Belinda'}",{'MOORE Sue'},"{'MOORE Sue': {'status': 'Elected', 'round': 4}, 'THOMPSON Danny': {'status': 'Eliminated', 'round': 3}, 'JARRETT Tony': {'status': 'Eliminated', 'round': 2}, 'CHARLTON Belinda': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,THOMPSON Danny,{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},"{'MOORE Sue': {'status': 'Elected', 'round': 4}, 'THOMPSON Danny': {'status': 'Eliminated', 'round': 3}, 'JARRETT Tony': {'status': 'Eliminated', 'round': 2}, 'CHARLTON Belinda': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,MOORE Sue,{'THOMPSON Danny'},{'THOMPSON Danny'},{'THOMPSON Danny'},{'THOMPSON Danny'},{'THOMPSON Danny'},{'THOMPSON Danny'},{'THOMPSON Danny'},{'THOMPSON Danny'},{'THOMPSON Danny'},{'THOMPSON Danny'},{'THOMPSON Danny'},"{'THOMPSON Danny', 'JARRETT Tony', 'CHARLTON Belinda'}",{'THOMPSON Danny'},"{'MOORE Sue': {'status': 'Elected', 'round': 4}, 'THOMPSON Danny': {'status': 'Eliminated', 'round': 3}, 'JARRETT Tony': {'status': 'Eliminated', 'round': 2}, 'CHARLTON Belinda': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Singleton-mayoral-finalpreferencedatafile.csv,CHARLTON Belinda,{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},{'MOORE Sue'},"{'MOORE Sue', 'JARRETT Tony', 'THOMPSON Danny'}",{'MOORE Sue'},"{'MOORE Sue': {'status': 'Elected', 'round': 4}, 'THOMPSON Danny': {'status': 'Eliminated', 'round': 3}, 'JARRETT Tony': {'status': 'Eliminated', 'round': 2}, 'CHARLTON Belinda': {'status': 'Eliminated', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,none,{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},"{'BELL Robert': {'status': 'Elected', 'round': 1}, 'STRUTT Isabel': {'status': 'Remaining', 'round': 1}, 'LEDGER Natasha': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,STRUTT Isabel,{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},{'BELL Robert'},"{'BELL Robert': {'status': 'Elected', 'round': 1}, 'STRUTT Isabel': {'status': 'Remaining', 'round': 1}, 'LEDGER Natasha': {'status': 'Remaining', 'round': 1}}"
raw_data/australia/processed_data/Australia_NewSouthWales_Mayorals_2021/Uralla-mayoral-finalpreferencedatafile.csv,BELL Robert,{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},{'STRUTT Isabel'},"{'BELL Robert': {'status': 'Elected', 'round': 1}, 'STRUTT Isabel': {'status': 'Remaining', 'round': 1}, 'LEDGER Natasha': {'status': 'Remaining', 'round': 1}}"
