Index,rank1,rank2,rank3,rank4,numSeats,numCands
VI58,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI59,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI60,MARDI SIFUENTES,skipped,skipped,skipped,2,5
VI61,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,uwi,2,5
VI62,KRISTAL C. PRICE,AMBER RASMUSSEN,MARDI SIFUENTES,skipped,2,5
VI63,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI64,MARDI SIFUENTES,AMBER RASMUSSEN,skipped,skipped,2,5
VI65,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI66,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI67,KRISTAL C. PRICE,AMBER RASMUSSEN,skipped,skipped,2,5
VI68,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,2,5
VI69,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI70,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,2,5
VI71,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,skipped,2,5
VI72,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI73,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,2,5
VI74,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI75,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI76,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI77,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,uwi,2,5
VI78,MARDI SIFUENTES,uwi,NEF PACHECO,AMBER RASMUSSEN,2,5
VI79,NEF PACHECO,MARDI SIFUENTES,AMBER RASMUSSEN,uwi,2,5
VI80,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI81,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI82,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI83,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI84,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,uwi,2,5
VI85,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,KRISTAL C. PRICE,2,5
VI86,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI87,MARDI SIFUENTES,AMBER RASMUSSEN,uwi,NEF PACHECO,2,5
VI88,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI89,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI90,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI91,MARDI SIFUENTES,AMBER RASMUSSEN,skipped,skipped,2,5
VI92,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI93,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,skipped,2,5
VI94,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,uwi,2,5
VI95,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI97,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI98,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI99,AMBER RASMUSSEN,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,2,5
VI100,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI101,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI102,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI103,MARDI SIFUENTES,uwi,AMBER RASMUSSEN,NEF PACHECO,2,5
VI104,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI105,NEF PACHECO,AMBER RASMUSSEN,MARDI SIFUENTES,KRISTAL C. PRICE,2,5
VI106,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,skipped,2,5
VI107,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI108,MARDI SIFUENTES,AMBER RASMUSSEN,skipped,skipped,2,5
VI109,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,uwi,2,5
VI110,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI111,KRISTAL C. PRICE,MARDI SIFUENTES,skipped,skipped,2,5
VI112,MARDI SIFUENTES,NEF PACHECO,KRISTAL C. PRICE,AMBER RASMUSSEN,2,5
VI113,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI114,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI115,KRISTAL C. PRICE,MARDI SIFUENTES,skipped,skipped,2,5
VI116,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI117,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI118,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI119,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI120,uwi,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI122,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI123,NEF PACHECO,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,2,5
VI124,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI125,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI126,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,KRISTAL C. PRICE,2,5
VI127,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI128,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI129,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI130,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI131,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,uwi,2,5
VI132,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI133,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI134,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI135,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,uwi,2,5
VI136,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI137,NEF PACHECO,AMBER RASMUSSEN,skipped,skipped,2,5
VI138,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI139,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,KRISTAL C. PRICE,2,5
VI140,uwi,skipped,skipped,skipped,2,5
VI141,NEF PACHECO,AMBER RASMUSSEN,MARDI SIFUENTES,skipped,2,5
VI142,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI143,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI144,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI145,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI146,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI147,MARDI SIFUENTES,skipped,skipped,skipped,2,5
VI148,NEF PACHECO,AMBER RASMUSSEN,MARDI SIFUENTES,skipped,2,5
VI149,MARDI SIFUENTES,skipped,skipped,skipped,2,5
VI153,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI154,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,uwi,2,5
VI155,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,MARDI SIFUENTES,2,5
VI156,MARDI SIFUENTES,skipped,skipped,skipped,2,5
VI157,KRISTAL C. PRICE,NEF PACHECO,MARDI SIFUENTES,AMBER RASMUSSEN,2,5
VI158,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI159,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI160,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI161,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,skipped,2,5
VI162,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI163,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,uwi,2,5
VI164,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI165,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI166,KRISTAL C. PRICE,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,2,5
VI167,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI168,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI169,NEF PACHECO,MARDI SIFUENTES,AMBER RASMUSSEN,uwi,2,5
VI170,NEF PACHECO,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,2,5
VI171,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,uwi,2,5
VI172,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,skipped,2,5
VI173,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI175,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI177,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI178,NEF PACHECO,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,2,5
VI179,NEF PACHECO,MARDI SIFUENTES,KRISTAL C. PRICE,skipped,2,5
VI180,NEF PACHECO,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,2,5
VI181,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI182,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI183,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,uwi,2,5
VI185,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI186,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI187,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,uwi,2,5
VI188,MARDI SIFUENTES,skipped,skipped,skipped,2,5
VI189,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,skipped,2,5
VI190,MARDI SIFUENTES,NEF PACHECO,uwi,AMBER RASMUSSEN,2,5
VI191,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI192,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,uwi,2,5
VI193,AMBER RASMUSSEN,skipped,skipped,skipped,2,5
VI194,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI195,MARDI SIFUENTES,skipped,skipped,skipped,2,5
VI196,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,2,5
VI197,KRISTAL C. PRICE,skipped,skipped,skipped,2,5
VI198,MARDI SIFUENTES,KRISTAL C. PRICE,skipped,skipped,2,5
VI199,AMBER RASMUSSEN,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,2,5
VI200,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,skipped,2,5
VI201,MARDI SIFUENTES,NEF PACHECO,KRISTAL C. PRICE,skipped,2,5
VI202,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,MARDI SIFUENTES,2,5
VI203,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,skipped,2,5
VI204,AMBER RASMUSSEN,MARDI SIFUENTES,uwi,NEF PACHECO,2,5
VI205,MARDI SIFUENTES,NEF PACHECO,KRISTAL C. PRICE,skipped,2,5
VI206,NEF PACHECO,MARDI SIFUENTES,AMBER RASMUSSEN,skipped,2,5
VI207,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI208,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI209,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI210,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI211,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI212,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI213,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI214,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI215,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI216,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI217,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI219,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI220,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,KRISTAL C. PRICE,2,5
VI221,NEF PACHECO,MARDI SIFUENTES,AMBER RASMUSSEN,uwi,2,5
VI222,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI223,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,uwi,2,5
VI224,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI225,NEF PACHECO,MARDI SIFUENTES,AMBER RASMUSSEN,skipped,2,5
VI226,MARDI SIFUENTES,AMBER RASMUSSEN,skipped,skipped,2,5
VI227,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI228,AMBER RASMUSSEN,uwi,skipped,skipped,2,5
VI229,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI230,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI231,KRISTAL C. PRICE,skipped,skipped,skipped,2,5
VI232,AMBER RASMUSSEN,uwi,skipped,skipped,2,5
VI233,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI234,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI235,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI236,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,uwi,2,5
VI237,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI238,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,skipped,2,5
VI239,AMBER RASMUSSEN,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,2,5
VI240,MARDI SIFUENTES,skipped,skipped,skipped,2,5
VI241,MARDI SIFUENTES,skipped,skipped,skipped,2,5
VI242,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI243,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,2,5
VI244,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,2,5
VI245,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI246,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,2,5
VI247,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,KRISTAL C. PRICE,2,5
VI248,KRISTAL C. PRICE,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,2,5
VI249,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,2,5
VI250,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,2,5
VI251,KRISTAL C. PRICE,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,2,5
VI252,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI253,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,uwi,2,5
VI254,MARDI SIFUENTES,uwi,AMBER RASMUSSEN,NEF PACHECO,2,5
VI255,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI256,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI257,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,uwi,2,5
VI258,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI259,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,KRISTAL C. PRICE,2,5
VI261,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI262,NEF PACHECO,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,2,5
VI263,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,uwi,2,5
VI264,KRISTAL C. PRICE,MARDI SIFUENTES,skipped,skipped,2,5
VI265,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI266,AMBER RASMUSSEN,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,2,5
VI267,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,uwi,2,5
VI268,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI269,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI270,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,KRISTAL C. PRICE,2,5
VI271,MARDI SIFUENTES,NEF PACHECO,skipped,skipped,2,5
VI272,KRISTAL C. PRICE,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI273,MARDI SIFUENTES,AMBER RASMUSSEN,KRISTAL C. PRICE,NEF PACHECO,2,5
VI274,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,skipped,2,5
VI275,MARDI SIFUENTES,uwi,AMBER RASMUSSEN,NEF PACHECO,2,5
VI276,MARDI SIFUENTES,KRISTAL C. PRICE,skipped,skipped,2,5
VI277,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,skipped,2,5
VI278,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI279,KRISTAL C. PRICE,skipped,skipped,skipped,2,5
VI280,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI281,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI282,MARDI SIFUENTES,AMBER RASMUSSEN,NEF PACHECO,skipped,2,5
VI283,MARDI SIFUENTES,NEF PACHECO,AMBER RASMUSSEN,skipped,2,5
VI284,AMBER RASMUSSEN,skipped,skipped,skipped,2,5
VI285,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI286,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI287,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI288,NEF PACHECO,AMBER RASMUSSEN,uwi,MARDI SIFUENTES,2,5
VI289,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,skipped,2,5
VI290,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI291,MARDI SIFUENTES,KRISTAL C. PRICE,NEF PACHECO,AMBER RASMUSSEN,2,5
VI292,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
VI293,MARDI SIFUENTES,KRISTAL C. PRICE,skipped,skipped,2,5
VI294,AMBER RASMUSSEN,MARDI SIFUENTES,skipped,skipped,2,5
VI295,AMBER RASMUSSEN,MARDI SIFUENTES,skipped,skipped,2,5
VI296,AMBER RASMUSSEN,NEF PACHECO,MARDI SIFUENTES,skipped,2,5
VI297,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI298,AMBER RASMUSSEN,MARDI SIFUENTES,NEF PACHECO,skipped,2,5
VI299,MARDI SIFUENTES,KRISTAL C. PRICE,AMBER RASMUSSEN,NEF PACHECO,2,5
