Index,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
LE848,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,2,9
LE849,PAUL HANCOCK,MONTANE C HAMILTON,ETHAN M. ERICKSON,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,2,9
LE850,MONTANE C HAMILTON,NICOLE KUNZE,AARON BULLEN,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE851,MICHELLE MILES,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE852,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,2,9
LE853,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE854,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE855,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,PAUL HANCOCK,2,9
LE856,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE857,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,skipped,skipped,2,9
LE858,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE859,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE860,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,ETHAN M. ERICKSON,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,2,9
LE861,AARON BULLEN,CHRIS CONDIE,NICOLE KUNZE,MONTANE C HAMILTON,PAUL HANCOCK,skipped,skipped,skipped,skipped,2,9
LE862,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,2,9
LE863,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE866,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,ETHAN M. ERICKSON,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,2,9
LE867,CHRIS CONDIE,MONTANE C HAMILTON,CAMI PURTSCHERT,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE868,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,2,9
LE869,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE870,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE871,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE872,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,skipped,2,9
LE873,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE874,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,2,9
LE875,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,2,9
LE876,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,CAMI PURTSCHERT,2,9
LE877,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE878,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,2,9
LE879,ETHAN M. ERICKSON,NICOLE KUNZE,CAMI PURTSCHERT,CHRIS CONDIE,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,PAUL HANCOCK,MONTANE C HAMILTON,2,9
LE880,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE881,AARON BULLEN,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,NICOLE KUNZE,skipped,skipped,skipped,2,9
LE882,CAMI PURTSCHERT,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,2,9
LE883,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,PAUL HANCOCK,CAMI PURTSCHERT,AARON BULLEN,CHRIS CONDIE,ETHAN M. ERICKSON,2,9
LE884,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE886,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE887,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,2,9
LE888,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE889,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,2,9
LE890,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,2,9
LE891,MONTANE C HAMILTON,PAUL HANCOCK,AARON BULLEN,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,2,9
LE892,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,PAUL HANCOCK,CAMI PURTSCHERT,CHRIS CONDIE,NICOLE KUNZE,ETHAN M. ERICKSON,2,9
LE893,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,skipped,skipped,skipped,2,9
LE894,NICOLE KUNZE,PAUL HANCOCK,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE895,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE897,NICOLE KUNZE,AARON BULLEN,MICHELLE MILES,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE898,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,2,9
LE899,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,LORI MCINTOSH LE,2,9
LE900,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,2,9
LE901,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,AARON BULLEN,2,9
LE902,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE903,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE904,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,skipped,skipped,skipped,2,9
LE905,PAUL HANCOCK,NICOLE KUNZE,MONTANE C HAMILTON,CHRIS CONDIE,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE906,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,ETHAN M. ERICKSON,AARON BULLEN,CAMI PURTSCHERT,2,9
LE907,CAMI PURTSCHERT,CHRIS CONDIE,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,2,9
LE908,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE909,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE911,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,ETHAN M. ERICKSON,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,LORI MCINTOSH LE,2,9
LE912,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE913,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,2,9
LE914,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,ETHAN M. ERICKSON,MONTANE C HAMILTON,MICHELLE MILES,NICOLE KUNZE,CAMI PURTSCHERT,PAUL HANCOCK,2,9
LE915,CAMI PURTSCHERT,MICHELLE MILES,NICOLE KUNZE,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE917,MICHELLE MILES,CHRIS CONDIE,NICOLE KUNZE,LORI MCINTOSH LE,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,CAMI PURTSCHERT,PAUL HANCOCK,2,9
LE918,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,LORI MCINTOSH LE,ETHAN M. ERICKSON,CAMI PURTSCHERT,PAUL HANCOCK,CHRIS CONDIE,2,9
LE920,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE921,ETHAN M. ERICKSON,LORI MCINTOSH LE,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,2,9
LE922,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,ETHAN M. ERICKSON,PAUL HANCOCK,CAMI PURTSCHERT,2,9
LE923,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE924,CHRIS CONDIE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE925,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,2,9
LE926,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,ETHAN M. ERICKSON,MONTANE C HAMILTON,MICHELLE MILES,2,9
LE927,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,NICOLE KUNZE,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,PAUL HANCOCK,2,9
LE928,LORI MCINTOSH LE,CAMI PURTSCHERT,MONTANE C HAMILTON,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE929,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE930,MONTANE C HAMILTON,MICHELLE MILES,PAUL HANCOCK,CAMI PURTSCHERT,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE931,CHRIS CONDIE,NICOLE KUNZE,CAMI PURTSCHERT,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,AARON BULLEN,MICHELLE MILES,2,9
LE932,MONTANE C HAMILTON,CHRIS CONDIE,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE933,CAMI PURTSCHERT,MICHELLE MILES,NICOLE KUNZE,AARON BULLEN,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,ETHAN M. ERICKSON,2,9
LE934,MICHELLE MILES,CHRIS CONDIE,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,2,9
LE935,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,LORI MCINTOSH LE,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,AARON BULLEN,NICOLE KUNZE,2,9
LE936,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE937,CHRIS CONDIE,MONTANE C HAMILTON,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE938,CAMI PURTSCHERT,MONTANE C HAMILTON,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,PAUL HANCOCK,ETHAN M. ERICKSON,CHRIS CONDIE,2,9
LE939,CAMI PURTSCHERT,NICOLE KUNZE,ETHAN M. ERICKSON,AARON BULLEN,skipped,skipped,skipped,skipped,skipped,2,9
LE940,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,2,9
LE941,NICOLE KUNZE,PAUL HANCOCK,MICHELLE MILES,LORI MCINTOSH LE,CAMI PURTSCHERT,CHRIS CONDIE,skipped,skipped,skipped,2,9
LE942,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,LORI MCINTOSH LE,NICOLE KUNZE,CHRIS CONDIE,PAUL HANCOCK,2,9
LE943,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,2,9
LE944,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,2,9
LE945,LORI MCINTOSH LE,CHRIS CONDIE,NICOLE KUNZE,MICHELLE MILES,PAUL HANCOCK,CAMI PURTSCHERT,ETHAN M. ERICKSON,AARON BULLEN,MONTANE C HAMILTON,2,9
LE946,PAUL HANCOCK,MONTANE C HAMILTON,LORI MCINTOSH LE,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,2,9
LE947,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,MONTANE C HAMILTON,NICOLE KUNZE,ETHAN M. ERICKSON,2,9
LE948,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,LORI MCINTOSH LE,MONTANE C HAMILTON,skipped,skipped,skipped,skipped,2,9
LE949,LORI MCINTOSH LE,MICHELLE MILES,MONTANE C HAMILTON,AARON BULLEN,PAUL HANCOCK,CAMI PURTSCHERT,CHRIS CONDIE,NICOLE KUNZE,ETHAN M. ERICKSON,2,9
LE950,AARON BULLEN,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE951,LORI MCINTOSH LE,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,AARON BULLEN,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE953,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,ETHAN M. ERICKSON,skipped,skipped,skipped,skipped,skipped,2,9
LE954,LORI MCINTOSH LE,PAUL HANCOCK,NICOLE KUNZE,CHRIS CONDIE,AARON BULLEN,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE955,CHRIS CONDIE,PAUL HANCOCK,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE956,AARON BULLEN,MICHELLE MILES,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE957,CHRIS CONDIE,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE958,CHRIS CONDIE,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,MONTANE C HAMILTON,ETHAN M. ERICKSON,MICHELLE MILES,AARON BULLEN,CAMI PURTSCHERT,2,9
LE959,LORI MCINTOSH LE,MICHELLE MILES,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,MONTANE C HAMILTON,ETHAN M. ERICKSON,AARON BULLEN,2,9
LE960,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CHRIS CONDIE,PAUL HANCOCK,ETHAN M. ERICKSON,2,9
LE961,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,PAUL HANCOCK,ETHAN M. ERICKSON,CAMI PURTSCHERT,MONTANE C HAMILTON,CHRIS CONDIE,LORI MCINTOSH LE,2,9
LE962,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,MICHELLE MILES,ETHAN M. ERICKSON,2,9
LE963,CAMI PURTSCHERT,MONTANE C HAMILTON,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,CHRIS CONDIE,MICHELLE MILES,AARON BULLEN,2,9
LE964,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,LORI MCINTOSH LE,skipped,skipped,skipped,skipped,skipped,2,9
LE965,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE966,MICHELLE MILES,LORI MCINTOSH LE,CAMI PURTSCHERT,NICOLE KUNZE,AARON BULLEN,MONTANE C HAMILTON,CHRIS CONDIE,ETHAN M. ERICKSON,PAUL HANCOCK,2,9
LE967,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE968,AARON BULLEN,CHRIS CONDIE,MICHELLE MILES,PAUL HANCOCK,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE969,PAUL HANCOCK,ETHAN M. ERICKSON,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,MONTANE C HAMILTON,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,2,9
LE970,MICHELLE MILES,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,MONTANE C HAMILTON,PAUL HANCOCK,ETHAN M. ERICKSON,2,9
LE971,MONTANE C HAMILTON,PAUL HANCOCK,MICHELLE MILES,CHRIS CONDIE,CAMI PURTSCHERT,LORI MCINTOSH LE,ETHAN M. ERICKSON,AARON BULLEN,NICOLE KUNZE,2,9
LE972,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,MONTANE C HAMILTON,NICOLE KUNZE,AARON BULLEN,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,2,9
LE973,AARON BULLEN,ETHAN M. ERICKSON,MICHELLE MILES,CAMI PURTSCHERT,NICOLE KUNZE,CHRIS CONDIE,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,2,9
LE974,PAUL HANCOCK,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE975,AARON BULLEN,MICHELLE MILES,CHRIS CONDIE,ETHAN M. ERICKSON,NICOLE KUNZE,MONTANE C HAMILTON,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,2,9
LE976,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,CAMI PURTSCHERT,ETHAN M. ERICKSON,2,9
LE977,MICHELLE MILES,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,skipped,skipped,skipped,skipped,skipped,2,9
LE978,MICHELLE MILES,AARON BULLEN,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CAMI PURTSCHERT,ETHAN M. ERICKSON,MONTANE C HAMILTON,CHRIS CONDIE,2,9
LE979,LORI MCINTOSH LE,MICHELLE MILES,AARON BULLEN,MONTANE C HAMILTON,CHRIS CONDIE,NICOLE KUNZE,skipped,skipped,skipped,2,9
LE980,MICHELLE MILES,MONTANE C HAMILTON,CAMI PURTSCHERT,AARON BULLEN,NICOLE KUNZE,CHRIS CONDIE,LORI MCINTOSH LE,PAUL HANCOCK,ETHAN M. ERICKSON,2,9
LE981,NICOLE KUNZE,LORI MCINTOSH LE,CHRIS CONDIE,PAUL HANCOCK,AARON BULLEN,skipped,skipped,skipped,skipped,2,9
LE982,MICHELLE MILES,PAUL HANCOCK,CHRIS CONDIE,CAMI PURTSCHERT,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE983,PAUL HANCOCK,CHRIS CONDIE,NICOLE KUNZE,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE984,LORI MCINTOSH LE,CAMI PURTSCHERT,MICHELLE MILES,NICOLE KUNZE,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,PAUL HANCOCK,CHRIS CONDIE,2,9
LE985,AARON BULLEN,MICHELLE MILES,CAMI PURTSCHERT,ETHAN M. ERICKSON,NICOLE KUNZE,MONTANE C HAMILTON,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,2,9
LE986,CHRIS CONDIE,PAUL HANCOCK,CAMI PURTSCHERT,MONTANE C HAMILTON,AARON BULLEN,NICOLE KUNZE,ETHAN M. ERICKSON,LORI MCINTOSH LE,skipped,2,9
LE987,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,NICOLE KUNZE,CAMI PURTSCHERT,LORI MCINTOSH LE,PAUL HANCOCK,CHRIS CONDIE,ETHAN M. ERICKSON,2,9
LE988,NICOLE KUNZE,LORI MCINTOSH LE,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,PAUL HANCOCK,MONTANE C HAMILTON,AARON BULLEN,ETHAN M. ERICKSON,2,9
LE989,CHRIS CONDIE,MONTANE C HAMILTON,MICHELLE MILES,AARON BULLEN,LORI MCINTOSH LE,NICOLE KUNZE,CAMI PURTSCHERT,PAUL HANCOCK,ETHAN M. ERICKSON,2,9
LE990,MICHELLE MILES,CAMI PURTSCHERT,AARON BULLEN,PAUL HANCOCK,skipped,skipped,skipped,skipped,skipped,2,9
LE991,CHRIS CONDIE,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,2,9
LE992,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,skipped,skipped,skipped,skipped,2,9
LE993,NICOLE KUNZE,PAUL HANCOCK,LORI MCINTOSH LE,CHRIS CONDIE,AARON BULLEN,CAMI PURTSCHERT,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE994,MONTANE C HAMILTON,CAMI PURTSCHERT,PAUL HANCOCK,LORI MCINTOSH LE,AARON BULLEN,NICOLE KUNZE,MICHELLE MILES,CHRIS CONDIE,ETHAN M. ERICKSON,2,9
LE995,NICOLE KUNZE,PAUL HANCOCK,CHRIS CONDIE,LORI MCINTOSH LE,CAMI PURTSCHERT,AARON BULLEN,MICHELLE MILES,MONTANE C HAMILTON,ETHAN M. ERICKSON,2,9
LE996,NICOLE KUNZE,LORI MCINTOSH LE,MONTANE C HAMILTON,MICHELLE MILES,CAMI PURTSCHERT,CHRIS CONDIE,AARON BULLEN,PAUL HANCOCK,ETHAN M. ERICKSON,2,9
LE997,MICHELLE MILES,AARON BULLEN,ETHAN M. ERICKSON,LORI MCINTOSH LE,CAMI PURTSCHERT,PAUL HANCOCK,MONTANE C HAMILTON,CHRIS CONDIE,NICOLE KUNZE,2,9
