Index,rank1,rank2,rank3,numSeats,numCands
VI87,JULIE FULLMER,MARIA GUADALUPE CANE,skipped,1,3
VI88,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI89,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI90,JULIE FULLMER,skipped,skipped,1,3
VI91,JULIE FULLMER,skipped,skipped,1,3
VI92,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI93,MARIA GUADALUPE CANE,MARC BRIMHALL,JULIE FULLMER,1,3
VI94,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI95,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI96,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI97,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,1,3
VI98,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI99,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI100,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI101,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI102,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI103,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI104,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI105,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI106,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI107,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI108,JULIE FULLMER,skipped,skipped,1,3
VI109,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI110,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI111,JULIE FULLMER,skipped,skipped,1,3
VI112,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI113,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI114,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI115,JULIE FULLMER,skipped,skipped,1,3
VI116,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI117,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI118,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI119,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI120,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI121,JULIE FULLMER,skipped,skipped,1,3
VI122,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI123,MARIA GUADALUPE CANE,JULIE FULLMER,MARC BRIMHALL,1,3
VI124,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI125,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI126,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI127,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI128,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI129,JULIE FULLMER,skipped,skipped,1,3
VI130,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI131,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI132,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,1,3
VI133,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI134,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI135,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI136,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI137,MARC BRIMHALL,MARIA GUADALUPE CANE,skipped,1,3
VI138,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI139,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI140,MARC BRIMHALL,MARIA GUADALUPE CANE,JULIE FULLMER,1,3
VI141,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI142,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI143,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI144,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI145,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI146,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI147,JULIE FULLMER,skipped,skipped,1,3
VI148,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI149,JULIE FULLMER,skipped,skipped,1,3
VI150,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI151,JULIE FULLMER,skipped,skipped,1,3
VI152,JULIE FULLMER,MARC BRIMHALL,MARIA GUADALUPE CANE,1,3
VI153,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI154,JULIE FULLMER,MARIA GUADALUPE CANE,MARC BRIMHALL,1,3
VI155,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
VI156,JULIE FULLMER,MARC BRIMHALL,skipped,1,3
VI157,MARC BRIMHALL,JULIE FULLMER,MARIA GUADALUPE CANE,1,3
