Index,rank1,rank2,rank3,rank4,numSeats,numCands
WH97,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH98,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH99,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH100,TOBY M. HARDING,DOREL B. KYNASTON,skipped,skipped,2,4
WH101,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,2,4
WH102,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH103,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH104,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH105,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH106,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH107,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH108,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH109,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH110,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH111,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH112,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH113,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH114,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH115,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH116,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH117,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH118,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH119,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH120,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,skipped,2,4
WH121,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH122,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH123,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH124,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH125,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH126,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH127,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH128,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH129,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,2,4
WH130,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH131,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH132,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH133,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH134,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH135,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH136,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,JANET LUNT,2,4
WH137,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH138,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH139,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH140,DOREL B. KYNASTON,TOBY M. HARDING,skipped,skipped,2,4
WH141,TOBY M. HARDING,JANET LUNT,skipped,skipped,2,4
WH142,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH143,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,skipped,2,4
WH144,CODY CHAMBERLAIN,TOBY M. HARDING,skipped,skipped,2,4
WH145,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH146,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH147,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH148,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH149,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH150,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH151,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH152,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH153,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH154,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH155,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH156,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH158,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,skipped,2,4
WH159,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH160,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH161,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH162,TOBY M. HARDING,DOREL B. KYNASTON,skipped,skipped,2,4
WH163,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH164,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH165,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH166,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH167,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH168,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH169,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH170,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH171,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH172,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,2,4
WH173,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,skipped,2,4
WH174,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH175,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH176,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH177,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH178,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,2,4
WH179,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH180,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH181,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH182,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH183,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH184,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,2,4
WH185,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH186,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH187,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH188,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,2,4
WH189,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH190,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH191,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH192,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH193,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH194,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH195,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH196,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH197,TOBY M. HARDING,DOREL B. KYNASTON,CODY CHAMBERLAIN,JANET LUNT,2,4
WH198,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH199,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH200,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH201,DOREL B. KYNASTON,skipped,skipped,skipped,2,4
WH202,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH203,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH204,JANET LUNT,DOREL B. KYNASTON,skipped,skipped,2,4
WH205,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH206,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH207,JANET LUNT,skipped,skipped,skipped,2,4
WH208,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH209,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH210,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH211,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH212,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH213,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH214,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH215,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH216,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,2,4
WH217,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH218,JANET LUNT,skipped,skipped,skipped,2,4
WH219,TOBY M. HARDING,JANET LUNT,skipped,skipped,2,4
WH220,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH221,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH222,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH223,JANET LUNT,skipped,skipped,skipped,2,4
WH224,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH225,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH226,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH228,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH230,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH231,JANET LUNT,skipped,skipped,skipped,2,4
WH232,CODY CHAMBERLAIN,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,2,4
WH233,CODY CHAMBERLAIN,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH234,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH235,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH236,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH237,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH238,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH239,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH240,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH241,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH242,TOBY M. HARDING,CODY CHAMBERLAIN,skipped,skipped,2,4
WH243,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,2,4
WH244,CODY CHAMBERLAIN,JANET LUNT,skipped,skipped,2,4
WH245,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,2,4
WH246,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH247,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH248,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH249,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,2,4
WH250,TOBY M. HARDING,DOREL B. KYNASTON,skipped,skipped,2,4
WH251,JANET LUNT,skipped,skipped,skipped,2,4
WH252,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH253,CODY CHAMBERLAIN,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,2,4
WH254,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH255,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,2,4
WH256,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH257,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH258,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,TOBY M. HARDING,2,4
WH259,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,2,4
WH260,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,JANET LUNT,2,4
WH261,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH262,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH263,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH264,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH265,CODY CHAMBERLAIN,JANET LUNT,skipped,skipped,2,4
WH266,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH267,CODY CHAMBERLAIN,JANET LUNT,skipped,skipped,2,4
WH268,JANET LUNT,DOREL B. KYNASTON,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH269,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH270,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH271,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,skipped,2,4
WH272,JANET LUNT,skipped,skipped,skipped,2,4
WH273,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH274,DOREL B. KYNASTON,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,2,4
WH275,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH276,CODY CHAMBERLAIN,TOBY M. HARDING,JANET LUNT,DOREL B. KYNASTON,2,4
WH277,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH278,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH279,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
WH280,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH281,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH282,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,skipped,2,4
WH283,JANET LUNT,CODY CHAMBERLAIN,skipped,skipped,2,4
WH284,DOREL B. KYNASTON,JANET LUNT,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH285,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH286,CODY CHAMBERLAIN,JANET LUNT,TOBY M. HARDING,DOREL B. KYNASTON,2,4
WH287,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,skipped,2,4
WH288,DOREL B. KYNASTON,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,2,4
WH289,JANET LUNT,DOREL B. KYNASTON,CODY CHAMBERLAIN,TOBY M. HARDING,2,4
WH290,TOBY M. HARDING,DOREL B. KYNASTON,JANET LUNT,skipped,2,4
WH291,JANET LUNT,TOBY M. HARDING,skipped,skipped,2,4
WH292,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH293,TOBY M. HARDING,skipped,skipped,skipped,2,4
WH294,TOBY M. HARDING,JANET LUNT,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH295,TOBY M. HARDING,DOREL B. KYNASTON,skipped,skipped,2,4
WH296,JANET LUNT,TOBY M. HARDING,CODY CHAMBERLAIN,DOREL B. KYNASTON,2,4
WH297,DOREL B. KYNASTON,JANET LUNT,skipped,skipped,2,4
