rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,Num cands,Num seats
"Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.","Fantini, Alfred B.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Crutchfield, Jake W.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Crutchfield, Jake W.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","Dexter, Emily R.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","Dexter, Emily R.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kelly, Kathleen M.","Cronin, Fran A.","Fantini, Alfred B.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Cronin, Fran A.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Nolan, Patricia M.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Cronin, Fran A.","Fantini, Alfred B.","Weinstein, David J.","Crutchfield, Jake W.",14,6
"Kimbrough, Laurance V.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Cronin, Fran A.","MacArthur, William","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Weinstein, David J.","Kimbrough, Laurance V.","Nolan, Patricia M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Fantini, Alfred B.","Kelly, Kathleen M.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Weinstein, David J.","Dexter, Emily R.","Crutchfield, Jake W.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kimbrough, Laurance V.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Fantini, Alfred B.","Dexter, Emily R.","Kelly, Kathleen M.","Bowman, Manikka L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.","Kelly, Kathleen M.","Crutchfield, Jake W.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.","Dexter, Emily R.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Kelly, Kathleen M.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William","Kadete, Elechi M.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Cronin, Fran A.","Fantini, Alfred B.","Kimbrough, Laurance V.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Kimbrough, Laurance V.","Bowman, Manikka L.","Dexter, Emily R.","Kadete, Elechi M.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,14,6
"Fantini, Alfred B.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","MacArthur, William","Fantini, Alfred B.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kadete, Elechi M.","Weinstein, David J.","Bowman, Manikka L.","Cronin, Fran A.","Crutchfield, Jake W.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Dexter, Emily R.","Kelly, Kathleen M.","Fantini, Alfred B.","Kimbrough, Laurance V.",14,6
"Cronin, Fran A.","Bowman, Manikka L.","Kimbrough, Laurance V.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William","Dexter, Emily R.","Cronin, Fran A.","Kelly, Kathleen M.","Crutchfield, Jake W.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William",UWI,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Cronin, Fran A.",UWI,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William","Kadete, Elechi M.","Crutchfield, Jake W.","Nolan, Patricia M.",UWI,"Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","Weinstein, David J.","Nolan, Patricia M.","Cronin, Fran A.","Dexter, Emily R.","Bowman, Manikka L.","MacArthur, William","Kadete, Elechi M.","Kelly, Kathleen M.","Fantini, Alfred B.",skipped,skipped,14,6
"Mitros, Piotr Flawiusz","Kimbrough, Laurance V.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Mitros, Piotr Flawiusz","Kadete, Elechi M.","Cronin, Fran A.","Crutchfield, Jake W.","Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Cronin, Fran A.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kelly, Kathleen M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
